r,t,Value
p1,2010,41793490.988284
p1,2015,36591221.325237
p1,2020,31276431.968419
p1,2023,36920814.341897
p1,2026,40036700.478595
p1,2029,41820752.864469
p1,2032,43153038.564612
p1,2035,32065802.926014
p1,2038,20538400.786421
p1,2041,23562920.080404
p1,2044,26274070.600361
p1,2047,26829767.668542
p1,2050,27193338.30703
p2,2010,-8870079.102926
p2,2015,518088.501084
p2,2020,-11654718.511233
p2,2023,-5666596.569376
p2,2026,-6967989.970845
p2,2029,-11264639.222171
p2,2032,-18378574.018165
p2,2035,-16627225.783149
p2,2038,-13524555.544819
p2,2041,-15781903.406877
p2,2044,-16349915.826882
p2,2047,-18677773.078223
p2,2050,-21241189.186117
p3,2010,7945884.952675
p3,2015,4569480.672375
p3,2020,3944894.779885
p3,2023,3894683.864686
p3,2026,5315156.956414
p3,2029,6822991.908802
p3,2032,5224008.253482
p3,2035,6819012.429152
p3,2038,5978202.909585
p3,2041,5802490.422812
p3,2044,6235956.637604
p3,2047,3288255.595563
p3,2050,-2270087.572602
p4,2010,-49236018.243194
p4,2015,-57038137.407624
p4,2020,-64854934.344728
p4,2023,-64997076.788514
p4,2026,-64926866.504956
p4,2029,-63141915.880213
p4,2032,-58865474.203107
p4,2035,-58091834.219813
p4,2038,-58005605.279009
p4,2041,-57395800.928417
p4,2044,-58668200.881531
p4,2047,-58654103.210195
p4,2050,-58861971.395185
p5,2010,-8331070.883394
p5,2015,-4687717.862808
p5,2020,-15542595.043937
p5,2023,-11267925.841144
p5,2026,-5493433.869837
p5,2029,-14467.252705
p5,2032,7909133.870673
p5,2035,17926097.53259
p5,2038,26221089.972807
p5,2041,28584534.898725
p5,2044,31970090.674804
p5,2047,35991392.587539
p5,2050,42460252.997702
p6,2010,5520200.96634
p6,2015,7391362.644663
p6,2020,6176663.016278
p6,2023,7750919.740894
p6,2026,10473712.338371
p6,2029,11753621.991018
p6,2032,12238201.427775
p6,2035,13381540.44475
p6,2038,14313978.968364
p6,2041,16762059.739657
p6,2044,19247739.232435
p6,2047,20144766.955553
p6,2050,20693552.269745
p7,2010,100468.0053
p7,2015,236395.405308
p7,2020,-610056.183083
p7,2023,-1476547.93435
p7,2026,-1000672.903302
p7,2029,-4079562.08899
p7,2032,-9859855.683927
p7,2035,-17155303.906821
p7,2038,-22218961.004576
p7,2041,-24135455.822051
p7,2044,-25949231.266595
p7,2047,-27146341.799522
p7,2050,-28855761.807019
p8,2010,918360.262247
p8,2015,958965.674317
p8,2020,810415.450717
p8,2023,929432.883843
p8,2026,-64028.161121
p8,2029,-1411557.976177
p8,2032,-1233111.97617
p8,2035,-1291540.729893
p8,2038,-1617949.812665
p8,2041,-1417372.80241
p8,2044,-1774728.391809
p8,2047,-1549958.077295
p8,2050,-1675864.782661
p9,2010,6552330.829234
p9,2015,3047730.795399
p9,2020,31108930.840561
p9,2023,19298410.006076
p9,2026,18303171.738147
p9,2029,12090720.859399
p9,2032,22178074.192574
p9,2035,26804242.771086
p9,2038,22015500.672516
p9,2041,33983074.426533
