r,t,Value
p1,2010,4.261203
p1,2015,2.443866
p1,2020,1.727178
p1,2023,3.40846
p1,2026,2.567275
p1,2029,2.49606
p1,2032,2.64259
p1,2035,2.849484
p1,2038,3.005128
p1,2041,3.061997
p1,2044,3.061228
p1,2047,3.051291
p1,2050,3.070629
p2,2010,4.265323
p2,2015,2.442181
p2,2020,1.721982
p2,2023,3.410075
p2,2026,2.568422
p2,2029,2.49627
p2,2032,2.644721
p2,2035,2.852363
p2,2038,3.00775
p2,2041,3.065508
p2,2044,3.065255
p2,2047,3.056535
p2,2050,3.076294
p3,2010,4.296134
p3,2015,2.429576
p3,2020,1.683118
p3,2023,3.422154
p3,2026,2.577
p3,2029,2.497846
p3,2032,2.660651
p3,2035,2.873895
p3,2038,3.027357
p3,2041,3.091767
p3,2044,3.095365
p3,2047,3.095748
p3,2050,3.118658
p4,2010,4.269085
p4,2015,2.440642
p4,2020,1.717237
p4,2023,3.41155
p4,2026,2.569469
p4,2029,2.496463
p4,2032,2.646666
p4,2035,2.854992
p4,2038,3.010144
p4,2041,3.068714
p4,2044,3.068931
p4,2047,3.061323
p4,2050,3.081466
p5,2010,4.271234
p5,2015,2.439762
p5,2020,1.714525
p5,2023,3.412393
p5,2026,2.570068
p5,2029,2.496573
p5,2032,2.647777
p5,2035,2.856494
p5,2038,3.011512
p5,2041,3.070546
p5,2044,3.071032
p5,2047,3.064059
p5,2050,3.084422
p6,2010,4.27822
p6,2015,2.436904
p6,2020,1.705713
p6,2023,3.415131
p6,2026,2.572013
p6,2029,2.49693
p6,2032,2.651389
p6,2035,2.861376
p6,2038,3.015957
p6,2041,3.0765
p6,2044,3.077859
p6,2047,3.07295
p6,2050,3.094028
p7,2010,4.291655
p7,2015,2.431408
p7,2020,1.688767
p7,2023,3.420399
p7,2026,2.575753
p7,2029,2.497617
p7,2032,2.658336
p7,2035,2.870765
p7,2038,3.024507
p7,2041,3.08795
p7,2044,3.090988
p7,2047,3.090049
p7,2050,3.112501
p8,2010,4.296134
p8,2015,2.429576
p8,2020,1.683118
p8,2023,3.422154
p8,2026,2.577
p8,2029,2.497846
p8,2032,2.660651
p8,2035,2.873895
p8,2038,3.027357
p8,2041,3.091767
p8,2044,3.095365
p8,2047,3.095748
p8,2050,3.118658
p9,2010,4.278579
p9,2015,2.436758
p9,2020,1.705261
p9,2023,3.415272
p9,2026,2.572112
p9,2029,2.496948
p9,2032,2.651574
p9,2035,2.861627
p9,2038,3.016185
p9,2041,3.076806
p9,2044,3.078209
p9,2047,3.073406
p9,2050,3.09452
p10,2010,4.282699
p10,2015,2.435072
p10,2020,1.700065
p10,2023,3.416887
p10,2026,2.573259
p10,2029,2.497159
p10,2032,2.653705
p10,2035,2.864506
p10,2038,3.018807
p10,2041,3.080317
p10,2044,3.082235
p10,2047,3.07865
p10,2050,3.100185
p11,2010,4.298462
p11,2015,2.428624
p11,2020,1.680181
p11,2023,3.423067
p11,2026,2.577648
p11,2029,2.497965
p11,2032,2.661855
p11,2035,2.875523
p11,2038,3.028838
p11,2041,3.093752
p11,2044,3.097641
p11,2047,3.098712
p11,2050,3.12186
p12,2010,4.375309
p12,2015,2.301826
p12,2020,1.727279
p12,2023,3.368485
p12,2026,2.684823
p12,2029,2.605355
p12,2032,2.762749
p12,2035,2.991148
p12,2038,3.144931
p12,2041,3.238006
p12,2044,3.272201
p12,2047,3.310728
p12,2050,3.351185
p13,2010,4.325332
p13,2015,2.322271
p13,2020,1.790319
p13,2023,3.348891
p13,2026,2.670909
p13,2029,2.602799
p13,2032,2.736908
p13,2035,2.956221
p13,2038,3.113127
p13,2041,3.195412
p13,2044,3.22336
p13,2047,3.24712
p13,2050,3.282466
p14,2010,4.351843
p14,2015,2.311426
p14,2020,1.756878
p14,2023,3.359285
p14,2026,2.67829
p14,2029,2.604155
p14,2032,2.750615
p14,2035,2.974749
p14,2038,3.129998
p14,2041,3.218007
p14,2044,3.249268
p14,2047,3.280862
p14,2050,3.318919
p15,2010,4.353276
p15,2015,2.31084
p15,2020,1.755071
p15,2023,3.359847
p15,2026,2.678689
p15,2029,2.604228
p15,2032,2.751356
p15,2035,2.97575
p15,2038,3.13091
p15,2041,3.219228
p15,2044,3.250669
p15,2047,3.282685
p15,2050,3.320889
p16,2010,4.396268
p16,2015,2.293252
p16,2020,1.700843
p16,2023,3.376701
p16,2026,2.690658
p16,2029,2.606426
p16,2032,2.773585
p16,2035,3.005795
p16,2038,3.158268
p16,2041,3.255869
p16,2044,3.292683
p16,2047,3.337402
p16,2050,3.380003
p17,2010,4.398955
p17,2015,2.292153
p17,2020,1.697454
p17,2023,3.377755
p17,2026,2.691406
p17,2029,2.606564
p17,2032,2.774974
p17,2035,3.007673
p17,2038,3.159978
p17,2041,3.258159
p17,2044,3.295309
p17,2047,3.340822
p17,2050,3.383697
p18,2010,4.426362
p18,2015,2.280941
p18,2020,1.662883
p18,2023,3.3885
p18,2026,2.699036
p18,2029,2.607965
p18,2032,2.789145
p18,2035,3.026827
p18,2038,3.177419
p18,2041,3.281517
p18,2044,3.322093
p18,2047,3.375703
p18,2050,3.421382
p19,2010,4.426362
p19,2015,2.280941
p19,2020,1.662883
p19,2023,3.3885
p19,2026,2.699036
p19,2029,2.607965
p19,2032,2.789145
p19,2035,3.026827
p19,2038,3.177419
p19,2041,3.281517
p19,2044,3.322093
p19,2047,3.375703
p19,2050,3.421382
p20,2010,4.426362
p20,2015,2.280941
p20,2020,1.662883
p20,2023,3.3885
p20,2026,2.699036
p20,2029,2.607965
p20,2032,2.789145
p20,2035,3.026827
p20,2038,3.177419
p20,2041,3.281517
p20,2044,3.322093
p20,2047,3.375703
p20,2050,3.421382
p21,2010,4.426362
p21,2015,2.280941
p21,2020,1.662883
p21,2023,3.3885
p21,2026,2.699036
p21,2029,2.607965
p21,2032,2.789145
p21,2035,3.026827
p21,2038,3.177419
p21,2041,3.281517
p21,2044,3.322093
p21,2047,3.375703
p21,2050,3.421382
p22,2010,4.426362
p22,2015,2.280941
p22,2020,1.662883
p22,2023,3.3885
p22,2026,2.699036
p22,2029,2.607965
p22,2032,2.789145
p22,2035,3.026827
p22,2038,3.177419
p22,2041,3.281517
p22,2044,3.322093
p22,2047,3.375703
p22,2050,3.421382
p23,2010,4.426362
p23,2015,2.280941
