eall,r,t,dr,Value
CH4,p1,2020,2.5,610422195.5208
CH4,p1,2020,2.0,751288856.0256
CH4,p1,2020,1.5,1079977730.5368
CH4,p1,2023,2.5,333875372.61336
CH4,p1,2023,2.0,415088301.08688
CH4,p1,2023,1.5,579770072.71374
CH4,p1,2026,2.5,737302313.66978
CH4,p1,2026,2.0,923848682.18864
CH4,p1,2026,1.5,1261408777.60372
CH4,p1,2029,2.5,664877362.47416
CH4,p1,2029,2.0,838323630.94568
CH4,p1,2029,1.5,1123787281.13839
CH4,p1,2032,2.5,534045041.94145995
CH4,p1,2032,2.0,668852528.2567799
CH4,p1,2032,1.5,881433564.3693999
CH4,p1,2035,2.5,2219696827.7647
CH4,p1,2035,2.0,2750493895.2736497
CH4,p1,2035,1.5,3570816635.9693
CH4,p1,2038,2.5,5147897540.704519
CH4,p1,2038,2.0,6323401703.54256
CH4,p1,2038,1.5,8106925260.952
CH4,p1,2041,2.5,5595451489.56806
CH4,p1,2041,2.0,6823230413.53803
CH4,p1,2041,1.5,8674962561.16487
CH4,p1,2044,2.5,6520038344.74674
CH4,p1,2044,2.0,7901768325.090421
CH4,p1,2044,1.5,10017542357.49168
CH4,p1,2047,2.5,8221139676.9028015
CH4,p1,2047,2.0,9910760408.0454
CH4,p1,2047,1.5,12533455274.296602
CH4,p1,2050,2.5,10306063342.582
CH4,p1,2050,2.0,12367276011.0984
CH4,p1,2050,1.5,15606324490.1956
CH4,p10,2020,2.5,2669341842.0474
CH4,p10,2020,2.0,3285343805.5968003
CH4,p10,2020,1.5,4722681720.545401
CH4,p10,2023,2.5,5638684597.33596
CH4,p10,2023,2.0,7010256526.41768
CH4,p10,2023,1.5,9791499604.83339
CH4,p10,2026,2.5,4917527860.8999
CH4,p10,2026,2.0,6161721657.0312
CH4,p10,2026,1.5,8413119954.792601
CH4,p10,2029,2.5,6124305976.28968
CH4,p10,2029,2.0,7721951013.58264
CH4,p10,2029,1.5,10351408470.79397
CH4,p10,2032,2.5,10539438699.71206
CH4,p10,2032,2.0,13199879536.532581
CH4,p10,2032,1.5,17395190086.903404
CH4,p10,2035,2.5,10726295859.150902
CH4,p10,2035,2.0,13291279651.556551
CH4,p10,2035,1.5,17255345512.547104
CH4,p10,2038,2.5,13815986867.389341
CH4,p10,2038,2.0,16970818514.273521
