sys_costs,r,t,Value
inv_h2_production,p19,2032,100055277.022785
inv_h2_production,p19,2035,2745.481659
inv_h2_production,p31,2029,56379367.671897
inv_h2_production,p31,2032,1404330.149295
inv_h2_production,p31,2035,223132.265926
inv_h2_production,p99,2047,272876502.315983
inv_h2_production,p127,2041,4697900663.151671
inv_h2_storage,p2,2032,0.0
inv_h2_storage,p2,2035,-0.0
inv_h2_storage,p9,2032,-1e-06
inv_h2_storage,p9,2035,1e-06
inv_h2_storage,p10,2038,0.0
inv_h2_storage,p10,2041,-0.0
inv_h2_storage,p11,2032,0.0
inv_h2_storage,p11,2035,-0.0
inv_h2_storage,p11,2038,-0.0
inv_h2_storage,p11,2041,0.0
inv_h2_storage,p13,2044,0.0
inv_h2_storage,p13,2047,-0.0
inv_h2_storage,p14,2038,0.0
inv_h2_storage,p14,2041,-0.0
inv_h2_storage,p19,2032,1684302.397349
inv_h2_storage,p20,2047,0.0
inv_h2_storage,p20,2050,-0.0
inv_h2_storage,p22,2050,0.0
inv_h2_storage,p26,2044,0.0
inv_h2_storage,p26,2047,-0.0
inv_h2_storage,p27,2032,-0.0
inv_h2_storage,p27,2035,0.0
inv_h2_storage,p28,2038,-0.0
inv_h2_storage,p28,2041,0.0
inv_h2_storage,p29,2032,-0.0
inv_h2_storage,p29,2035,0.0
inv_h2_storage,p31,2029,11771768.696847
inv_h2_storage,p32,2047,-0.0
inv_h2_storage,p32,2050,0.0
inv_h2_storage,p33,2029,-0.0
inv_h2_storage,p33,2032,0.0
inv_h2_storage,p33,2038,0.0
inv_h2_storage,p33,2041,-0.0
inv_h2_storage,p35,2032,0.0
inv_h2_storage,p35,2035,-0.0
inv_h2_storage,p36,2038,-1e-06
inv_h2_storage,p36,2041,1e-06
inv_h2_storage,p37,2038,0.0
inv_h2_storage,p37,2041,-0.0
inv_h2_storage,p38,2038,-0.0
inv_h2_storage,p38,2041,0.0
inv_h2_storage,p46,2038,0.0
inv_h2_storage,p46,2041,-0.0
inv_h2_storage,p50,2038,-0.0
inv_h2_storage,p50,2041,0.0
inv_h2_storage,p53,2038,-0.0
inv_h2_storage,p53,2041,0.0
inv_h2_storage,p62,2029,0.0
inv_h2_storage,p62,2032,-0.0
inv_h2_storage,p64,2038,0.0
inv_h2_storage,p64,2041,-0.0
inv_h2_storage,p74,2047,0.0
inv_h2_storage,p74,2050,-0.0
inv_h2_storage,p86,2038,-0.0
inv_h2_storage,p86,2041,0.0
inv_h2_storage,p86,2047,-0.0
inv_h2_storage,p86,2050,0.0
inv_h2_storage,p90,2038,0.0
inv_h2_storage,p90,2041,-0.0
inv_h2_storage,p99,2029,-0.0
inv_h2_storage,p99,2032,0.0
inv_h2_storage,p99,2047,104914140.330734
inv_h2_storage,p101,2038,-0.0
inv_h2_storage,p101,2041,0.0
inv_h2_storage,p112,2038,-0.0
inv_h2_storage,p112,2041,0.0
inv_h2_storage,p116,2041,-0.0
inv_h2_storage,p116,2044,0.0
inv_h2_storage,p118,2041,-6e-06
inv_h2_storage,p118,2044,6e-06
inv_h2_storage,p120,2038,-0.0
inv_h2_storage,p120,2041,1e-06
inv_h2_storage,p120,2044,-1e-06
inv_h2_storage,p121,2041,-0.0
inv_h2_storage,p121,2044,0.0
inv_h2_storage,p123,2041,-1e-06
inv_h2_storage,p123,2044,-4e-06
inv_h2_storage,p123,2047,5e-06
inv_h2_storage,p127,2029,0.0
inv_h2_storage,p127,2032,-0.0
inv_h2_storage,p127,2041,1497080771.652218
inv_h2_storage,p127,2044,487884173.194168
inv_h2_storage,p127,2047,1109666115.143216
inv_h2_storage,p127,2050,37845477.259634
inv_h2_storage,p130,2029,-0.0
inv_h2_storage,p130,2032,0.0
inv_h2_storage,p132,2041,-0.0
inv_h2_storage,p132,2044,0.0
inv_h2_storage,p134,2047,0.0
inv_h2_storage,p134,2050,-0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,1563268543.557028
inv_investment_capacity_costs,p1,2032,1604212426.034758
inv_investment_capacity_costs,p1,2035,3926249229.724662
inv_investment_capacity_costs,p1,2038,4283238153.721917
inv_investment_capacity_costs,p1,2041,376134487.856184
inv_investment_capacity_costs,p1,2044,1064247678.666487
inv_investment_capacity_costs,p1,2047,1452080861.764396
inv_investment_capacity_costs,p1,2050,1778671509.381256
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1210192315.00611
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,312612547.339661
inv_investment_capacity_costs,p2,2029,3286926972.5804
inv_investment_capacity_costs,p2,2032,3363969426.972528
inv_investment_capacity_costs,p2,2035,624791263.196681
inv_investment_capacity_costs,p2,2038,268123262.603436
inv_investment_capacity_costs,p2,2041,838687390.824
inv_investment_capacity_costs,p2,2044,1908318202.367644
inv_investment_capacity_costs,p2,2047,1046795270.944169
inv_investment_capacity_costs,p2,2050,1103691906.533102
inv_investment_capacity_costs,p3,2015,150165713.8215
inv_investment_capacity_costs,p3,2020,177681543.112704
inv_investment_capacity_costs,p3,2029,153535738.603714
inv_investment_capacity_costs,p3,2032,894992834.863537
inv_investment_capacity_costs,p3,2035,76912277.424586
inv_investment_capacity_costs,p3,2038,537143192.162954
inv_investment_capacity_costs,p3,2041,289861998.145376
inv_investment_capacity_costs,p3,2044,395656242.698408
inv_investment_capacity_costs,p3,2047,1039434640.550969
inv_investment_capacity_costs,p3,2050,1905128381.027976
inv_investment_capacity_costs,p4,2015,641501060.295261
inv_investment_capacity_costs,p4,2020,391444958.078072
inv_investment_capacity_costs,p4,2026,126551415.816
inv_investment_capacity_costs,p4,2029,486093994.6374
inv_investment_capacity_costs,p4,2035,572684.675767
inv_investment_capacity_costs,p4,2038,464588.85242
inv_investment_capacity_costs,p4,2041,408911.142288
inv_investment_capacity_costs,p4,2044,445130893.820205
inv_investment_capacity_costs,p4,2047,62974934.756655
inv_investment_capacity_costs,p4,2050,19693018.522141
inv_investment_capacity_costs,p5,2010,687232622.158629
inv_investment_capacity_costs,p5,2015,1808457509.27598
inv_investment_capacity_costs,p5,2020,1273253426.640691
inv_investment_capacity_costs,p5,2023,1119048215.333354
inv_investment_capacity_costs,p5,2026,6008491.592401
inv_investment_capacity_costs,p5,2029,1756568670.82012
inv_investment_capacity_costs,p5,2032,1078908487.520308
inv_investment_capacity_costs,p5,2035,99884382.640886
inv_investment_capacity_costs,p5,2038,332538586.673081
inv_investment_capacity_costs,p5,2041,704307044.026478
inv_investment_capacity_costs,p5,2044,927565461.426587
inv_investment_capacity_costs,p5,2047,692116229.928764
inv_investment_capacity_costs,p5,2050,1189419130.780233
inv_investment_capacity_costs,p6,2015,18876889.427035
inv_investment_capacity_costs,p6,2020,83404552.671776
inv_investment_capacity_costs,p6,2023,5125610.50176
inv_investment_capacity_costs,p6,2026,3412569.2986
inv_investment_capacity_costs,p6,2029,711516571.114889
inv_investment_capacity_costs,p6,2032,862642408.99869
inv_investment_capacity_costs,p6,2035,530454970.121547
inv_investment_capacity_costs,p6,2038,324688499.224425
inv_investment_capacity_costs,p6,2041,37746276.162752
inv_investment_capacity_costs,p6,2044,33423705.650725
inv_investment_capacity_costs,p6,2047,421130869.513281
inv_investment_capacity_costs,p6,2050,355479436.712974
inv_investment_capacity_costs,p7,2015,123359040.2518
inv_investment_capacity_costs,p7,2020,289299197.402448
inv_investment_capacity_costs,p7,2023,404804320.6172
inv_investment_capacity_costs,p7,2026,291899.5464
inv_investment_capacity_costs,p7,2029,2152337528.33378
inv_investment_capacity_costs,p7,2032,1744969663.194305
inv_investment_capacity_costs,p7,2035,1969844888.565807
inv_investment_capacity_costs,p7,2038,1648191896.663134
inv_investment_capacity_costs,p7,2041,717546184.749863
inv_investment_capacity_costs,p7,2044,557611944.706991
inv_investment_capacity_costs,p7,2047,719304129.513254
inv_investment_capacity_costs,p7,2050,461328561.749608
inv_investment_capacity_costs,p8,2010,4551412.95
inv_investment_capacity_costs,p8,2020,10319800.7992
inv_investment_capacity_costs,p8,2026,350148846.06
inv_investment_capacity_costs,p8,2029,758946159.558676
inv_investment_capacity_costs,p8,2032,5368442.264641
inv_investment_capacity_costs,p8,2035,80988687.833563
inv_investment_capacity_costs,p8,2038,357688467.942642
inv_investment_capacity_costs,p8,2041,68568526.313066
inv_investment_capacity_costs,p8,2044,407436311.062337
inv_investment_capacity_costs,p8,2047,14733921.561968
inv_investment_capacity_costs,p8,2050,77783193.068319
inv_investment_capacity_costs,p9,2010,1293396715.401504
inv_investment_capacity_costs,p9,2015,7188425870.453658
inv_investment_capacity_costs,p9,2020,2101559512.194385
inv_investment_capacity_costs,p9,2023,6168816800.097364
inv_investment_capacity_costs,p9,2026,4738179434.270397
inv_investment_capacity_costs,p9,2029,14438815619.143332
inv_investment_capacity_costs,p9,2032,5911652088.587556
inv_investment_capacity_costs,p9,2035,19439873276.37762
