i,v,r,t,Value
battery_4,new1,p6,2026,973.320095
battery_4,new1,p6,2029,1091.130866
battery_4,new1,p6,2032,2034.574738
battery_4,new1,p6,2035,2547.603022
battery_4,new1,p6,2038,2698.352895
battery_4,new1,p6,2041,3084.699706
battery_4,new1,p6,2044,3310.419378
battery_4,new1,p6,2047,3320.566368
battery_4,new1,p6,2050,2979.602976
battery_4,new1,p7,2026,108.41387
battery_4,new1,p7,2029,105.729978
battery_4,new1,p7,2032,207.801566
battery_4,new1,p7,2035,255.480606
battery_4,new1,p7,2038,258.517354
battery_4,new1,p8,2029,267872.30608
battery_4,new1,p8,2032,176826.676413
battery_4,new1,p8,2035,201681.215999
battery_4,new1,p8,2038,177493.415148
battery_4,new1,p8,2041,263547.570367
battery_4,new1,p8,2044,30282.454806
battery_4,new1,p8,2047,93305.405377
battery_4,new1,p8,2050,236794.019452
battery_4,new1,p9,2020,909.693429
battery_4,new1,p9,2023,952597.589275
battery_4,new1,p9,2026,2148445.43191
battery_4,new1,p9,2029,2418359.970085
battery_4,new1,p9,2032,2369005.419759
battery_4,new1,p9,2035,2455340.991987
battery_4,new1,p9,2038,257083.783722
battery_4,new1,p9,2047,11133.875403
battery_4,new1,p9,2050,418403.916697
battery_4,new1,p10,2020,23527.010504
battery_4,new1,p10,2023,4194356.592759
battery_4,new1,p10,2026,7069524.670033
battery_4,new1,p10,2029,7229473.702934
battery_4,new1,p10,2032,7419259.139231
battery_4,new1,p10,2035,7967234.490058
battery_4,new1,p10,2038,2878314.700917
battery_4,new1,p10,2041,3201173.903112
battery_4,new1,p10,2044,4753939.826005
battery_4,new1,p10,2047,5296219.087246
battery_4,new1,p10,2050,4900551.976715
battery_4,new1,p11,2020,63397.353982
battery_4,new1,p11,2023,285001.792719
battery_4,new1,p11,2026,785012.468516
battery_4,new1,p11,2029,838738.656595
battery_4,new1,p11,2032,844415.660326
battery_4,new1,p11,2035,563595.929175
battery_4,new1,p11,2038,417395.682355
battery_4,new1,p11,2041,345004.973897
battery_4,new1,p11,2044,753986.518133
battery_4,new1,p11,2047,758831.944504
battery_4,new1,p11,2050,687893.744819
battery_4,new1,p12,2044,361770.081217
battery_4,new1,p12,2047,374678.246653
battery_4,new1,p12,2050,902929.524907
battery_4,new1,p13,2023,69391.202668
battery_4,new1,p13,2026,775284.725782
battery_4,new1,p13,2029,2565776.171874
battery_4,new1,p13,2032,2471332.893655
battery_4,new1,p13,2035,2569516.917728
battery_4,new1,p13,2038,2604407.393621
battery_4,new1,p13,2041,1901120.684083
battery_4,new1,p13,2044,1297127.539873
battery_4,new1,p13,2047,1346645.375807
battery_4,new1,p13,2050,1338277.530163
battery_4,new1,p15,2023,9486.206166
battery_4,new1,p15,2026,69822.056454
battery_4,new1,p15,2029,78854.130011
battery_4,new1,p15,2032,73167.862025
battery_4,new1,p15,2035,140979.203667
battery_4,new1,p16,2023,392.5674
battery_4,new1,p16,2026,1311.463403
battery_4,new1,p16,2029,1421.168651
battery_4,new1,p16,2032,1210.503744
battery_4,new1,p16,2035,2428.139484
battery_4,new1,p18,2026,7200.0
battery_4,new1,p18,2029,67461.376767
battery_4,new1,p18,2032,73944.948858
battery_4,new1,p18,2035,75258.92421
battery_4,new1,p18,2038,74633.302962
battery_4,new1,p23,2044,11107.627058
battery_4,new1,p23,2047,10749.599876
battery_4,new1,p23,2050,12879.172587
battery_4,new1,p24,2044,132031.424319
battery_4,new1,p24,2047,132368.753178
battery_4,new1,p24,2050,213389.581166
battery_4,new1,p27,2047,166451.933376
battery_4,new1,p27,2050,166033.312758
battery_4,new1,p28,2023,618612.827978
battery_4,new1,p28,2026,1045434.141259
battery_4,new1,p28,2029,1491402.716507
battery_4,new1,p28,2032,1262894.83726
battery_4,new1,p28,2035,1416500.00549
battery_4,new1,p28,2038,314456.081085
battery_4,new1,p30,2029,943841.807135
battery_4,new1,p30,2032,876850.947056
battery_4,new1,p30,2035,926208.180452
battery_4,new1,p30,2038,904469.873927
battery_4,new1,p30,2041,995993.292814
battery_4,new1,p30,2047,622272.297911
battery_4,new1,p30,2050,649100.442482
battery_4,new1,p31,2023,84571.603577
battery_4,new1,p31,2026,276827.642557
battery_4,new1,p31,2029,323038.017315
battery_4,new1,p31,2032,288182.782395
battery_4,new1,p31,2035,301213.115288
battery_4,new1,p31,2038,183142.868695
battery_4,new1,p31,2044,76050.727668
battery_4,new1,p31,2047,83816.602896
battery_4,new1,p31,2050,605080.028571
battery_4,new1,p32,2050,1302.13124
battery_4,new1,p33,2023,5027.86
battery_4,new1,p33,2026,4707.084486
battery_4,new1,p33,2029,7094.619905
battery_4,new1,p33,2032,7430.990733
battery_4,new1,p33,2035,7317.177436
battery_4,new1,p34,2023,242623.783846
battery_4,new1,p34,2026,220460.310455
battery_4,new1,p34,2029,315242.156137
battery_4,new1,p34,2032,332808.504719
battery_4,new1,p34,2035,321171.753025
battery_4,new1,p37,2029,126816.109533
battery_4,new1,p37,2032,110269.204761
battery_4,new1,p37,2035,88854.043437
battery_4,new1,p37,2038,83500.676648
battery_4,new1,p37,2041,81727.92
battery_4,new1,p39,2047,41092.14032
battery_4,new1,p39,2050,171316.239369
battery_4,new1,p40,2023,1475.876843
battery_4,new1,p40,2026,1511.854813
battery_4,new1,p40,2029,1710.931774
battery_4,new1,p40,2032,1544.405609
battery_4,new1,p40,2035,1426.2506
battery_4,new1,p43,2023,903.185882
battery_4,new1,p43,2026,1015.246981
battery_4,new1,p43,2029,729.075213
battery_4,new1,p43,2032,678.230513
battery_4,new1,p43,2035,600.60042
battery_4,new1,p47,2044,280503.879392
battery_4,new1,p47,2047,511730.292371
battery_4,new1,p47,2050,1287223.852104
battery_4,new1,p48,2026,368304.376657
battery_4,new1,p48,2029,349293.572308
battery_4,new1,p48,2032,309381.940307
battery_4,new1,p48,2035,313582.880862
battery_4,new1,p48,2038,291416.512968
battery_4,new1,p48,2044,708502.126629
battery_4,new1,p48,2047,989029.747393
battery_4,new1,p48,2050,1093057.0237
battery_4,new1,p50,2050,263612.681708
battery_4,new1,p58,2029,98189.486077
battery_4,new1,p58,2032,74748.069
battery_4,new1,p58,2035,78473.06325
battery_4,new1,p58,2038,49040.411417
battery_4,new1,p58,2041,74283.0345
battery_4,new1,p59,2047,212265.775836
battery_4,new1,p59,2050,200012.012244
battery_4,new1,p60,2023,52492.105202
battery_4,new1,p60,2026,303214.700563
battery_4,new1,p60,2029,352936.286605
battery_4,new1,p60,2032,288793.230083
battery_4,new1,p60,2035,244328.018991
battery_4,new1,p60,2038,248849.921219
battery_4,new1,p60,2044,1896994.955093
battery_4,new1,p60,2047,2069878.683947
battery_4,new1,p60,2050,2842802.233365
battery_4,new1,p61,2023,333243.55455
battery_4,new1,p61,2026,1021328.306661
battery_4,new1,p61,2029,1306023.781177
battery_4,new1,p61,2032,1159037.672617
battery_4,new1,p61,2035,1064215.507176
battery_4,new1,p61,2038,708554.598808
battery_4,new1,p61,2044,31482.679737
battery_4,new1,p61,2047,29341.709142
battery_4,new1,p61,2050,29938.807656
battery_4,new1,p62,2023,655315.072068
battery_4,new1,p62,2026,747124.77212
battery_4,new1,p62,2029,998297.157433
battery_4,new1,p62,2032,783583.261012
battery_4,new1,p62,2035,754678.433685
battery_4,new1,p62,2044,272416.644131
battery_4,new1,p62,2047,658037.687336
battery_4,new1,p62,2050,667798.160528
battery_4,new1,p63,2023,787055.9447
battery_4,new1,p63,2026,1174982.33657
battery_4,new1,p63,2029,1367560.857774
battery_4,new1,p63,2032,1225162.682707
battery_4,new1,p63,2035,1064286.410864
battery_4,new1,p63,2038,209249.274805
battery_4,new1,p64,2023,398041.590826
battery_4,new1,p64,2026,597431.176046
battery_4,new1,p64,2029,743399.187028
battery_4,new1,p64,2032,628956.737672
battery_4,new1,p64,2035,566817.255566
battery_4,new1,p64,2038,167948.580692
battery_4,new1,p65,2023,394026.072906
battery_4,new1,p65,2026,648242.895694
