,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528602617.5049996,1320298040.5702965,1203879490.57,2421687876.42,4497136771.44,6.0,364.7332666666666,190.44378632189253,173.6512,349.3115,648.6806
AL,2015,6.0,521428702.18,279522952.3422057,242826034.82,498328884.53999996,957798194.15,6.0,75.21246666666667,40.319245700417895,35.0259,71.88050000000001,138.1557
AL,2020,6.0,401851775.97333336,217078984.49749643,185884844.57,383676203.135,744519846.3,6.0,57.9643,31.31212461651237,26.8126,55.3426,107.3918
AL,2023,6.0,1018907600.96,541135180.2830572,477289383.4200001,973315828.04,1850851588.94,6.0,146.97029999999998,78.0549426238467,68.84559999999999,140.394,266.9724
AL,2026,6.0,911283507.83,485488571.69288254,426042151.27,870661380.445,1661639364.47,6.0,131.44628333333333,70.0283216774875,61.4536,125.58680000000001,239.6799
AL,2029,6.0,931488928.6233333,496494864.1037199,435521110.25000006,890216194.0550001,1699551570.27,6.0,134.36075000000002,71.61589065805858,62.8209,128.40745,245.1484
AL,2032,6.0,1052618352.8516668,561164376.5071536,492291299.81999993,1006254406.4300001,1921079545.9299998,6.0,151.83288333333334,80.94406326552716,71.00970000000001,145.1452,277.1024
AL,2035,6.0,1003681252.2633333,535735905.2846411,468793951.47999996,959193699.2850001,1834362823.98,6.0,144.77401666666665,77.27615751504254,67.62020000000001,138.35705000000002,264.594
AL,2038,6.0,989530543.5166665,528188126.8854232,462168030.5,945652221.7449999,1808516867.96,6.0,142.73286666666667,76.18746031177747,66.66460000000001,136.40365,260.866
AL,2041,6.0,976313979.7449999,521241979.82010376,455894242.38,932974744.59,1784786378.06,6.0,140.82648333333333,75.18555159498177,65.7595,134.5751,257.443
AL,2044,6.0,964354643.9833332,514835222.64154196,450298419.02000004,921512383.215,1762824567.3899999,6.0,139.10136666666668,74.26135057553604,64.95240000000001,132.9217,254.27500000000003
AL,2047,6.0,823906490.1016666,444263723.35470724,382756764.31,788232728.7850001,1523800735.0,6.0,118.84278333333334,64.08194500573205,55.21,113.69704999999999,219.79760000000002
