eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,225591.467982,2.5,1457.0,1.025,245981824.3856923
CH4,p1,2023,225591.467982,2.0,1874.0,1.02,314839605.3881267
CH4,p1,2023,225591.467982,1.5,2564.0,1.015,428650825.2445143
CH4,p1,2024,225591.467982,2.5,1524.0,1.0,251017828.39030758
CH4,p1,2024,225591.467982,2.0,1950.0,1.0,321184229.23956674
CH4,p1,2024,225591.467982,1.5,2650.0,1.0,436481132.0435138
CH4,p1,2025,444158.020283,2.5,1590.0,0.9756097560975612,503045998.0844411
CH4,p1,2025,444158.020283,2.0,2025.0,0.9803921568627452,643812338.003464
CH4,p1,2025,444158.020283,1.5,2737.0,0.9852216748768474,874466536.0324955
CH4,p1,2026,444158.020283,2.5,1657.0,0.9518143961927424,511457106.19783324
CH4,p1,2026,444158.020283,2.0,2101.0,0.9611687812379854,654877619.0487909
CH4,p1,2026,444158.020283,1.5,2823.0,0.9706617486471404,888614167.5451837
CH4,p1,2027,444158.020283,2.5,1724.0,0.928599410919749,519158662.3401474
CH4,p1,2027,444158.020283,2.0,2176.0,0.9423223345470444,664955856.2450042
CH4,p1,2027,444158.020283,1.5,2910.0,0.9563169937410252,902462784.6058624
CH4,p1,2028,361928.786447,2.5,1791.0,0.9059506447997552,428765844.0186154
CH4,p1,2028,361928.786447,2.0,2252.0,0.9238454260265142,549778505.6709104
CH4,p1,2028,361928.786447,1.5,2996.0,0.9421842302867244,745929353.0690602
CH4,p1,2029,361928.786447,2.5,1857.0,0.8838542876095173,433723180.85962003
CH4,p1,2029,361928.786447,2.0,2327.0,0.905730809829916,556949196.6601403
CH4,p1,2029,361928.786447,1.5,3083.0,0.9282603254056396,756246488.096415
CH4,p1,2030,361928.786447,2.5,1924.0,0.8622968659605048,438411495.05439353
CH4,p1,2030,361928.786447,2.0,2403.0,0.887971382186192,563861961.279067
CH4,p1,2030,361928.786447,1.5,3169.0,0.914542192517872,765854102.4360638
CH4,p1,2031,735553.912287,2.5,2002.0,0.8412652350834192,904499759.9229479
CH4,p1,2031,735553.912287,2.0,2490.0,0.8705601786139138,1164151723.0420327
CH4,p1,2031,735553.912287,1.5,3270.0,0.9010267906580018,1582329400.0047688
CH4,p1,2032,735553.912287,2.5,2080.0,0.8207465708130922,916819522.253226
CH4,p1,2032,735553.912287,2.0,2578.0,0.8534903711901114,1181661210.3324513
CH4,p1,2032,735553.912287,1.5,3371.0,0.887711123800987,1607096129.1381798
CH4,p1,2033,735553.912287,2.5,2157.0,0.8007283617688704,927570220.2158576
CH4,p1,2033,735553.912287,2.0,2666.0,0.8367552658726582,1198036472.5453365
CH4,p1,2033,735553.912287,1.5,3471.0,0.874592240198017,1630315561.516038
CH4,p1,2034,1231021.35406,2.5,2235.0,0.7811984017257273,1569283436.4093938
CH4,p1,2034,1231021.35406,2.0,2754.0,0.8203482998751551,2030601654.0077138
CH4,p1,2034,1231021.35406,1.5,3572.0,0.8616672317221843,2766390885.311333
CH4,p1,2035,1231021.35406,2.5,2313.0,0.7621447821714413,1584439390.3704605
CH4,p1,2035,1231021.35406,2.0,2842.0,0.8042630390932893,2054398557.7804558
CH4,p1,2035,1231021.35406,1.5,3673.0,0.848933233223827,2802573304.615683
CH4,p1,2036,1231021.35406,2.5,2391.0,0.7435558850453087,1597922487.9001071
CH4,p1,2036,1231021.35406,2.0,2929.0,0.7884931755816562,2075772852.4992597
CH4,p1,2036,1231021.35406,1.5,3774.0,0.836387421895396,2837082116.0993986
CH4,p1,2037,2375114.173139,2.5,2468.0,0.7254203756539598,3104676306.1013265
CH4,p1,2037,2375114.173139,2.0,3017.0,0.773032525080055,4044403702.3730583
CH4,p1,2037,2375114.173139,1.5,3875.0,0.8240270166457105,5537255709.469035
CH4,p1,2038,2375114.173139,2.5,2546.0,0.7077271957599608,3124681138.2116365
CH4,p1,2038,2375114.173139,2.0,3105.0,0.7578750245882894,4080755943.726838
CH4,p1,2038,2375114.173139,1.5,3975.0,0.8118492774834588,5596209488.673617
CH4,p1,2039,2375114.173139,2.5,2624.0,0.6904655568389862,3141863202.6008606
CH4,p1,2039,2375114.173139,2.0,3193.0,0.7430147299885189,4114127665.157334
CH4,p1,2039,2375114.173139,1.5,4076.0,0.7998515049098116,5653598506.883207
CH4,p1,2040,2668111.5968420003,2.5,2702.0,0.67362493350145,3545719858.0200944
CH4,p1,2040,2668111.5968420003,2.0,3280.0,0.7284458137142342,4654489091.128399
CH4,p1,2040,2668111.5968420003,1.5,4177.0,0.7880310393200115,6412224520.472642
CH4,p1,2041,2668111.5968420003,2.5,2786.0,0.6571950570745855,3566779991.133572
CH4,p1,2041,2668111.5968420003,2.0,3375.0,0.7141625624649355,4695391165.279275
CH4,p1,2041,2668111.5968420003,1.5,4285.0,0.7763852604138046,6480806119.8907175
CH4,p1,2042,2668111.5968420003,2.5,2871.0,0.641165909341059,3585952534.289736
CH4,p1,2042,2668111.5968420003,2.0,3471.0,0.700159374965623,4734263684.730388
CH4,p1,2042,2668111.5968420003,1.5,4394.0,0.7649115866145859,6547450343.057134
CH4,p1,2043,2702030.992784,2.5,2955.0,0.6255277164303016,3646626634.5388336
CH4,p1,2043,2702030.992784,2.0,3566.0,0.6864307597702186,4829090365.029185
CH4,p1,2043,2702030.992784,1.5,4502.0,0.7536074744971291,6693263842.441453
CH4,p1,2044,2702030.992784,2.5,3040.0,0.6102709428588309,3660020624.4886484
CH4,p1,2044,2702030.992784,2.0,3661.0,0.6729713331080575,4860529133.090255
CH4,p1,2044,2702030.992784,1.5,4610.0,0.7424704182237725,6752542671.490306
CH4,p1,2045,2702030.992784,2.5,3124.0,0.5953862857159326,3669417339.8275156
CH4,p1,2045,2702030.992784,2.0,3756.0,0.6597758167726053,4888878379.925928
CH4,p1,2045,2702030.992784,1.5,4718.0,0.7314979489889384,6808607615.505222
CH4,p1,2046,2899578.4187069996,2.5,3209.0,0.5808646689911537,3946176154.2104287
CH4,p1,2046,2899578.4187069996,2.0,3851.0,0.6468390360515739,5273531315.48441
CH4,p1,2046,2899578.4187069996,1.5,4827.0,0.7206876344718607,7364718622.417507
CH4,p1,2047,2899578.4187069996,2.5,3293.0,0.56669723804015,3950705128.3554463
CH4,p1,2047,2899578.4187069996,2.0,3946.0,0.6341559176976214,5297670218.303747
CH4,p1,2047,2899578.4187069996,1.5,4935.0,0.7100370782973997,7418224539.843184
CH4,p1,2048,2899578.4187069996,2.5,3378.0,0.5528753541855124,3953836126.472177
CH4,p1,2048,2899578.4187069996,2.0,4041.0,0.6217214879388445,5318834996.01618
CH4,p1,2048,2899578.4187069996,1.5,5043.0,0.6995439195048273,7468540555.183729
CH4,p1,2049,3440538.718811,2.5,3462.0,0.5393905894492803,4690874447.939441
CH4,p1,2049,3440538.718811,2.0,4136.0,0.6095308705282789,6332856051.31294
CH4,p1,2049,3440538.718811,1.5,5151.0,0.6892058320244606,8917926200.04162
CH4,p1,2050,3440538.718811,2.5,3547.0,0.5262347214139321,4688825482.758083
CH4,p1,2050,3440538.718811,2.0,4231.0,0.597579284831646,6351289953.61272
CH4,p1,2050,3440538.718811,1.5,5260.0,0.6790205241620302,8972057042.292028
CH4,p10,2023,3809922.025227,2.5,1457.0,1.025,4154286413.914139
CH4,p10,2023,3809922.025227,2.0,1874.0,1.02,5317197311.19313
CH4,p10,2023,3809922.025227,1.5,2564.0,1.015,7239308449.205677
CH4,p10,2024,3809922.025227,2.5,1524.0,1.0,4239337425.585582
CH4,p10,2024,3809922.025227,2.0,1950.0,1.0,5424349068.170527
CH4,p10,2024,3809922.025227,1.5,2650.0,1.0,7371551297.770205
CH4,p10,2025,2962366.1812650003,2.5,1590.0,0.9756097560975612,3355126743.847934
CH4,p10,2025,2962366.1812650003,2.0,2025.0,0.9803921568627452,4293985046.0595427
CH4,p10,2025,2962366.1812650003,1.5,2737.0,0.9852216748768474,5832361399.981156
CH4,p10,2026,2962366.1812650003,2.5,1657.0,0.9518143961927424,3411225657.036985
CH4,p10,2026,2962366.1812650003,2.0,2101.0,0.9611687812379854,4367786289.8916
CH4,p10,2026,2962366.1812650003,1.5,2823.0,0.9706617486471404,5926720756.841317
CH4,p10,2027,2962366.1812650003,2.5,1724.0,0.928599410919749,3462592126.6654477
CH4,p10,2027,2962366.1812650003,2.0,2176.0,0.9423223345470444,4435004324.179951
CH4,p10,2027,2962366.1812650003,1.5,2910.0,0.9563169937410252,6019085800.281724
CH4,p10,2028,3331709.571716,2.5,1791.0,0.9059506447997552,3946973327.447387
CH4,p10,2028,3331709.571716,2.0,2252.0,0.9238454260265142,5060946733.883853
CH4,p10,2028,3331709.571716,1.5,2996.0,0.9421842302867244,6866599338.066305
CH4,p10,2029,3331709.571716,2.5,1857.0,0.8838542876095173,3992607737.3696666
CH4,p10,2029,3331709.571716,2.0,2327.0,0.905730809829916,5126956017.199409
CH4,p10,2029,3331709.571716,1.5,3083.0,0.9282603254056396,6961572987.056114
CH4,p10,2030,3331709.571716,2.5,1924.0,0.8622968659605048,4035765678.5527344
CH4,p10,2030,3331709.571716,2.0,2403.0,0.887971382186192,5190590977.750607
CH4,p10,2030,3331709.571716,1.5,3169.0,0.914542192517872,7050015194.074237
CH4,p10,2031,5710831.0954559995,2.5,2002.0,0.8412652350834192,7022524479.191396
CH4,p10,2031,5710831.0954559995,2.0,2490.0,0.8705601786139138,9038458974.551796
CH4,p10,2031,5710831.0954559995,1.5,3270.0,0.9010267906580018,12285185069.174942
CH4,p10,2032,5710831.0954559995,2.5,2080.0,0.8207465708130922,7118174955.151243
CH4,p10,2032,5710831.0954559995,2.0,2578.0,0.8534903711901114,9174402408.218966
CH4,p10,2032,5710831.0954559995,1.5,3371.0,0.887711123800987,12477473634.98252
CH4,p10,2033,5710831.0954559995,2.5,2157.0,0.8007283617688704,7201643235.58219
CH4,p10,2033,5710831.0954559995,2.0,2666.0,0.8367552658726582,9301539733.001629
CH4,p10,2033,5710831.0954559995,1.5,3471.0,0.874592240198017,12657749008.72096
CH4,p10,2034,5201269.343404,2.5,2235.0,0.7811984017257273,6630482730.4482565
CH4,p10,2034,5201269.343404,2.0,2754.0,0.8203482998751551,8579628693.541737
CH4,p10,2034,5201269.343404,1.5,3572.0,0.8616672317221843,11688460201.10613
CH4,p10,2035,5201269.343404,2.5,2313.0,0.7621447821714413,6694519149.026822
CH4,p10,2035,5201269.343404,2.0,2842.0,0.8042630390932893,8680174557.8786
CH4,p10,2035,5201269.343404,1.5,3673.0,0.848933233223827,11841336922.275282
CH4,p10,2036,5201269.343404,2.5,2391.0,0.7435558850453087,6751487471.797005
CH4,p10,2036,5201269.343404,2.0,2929.0,0.7884931755816562,8770484497.256287
CH4,p10,2036,5201269.343404,1.5,3774.0,0.836387421895396,11987142372.892033
CH4,p10,2037,7473191.263035,2.5,2468.0,0.7254203756539598,9768726113.340555
CH4,p10,2037,7473191.263035,2.0,3017.0,0.773032525080055,12725536630.862375
CH4,p10,2037,7473191.263035,1.5,3875.0,0.8240270166457105,17422729171.164318
CH4,p10,2038,7473191.263035,2.5,2546.0,0.7077271957599608,9831670429.127983
CH4,p10,2038,7473191.263035,2.0,3105.0,0.7578750245882894,12839917343.81891
CH4,p10,2038,7473191.263035,1.5,3975.0,0.8118492774834588,17608224619.196735
CH4,p10,2039,7473191.263035,2.5,2624.0,0.6904655568389862,9885733031.644793
CH4,p10,2039,7473191.263035,2.0,3193.0,0.7430147299885189,12944919983.206648
CH4,p10,2039,7473191.263035,1.5,4076.0,0.7998515049098116,17788796616.252045
CH4,p10,2040,6991149.493041,2.5,2702.0,0.67362493350145,9290712433.918676
CH4,p10,2040,6991149.493041,2.0,3280.0,0.7284458137142342,12195977517.702805
CH4,p10,2040,6991149.493041,1.5,4177.0,0.7880310393200115,16801703593.892836
CH4,p10,2041,6991149.493041,2.5,2786.0,0.6571950570745855,9345895485.150095
CH4,p10,2041,6991149.493041,2.0,3375.0,0.7141625624649355,12303151638.64388
CH4,p10,2041,6991149.493041,1.5,4285.0,0.7763852604138046,16981405302.985931
CH4,p10,2042,6991149.493041,2.5,2871.0,0.641165909341059,9396132557.514374
CH4,p10,2042,6991149.493041,2.0,3471.0,0.700159374965623,12405007796.000845
CH4,p10,2042,6991149.493041,1.5,4394.0,0.7649115866145859,17156030580.11282
CH4,p10,2043,6639066.282772,2.5,2955.0,0.6255277164303016,8959999348.593876
CH4,p10,2043,6639066.282772,2.0,3566.0,0.6864307597702186,11865389814.012144
CH4,p10,2043,6639066.282772,1.5,4502.0,0.7536074744971291,16445785565.273973
CH4,p10,2044,6639066.282772,2.5,3040.0,0.6102709428588309,8992909254.995794
CH4,p10,2044,6639066.282772,2.0,3661.0,0.6729713331080575,11942636916.493038
CH4,p10,2044,6639066.282772,1.5,4610.0,0.7424704182237725,16591437512.372828
CH4,p10,2045,6639066.282772,2.5,3124.0,0.5953862857159326,9015997597.113882
CH4,p10,2045,6639066.282772,2.0,3756.0,0.6597758167726053,12012292863.93085
CH4,p10,2045,6639066.282772,1.5,4718.0,0.7314979489889384,16729192734.444292
CH4,p10,2046,6356760.575982,2.5,3209.0,0.5808646689911537,8651222136.682598
CH4,p10,2046,6356760.575982,2.0,3851.0,0.6468390360515739,11561189635.776922
CH4,p10,2046,6356760.575982,1.5,4827.0,0.7206876344718607,16145710248.823168
CH4,p10,2047,6356760.575982,2.5,3293.0,0.56669723804015,8661151029.830978
CH4,p10,2047,6356760.575982,2.0,3946.0,0.6341559176976214,11614109475.70932
CH4,p10,2047,6356760.575982,1.5,4935.0,0.7100370782973997,16263011544.859491
CH4,p10,2048,6356760.575982,2.5,3378.0,0.5528753541855124,8668015132.992838
CH4,p10,2048,6356760.575982,2.0,4041.0,0.6217214879388445,11660509125.980484
CH4,p10,2048,6356760.575982,1.5,5043.0,0.6995439195048273,16373319602.263199
CH4,p10,2049,5885021.078734,2.5,3462.0,0.5393905894492803,8023712929.863064
CH4,p10,2049,5885021.078734,2.0,4136.0,0.6095308705282789,10832312726.724504
CH4,p10,2049,5885021.078734,1.5,5151.0,0.6892058320244606,15254059888.614252
CH4,p10,2050,5885021.078734,2.5,3547.0,0.5262347214139321,8020208187.069166
CH4,p10,2050,5885021.078734,2.0,4231.0,0.597579284831646,10863843807.30918
CH4,p10,2050,5885021.078734,1.5,5260.0,0.6790205241620302,15346650373.32862
CH4,p100,2023,680475.835707,2.5,1457.0,1.025,741981463.2836297
CH4,p100,2023,680475.835707,2.0,1874.0,1.02,949684602.4657365
CH4,p100,2023,680475.835707,1.5,2564.0,1.015,1292985639.6786683
CH4,p100,2024,680475.835707,2.5,1524.0,1.0,757172104.4205446
CH4,p100,2024,680475.835707,2.0,1950.0,1.0,968822574.5538464
CH4,p100,2024,680475.835707,1.5,2650.0,1.0,1316605037.2142015
CH4,p100,2025,712482.4775,2.5,1590.0,0.9756097560975612,806945822.5324788
CH4,p100,2025,712482.4775,2.0,2025.0,0.9803921568627452,1032751833.0829794
CH4,p100,2025,712482.4775,1.5,2737.0,0.9852216748768474,1402748696.705505
CH4,p100,2026,712482.4775,2.5,1657.0,0.9518143961927424,820438243.8633637
CH4,p100,2026,712482.4775,2.0,2101.0,0.9611687812379854,1050501864.5883996
CH4,p100,2026,712482.4775,1.5,2823.0,0.9706617486471404,1425443186.257882
CH4,p100,2027,712482.4775,2.5,1724.0,0.928599410919749,832792459.1432884
CH4,p100,2027,712482.4775,2.0,2176.0,0.9423223345470444,1066668559.9501439
