i,v,r,t,Value
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,2.5
battery_4,new1,p7,2026,0.2
battery_4,new1,p7,2044,461.204937
battery_4,new1,p7,2047,545.480013
battery_4,new1,p8,2029,150.0
battery_4,new1,p8,2038,38.62254
battery_4,new1,p8,2044,4.80264
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2038,1251.95
battery_4,new1,p9,2041,1023.860165
battery_4,new1,p9,2044,821.379295
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2041,1340.436702
battery_4,new1,p12,2029,27.92244
battery_4,new1,p12,2038,27.89
battery_4,new1,p12,2044,89.878225
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,551.2
battery_4,new1,p13,2029,392.98756
battery_4,new1,p13,2041,551.2
battery_4,new1,p13,2044,311.03467
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p18,2026,100.0
battery_4,new1,p21,2038,193.662065
battery_4,new1,p21,2047,455.799513
battery_4,new1,p22,2047,64.489882
battery_4,new1,p25,2044,423.373707
battery_4,new1,p25,2047,601.913434
battery_4,new1,p26,2038,10.489204
battery_4,new1,p26,2044,188.905849
battery_4,new1,p26,2047,65.411396
battery_4,new1,p27,2050,28.553286
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2038,38.875074
battery_4,new1,p28,2044,29.323112
battery_4,new1,p29,2035,21.417439
battery_4,new1,p30,2029,484.54017
battery_4,new1,p30,2035,72.864258
battery_4,new1,p30,2038,1583.558607
battery_4,new1,p30,2044,588.586373
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p31,2038,244.548264
battery_4,new1,p32,2038,67.288288
battery_4,new1,p33,2023,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p34,2038,497.939762
battery_4,new1,p34,2041,550.303688
