,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2486464890.375,1298236409.9228814,1183778162.26,2381220178.05,4421880965.21,6.0,358.65523333333334,187.261554323739,170.7517,343.4744,637.8254999999999
AL,2015,6.0,510212624.1483334,273555297.61828643,237557478.71,487584757.08,937366698.4100001,6.0,73.59463333333333,39.458428222404734,34.2661,70.33065,135.2086
AL,2020,6.0,388056917.32333326,209754776.18679792,179384523.31,370444110.65,719434827.04,6.0,55.97448333333333,30.25565580888418,25.875,53.434,103.77340000000001
AL,2023,6.0,1015253877.5783333,539244357.5557463,475526465.32,969797853.755,1844411463.88,6.0,146.4433,77.78223765230723,68.5914,139.88660000000002,266.0435
AL,2026,6.0,873968916.69,465410381.041538,408677521.22,834951507.99,1592766173.35,6.0,126.06389999999999,67.13217015139611,58.948899999999995,120.43594999999999,229.7453
AL,2029,6.0,867126355.4833335,461543869.09042275,405820106.96000004,828694319.5550001,1579474000.14,6.0,125.07695,66.57448508123063,58.536699999999996,119.5334,227.8282
AL,2032,6.0,792166097.8383335,421268511.1333015,370898668.67,756954157.505,1441349700.81,6.0,114.26441666666669,60.76503101012676,53.4995,109.18535,207.90460000000002
AL,2035,6.0,630871485.235,335084545.75625676,295602125.5,602783241.6949999,1146166030.3300002,6.0,90.99876666666667,48.3336123605785,42.6385,86.9472,165.3264
AL,2038,6.0,647852222.2466668,344584781.06978005,303284133.73,619045156.115,1179019948.42,6.0,93.44813333333333,49.703966465531366,43.7466,89.2929,170.0654
AL,2041,6.0,642439425.0799999,341796812.1111927,300606249.57,613753287.04,1169504637.18,6.0,92.6674,49.30182400573026,43.360299999999995,88.52959999999999,168.6929
AL,2044,6.0,567675392.9916667,302051738.1564395,265567640.12,542278418.885,1033517051.3399999,6.0,81.88321666666667,43.568883547248106,38.3062,78.21990000000001,149.0777
AL,2047,6.0,441002910.0133333,237693763.69703418,204945943.65999997,421924883.635,815236478.34,6.0,63.61156666666667,34.28564176874434,29.562,60.859700000000004,117.59209999999999
