eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,128528.129814,2.5,1457.0,1.025,140145299.55118436
CH4,p1,2023,128528.129814,2.0,1874.0,1.02,179376223.90551782
CH4,p1,2023,128528.129814,1.5,2564.0,1.015,244218850.13976282
CH4,p1,2024,128528.129814,2.5,1524.0,1.0,143014504.58911896
CH4,p1,2024,128528.129814,2.0,1950.0,1.0,182990999.9663924
CH4,p1,2024,128528.129814,1.5,2650.0,1.0,248680076.87740502
CH4,p1,2025,386048.627231,2.5,1590.0,0.9756097560975612,437232264.47832686
CH4,p1,2025,386048.627231,2.0,2025.0,0.9803921568627452,559582080.9950839
CH4,p1,2025,386048.627231,1.5,2737.0,0.9852216748768474,760059686.819785
CH4,p1,2026,386048.627231,2.5,1657.0,0.9518143961927424,444542943.54384875
CH4,p1,2026,386048.627231,2.0,2101.0,0.9611687812379854,569199686.3571393
CH4,p1,2026,386048.627231,1.5,2823.0,0.9706617486471404,772356377.3547511
CH4,p1,2027,386048.627231,2.5,1724.0,0.928599410919749,451236901.64098823
CH4,p1,2027,386048.627231,2.0,2176.0,0.9423223345470444,577959383.2596686
CH4,p1,2027,386048.627231,1.5,2910.0,0.9563169937410252,784393173.6326083
CH4,p1,2028,301214.255673,2.5,1791.0,0.9059506447997552,356839216.4434408
CH4,p1,2028,301214.255673,2.0,2252.0,0.9238454260265142,457551677.489814
CH4,p1,2028,301214.255673,1.5,2996.0,0.9421842302867244,620797690.8248543
CH4,p1,2029,301214.255673,2.5,1857.0,0.8838542876095173,360964946.64949113
CH4,p1,2029,301214.255673,2.0,2327.0,0.905730809829916,463519465.7118715
CH4,p1,2029,301214.255673,1.5,3083.0,0.9282603254056396,629384098.6053739
CH4,p1,2030,301214.255673,2.5,1924.0,0.8622968659605048,364866783.4843091
CH4,p1,2030,301214.255673,2.0,2403.0,0.887971382186192,469272595.4083887
CH4,p1,2030,301214.255673,1.5,3169.0,0.914542192517872,637380009.7085497
CH4,p1,2031,238246.950986,2.5,2002.0,0.8412652350834192,292968749.6314061
CH4,p1,2031,238246.950986,2.0,2490.0,0.8705601786139138,377070387.1827731
CH4,p1,2031,238246.950986,1.5,3270.0,0.9010267906580018,512518727.32824254
CH4,p1,2032,238246.950986,2.5,2080.0,0.8207465708130922,296959138.0489389
CH4,p1,2032,238246.950986,2.0,2578.0,0.8534903711901114,382741734.84415656
CH4,p1,2032,238246.950986,1.5,3371.0,0.887711123800987,520540705.87171197
CH4,p1,2033,238246.950986,2.5,2157.0,0.8007283617688704,300441304.3018579
CH4,p1,2033,238246.950986,2.0,2666.0,0.8367552658726582,388045705.4011019
CH4,p1,2033,238246.950986,1.5,3471.0,0.874592240198017,528061512.8108665
CH4,p1,2034,546191.7481740001,2.5,2235.0,0.7811984017257273,696275219.5045778
CH4,p1,2034,546191.7481740001,2.0,2754.0,0.8203482998751551,900957455.8472131
CH4,p1,2034,546191.7481740001,1.5,3572.0,0.8616672317221843,1227419710.3059933
CH4,p1,2035,546191.7481740001,2.5,2313.0,0.7621447821714413,702999763.2843732
CH4,p1,2035,546191.7481740001,2.0,2842.0,0.8042630390932893,911515901.8318384
CH4,p1,2035,546191.7481740001,1.5,3673.0,0.848933233223827,1243473484.5056279
CH4,p1,2036,546191.7481740001,2.5,2391.0,0.7435558850453087,708982077.5523021
CH4,p1,2036,546191.7481740001,2.0,2929.0,0.7884931755816562,920999460.6344104
CH4,p1,2036,546191.7481740001,1.5,3774.0,0.836387421895396,1258784695.809586
CH4,p1,2037,1264069.9622840001,2.5,2468.0,0.7254203756539598,1652353434.4333415
CH4,p1,2037,1264069.9622840001,2.0,3017.0,0.773032525080055,2152489885.891808
CH4,p1,2037,1264069.9622840001,1.5,3875.0,0.8240270166457105,2947007219.688615
CH4,p1,2038,1264069.9622840001,2.5,2546.0,0.7077271957599608,1663000294.1326196
CH4,p1,2038,1264069.9622840001,2.0,3105.0,0.7578750245882894,2171837072.177291
CH4,p1,2038,1264069.9622840001,1.5,3975.0,0.8118492774834588,2978383269.8585086
CH4,p1,2039,1264069.9622840001,2.5,2624.0,0.6904655568389862,1672144836.2056196
