i,r,t,Value
battery_4,p6,2026,2.3
battery_4,p6,2029,2.3
battery_4,p6,2032,2.3
battery_4,p6,2035,2.3
battery_4,p6,2038,2.3
battery_4,p6,2041,2.5
battery_4,p6,2044,2.5
battery_4,p6,2047,2.5
battery_4,p6,2050,2.5
battery_4,p7,2026,0.2
battery_4,p7,2029,0.2
battery_4,p7,2032,0.2
battery_4,p7,2035,0.2
battery_4,p7,2038,0.2
battery_4,p8,2029,150.0
battery_4,p8,2032,150.0
battery_4,p8,2035,150.0
battery_4,p8,2038,150.0
battery_4,p8,2041,150.0
battery_4,p8,2044,67.238391
battery_4,p8,2047,67.238391
battery_4,p8,2050,180.106082
battery_4,p9,2015,6.0
battery_4,p9,2020,7.0
battery_4,p9,2023,2121.187467
battery_4,p9,2026,2323.187467
battery_4,p9,2029,2323.187467
battery_4,p9,2032,2317.187467
battery_4,p9,2035,2316.187467
battery_4,p9,2038,202.0
battery_4,p9,2041,915.897211
battery_4,p9,2044,2411.945345
battery_4,p9,2047,2411.945345
battery_4,p9,2050,2411.945345
battery_4,p10,2015,3.0
battery_4,p10,2020,145.2
battery_4,p10,2023,4998.554083
battery_4,p10,2026,7076.054083
battery_4,p10,2029,7076.054083
battery_4,p10,2032,7073.054083
battery_4,p10,2035,6930.854083
battery_4,p10,2038,2077.5
battery_4,p10,2041,1915.474262
battery_4,p10,2044,1934.837342
battery_4,p10,2047,1934.837342
battery_4,p10,2050,2120.985168
battery_4,p11,2015,4.0
battery_4,p11,2020,335.5
battery_4,p11,2023,542.5
battery_4,p11,2026,849.6
battery_4,p11,2029,849.6
battery_4,p11,2032,845.6
battery_4,p11,2035,514.1
battery_4,p11,2038,307.1
battery_4,p11,2041,147.851639
battery_4,p11,2044,360.179727
battery_4,p11,2047,360.179727
battery_4,p11,2050,360.179727
battery_4,p12,2029,27.92244
battery_4,p12,2032,27.92244
battery_4,p12,2035,27.92244
battery_4,p12,2038,55.81244
battery_4,p12,2041,95.046334
battery_4,p12,2044,488.033893
battery_4,p12,2047,488.033893
battery_4,p12,2050,488.033893
battery_4,p13,2023,48.8
battery_4,p13,2026,600.0
battery_4,p13,2029,992.98756
battery_4,p13,2032,992.98756
battery_4,p13,2035,992.98756
battery_4,p13,2038,944.18756
battery_4,p13,2041,904.953666
battery_4,p13,2044,511.966107
battery_4,p13,2047,511.966107
battery_4,p13,2050,511.966107
battery_4,p15,2023,129.0
battery_4,p15,2026,129.0
battery_4,p15,2029,129.0
battery_4,p15,2032,129.0
battery_4,p15,2035,129.0
battery_4,p16,2023,2.0
battery_4,p16,2026,2.0
battery_4,p16,2029,2.0
battery_4,p16,2032,2.0
battery_4,p16,2035,2.0
battery_4,p18,2026,100.0
battery_4,p18,2029,100.0
battery_4,p18,2032,100.0
battery_4,p18,2035,100.0
battery_4,p18,2038,100.0
battery_4,p23,2044,198.751999
battery_4,p23,2047,200.534544
battery_4,p23,2050,200.534544
battery_4,p24,2038,34.555377
battery_4,p24,2041,252.910777
battery_4,p24,2044,262.704328
battery_4,p24,2047,280.279788
battery_4,p24,2050,280.279788
battery_4,p28,2023,936.855138
battery_4,p28,2026,1186.855138
battery_4,p28,2029,1186.855138
battery_4,p28,2032,1186.855138
battery_4,p28,2035,1186.855138
battery_4,p28,2038,250.0
battery_4,p28,2047,392.815484
battery_4,p28,2050,392.815484
battery_4,p29,2044,42.044741
battery_4,p29,2047,81.949527
battery_4,p29,2050,81.949527
battery_4,p30,2029,484.54017
battery_4,p30,2032,484.54017
battery_4,p30,2035,484.54017
battery_4,p30,2038,484.54017
battery_4,p30,2041,484.54017
battery_4,p31,2023,74.0
battery_4,p31,2026,224.0
battery_4,p31,2029,224.0
battery_4,p31,2032,224.0
battery_4,p31,2035,224.0
battery_4,p31,2038,150.0
battery_4,p31,2044,295.552479
battery_4,p31,2047,647.875626
battery_4,p31,2050,647.875626
battery_4,p33,2023,5.0
battery_4,p33,2026,5.0
battery_4,p33,2029,5.0
battery_4,p33,2032,5.0
battery_4,p33,2035,5.0
battery_4,p33,2047,51.625207
battery_4,p33,2050,51.625207
battery_4,p34,2023,225.0
battery_4,p34,2026,225.0
battery_4,p34,2029,225.0
battery_4,p34,2032,225.0
battery_4,p34,2035,225.0
battery_4,p34,2047,55.141526
battery_4,p34,2050,55.141526
battery_4,p39,2050,90.692856
battery_4,p40,2023,1.0
battery_4,p40,2026,1.0
battery_4,p40,2029,1.0
battery_4,p40,2032,1.0
battery_4,p40,2035,1.0
battery_4,p43,2023,0.768718
battery_4,p43,2026,0.768718
battery_4,p43,2029,191.62846
battery_4,p43,2032,191.62846
battery_4,p43,2035,191.62846
battery_4,p43,2038,190.859742
battery_4,p43,2041,190.859742
battery_4,p47,2044,428.826394
battery_4,p47,2047,428.826394
battery_4,p47,2050,781.247054
battery_4,p48,2026,200.0
battery_4,p48,2029,200.0
battery_4,p48,2032,200.0
battery_4,p48,2035,200.0
battery_4,p48,2038,200.0
battery_4,p48,2044,103.759559
battery_4,p48,2047,963.646912
battery_4,p48,2050,963.646912
battery_4,p49,2047,47.958066
battery_4,p49,2050,47.958066
battery_4,p50,2050,219.110036
battery_4,p52,2047,2.555078
battery_4,p52,2050,2.555078
battery_4,p59,2044,27.382824
battery_4,p59,2047,96.578298
battery_4,p59,2050,96.578298
battery_4,p60,2023,50.0
battery_4,p60,2026,250.0
battery_4,p60,2029,250.0
battery_4,p60,2032,250.0
battery_4,p60,2035,250.0
battery_4,p60,2038,200.0
battery_4,p60,2044,1172.764028
battery_4,p60,2047,1172.764028
battery_4,p60,2050,2930.228293
battery_4,p61,2023,306.3
battery_4,p61,2026,821.7
battery_4,p61,2029,947.075643
battery_4,p61,2032,947.075643
battery_4,p61,2035,947.075643
battery_4,p61,2038,640.775643
battery_4,p61,2041,125.375643
battery_4,p62,2023,608.5
battery_4,p62,2026,608.5
battery_4,p62,2029,608.5
battery_4,p62,2032,608.5
battery_4,p62,2035,608.5
battery_4,p62,2044,1152.736559
battery_4,p62,2047,1152.736559
battery_4,p62,2050,1152.736559
battery_4,p63,2023,791.17181
battery_4,p63,2026,982.97181
battery_4,p63,2029,2059.968528
battery_4,p63,2032,2059.968528
battery_4,p63,2035,2059.968528
battery_4,p63,2038,1268.796718
battery_4,p63,2041,1076.996718
battery_4,p63,2047,185.399331
battery_4,p63,2050,454.421586
battery_4,p64,2023,419.9
battery_4,p64,2026,599.9
battery_4,p64,2029,654.600458
battery_4,p64,2032,654.600458
battery_4,p64,2035,654.600458
battery_4,p64,2038,234.700458
battery_4,p64,2041,54.700458
battery_4,p65,2023,413.6
battery_4,p65,2026,573.5
battery_4,p65,2029,2811.122424
battery_4,p65,2032,2811.122424
battery_4,p65,2035,2811.122424
battery_4,p65,2038,2397.522424
battery_4,p65,2041,2237.622424
battery_4,p67,2023,250.0
battery_4,p67,2026,574.49819
battery_4,p67,2029,2190.832947
battery_4,p67,2032,2190.832947
battery_4,p67,2035,2190.832947
battery_4,p67,2038,1940.832947
battery_4,p67,2041,1616.334757
battery_4,p70,2023,5.0
battery_4,p70,2026,5.0
battery_4,p70,2029,140.0
battery_4,p70,2032,140.0
battery_4,p70,2035,140.0
battery_4,p70,2038,135.0
battery_4,p70,2041,135.0
battery_4,p72,2029,435.0
battery_4,p72,2032,435.0
battery_4,p72,2035,435.0
battery_4,p72,2038,435.0
battery_4,p72,2041,435.0
battery_4,p74,2026,898.083026
battery_4,p74,2029,898.083026
battery_4,p74,2032,898.083026
battery_4,p74,2035,898.083026
battery_4,p74,2038,898.083026
battery_4,p74,2041,751.42938
battery_4,p74,2044,753.674387
battery_4,p74,2047,753.674387
battery_4,p74,2050,753.674387
battery_4,p76,2023,5.0
battery_4,p76,2026,5.0
battery_4,p76,2029,5.0
battery_4,p76,2032,5.0
battery_4,p76,2035,5.0
battery_4,p77,2023,0.3
battery_4,p77,2026,0.3
battery_4,p77,2029,0.3
battery_4,p77,2032,0.3
battery_4,p77,2035,0.3
battery_4,p78,2023,0.3
battery_4,p78,2026,0.3
battery_4,p78,2029,0.3
battery_4,p78,2032,0.3
battery_4,p78,2035,0.3
battery_4,p79,2029,435.0
battery_4,p79,2032,435.0
battery_4,p79,2035,435.0
battery_4,p79,2038,435.0
battery_4,p79,2041,435.0
battery_4,p81,2029,224.84958
battery_4,p81,2032,224.84958
battery_4,p81,2035,224.84958
battery_4,p81,2038,224.84958
battery_4,p81,2041,224.84958
battery_4,p81,2050,765.096343
battery_4,p87,2023,1.3
battery_4,p87,2026,1.3
battery_4,p87,2029,1.3
battery_4,p87,2032,1.3
battery_4,p87,2035,1.3
battery_4,p88,2023,87.726953
battery_4,p88,2026,137.726953
battery_4,p88,2029,137.726953
battery_4,p88,2032,137.726953
battery_4,p88,2035,137.726953
battery_4,p88,2038,50.0
battery_4,p94,2026,65.0
battery_4,p94,2029,65.0
battery_4,p94,2032,65.0
battery_4,p94,2035,65.0
battery_4,p94,2038,65.0
battery_4,p95,2029,529.7
battery_4,p95,2032,529.7
battery_4,p95,2035,529.7
battery_4,p95,2038,529.7
battery_4,p95,2041,529.7
battery_4,p96,2023,38.653186
battery_4,p96,2026,38.653186
battery_4,p96,2029,153.953186
battery_4,p96,2032,153.953186
battery_4,p96,2035,153.953186
battery_4,p96,2038,115.3
battery_4,p96,2041,115.3
battery_4,p97,2026,17.0
battery_4,p97,2029,17.0
battery_4,p97,2032,17.0
battery_4,p97,2035,17.0
battery_4,p97,2038,17.0
battery_4,p98,2023,22.3
battery_4,p98,2026,122.3
battery_4,p98,2029,767.3
battery_4,p98,2032,767.3
battery_4,p98,2035,767.3
battery_4,p98,2038,745.0
battery_4,p98,2041,645.0
battery_4,p99,2023,20.0
battery_4,p99,2026,275.0
battery_4,p99,2029,836.0
battery_4,p99,2032,836.0
battery_4,p99,2035,836.0
battery_4,p99,2038,816.0
battery_4,p99,2041,807.835544
battery_4,p99,2044,779.463143
battery_4,p99,2047,6955.869895
battery_4,p99,2050,8371.689712
battery_4,p100,2050,446.704589
battery_4,p101,2023,17.3
battery_4,p101,2026,40.3
battery_4,p101,2029,40.3
battery_4,p101,2032,40.3
battery_4,p101,2035,40.3
battery_4,p101,2038,23.0
battery_4,p103,2026,1365.246974
battery_4,p103,2029,1365.246974
battery_4,p103,2032,1365.246974
battery_4,p103,2035,1365.246974
battery_4,p103,2038,1365.246974
battery_4,p103,2041,1034.20927
battery_4,p103,2044,1034.20927
battery_4,p103,2047,1034.20927
battery_4,p103,2050,1034.20927
battery_4,p104,2029,494.772534
battery_4,p104,2032,494.772534
battery_4,p104,2035,494.772534
battery_4,p104,2038,494.772534
battery_4,p104,2041,714.36135
battery_4,p104,2044,712.116343
battery_4,p104,2047,712.116343
battery_4,p104,2050,712.116343
battery_4,p108,2029,206.36214
battery_4,p108,2032,206.36214
battery_4,p108,2035,206.36214
battery_4,p108,2038,206.36214
battery_4,p108,2041,206.36214
battery_4,p110,2029,93.63786
battery_4,p110,2032,93.63786
battery_4,p110,2035,93.63786
battery_4,p110,2038,93.63786
battery_4,p110,2041,93.63786
battery_4,p111,2023,12.0
battery_4,p111,2026,12.0
battery_4,p111,2029,12.0
battery_4,p111,2032,12.0
battery_4,p111,2035,12.0
battery_4,p114,2029,288.79187
