ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,NOX,426.24,AP2,ACS,559.4,238436.14,0.0344
p1,WA,2010,NOX,426.24,AP2,H6C,1436.07,612105.73,0.0883
p1,WA,2010,NOX,426.24,EASIUR,ACS,7504.37,3198634.91,0.4614
p1,WA,2010,NOX,426.24,EASIUR,H6C,19279.96,8217821.99,1.1854
p1,WA,2010,NOX,426.24,InMAP,ACS,1978.42,843276.05,0.1216
p1,WA,2010,NOX,426.24,InMAP,H6C,5082.01,2166136.78,0.3125
p1,WA,2015,NOX,296.48,AP2,ACS,559.4,165847.75,0.0239
p1,WA,2015,NOX,296.48,AP2,H6C,1436.07,425759.12,0.0614
p1,WA,2015,NOX,296.48,EASIUR,ACS,7504.37,2224857.45,0.3209
p1,WA,2015,NOX,296.48,EASIUR,H6C,19279.96,5716026.67,0.8245
p1,WA,2015,NOX,296.48,InMAP,ACS,1978.42,586553.03,0.0846
p1,WA,2015,NOX,296.48,InMAP,H6C,5082.01,1506688.22,0.2173
p1,WA,2020,NOX,417.91,AP2,ACS,559.4,233775.67,0.0337
p1,WA,2020,NOX,417.91,AP2,H6C,1436.07,600141.52,0.0866
p1,WA,2020,NOX,417.91,EASIUR,ACS,7504.37,3136114.42,0.4524
p1,WA,2020,NOX,417.91,EASIUR,H6C,19279.96,8057196.5,1.1622
p1,WA,2020,NOX,417.91,InMAP,ACS,1978.42,826793.39,0.1193
p1,WA,2020,NOX,417.91,InMAP,H6C,5082.01,2123797.49,0.3063
p1,WA,2023,NOX,277.86,AP2,ACS,559.4,155434.91,0.0224
p1,WA,2023,NOX,277.86,AP2,H6C,1436.07,399027.59,0.0576
p1,WA,2023,NOX,277.86,EASIUR,ACS,7504.37,2085168.47,0.3008
p1,WA,2023,NOX,277.86,EASIUR,H6C,19279.96,5357142.6,0.7727
p1,WA,2023,NOX,277.86,InMAP,ACS,1978.42,549725.96,0.0793
p1,WA,2023,NOX,277.86,InMAP,H6C,5082.01,1412089.92,0.2037
p1,WA,2026,NOX,477.48,AP2,ACS,559.4,267102.28,0.0385
p1,WA,2026,NOX,477.48,AP2,H6C,1436.07,685696.56,0.0989
p1,WA,2026,NOX,477.48,EASIUR,ACS,7504.37,3583192.97,0.5169
p1,WA,2026,NOX,477.48,EASIUR,H6C,19279.96,9205815.24,1.3279
p1,WA,2026,NOX,477.48,InMAP,ACS,1978.42,944659.49,0.1363
p1,WA,2026,NOX,477.48,InMAP,H6C,5082.01,2426562.05,0.35
p1,WA,2029,NOX,433.59,AP2,ACS,559.4,242549.58,0.035
p1,WA,2029,NOX,433.59,AP2,H6C,1436.07,622665.64,0.0898
p1,WA,2029,NOX,433.59,EASIUR,ACS,7504.37,3253817.02,0.4693
p1,WA,2029,NOX,433.59,EASIUR,H6C,19279.96,8359593.97,1.2058
p1,WA,2029,NOX,433.59,InMAP,ACS,1978.42,857824.06,0.1237
p1,WA,2029,NOX,433.59,InMAP,H6C,5082.01,2203506.47,0.3178
p1,WA,2032,NOX,811.1,AP2,ACS,559.4,453728.57,0.0654
p1,WA,2032,NOX,811.1,AP2,H6C,1436.07,1164797.68,0.168
p1,WA,2032,NOX,811.1,EASIUR,ACS,7504.37,6086795.68,0.878
p1,WA,2032,NOX,811.1,EASIUR,H6C,19279.96,15637984.59,2.2557
