,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2486464890.375,1298236409.9228814,1183778162.26,2381220178.05,4421880965.21,6.0,358.65523333333334,187.261554323739,170.7517,343.4744,637.8254999999999
AL,2015,6.0,510212624.1483334,273555297.61828643,237557478.71,487584757.08,937366698.4100001,6.0,73.59463333333333,39.458428222404734,34.2661,70.33065,135.2086
AL,2020,6.0,388056917.32333326,209754776.18679792,179384523.31,370444110.65,719434827.04,6.0,55.97448333333333,30.25565580888418,25.875,53.434,103.77340000000001
AL,2023,6.0,1015253877.5783333,539244357.5557463,475526465.32,969797853.755,1844411463.88,6.0,146.4433,77.78223765230723,68.5914,139.88660000000002,266.0435
AL,2026,6.0,869892024.0583334,463211605.87009704,406783866.73,831050463.945,1585220459.05,6.0,125.47586666666666,66.8150400323061,58.6758,119.87325,228.657
AL,2029,6.0,867088086.305,461517687.7199622,405806229.02,828658315.74,1579380600.62,6.0,125.0714,66.57073519678148,58.5347,119.52815,227.81470000000002
AL,2032,6.0,1026876658.7299999,547149076.737686,480463520.46,981688538.19,1872921218.02,6.0,148.11980000000003,78.92238881610211,69.3036,141.6017,270.1557
AL,2035,6.0,997150006.1349999,531757949.3924143,466139675.71999997,953080433.4199998,1820469528.41,6.0,143.83195,76.70238174494322,67.23740000000001,137.4752,262.5901
AL,2038,6.0,984046359.8133334,524805772.3220887,459970402.03000003,940526204.9350001,1796682373.1599998,6.0,141.94178333333335,75.69961726926806,66.34750000000001,135.6643,259.159
AL,2041,6.0,972651029.43,518904346.95300263,454483916.31000006,929564007.095,1776569133.67,6.0,140.2981333333333,74.84833064181636,65.5561,134.08315,256.2577
AL,2044,6.0,960646028.1683334,512477133.8396327,448863808.53,918057182.675,1754539150.6100001,6.0,138.56648333333334,73.92126327371354,64.74549999999999,132.42329999999998,253.08010000000004
AL,2047,6.0,820933787.3916665,442312276.2746124,381640561.83,785470674.5149999,1516975346.6699998,6.0,118.41395,63.800458127187454,55.049,113.2986,218.8131
