eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,128528.129814,2.5,1457.0,1.025,140145299.55118436
CH4,p1,2023,128528.129814,2.0,1874.0,1.02,179376223.90551782
CH4,p1,2023,128528.129814,1.5,2564.0,1.015,244218850.13976282
CH4,p1,2024,128528.129814,2.5,1524.0,1.0,143014504.58911896
CH4,p1,2024,128528.129814,2.0,1950.0,1.0,182990999.9663924
CH4,p1,2024,128528.129814,1.5,2650.0,1.0,248680076.87740502
CH4,p1,2025,391098.254597,2.5,1590.0,0.9756097560975612,442951388.57894653
CH4,p1,2025,391098.254597,2.0,2025.0,0.9803921568627452,566901575.9768008
CH4,p1,2025,391098.254597,1.5,2737.0,0.9852216748768474,770001486.6958458
CH4,p1,2026,391098.254597,2.5,1657.0,0.9518143961927424,450357693.4347686
CH4,p1,2026,391098.254597,2.0,2101.0,0.9611687812379854,576644982.3903455
CH4,p1,2026,391098.254597,1.5,2823.0,0.9706617486471404,782459021.4889097
CH4,p1,2027,391098.254597,2.5,1724.0,0.928599410919749,457139210.43410295
CH4,p1,2027,391098.254597,2.0,2176.0,0.9423223345470444,585519258.654325
CH4,p1,2027,391098.254597,1.5,2910.0,0.9563169937410252,794653262.5330378
CH4,p1,2028,301410.342431,2.5,1791.0,0.9059506447997552,357071514.3634821
CH4,p1,2028,301410.342431,2.0,2252.0,0.9238454260265142,457849537.97737944
CH4,p1,2028,301410.342431,1.5,2996.0,0.9421842302867244,621201822.4496864
CH4,p1,2029,301410.342431,2.5,1857.0,0.8838542876095173,361199930.3689104
CH4,p1,2029,301410.342431,2.0,2327.0,0.905730809829916,463821211.1558189
CH4,p1,2029,301410.342431,1.5,3083.0,0.9282603254056396,629793819.8755592
CH4,p1,2030,301410.342431,2.5,1924.0,0.8622968659605048,365104307.2512884
CH4,p1,2030,301410.342431,2.0,2403.0,0.887971382186192,469578086.06867063
CH4,p1,2030,301410.342431,1.5,3169.0,0.914542192517872,637794936.2180488
CH4,p1,2031,732798.829622,2.5,2002.0,0.8412652350834192,901111875.5443411
CH4,p1,2031,732798.829622,2.0,2490.0,0.8705601786139138,1159791289.118691
CH4,p1,2031,732798.829622,1.5,3270.0,0.9010267906580018,1576402644.361911
CH4,p1,2032,732798.829622,2.5,2080.0,0.8207465708130922,913385493.1079798
CH4,p1,2032,732798.829622,2.0,2578.0,0.8534903711901114,1177235193.0655897
CH4,p1,2032,732798.829622,1.5,3371.0,0.887711123800987,1601076607.5063658
CH4,p1,2033,732798.829622,2.5,2157.0,0.8007283617688704,924095923.3742552
CH4,p1,2033,732798.829622,2.0,2666.0,0.8367552658726582,1193549120.2759633
CH4,p1,2033,732798.829622,1.5,3471.0,0.874592240198017,1624209069.4330213
CH4,p1,2034,754157.401663,2.5,2235.0,0.7811984017257273,961386018.9931433
CH4,p1,2034,754157.401663,2.0,2754.0,0.8203482998751551,1244002195.5333257
CH4,p1,2034,754157.401663,1.5,3572.0,0.8616672317221843,1694766833.3858287
CH4,p1,2035,754157.401663,2.5,2313.0,0.7621447821714413,970670971.5419395
CH4,p1,2035,754157.401663,2.0,2842.0,0.8042630390932893,1258580830.6298547
CH4,p1,2035,754157.401663,1.5,3673.0,0.848933233223827,1716933174.561353
CH4,p1,2036,754157.401663,2.5,2391.0,0.7435558850453087,978931086.4179252
CH4,p1,2036,754157.401663,2.0,2929.0,0.7884931755816562,1271675309.0597768
CH4,p1,2036,754157.401663,1.5,3774.0,0.836387421895396,1738074217.7424517
CH4,p1,2037,1707621.0681999999,2.5,2468.0,0.7254203756539598,2232149818.395155
CH4,p1,2037,1707621.0681999999,2.0,3017.0,0.773032525080055,2907779781.1087103
CH4,p1,2037,1707621.0681999999,1.5,3875.0,0.8240270166457105,3981086305.8441663
CH4,p1,2038,1707621.0681999999,2.5,2546.0,0.7077271957599608,2246532568.144074
CH4,p1,2038,1707621.0681999999,2.0,3105.0,0.7578750245882894,2933915726.0304503
CH4,p1,2038,1707621.0681999999,1.5,3975.0,0.8118492774834588,4023471937.8943114
CH4,p1,2039,1707621.0681999999,2.5,2624.0,0.6904655568389862,2258885850.1370115
