i,v,r,t,Value
battery_4,new1,p6,2026,400.644991
battery_4,new1,p6,2029,578.784662
battery_4,new1,p6,2032,1060.907899
battery_4,new1,p6,2035,2107.228036
battery_4,new1,p6,2038,2386.285989
battery_4,new1,p7,2026,35.334415
battery_4,new1,p7,2029,55.129101
battery_4,new1,p7,2032,129.109484
battery_4,new1,p7,2035,218.852781
battery_4,new1,p7,2038,246.809128
battery_4,new1,p7,2041,3377.554513
battery_4,new1,p7,2044,3561.793351
battery_4,new1,p7,2047,3729.927371
battery_4,new1,p7,2050,3395.105182
battery_4,new1,p8,2038,221214.862682
battery_4,new1,p8,2041,234000.056988
battery_4,new1,p8,2044,252955.959586
battery_4,new1,p8,2047,290499.664345
battery_4,new1,p8,2050,280577.901091
battery_4,new1,p9,2020,1381.32331
battery_4,new1,p9,2023,1187470.106316
battery_4,new1,p9,2026,2030269.271562
battery_4,new1,p9,2029,2324193.41569
battery_4,new1,p9,2032,2748315.247653
battery_4,new1,p9,2035,2580478.632382
battery_4,new1,p9,2038,248255.644357
battery_4,new1,p9,2041,1778277.349556
battery_4,new1,p9,2044,2457831.73591
battery_4,new1,p9,2047,2509612.145474
battery_4,new1,p9,2050,2445774.035557
battery_4,new1,p10,2020,30761.422718
battery_4,new1,p10,2023,4502127.288251
battery_4,new1,p10,2026,7285433.82618
battery_4,new1,p10,2029,8509985.811686
battery_4,new1,p10,2032,9010002.308722
battery_4,new1,p10,2035,8312926.855649
battery_4,new1,p10,2038,2643554.045254
battery_4,new1,p10,2044,1505755.709213
battery_4,new1,p10,2047,1574633.795454
battery_4,new1,p10,2050,1531104.190344
battery_4,new1,p11,2020,65144.163147
battery_4,new1,p11,2023,379564.360835
battery_4,new1,p11,2026,685554.556493
battery_4,new1,p11,2029,866711.26266
battery_4,new1,p11,2032,993288.696498
battery_4,new1,p11,2035,630927.977661
battery_4,new1,p11,2038,381489.653341
battery_4,new1,p11,2041,1444147.404545
battery_4,new1,p11,2044,1874670.479741
battery_4,new1,p11,2047,1859031.789333
battery_4,new1,p11,2050,1825750.888389
battery_4,new1,p12,2026,455974.229313
battery_4,new1,p12,2029,724670.113121
battery_4,new1,p12,2032,673773.098269
battery_4,new1,p12,2035,772403.412635
battery_4,new1,p12,2038,871295.15584
battery_4,new1,p12,2041,552341.734454
battery_4,new1,p12,2044,435677.889154
battery_4,new1,p12,2047,653052.895503
battery_4,new1,p12,2050,668257.450556
battery_4,new1,p13,2023,54322.445868
battery_4,new1,p13,2026,313510.624741
battery_4,new1,p13,2029,358763.562409
battery_4,new1,p13,2032,584308.472034
battery_4,new1,p13,2035,630732.842774
battery_4,new1,p13,2038,559097.880386
battery_4,new1,p13,2041,1144173.322961
battery_4,new1,p13,2044,1305568.609167
battery_4,new1,p13,2047,1091329.895288
battery_4,new1,p13,2050,1132984.782436
battery_4,new1,p15,2023,17977.16265
battery_4,new1,p15,2026,23515.832389
battery_4,new1,p15,2029,59566.946425
battery_4,new1,p15,2032,93798.634267
battery_4,new1,p15,2035,121382.90319
battery_4,new1,p16,2023,355.3593
battery_4,new1,p16,2026,369.543749
battery_4,new1,p16,2029,1210.0704
battery_4,new1,p16,2032,1499.574262
battery_4,new1,p16,2035,1911.698059
battery_4,new1,p18,2026,12054.5
battery_4,new1,p18,2029,33818.875531
battery_4,new1,p18,2032,47014.386435
battery_4,new1,p18,2035,94420.933799
battery_4,new1,p18,2038,103930.820726
battery_4,new1,p21,2038,233698.067454
battery_4,new1,p21,2041,262174.803628
battery_4,new1,p21,2044,244279.255633
battery_4,new1,p21,2047,245278.600618
battery_4,new1,p21,2050,247323.838068
battery_4,new1,p23,2038,43519.146927
battery_4,new1,p23,2041,45862.318301
battery_4,new1,p23,2044,41169.768408
battery_4,new1,p23,2047,39326.270951
battery_4,new1,p23,2050,43143.278321
battery_4,new1,p25,2047,2456749.45774
battery_4,new1,p25,2050,2416095.863083
battery_4,new1,p26,2047,559802.273297
battery_4,new1,p26,2050,567030.452602
battery_4,new1,p27,2044,855127.560714
battery_4,new1,p27,2047,858654.676487
battery_4,new1,p27,2050,847266.7217
battery_4,new1,p28,2023,962528.865326
battery_4,new1,p28,2026,1398411.157659
battery_4,new1,p28,2029,1432862.612623
battery_4,new1,p28,2032,1545809.359689
battery_4,new1,p28,2035,2035933.491639
battery_4,new1,p28,2038,1793506.55777
battery_4,new1,p28,2041,1458569.596351
battery_4,new1,p28,2044,1471544.189491
battery_4,new1,p28,2047,1491171.219347
battery_4,new1,p28,2050,1140743.340123
battery_4,new1,p29,2044,20819.801376
battery_4,new1,p29,2047,19165.461341
battery_4,new1,p29,2050,18622.15701
battery_4,new1,p30,2029,311404.580998
battery_4,new1,p30,2032,353833.540722
battery_4,new1,p30,2035,586078.211748
battery_4,new1,p30,2038,1597808.898777
battery_4,new1,p30,2041,1601213.25795
battery_4,new1,p30,2044,3818467.257614
battery_4,new1,p30,2047,3545581.448516
battery_4,new1,p30,2050,3339606.895601
battery_4,new1,p31,2023,91177.357061
battery_4,new1,p31,2026,282645.8193
battery_4,new1,p31,2029,292975.612627
battery_4,new1,p31,2032,334157.818471
battery_4,new1,p31,2035,362652.349207
battery_4,new1,p31,2038,265572.418692
battery_4,new1,p32,2038,5637.312216
battery_4,new1,p32,2041,5793.690632
battery_4,new1,p32,2044,5465.200586
battery_4,new1,p32,2047,5051.797555
battery_4,new1,p32,2050,5481.139331
battery_4,new1,p33,2023,5355.431236
battery_4,new1,p33,2026,5557.465493
battery_4,new1,p33,2029,6286.143155
battery_4,new1,p33,2032,7185.407094
battery_4,new1,p33,2035,7151.354896
battery_4,new1,p33,2038,-0.0
battery_4,new1,p34,2023,254135.240534
battery_4,new1,p34,2026,253068.691308
battery_4,new1,p34,2029,287480.176977
battery_4,new1,p34,2032,320285.822178
battery_4,new1,p34,2035,331542.337013
battery_4,new1,p34,2041,1082727.216571
battery_4,new1,p34,2044,1386953.450677
battery_4,new1,p34,2047,1418272.968298
battery_4,new1,p34,2050,1773053.887912
battery_4,new1,p39,2035,182668.176749
battery_4,new1,p39,2038,198647.592604
battery_4,new1,p39,2041,215705.901648
battery_4,new1,p39,2044,268763.41712
battery_4,new1,p39,2047,242964.995569
battery_4,new1,p39,2050,293179.608166
battery_4,new1,p40,2023,1473.989203
battery_4,new1,p40,2026,1488.5855
battery_4,new1,p40,2029,1603.446074
battery_4,new1,p40,2032,1607.822599
battery_4,new1,p40,2035,1749.563943
battery_4,new1,p41,2032,148039.287153
battery_4,new1,p41,2035,159583.041998
battery_4,new1,p41,2038,165166.136371
battery_4,new1,p41,2041,152131.228687
battery_4,new1,p41,2044,159543.139586
battery_4,new1,p43,2023,999.927927
battery_4,new1,p43,2026,992.252205
battery_4,new1,p43,2029,925.613344
battery_4,new1,p43,2032,16242.613212
battery_4,new1,p43,2035,192473.347968
battery_4,new1,p43,2038,3890294.643196
battery_4,new1,p43,2041,3768967.72761
battery_4,new1,p43,2044,4022316.166795
battery_4,new1,p43,2047,3846909.219349
battery_4,new1,p43,2050,3876196.729911
battery_4,new1,p44,2029,4486.893936
battery_4,new1,p44,2032,108032.106452
battery_4,new1,p44,2035,140610.29445
battery_4,new1,p44,2038,949926.681774
battery_4,new1,p44,2041,1006666.816641
battery_4,new1,p44,2044,1049010.593314
battery_4,new1,p44,2047,877729.914953
battery_4,new1,p44,2050,887160.690306
battery_4,new1,p45,2029,150567.283242
battery_4,new1,p45,2032,145288.98
battery_4,new1,p45,2035,158302.926354
battery_4,new1,p45,2038,411554.668463
battery_4,new1,p45,2041,364655.962831
battery_4,new1,p45,2044,250746.39731
battery_4,new1,p45,2047,245620.007455
battery_4,new1,p45,2050,265901.389982
battery_4,new1,p46,2032,39547.811288
battery_4,new1,p46,2035,56988.560427
battery_4,new1,p46,2038,48819.804904
battery_4,new1,p46,2041,51281.30968
battery_4,new1,p46,2044,50650.669761
battery_4,new1,p47,2035,176861.305527
battery_4,new1,p47,2038,188295.863055
battery_4,new1,p47,2041,578642.463231
battery_4,new1,p47,2044,731604.068049
battery_4,new1,p47,2047,778135.299483
battery_4,new1,p47,2050,1260466.57769
battery_4,new1,p48,2026,406695.178947
battery_4,new1,p48,2029,338857.044452
battery_4,new1,p48,2032,461312.871104
battery_4,new1,p48,2035,900377.559408
battery_4,new1,p48,2038,1241374.459678
battery_4,new1,p48,2041,823457.708215
battery_4,new1,p48,2044,1015592.028448
battery_4,new1,p48,2047,1043203.495498
battery_4,new1,p48,2050,1680211.431936
battery_4,new1,p49,2035,626652.117703
battery_4,new1,p49,2038,601582.749176
battery_4,new1,p49,2041,547474.339312
battery_4,new1,p49,2044,523274.864823
battery_4,new1,p49,2047,540691.400645
battery_4,new1,p49,2050,288617.095701
battery_4,new1,p50,2047,-0.0
battery_4,new1,p50,2050,819196.083523
battery_4,new1,p51,2032,265555.337108
battery_4,new1,p51,2035,250177.371775
battery_4,new1,p51,2038,256426.852727
