r,t,Value
p1,2010,41768095.61628
p1,2015,36534439.429708
p1,2020,31866460.669125
p1,2023,37991133.249618
p1,2026,36243913.821172
p1,2029,36043993.11239
p1,2032,37404975.114719
p1,2035,39650812.945012
p1,2038,36353886.392505
p1,2041,38368592.586881
p1,2044,39377454.599606
p1,2047,38862170.124564
p1,2050,35894253.459271
p2,2010,-8250858.142649
p2,2015,1272829.519314
p2,2020,-7117663.037361
p2,2023,-4426293.246783
p2,2026,-1438413.694168
p2,2029,-3921313.346327
p2,2032,-4244880.690454
p2,2035,-2903730.918351
p2,2038,-924754.208794
p2,2041,-3120358.685578
p2,2044,-1641406.867186
p2,2047,-889550.694143
p2,2050,-1187310.729326
p3,2010,7843887.2073
p3,2015,4515203.545908
p3,2020,3944947.97383
p3,2023,3966302.70829
p3,2026,3585275.094012
p3,2029,4593819.099214
p3,2032,5211991.894325
p3,2035,5552298.416148
p3,2038,6242728.691033
p3,2041,6896495.778418
p3,2044,7029582.367083
p3,2047,7551390.869511
p3,2050,7803836.596778
p4,2010,-49231738.091392
p4,2015,-57791335.19314
p4,2020,-64427006.486267
p4,2023,-64208301.534694
p4,2026,-61864566.997126
p4,2029,-62156394.398484
p4,2032,-60355262.732731
p4,2035,-59784965.470402
p4,2038,-59233942.571276
p4,2041,-58378108.146114
p4,2044,-58184373.704312
p4,2047,-61839017.393947
p4,2050,-62022941.136249
p5,2010,-7658108.906847
p5,2015,-4662599.118643
p5,2020,-13743794.688674
p5,2023,-6684268.488562
p5,2026,-10971121.177631
p5,2029,-12937848.764311
p5,2032,-10097366.189228
p5,2035,-6890584.635525
p5,2038,-3699241.927421
p5,2041,-3096582.559949
p5,2044,-1287524.060255
p5,2047,1088292.350466
p5,2050,4095270.076645
p6,2010,5716426.05996
p6,2015,7484581.463938
p6,2020,6532462.923899
p6,2023,7566315.355871
p6,2026,6633823.812612
p6,2029,7117843.66922
p6,2032,7437098.608396
p6,2035,7618739.038204
p6,2038,8767104.030469
p6,2041,9682777.717725
p6,2044,10636220.847577
p6,2047,11658359.106276
p6,2050,12655990.314286
p7,2010,78744.6903
p7,2015,214154.107956
p7,2020,-636805.708981
p7,2023,-1501341.863882
p7,2026,-1616788.550985
p7,2029,-1569874.739136
p7,2032,-9077955.031516
p7,2035,-19427128.335847
p7,2038,-21305908.480306
p7,2041,-22330690.214464
p7,2044,-27918230.112569
p7,2047,-25757698.964999
p7,2050,-30052365.984941
p8,2010,871011.542205
p8,2015,920799.901665
p8,2020,772913.041065
p8,2023,960768.205269
p8,2026,-69616.352365
p8,2029,-917245.809619
p8,2032,-887858.194806
p8,2035,-842024.039144
p8,2038,-1096394.29284
p8,2041,-1026924.866591
p8,2044,-1388426.544238
p8,2047,-1231585.879173
p8,2050,-1286364.018421
p9,2010,5189768.360355
p9,2015,2937189.884133
p9,2020,21515651.757123
p9,2023,12434724.449334
p9,2026,9322484.040389
p9,2029,19303978.507506
p9,2032,25053609.161666
p9,2035,30405034.084162
p9,2038,29514166.735404
p9,2041,31083947.144357
p9,2044,43670931.602205
p9,2047,41693546.161222
p9,2050,38173502.05448
p10,2010,39980717.131953
p10,2015,10252825.040783
p10,2020,45360257.010543
p10,2023,28999438.805759
p10,2026,31253939.891692
p10,2029,42248918.049304
p10,2032,42125409.795062
p10,2035,56469806.695808
p10,2038,52050537.147631
p10,2041,48613406.144532
p10,2044,48397929.029975
p10,2047,48268294.539662
p10,2050,66897841.06992
p11,2010,8359132.953993
p11,2015,607143.515036
p11,2020,12070585.1522
p11,2023,9980142.873454
p11,2026,10219390.485603
p11,2029,8665866.463268
p11,2032,10452624.61268
p11,2035,10793389.041874
p11,2038,11283667.434229
p11,2041,8941832.763026
p11,2044,691314.998827
p11,2047,2114440.849913
p11,2050,-3090513.126131
p12,2010,1259188.406295
p12,2015,-775466.41639
p12,2020,-5107006.58406
p12,2023,-1224208.550184
p12,2026,-1405000.430865
p12,2029,-2764816.601331
p12,2032,-873313.319149
p12,2035,821433.969195
p12,2038,-444199.161947
p12,2041,-2283460.582627
p12,2044,-4288491.769766
p12,2047,-3452301.954561
p12,2050,-4521274.272619
p13,2010,-9421545.483747
p13,2015,-10407886.403587
p13,2020,-14673691.27324
p13,2023,-5289081.400046
p13,2026,-6746839.937493
p13,2029,-8250895.127101
p13,2032,-14201858.28679
p13,2035,-36470554.767381
p13,2038,-34400264.090901
p13,2041,-35033499.660531
p13,2044,-33182515.966668
p13,2047,-35912885.391311
p13,2050,-37465938.448674
p14,2010,2152427.994538
p14,2015,1686670.684819
p14,2020,1180807.626374
p14,2023,2720716.603934
p14,2026,2242886.860341
p14,2029,2612936.406235
p14,2032,3123848.967579
p14,2035,3618676.037203
p14,2038,3775083.19039
p14,2041,3884756.362651
p14,2044,2921079.630034
p14,2047,3105482.840384
p14,2050,3845924.138922
p15,2010,7736646.9912
p15,2015,6193595.122073
p15,2020,5217259.494583
p15,2023,6423128.540026
p15,2026,6677246.73573
p15,2029,7804973.914561
p15,2032,9264134.027235
p15,2035,10043264.52673
p15,2038,10598867.728718
p15,2041,10366946.845331
p15,2044,8594521.15939
p15,2047,5915447.170656
p15,2050,2588963.456129
p16,2010,2748329.032049
p16,2015,1833622.705166
p16,2020,1748225.888071
p16,2023,965970.926053
p16,2026,991508.670864
p16,2029,-942208.711454
p16,2032,-3296915.625118
p16,2035,-3972124.338206
p16,2038,-5151382.790752
p16,2041,-4587049.984174
p16,2044,-4483224.298962
p16,2047,-4114284.663972
p16,2050,-5292730.861656
p17,2010,1626234.328838
p17,2015,1334047.758
p17,2020,844441.693398
p17,2023,1186494.786733
p17,2026,904987.283267
p17,2029,185352.804698
p17,2032,1010877.548853
p17,2035,1890658.508529
p17,2038,2282316.706172
p17,2041,557196.012343
p17,2044,-337523.073913
p17,2047,-2603463.904083
p17,2050,-2019971.085992
p18,2010,-73338.771238
