sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p19,2032,105121611.864038
inv_h2_production,electrolyzer,p19,2035,36315.902749
inv_h2_production,electrolyzer,p127,2041,5442688341.68464
inv_investment_capacity_costs,battery_4,p5,2041,-0.0
inv_investment_capacity_costs,battery_4,p5,2044,0.0
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p7,2041,2624570.205
inv_investment_capacity_costs,battery_4,p8,2038,198302755.328928
inv_investment_capacity_costs,battery_4,p8,2044,7615378.040963
inv_investment_capacity_costs,battery_4,p8,2047,15199917.250539
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2041,1417262461.554382
inv_investment_capacity_costs,battery_4,p9,2044,651108275.768892
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2044,1109940270.060586
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,1142654858.444424
inv_investment_capacity_costs,battery_4,p11,2044,292229911.14518
inv_investment_capacity_costs,battery_4,p12,2026,519793443.222682
inv_investment_capacity_costs,battery_4,p12,2029,265758777.6
inv_investment_capacity_costs,battery_4,p12,2032,14570488.733874
inv_investment_capacity_costs,battery_4,p12,2038,54731922.8448
inv_investment_capacity_costs,battery_4,p12,2041,68461721.801684
inv_investment_capacity_costs,battery_4,p12,2044,144936804.089561
inv_investment_capacity_costs,battery_4,p12,2047,109132636.742653
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,292945189.858086
inv_investment_capacity_costs,battery_4,p13,2032,232344496.483146
inv_investment_capacity_costs,battery_4,p13,2041,514744612.254552
inv_investment_capacity_costs,battery_4,p13,2044,133016059.301795
inv_investment_capacity_costs,battery_4,p13,2047,6320975.408077
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p21,2038,180894488.098863
inv_investment_capacity_costs,battery_4,p23,2038,27440379.439894
inv_investment_capacity_costs,battery_4,p25,2047,1789864474.553888
inv_investment_capacity_costs,battery_4,p26,2047,362086909.399136
inv_investment_capacity_costs,battery_4,p27,2044,540353256.891069
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2035,291681022.895679
inv_investment_capacity_costs,battery_4,p28,2038,753958092.468629
inv_investment_capacity_costs,battery_4,p28,2044,68053078.697011
inv_investment_capacity_costs,battery_4,p29,2044,11894442.81654
inv_investment_capacity_costs,battery_4,p30,2029,336104261.482237
inv_investment_capacity_costs,battery_4,p30,2035,154274058.313986
inv_investment_capacity_costs,battery_4,p30,2038,668599686.363849
inv_investment_capacity_costs,battery_4,p30,2044,1555819248.851066
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p32,2038,3531912.739266
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
