i,v,r,t,Value
battery_4,new1,p5,2041,1.412038
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,1.087962
battery_4,new1,p7,2026,0.2
battery_4,new1,p8,2044,162.45432
battery_4,new1,p8,2050,24.980855
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2041,1333.688539
battery_4,new1,p9,2044,419.417518
battery_4,new1,p9,2047,293.66062
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p10,2041,991.311461
battery_4,new1,p10,2044,652.060247
battery_4,new1,p10,2050,44.862159
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2044,403.308427
battery_4,new1,p11,2047,14.735227
battery_4,new1,p12,2026,351.938985
battery_4,new1,p12,2029,200.0
battery_4,new1,p12,2032,13.394351
battery_4,new1,p12,2044,200.0
battery_4,new1,p12,2050,515.044826
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,199.261015
battery_4,new1,p13,2032,186.605649
battery_4,new1,p13,2038,48.8
battery_4,new1,p13,2041,551.2
battery_4,new1,p13,2047,200.0
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p18,2026,100.0
battery_4,new1,p23,2044,31.207026
battery_4,new1,p23,2047,1.782545
battery_4,new1,p24,2044,260.76947
battery_4,new1,p24,2050,32.284003
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2044,154.59289
battery_4,new1,p28,2047,730.818099
battery_4,new1,p28,2050,731.708477
battery_4,new1,p29,2044,39.414816
battery_4,new1,p29,2047,24.888793
battery_4,new1,p29,2050,9.645476
battery_4,new1,p30,2029,261.165019
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p32,2050,87.272455
battery_4,new1,p33,2023,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p34,2050,634.731033
battery_4,new1,p40,2023,1.0
battery_4,new1,p43,2023,0.768718
battery_4,new1,p47,2047,41.824507
battery_4,new1,p47,2050,137.241657
battery_4,new1,p48,2026,200.0
battery_4,new1,p48,2041,158.533695
battery_4,new1,p48,2044,1014.222784
battery_4,new1,p48,2047,336.917299
battery_4,new1,p50,2050,1103.881116
battery_4,new1,p57,2050,55.704138
battery_4,new1,p59,2047,22.61399
battery_4,new1,p59,2050,197.820926
battery_4,new1,p60,2023,50.0
battery_4,new1,p60,2026,200.0
battery_4,new1,p60,2041,1011.395655
battery_4,new1,p60,2044,1107.74358
battery_4,new1,p60,2050,516.816826
battery_4,new1,p61,2023,306.3
battery_4,new1,p61,2026,515.4
battery_4,new1,p62,2023,608.5
battery_4,new1,p63,2023,791.17181
battery_4,new1,p63,2026,191.8
battery_4,new1,p63,2047,956.557991
battery_4,new1,p63,2050,1645.073399
battery_4,new1,p64,2023,419.9
battery_4,new1,p64,2026,180.0
battery_4,new1,p65,2023,413.6
battery_4,new1,p65,2026,159.9
battery_4,new1,p65,2050,681.309636
battery_4,new1,p67,2023,250.0
battery_4,new1,p67,2026,150.0
battery_4,new1,p69,2029,200.0
battery_4,new1,p70,2023,5.0
battery_4,new1,p72,2029,300.0
battery_4,new1,p74,2026,678.661511
battery_4,new1,p74,2032,59.17
battery_4,new1,p74,2041,665.463125
battery_4,new1,p74,2047,44.455422
battery_4,new1,p76,2023,5.0
battery_4,new1,p77,2023,0.3
battery_4,new1,p78,2023,0.3
battery_4,new1,p87,2023,1.3
battery_4,new1,p88,2023,87.726953
battery_4,new1,p88,2026,50.0
battery_4,new1,p94,2026,65.0
battery_4,new1,p95,2029,319.7
battery_4,new1,p96,2023,38.653186
battery_4,new1,p96,2029,115.3
battery_4,new1,p97,2026,5.0
battery_4,new1,p98,2023,22.3
battery_4,new1,p98,2026,37.5
battery_4,new1,p98,2029,491.708077
battery_4,new1,p99,2023,20.0
battery_4,new1,p99,2026,255.0
battery_4,new1,p99,2041,187.634873
battery_4,new1,p99,2047,961.515621
battery_4,new1,p99,2050,2553.506167
battery_4,new1,p100,2035,7.545039
battery_4,new1,p101,2023,17.3
battery_4,new1,p101,2026,23.0
battery_4,new1,p103,2026,822.617315
battery_4,new1,p103,2029,177.5
battery_4,new1,p103,2041,1597.866875
battery_4,new1,p103,2047,14.714578
battery_4,new1,p104,2026,762.051174
battery_4,new1,p104,2044,177.5
battery_4,new1,p111,2023,12.0
battery_4,new1,p118,2032,1057.273385
battery_4,new1,p118,2035,1737.767449
battery_4,new1,p118,2038,20.0
battery_4,new1,p118,2041,61.080022
battery_4,new1,p121,2023,5.439139
battery_4,new1,p121,2032,897.9
battery_4,new1,p121,2035,183.199571
battery_4,new1,p123,2026,899.460861
battery_4,new1,p123,2029,897.9
battery_4,new1,p123,2035,116.100429
battery_4,new1,p123,2038,5.439139
battery_4,new1,p123,2041,899.460861
battery_4,new1,p123,2044,897.9
battery_4,new1,p123,2047,897.9
battery_4,new1,p123,2050,299.3
battery_4,new1,p124,2032,17.726615
battery_4,new1,p124,2035,4.687512
battery_4,new1,p124,2041,6.285105
battery_4,new1,p124,2047,113.484379
battery_4,new1,p124,2050,5.456187
battery_4,new1,p125,2041,138.604263
battery_4,new1,p125,2044,644.376623
battery_4,new1,p125,2047,53.806221
battery_4,new1,p125,2050,66.417174
battery_4,new1,p126,2023,47.0
battery_4,new1,p126,2026,1486.3
battery_4,new1,p126,2029,466.7
battery_4,new1,p126,2038,47.0
battery_4,new1,p126,2041,1486.3
battery_4,new1,p126,2044,466.7
battery_4,new1,p127,2023,73.189967
battery_4,new1,p127,2026,1387.668088
battery_4,new1,p127,2029,704.443554
battery_4,new1,p127,2032,250.0
battery_4,new1,p127,2041,26.344353
battery_4,new1,p127,2044,2653.476162
battery_4,new1,p127,2047,192.029196
battery_4,new1,p127,2050,104.387473
battery_4,new1,p128,2026,539.141945
battery_4,new1,p128,2029,45.556446
battery_4,new1,p128,2038,73.189967
battery_4,new1,p128,2041,1900.46568
battery_4,new1,p128,2044,107.497336
battery_4,new1,p129,2023,10.0
battery_4,new1,p131,2023,38.797904
battery_4,new1,p131,2026,11.202096
battery_4,new1,p131,2038,38.797904
battery_4,new1,p131,2041,11.202096
battery_4,new1,p132,2047,55.4564
battery_4,new1,p132,2050,199.247853
battery_4,new1,p133,2026,72.6
battery_4,new1,p133,2029,122.4
battery_4,new1,p133,2041,72.6
battery_4,new1,p133,2044,122.4
battery_4,new1,p133,2050,68.575637
battery_4,new1,p134,2041,84.790461
battery_4,new1,p134,2044,124.828885
battery_4,new1,p134,2047,314.485339
battery_4,new1,p134,2050,62.825424
battery_8,new1,p9,2047,62.86984
battery_8,new1,p10,2047,273.7505
battery_8,new1,p10,2050,2053.724971
battery_8,new1,p11,2050,168.245302
battery_8,new1,p125,2026,645.0
battery_8,new1,p127,2047,196.568454
biopower,new1,p5,2015,1.0
biopower,new1,p9,2015,28.7
biopower,new1,p10,2015,6.1
biopower,new1,p15,2015,16.3
biopower,new1,p16,2015,5.0
biopower,new1,p25,2015,3.0
biopower,new1,p33,2015,12.6
biopower,new1,p43,2015,7.6
biopower,new1,p46,2015,3.2
biopower,new1,p63,2015,50.0
biopower,new1,p66,2015,146.5
biopower,new1,p70,2015,1.0
biopower,new1,p75,2015,47.1
biopower,new1,p76,2015,1.4
biopower,new1,p77,2015,1.6
biopower,new1,p78,2015,4.0
biopower,new1,p79,2015,2.0
biopower,new1,p94,2015,55.0
biopower,new1,p96,2015,58.2
biopower,new1,p97,2015,0.8
biopower,new1,p99,2015,44.3
biopower,new1,p101,2015,102.5
biopower,new1,p103,2015,5.8
biopower,new1,p112,2015,2.4
biopower,new1,z122,2015,2.5
biopower,new1,p130,2015,67.5
biopower,new1,p132,2015,37.5
biopower,new2,p9,2020,4.0
biopower,new2,p9,2023,9.2
biopower,new2,p10,2020,25.0
biopower,new2,p10,2023,2.6
biopower,new2,p94,2020,165.5
biopower,new2,p97,2020,5.2
biopower,new2,p98,2020,1.7
biopower,new2,p103,2020,38.0
biopower,new2,p133,2020,3.2
