i,r,t,Value
battery_4,p5,2041,-243.283909
battery_4,p5,2044,-240.983993
battery_4,p5,2047,-249.994936
battery_4,p5,2050,-246.321697
battery_4,p6,2026,-72.671975
battery_4,p6,2029,-104.004747
battery_4,p6,2032,-260.854168
battery_4,p6,2035,-326.506359
battery_4,p6,2038,-431.979448
battery_4,p6,2041,-229.619671
battery_4,p6,2044,-212.620516
battery_4,p6,2047,-226.710775
battery_4,p6,2050,-192.602326
battery_4,p7,2026,-6.406782
battery_4,p7,2029,-9.89095
battery_4,p7,2032,-26.441967
battery_4,p7,2035,-39.59138
battery_4,p7,2038,-43.704512
battery_4,p8,2044,-52896.278612
battery_4,p8,2047,-54636.140145
battery_4,p8,2050,-57746.724075
battery_4,p9,2020,-250.047972
battery_4,p9,2023,-210532.628002
battery_4,p9,2026,-359628.567585
battery_4,p9,2029,-411270.077777
battery_4,p9,2032,-439943.607965
battery_4,p9,2035,-499903.632497
battery_4,p9,2038,-48047.52803
battery_4,p9,2041,-344548.25291
battery_4,p9,2044,-443042.163329
battery_4,p9,2047,-533913.118222
battery_4,p9,2050,-515120.279115
battery_4,p10,2020,-5555.397059
battery_4,p10,2023,-796044.766465
battery_4,p10,2026,-1286992.335939
battery_4,p10,2029,-1505849.01104
battery_4,p10,2032,-1484721.78697
battery_4,p10,2035,-1550077.338395
battery_4,p10,2038,-519716.37438
battery_4,p10,2041,-269633.816097
battery_4,p10,2044,-438695.231806
battery_4,p10,2047,-446447.039232
battery_4,p10,2050,-444987.567841
battery_4,p11,2020,-11789.269416
battery_4,p11,2023,-67036.297791
battery_4,p11,2026,-121016.02562
battery_4,p11,2029,-152967.153025
battery_4,p11,2032,-163686.610304
battery_4,p11,2035,-108360.547602
battery_4,p11,2038,-73978.035834
battery_4,p11,2044,-107387.372276
battery_4,p11,2047,-112687.87886
battery_4,p11,2050,-111204.623632
battery_4,p12,2026,-80736.961685
battery_4,p12,2029,-128287.314868
battery_4,p12,2032,-117561.425199
battery_4,p12,2035,-126133.639451
battery_4,p12,2038,-136687.751633
battery_4,p12,2041,-52336.554535
battery_4,p12,2044,-55280.209491
battery_4,p12,2047,-52128.222262
battery_4,p12,2050,-176767.720594
battery_4,p13,2023,-9628.11049
battery_4,p13,2026,-55526.923185
battery_4,p13,2029,-63645.955151
battery_4,p13,2032,-103621.3854
battery_4,p13,2035,-108423.617613
battery_4,p13,2038,-108108.468384
battery_4,p13,2041,-209300.337369
battery_4,p13,2044,-205237.368915
battery_4,p13,2047,-214892.49686
battery_4,p13,2050,-209722.709879
battery_4,p15,2023,-3291.337652
battery_4,p15,2026,-4260.339459
battery_4,p15,2029,-10891.180918
battery_4,p15,2032,-12804.388814
battery_4,p15,2035,-19201.795613
battery_4,p16,2023,-64.553832
battery_4,p16,2026,-66.926575
battery_4,p16,2029,-218.845726
battery_4,p16,2032,-211.42695
battery_4,p16,2035,-321.474963
battery_4,p18,2026,-2219.433066
battery_4,p18,2029,-6387.675018
battery_4,p18,2032,-8188.631392
battery_4,p18,2035,-10521.260087
battery_4,p18,2038,-12010.669074
battery_4,p23,2044,-6898.67357
battery_4,p23,2047,-7274.474126
battery_4,p23,2050,-7213.04703
battery_4,p24,2044,-58504.108775
battery_4,p24,2047,-58431.952494
