r,t,Value
p1,2010,41768095.61628
p1,2015,36534439.429708
p1,2020,31866460.669125
p1,2023,37991133.249618
p1,2026,36243913.821172
p1,2029,36093653.317909
p1,2032,37830859.05737
p1,2035,40315020.013346
p1,2038,41535642.899
p1,2041,37439625.466755
p1,2044,32398341.59418
p1,2047,34402732.560061
p1,2050,31593567.964857
p2,2010,-8250858.142649
p2,2015,1272829.519314
p2,2020,-7117663.037361
p2,2023,-4426293.246783
p2,2026,-1438413.694168
p2,2029,-3926883.266321
p2,2032,-2494463.832877
p2,2035,-3424245.251269
p2,2038,-2419123.155707
p2,2041,-2698347.521922
p2,2044,-258270.065128
p2,2047,38606.463163
p2,2050,1215899.128746
p3,2010,7843887.2073
p3,2015,4515203.545908
p3,2020,3944947.97383
p3,2023,3966302.70829
p3,2026,3585275.094012
p3,2029,4592558.153055
p3,2032,5197527.90426
p3,2035,5455468.647202
p3,2038,5596094.122834
p3,2041,6087075.012225
p3,2044,6984874.297283
p3,2047,7619442.800603
p3,2050,8024384.078222
p4,2010,-49231738.091392
p4,2015,-57791335.19314
p4,2020,-64427006.486267
p4,2023,-64208301.534694
p4,2026,-61864566.997126
p4,2029,-62176478.023634
p4,2032,-63622360.782759
p4,2035,-63563344.545672
p4,2038,-63310297.492178
p4,2041,-62204974.763707
p4,2044,-62505678.392762
p4,2047,-64797182.606426
p4,2050,-65323456.053352
p5,2010,-7658108.906847
p5,2015,-4662599.118643
p5,2020,-13743794.688674
p5,2023,-6684268.488562
p5,2026,-10971121.177631
p5,2029,-12959443.94301
p5,2032,-10388468.076106
p5,2035,-8487180.076177
p5,2038,-5238234.153864
p5,2041,-4122159.207648
p5,2044,749903.52399
p5,2047,1197671.989469
p5,2050,6101236.035132
p6,2010,5716426.05996
p6,2015,7484581.463938
p6,2020,6532462.923899
p6,2023,7566315.355871
p6,2026,6633823.812612
p6,2029,7117843.66922
p6,2032,8059879.897002
p6,2035,8953952.623677
p6,2038,10230562.248
p6,2041,11011460.27543
p6,2044,11878991.292744
p6,2047,13035012.926003
p6,2050,14046706.48383
p7,2010,78744.6903
p7,2015,214154.107956
p7,2020,-636805.708981
p7,2023,-1501341.863882
p7,2026,-1616788.550985
p7,2029,-1570829.890143
p7,2032,-5965186.485973
p7,2035,-12310219.772819
p7,2038,-12355578.026507
p7,2041,-14853164.811444
p7,2044,-17380192.888149
p7,2047,-19090766.500558
p7,2050,-23583340.861744
p8,2010,871011.542205
p8,2015,920799.901665
p8,2020,772913.041065
p8,2023,960768.205269
p8,2026,-69616.352365
p8,2029,-914728.071911
p8,2032,-2026275.104453
p8,2035,-1681905.742039
p8,2038,-4531298.713168
p8,2041,-4374207.981869
p8,2044,-4298657.09641
p8,2047,-4159115.404477
p8,2050,-4095572.612833
p9,2010,5189768.360355
p9,2015,2937189.884133
p9,2020,21515651.757123
p9,2023,12434724.449334
p9,2026,9322484.040389
p9,2029,19395043.135212
p9,2032,22024278.847373
p9,2035,24005197.03363
p9,2038,30636506.631326
p9,2041,32079429.273911
p9,2044,40177097.505752
p9,2047,37000566.283395
p9,2050,36078099.921847
p10,2010,39980717.131953
p10,2015,10252825.040783
p10,2020,45360257.010543
p10,2023,28999438.805759
p10,2026,31253939.891692
p10,2029,41983971.489313
p10,2032,30752478.326821
p10,2035,42349075.436467
p10,2038,29660324.2874
p10,2041,35522794.04668
p10,2044,27798048.015061
p10,2047,30253710.589698
p10,2050,45131773.842013
p11,2010,8359132.953993
p11,2015,607143.515036
p11,2020,12070585.1522
p11,2023,9980142.873454
p11,2026,10219390.485603
p11,2029,8666210.034532
p11,2032,9792453.270707
p11,2035,8942451.964326
p11,2038,11787988.288645
p11,2041,12354800.365513
p11,2044,12013710.911215
p11,2047,12641871.417249
p11,2050,7700845.916458
p12,2010,1259188.406295
p12,2015,-775466.41639
p12,2020,-5107006.58406
p12,2023,-1224208.550184
p12,2026,-1405000.430865
p12,2029,-2827339.2762
p12,2032,-604663.10937
p12,2035,-1060610.191229
p12,2038,-1847038.422148
p12,2041,-3039606.657108
p12,2044,-2763019.968465
p12,2047,-2929198.651121
p12,2050,-2564470.682403
p13,2010,-9421545.483747
p13,2015,-10407886.403587
p13,2020,-14673691.27324
p13,2023,-5289081.400046
p13,2026,-6746839.937493
p13,2029,-8283644.411891
p13,2032,-10724125.053539
p13,2035,-24439042.451073
p13,2038,-31213446.971122
p13,2041,-34094455.224284
p13,2044,-35282767.894109
p13,2047,-39031688.599263
p13,2050,-43044462.006236
p14,2010,2152427.994538
p14,2015,1686670.684819
p14,2020,1180807.626374
p14,2023,2720716.603934
p14,2026,2242886.860341
p14,2029,2612936.406235
p14,2032,3210604.1235
p14,2035,3418868.410053
p14,2038,2032885.603224
p14,2041,568147.774337
p14,2044,-144687.115523
p14,2047,31422.79166
p14,2050,591305.882725
p15,2010,7736646.9912
p15,2015,6193595.122073
p15,2020,5217259.494583
p15,2023,6423128.540026
p15,2026,6677246.73573
p15,2029,7790549.044109
p15,2032,9217830.540043
p15,2035,10427410.890803
p15,2038,10769990.822525
p15,2041,11899224.861192
p15,2044,11495869.852373
p15,2047,12012070.325134
p15,2050,11204681.967916
p16,2010,2748329.032049
p16,2015,1833622.705166
p16,2020,1748225.888071
p16,2023,965970.926053
p16,2026,991508.670864
p16,2029,-942205.078207
p16,2032,-3972856.171669
p16,2035,-5878776.58303
p16,2038,-7134518.530621
p16,2041,-6830148.766334
p16,2044,-8532865.358937
p16,2047,-8995751.417248
p16,2050,-12075490.097411
p17,2010,1626234.328838
p17,2015,1334047.758
p17,2020,844441.693398
p17,2023,1186494.786733
p17,2026,904987.283267
p17,2029,154880.503199
p17,2032,1338133.45389
p17,2035,2075942.673816
p17,2038,2747979.235625
p17,2041,3481727.95548
p17,2044,4119185.043798
p17,2047,3409385.37755
p17,2050,3832829.657558
p18,2010,-73338.771238
p18,2015,-475022.85096
