eall,r,t,dr,Value
CH4,p1,2020,2.5,516125586.31270003
CH4,p1,2020,2.0,635231490.8464
CH4,p1,2020,1.5,913145268.0917001
CH4,p1,2023,2.5,179881761.87704
CH4,p1,2023,2.0,223636785.03632
CH4,p1,2023,1.5,312362248.66486
CH4,p1,2026,2.5,212278726.66
CH4,p1,2026,2.0,265987802.08
CH4,p1,2026,1.5,363175652.84000003
CH4,p1,2029,2.5,370551093.714
CH4,p1,2029,2.0,467216596.422
CH4,p1,2029,1.5,626311902.96225
CH4,p1,2032,2.5,363200143.36024004
CH4,p1,2032,2.0,454881732.94632006
CH4,p1,2032,1.5,599456547.2936001
CH4,p1,2035,2.5,458595340.11300004
CH4,p1,2035,2.0,568259443.1835
CH4,p1,2035,1.5,737740329.7470001
CH4,p1,2038,2.5,420932039.63537997
CH4,p1,2038,2.0,517050379.39463997
CH4,p1,2038,1.5,662885101.788
CH4,p1,2041,2.5,1038257385.0461401
CH4,p1,2041,2.0,1266076451.5490701
CH4,p1,2041,1.5,1609672420.70103
CH4,p1,2044,2.5,2474834370.1322803
CH4,p1,2044,2.0,2999302581.02124
CH4,p1,2044,1.5,3802394528.9449606
CH4,p1,2047,2.5,2764162103.60368
CH4,p1,2047,2.0,3332256769.06824
CH4,p1,2047,1.5,4214075354.26696
CH4,p1,2050,2.5,4203782556.4385004
CH4,p1,2050,2.0,5044539067.7262
CH4,p1,2050,1.5,6365727871.178301
CH4,p10,2020,2.5,4933565703.5248995
CH4,p10,2020,2.0,6072080865.8768
CH4,p10,2020,1.5,8728616244.697899
CH4,p10,2023,2.5,7217682162.1826
CH4,p10,2023,2.0,8973334580.0108
CH4,p10,2023,1.5,12533407538.38465
CH4,p10,2026,2.5,6089839104.29386
CH4,p10,2026,2.0,7630641769.235681
CH4,p10,2026,1.5,10418760877.225641
CH4,p10,2029,2.5,6049882195.17416
CH4,p10,2029,2.0,7628112333.04568
CH4,p10,2029,1.5,10225616101.625889
CH4,p10,2032,2.5,9767700367.2412
CH4,p10,2032,2.0,12233333469.651598
CH4,p10,2032,1.5,16121447208.067997
CH4,p10,2035,2.5,9736815938.3265
CH4,p10,2035,2.0,12065184967.056751
CH4,p10,2035,1.5,15663573466.003502
CH4,p10,2038,2.5,17290913249.83916
CH4,p10,2038,2.0,21239232023.42448
CH4,p10,2038,1.5,27229784645.416
CH4,p10,2041,2.5,17258131904.39542
CH4,p10,2041,2.0,21044988185.575706
CH4,p10,2041,1.5,26756312412.92959
CH4,p10,2044,2.5,17272912116.17272
CH4,p10,2044,2.0,20933396803.043762
CH4,p10,2044,1.5,26538513979.815044
CH4,p10,2047,2.5,18245100309.73328
CH4,p10,2047,2.0,21994860189.34104
CH4,p10,2047,1.5,27815382987.538162
CH4,p10,2050,2.5,17950496532.489502
CH4,p10,2050,2.0,21540595838.9874
CH4,p10,2050,1.5,27182180463.4841
CH4,p100,2020,2.5,905133422.6389
CH4,p100,2020,2.0,1114010366.3248
CH4,p100,2020,1.5,1601389901.5919
CH4,p100,2023,2.5,981954927.8690801
CH4,p100,2023,2.0,1220808829.24264
CH4,p100,2023,1.5,1705151462.58347
CH4,p100,2026,2.5,783915132.84278
CH4,p100,2026,2.0,982255106.21264
