i,r,t,Value
battery_4,p6,2026,-96.195861
battery_4,p6,2029,-203.159267
battery_4,p6,2032,-346.696824
battery_4,p6,2035,-454.396244
battery_4,p6,2038,-486.275113
battery_4,p6,2041,-567.779484
battery_4,p6,2044,-574.28868
battery_4,p6,2047,-14258.771086
battery_4,p6,2050,-13611.972117
battery_4,p7,2026,-10.911547
battery_4,p7,2029,-18.686122
battery_4,p7,2032,-32.950106
battery_4,p7,2035,-43.835161
battery_4,p7,2038,-44.009517
battery_4,p7,2041,-0.0
battery_4,p7,2044,-153515.420842
battery_4,p7,2047,-315325.095663
battery_4,p7,2050,-268013.435584
battery_4,p8,2029,-39333.541559
battery_4,p8,2032,-37574.620194
battery_4,p8,2035,-45682.228382
battery_4,p8,2038,-41348.984462
battery_4,p8,2041,-39762.114758
battery_4,p8,2044,-65230.894712
battery_4,p8,2047,-69062.368188
battery_4,p8,2050,-64248.922202
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-194911.815983
battery_4,p9,2026,-415546.345656
battery_4,p9,2029,-476604.353661
battery_4,p9,2032,-505414.127316
battery_4,p9,2035,-511983.800099
battery_4,p9,2038,-361924.669276
battery_4,p9,2041,-622197.662082
battery_4,p9,2044,-664523.969157
battery_4,p9,2047,-652760.545339
battery_4,p9,2050,-700366.829702
battery_4,p10,2020,-3515.004264
battery_4,p10,2023,-871526.78706
battery_4,p10,2026,-1488702.027105
battery_4,p10,2029,-1575854.162179
battery_4,p10,2032,-1575496.671309
battery_4,p10,2035,-1599869.153739
battery_4,p10,2038,-523764.734452
battery_4,p10,2041,-24834.403044
battery_4,p10,2044,-24742.660923
battery_4,p10,2047,-23740.826032
battery_4,p10,2050,-68441.479369
battery_4,p11,2020,-7869.500599
battery_4,p11,2023,-69402.605522
battery_4,p11,2026,-146358.335913
battery_4,p11,2029,-175647.440563
battery_4,p11,2032,-184371.588385
battery_4,p11,2035,-113500.945779
battery_4,p11,2038,-75043.216168
battery_4,p11,2041,-246390.736972
battery_4,p11,2044,-243125.916425
battery_4,p11,2047,-234194.339156
battery_4,p11,2050,-234314.765476
battery_4,p12,2029,-6871.542645
battery_4,p12,2032,-6984.999282
battery_4,p12,2035,-7124.42458
battery_4,p12,2038,-13858.764509
battery_4,p12,2041,-14452.708226
battery_4,p12,2044,-8040.479815
battery_4,p12,2047,-7848.379811
battery_4,p12,2050,-7075.488776
battery_4,p13,2023,-9979.349925
battery_4,p13,2026,-141985.514242
battery_4,p13,2029,-237575.102821
battery_4,p13,2032,-256503.776009
battery_4,p13,2035,-278177.889996
battery_4,p13,2038,-239951.006989
battery_4,p13,2041,-203089.981491
battery_4,p13,2044,-108210.895087
battery_4,p13,2047,-110852.800641
battery_4,p13,2050,-101109.785508
battery_4,p15,2023,-2047.179871
battery_4,p15,2026,-8270.511332
battery_4,p15,2029,-15101.862906
battery_4,p15,2032,-13649.632256
battery_4,p15,2035,-25352.023125
battery_4,p16,2023,-72.007367
battery_4,p16,2026,-154.075498
battery_4,p16,2029,-241.952696
battery_4,p16,2032,-229.332694
battery_4,p16,2035,-431.660158
battery_4,p16,2047,-6692.97647
battery_4,p16,2050,-6556.14021
battery_4,p18,2026,-452.750713
battery_4,p18,2029,-4494.091768
battery_4,p18,2032,-11028.190665
battery_4,p18,2035,-18726.212305
battery_4,p18,2038,-19195.380976
battery_4,p21,2038,-56856.560124
battery_4,p21,2041,-56810.337773
battery_4,p21,2044,-60259.574545
battery_4,p21,2047,-64151.39581
battery_4,p21,2050,-63049.314046
battery_4,p22,2041,-70722.646434
battery_4,p22,2044,-96865.675829
battery_4,p22,2047,-107715.198942
battery_4,p22,2050,-118640.493895
battery_4,p23,2038,-17511.271981
battery_4,p23,2041,-16571.997339
battery_4,p23,2044,-19319.552313
battery_4,p23,2047,-21298.831731
battery_4,p23,2050,-18699.005965
battery_4,p24,2038,-108712.711364
battery_4,p24,2041,-114801.013189
battery_4,p24,2044,-136099.4109
battery_4,p24,2047,-166003.712955
battery_4,p24,2050,-135711.992798
battery_4,p25,2041,0.0
battery_4,p25,2044,-393836.740023
battery_4,p25,2047,-404857.008012
battery_4,p25,2050,-384087.840003
battery_4,p27,2041,-0.0
battery_4,p28,2023,-167248.027929
battery_4,p28,2026,-206466.040269
battery_4,p28,2029,-272699.389714
battery_4,p28,2032,-275267.945701
battery_4,p28,2035,-307567.392537
battery_4,p28,2038,-61562.518879
battery_4,p29,2035,-11270.046189
battery_4,p29,2038,-11631.452865
battery_4,p29,2041,-12002.482628
battery_4,p29,2044,-11950.45549
battery_4,p29,2047,-11879.26942
battery_4,p30,2029,-102603.942521
battery_4,p30,2032,-112773.960784
battery_4,p30,2035,-154880.307765
battery_4,p30,2038,-499600.093756
battery_4,p30,2041,-627776.024595
battery_4,p30,2044,-483441.230427
battery_4,p30,2047,-491476.318833
battery_4,p30,2050,-462335.420845
battery_4,p31,2023,-15930.534508
battery_4,p31,2026,-54404.872861
battery_4,p31,2029,-56579.393818
battery_4,p31,2032,-57395.119693
battery_4,p31,2035,-65206.432141
battery_4,p31,2038,-142961.726914
battery_4,p31,2041,-92547.651583
battery_4,p31,2044,-96663.19805
battery_4,p31,2047,-109412.106639
battery_4,p31,2050,-98336.480733
battery_4,p32,2047,-205.776687
battery_4,p32,2050,-10033.992674
battery_4,p33,2023,-1064.426635
battery_4,p33,2026,-987.964303
battery_4,p33,2029,-1281.859907
battery_4,p33,2032,-1270.06661
battery_4,p33,2035,-1383.316404
battery_4,p33,2041,0.0
battery_4,p34,2023,-50343.169745
battery_4,p34,2026,-44404.520193
battery_4,p34,2029,-59058.652368
battery_4,p34,2032,-59482.439321
battery_4,p34,2035,-62637.999277
battery_4,p34,2038,-109707.311579
battery_4,p34,2041,-213173.640131
battery_4,p34,2044,-283546.833574
battery_4,p34,2047,-306419.011788
battery_4,p34,2050,-290582.54009
battery_4,p37,2032,0.0
battery_4,p38,2041,0.0
battery_4,p39,2032,-22069.751951
battery_4,p39,2035,-55424.24571
battery_4,p39,2038,-57878.320798
battery_4,p39,2041,-147451.758223
battery_4,p39,2044,-153001.046987
battery_4,p39,2047,-141674.432704
battery_4,p39,2050,-133260.902225
battery_4,p40,2023,-267.380058
battery_4,p40,2026,-281.495241
battery_4,p40,2029,-310.734376
battery_4,p40,2032,-312.392377
battery_4,p40,2035,-349.74187
battery_4,p40,2041,-3463.267124
battery_4,p40,2044,-3816.597122
battery_4,p40,2047,-4105.693372
battery_4,p40,2050,-4667.334863
battery_4,p41,2032,-0.0
battery_4,p41,2041,-157865.343484
battery_4,p41,2044,-182284.622478
battery_4,p41,2047,-193083.267514
battery_4,p41,2050,-226791.409953
battery_4,p42,2041,-0.0
battery_4,p43,2023,-181.45953
battery_4,p43,2026,-179.976668
battery_4,p43,2029,-50151.999464
battery_4,p43,2032,-84993.766749
battery_4,p43,2035,-129488.194993
battery_4,p43,2038,-128300.044598
battery_4,p43,2041,-128473.001711
battery_4,p43,2044,-57004.359494
battery_4,p44,2038,-66809.673102
battery_4,p44,2041,-67263.293204
battery_4,p44,2044,-394541.26958
battery_4,p44,2047,-417433.125793
battery_4,p44,2050,-450170.225368
battery_4,p45,2044,-65499.565357
battery_4,p45,2047,-62995.299219
battery_4,p45,2050,-68895.799368
battery_4,p47,2032,-93797.40834
battery_4,p47,2035,-145256.166564
