ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.72,AP2,ACS,3649.64,228900.36,0.033
p1,WA,2010,SO2,62.72,AP2,H6C,9375.9,588044.0,0.0848
p1,WA,2010,SO2,62.72,EASIUR,ACS,18204.36,1141752.89,0.1647
p1,WA,2010,SO2,62.72,EASIUR,H6C,46771.73,2933459.92,0.4231
p1,WA,2010,SO2,62.72,InMAP,ACS,4154.93,260591.61,0.0376
p1,WA,2010,SO2,62.72,InMAP,H6C,10674.16,669469.15,0.0966
p1,WA,2015,SO2,29.37,AP2,ACS,3649.64,107176.21,0.0155
p1,WA,2015,SO2,29.37,AP2,H6C,9375.9,275335.2,0.0397
p1,WA,2015,SO2,29.37,EASIUR,ACS,18204.36,534593.95,0.0771
p1,WA,2015,SO2,29.37,EASIUR,H6C,46771.73,1373510.8,0.1981
p1,WA,2015,SO2,29.37,InMAP,ACS,4154.93,122014.76,0.0176
p1,WA,2015,SO2,29.37,InMAP,H6C,10674.16,313460.26,0.0452
p1,WA,2020,SO2,49.57,AP2,ACS,3649.64,180895.9,0.0261
p1,WA,2020,SO2,49.57,AP2,H6C,9375.9,464720.76,0.067
p1,WA,2020,SO2,49.57,EASIUR,ACS,18204.36,902307.09,0.1302
p1,WA,2020,SO2,49.57,EASIUR,H6C,46771.73,2318261.41,0.3344
p1,WA,2020,SO2,49.57,InMAP,ACS,4154.93,205940.94,0.0297
p1,WA,2020,SO2,49.57,InMAP,H6C,10674.16,529069.61,0.0763
p1,WA,2023,SO2,26.34,AP2,ACS,3649.64,96138.62,0.0139
p1,WA,2023,SO2,26.34,AP2,H6C,9375.9,246979.69,0.0356
p1,WA,2023,SO2,26.34,EASIUR,ACS,18204.36,479538.57,0.0692
p1,WA,2023,SO2,26.34,EASIUR,H6C,46771.73,1232059.21,0.1777
p1,WA,2023,SO2,26.34,InMAP,ACS,4154.93,109449.01,0.0158
p1,WA,2023,SO2,26.34,InMAP,H6C,10674.16,281178.42,0.0406
p1,WA,2026,SO2,59.34,AP2,ACS,3649.64,216574.99,0.0312
p1,WA,2026,SO2,59.34,AP2,H6C,9375.9,556380.17,0.0803
p1,WA,2026,SO2,59.34,EASIUR,ACS,18204.36,1080274.04,0.1558
p1,WA,2026,SO2,59.34,EASIUR,H6C,46771.73,2775504.77,0.4003
p1,WA,2026,SO2,59.34,InMAP,ACS,4154.93,246559.79,0.0356
p1,WA,2026,SO2,59.34,InMAP,H6C,10674.16,633420.9,0.0914
p1,WA,2029,SO2,52.82,AP2,ACS,3649.64,192766.01,0.0278
p1,WA,2029,SO2,52.82,AP2,H6C,9375.9,495215.01,0.0714
p1,WA,2029,SO2,52.82,EASIUR,ACS,18204.36,961515.07,0.1387
p1,WA,2029,SO2,52.82,EASIUR,H6C,46771.73,2470382.1,0.3563
p1,WA,2029,SO2,52.82,InMAP,ACS,4154.93,219454.46,0.0317
p1,WA,2029,SO2,52.82,InMAP,H6C,10674.16,563786.33,0.0813
p1,WA,2032,SO2,43.91,AP2,ACS,3649.64,160266.99,0.0231
p1,WA,2032,SO2,43.91,AP2,H6C,9375.9,411725.18,0.0594
p1,WA,2032,SO2,43.91,EASIUR,ACS,18204.36,799410.28,0.1153
p1,WA,2032,SO2,43.91,EASIUR,H6C,46771.73,2053892.78,0.2963
p1,WA,2032,SO2,43.91,InMAP,ACS,4154.93,182455.95,0.0263
p1,WA,2032,SO2,43.91,InMAP,H6C,10674.16,468735.86,0.0676
p1,WA,2035,SO2,44.54,AP2,ACS,3649.64,162563.51,0.0234
p1,WA,2035,SO2,44.54,AP2,H6C,9375.9,417624.92,0.0602
p1,WA,2035,SO2,44.54,EASIUR,ACS,18204.36,810865.27,0.117
p1,WA,2035,SO2,44.54,EASIUR,H6C,46771.73,2083323.63,0.3005
