,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,947432750.6866666,500230757.2203119,443068786.62,901385289.4849999,1707138585.23,6.0,136.66058333333334,72.15477566480037,63.9097,130.0185,246.24280000000002
AL,2015,6.0,446799953.4533333,240143953.3019637,207423491.5,426633365.355,823080370.36,6.0,64.44776666666667,34.63909620360593,29.9193,61.5389,118.7236
AL,2020,6.0,385527278.83166665,208377998.56447405,178218993.92000002,368027020.88,714708119.75,6.0,55.609633333333335,30.05703832327242,25.7069,53.085350000000005,103.0916
AL,2023,6.0,815543600.4200001,431913093.6728809,382488698.3,778622856.845,1476191036.77,6.0,117.63648333333333,62.30047584676755,55.1712,112.3109,212.93030000000002
AL,2026,6.0,668904384.5949999,355179353.6319364,313147951.21999997,638651742.755,1214660244.31,6.0,96.48478333333333,51.23215564519676,45.1694,92.1211,175.2062
AL,2029,6.0,666425228.8483334,353656695.57336426,312325732.03,636571712.685,1209398296.95,6.0,96.12716666666667,51.01252577721149,45.0508,91.821,174.4473
AL,2032,6.0,733059011.0616666,381794379.681811,348279993.96,700097868.135,1298491074.7,6.0,105.73865,55.071116092040484,50.2371,100.9842,187.2982
AL,2035,6.0,366987994.4833333,191058783.2893369,174385724.51,350449383.075,649681375.0,6.0,52.93543333333333,27.55886643587988,25.154000000000003,50.54985,93.7119
AL,2038,6.0,197753877.69000003,101543820.71535762,94337492.73,187857075.87,342594588.98999995,6.0,28.524583333333336,14.646998722115963,13.6074,27.097050000000003,49.4168
AL,2041,6.0,168586651.5,86522962.2888964,80223668.3,159803046.525,291603610.1,6.0,24.31741666666667,12.480308254593181,11.5717,23.0504,42.0617
AL,2044,6.0,155332405.5633333,79616156.89901942,74013797.92,147258279.295,268132559.73999998,6.0,22.40563333333333,11.484084434671606,10.676,21.241,38.6762
AL,2047,6.0,153130562.89833334,78557547.52077064,72891127.11,145146006.82999998,264689366.32,6.0,22.087999999999997,11.331323249823914,10.5141,20.9363,38.1795
