RPSCat,i,st,ast,t,Value
RPS_All,biopower,WA,CA,2026,26280.0
RPS_All,biopower,OR,OR,2026,27751.68
RPS_All,biopower,OR,OR,2029,27751.68
RPS_All,biopower,OR,OR,2032,7884.0
RPS_All,biopower,OR,OR,2035,7884.0
RPS_All,biopower,OR,OR,2038,7884.0
RPS_All,biopower,OR,OR,2041,7884.0
RPS_All,biopower,OR,OR,2044,10489.17435
RPS_All,biopower,OR,OR,2047,9930.598938
RPS_All,biopower,OR,OR,2050,7884.0
RPS_All,biopower,CA,CA,2026,1186936.483795
RPS_All,biopower,CA,CA,2029,973581.39125
RPS_All,biopower,CA,CA,2032,455491.22188
RPS_All,biopower,CA,CA,2035,459098.272838
RPS_All,biopower,CA,CA,2038,358303.938941
RPS_All,biopower,CA,CA,2041,399383.760463
RPS_All,biopower,CA,CA,2044,377191.121159
RPS_All,biopower,CA,CA,2047,335738.263455
RPS_All,biopower,CA,CA,2050,119563.384854
RPS_All,biopower,AZ,AZ,2026,12982.32
RPS_All,biopower,AZ,AZ,2032,12982.32
RPS_All,biopower,AZ,AZ,2035,12982.32
RPS_All,biopower,AZ,AZ,2038,12982.32
RPS_All,biopower,AZ,AZ,2041,12982.32
RPS_All,biopower,AZ,AZ,2044,12982.32
RPS_All,biopower,AZ,AZ,2047,37890.2523
RPS_All,biopower,AZ,AZ,2050,11668.32
RPS_All,biopower,NM,CA,2029,1156.32
RPS_All,biopower,NM,NM,2026,1156.32
RPS_All,biopower,CO,CO,2026,11773.44
RPS_All,biopower,CO,CO,2029,11773.44
RPS_All,biopower,CO,CO,2032,9250.56
RPS_All,biopower,CO,CO,2035,9250.56
RPS_All,biopower,CO,CO,2038,9250.56
RPS_All,biopower,CO,CO,2041,9250.56
RPS_All,biopower,CO,CO,2044,19762.192544
RPS_All,biopower,CO,CO,2047,27941.66172
RPS_All,biopower,CO,CO,2050,6622.56
RPS_All,biopower,MN,MN,2029,32009.04
RPS_All,biopower,MN,MN,2032,32009.04
RPS_All,biopower,MN,MN,2035,32009.04
RPS_All,biopower,MN,MN,2038,32009.04
RPS_All,biopower,MN,MN,2041,32009.04
RPS_All,biopower,MN,MN,2044,32009.04
RPS_All,biopower,MN,MN,2047,32009.04
RPS_All,biopower,MN,MN,2050,14664.24
RPS_All,biopower,MN,IL,2026,32009.04
RPS_All,biopower,IA,IA,2032,525.6
RPS_All,biopower,IA,IA,2035,525.6
RPS_All,biopower,IA,IA,2038,525.6
RPS_All,biopower,IA,IA,2041,525.6
RPS_All,biopower,IA,IA,2044,525.6
RPS_All,biopower,IA,IA,2047,2098.089642
RPS_All,biopower,IA,IA,2050,525.6
RPS_All,biopower,IA,MI,2026,1771.035132
RPS_All,biopower,WI,WI,2026,121929.933391
RPS_All,biopower,WI,WI,2032,31168.08
RPS_All,biopower,WI,WI,2035,31168.08
RPS_All,biopower,WI,WI,2038,31168.08
RPS_All,biopower,WI,WI,2044,31168.08
RPS_All,biopower,WI,WI,2047,146514.53994
RPS_All,biopower,WI,WI,2050,31168.08
RPS_All,biopower,WI,IL,2029,63755.28
RPS_All,biopower,TX,TX,2026,103280.4
RPS_All,biopower,TX,TX,2029,103280.4
RPS_All,biopower,TX,TX,2032,103280.4
RPS_All,biopower,TX,TX,2035,103280.4
RPS_All,biopower,TX,TX,2038,103280.4
RPS_All,biopower,TX,TX,2041,103280.4
RPS_All,biopower,TX,TX,2044,367608.144998
RPS_All,biopower,TX,TX,2047,461398.046296
RPS_All,biopower,TX,TX,2050,103280.4
RPS_All,biopower,MI,MI,2026,98655.12
RPS_All,biopower,MI,MI,2029,98655.12
RPS_All,biopower,MI,MI,2032,80048.88
RPS_All,biopower,MI,MI,2035,62914.32
RPS_All,biopower,MI,MI,2038,42941.52
RPS_All,biopower,MI,MI,2041,24545.52
RPS_All,biopower,MI,MI,2044,32049.788296
RPS_All,biopower,MI,MI,2047,146130.52948
RPS_All,biopower,MI,MI,2050,24545.52
RPS_All,biopower,IL,IL,2026,7318.881144
RPS_All,biopower,IL,IL,2029,1576.8
RPS_All,biopower,IL,IL,2032,1576.8
RPS_All,biopower,IL,IL,2035,1576.8
RPS_All,biopower,IL,IL,2038,1576.8
RPS_All,biopower,IL,IL,2041,1576.8
RPS_All,biopower,IL,IL,2044,3877.12152
RPS_All,biopower,IL,IL,2047,8782.72047
RPS_All,biopower,IL,IL,2050,1576.8
RPS_All,biopower,NC,NC,2026,28750.32
RPS_All,biopower,NC,NC,2029,45306.72
RPS_All,biopower,NC,NC,2032,57716.785679
RPS_All,biopower,NC,NC,2035,72056.69573
RPS_All,biopower,NC,NC,2038,45049.288112
RPS_All,biopower,NC,NC,2041,20603.52
RPS_All,biopower,NC,NC,2044,83923.79435
RPS_All,biopower,NC,NC,2047,133021.738158
RPS_All,biopower,NC,NC,2050,20603.52
RPS_All,biopower,OH,IL,2026,7355.970187
RPS_All,biopower,PA,PA,2026,1069073.913469
RPS_All,biopower,PA,PA,2029,170031.6
RPS_All,biopower,PA,PA,2032,170031.6
RPS_All,biopower,PA,PA,2035,170031.6
RPS_All,biopower,PA,PA,2038,170031.6
RPS_All,biopower,PA,PA,2044,170031.6
RPS_All,biopower,PA,PA,2047,170031.6
RPS_All,biopower,PA,PA,2050,170031.6
RPS_All,biopower,MD,MD,2029,169663.68
RPS_All,biopower,MD,MD,2032,169663.68
RPS_All,biopower,MD,MD,2035,169663.68
RPS_All,biopower,MD,MD,2038,169663.68
RPS_All,biopower,MD,MD,2041,169663.68
RPS_All,biopower,MD,MD,2044,169663.68
RPS_All,biopower,MD,MD,2047,169663.68
RPS_All,biopower,MD,MD,2050,169663.68
RPS_All,biopower,MD,NJ,2026,2382254.343216
RPS_All,biopower,DE,DE,2029,1288995.612211
RPS_All,biopower,DE,DE,2032,168717.6
RPS_All,biopower,DE,DE,2035,168717.6
RPS_All,biopower,DE,DE,2038,168717.6
RPS_All,biopower,DE,DE,2044,168717.6
RPS_All,biopower,DE,DE,2047,168717.6
RPS_All,biopower,DE,DE,2050,168717.6
RPS_All,biopower,DE,NJ,2026,1879459.010628
RPS_All,biopower,NJ,NJ,2026,2368991.586816
RPS_All,biopower,NJ,NJ,2029,168717.6
RPS_All,biopower,NJ,NJ,2032,168717.6
RPS_All,biopower,NJ,NJ,2035,168717.6
RPS_All,biopower,NJ,NJ,2038,168717.6
RPS_All,biopower,NJ,NJ,2041,168717.6
RPS_All,biopower,NJ,NJ,2044,168717.6
RPS_All,biopower,NJ,NJ,2047,168717.6
RPS_All,biopower,NJ,NJ,2050,168717.6
RPS_All,biopower,NY,NY,2026,1412584.346485
RPS_All,biopower,NY,NY,2032,100482.308685
RPS_All,biopower,NY,NY,2035,71574.308685
RPS_All,biopower,NY,NY,2038,71574.308685
RPS_All,biopower,NY,NY,2041,71574.308685
RPS_All,biopower,NY,NY,2044,71574.308685
RPS_All,biopower,NY,NY,2047,71574.308685
RPS_All,biopower,NY,NY,2050,71574.308685
RPS_All,biopower,NH,NH,2026,1058721.443293
RPS_All,biopower,NH,NH,2029,158985.295591
RPS_All,biopower,NH,NH,2032,44413.2
RPS_All,biopower,NH,NH,2035,35478.0
RPS_All,biopower,NH,NH,2038,25581.123423
RPS_All,biopower,NH,NH,2041,35478.0
RPS_All,biopower,NH,NH,2044,35478.0
RPS_All,biopower,NH,NH,2047,35478.0
RPS_All,biopower,NH,NH,2050,35478.0
RPS_All,biopower,MA,MA,2026,2479238.87652
RPS_All,biopower,MA,MA,2029,2367990.088126
RPS_All,biopower,MA,MA,2032,176549.04
RPS_All,biopower,MA,MA,2035,176549.04
RPS_All,biopower,MA,MA,2038,168717.6
RPS_All,biopower,MA,MA,2041,168717.6
RPS_All,biopower,MA,MA,2044,168717.6
RPS_All,biopower,MA,MA,2047,168717.6
RPS_All,biopower,MA,MA,2050,168717.6
RPS_All,biopower,CT,CT,2026,355465.485041
RPS_All,biopower,CT,CT,2029,688957.64097
RPS_All,biopower,CT,CT,2032,49066.987124
RPS_All,biopower,CT,CT,2035,49066.987124
RPS_All,biopower,CT,CT,2038,49066.987124
RPS_All,biopower,CT,CT,2041,49066.987124
RPS_All,biopower,CT,CT,2044,49066.987124
RPS_All,biopower,CT,CT,2047,49066.987124
RPS_All,biopower,CT,CT,2050,49066.987124
RPS_All,biopower,RI,RI,2026,23616.115507
RPS_All,biopower,RI,RI,2029,23480.006707
RPS_All,biopower,RI,RI,2032,1681.92
RPS_All,biopower,RI,RI,2035,1681.92
RPS_All,biopower,RI,RI,2038,1681.92
RPS_All,biopower,RI,RI,2041,1681.92
RPS_All,biopower,RI,RI,2044,1681.92
RPS_All,biopower,RI,RI,2047,1681.92
RPS_All,biopower,RI,RI,2050,1681.92
RPS_All,biopower,ME,CT,2026,144798.600166
RPS_All,biopower,ME,CT,2029,34635.212281
RPS_All,biopower,ME,RI,2026,412326.773301
RPS_All,biopower,ME,RI,2029,83782.467719
RPS_All,biopower,ME,ME,2032,97078.32
RPS_All,biopower,ME,ME,2035,28172.16
RPS_All,biopower,ME,ME,2038,8199.36
RPS_All,biopower,ME,ME,2041,8199.36
RPS_All,biopower,ME,ME,2044,8199.36
RPS_All,biopower,ME,ME,2047,8199.36
RPS_All,biopower,ME,ME,2050,8199.36
RPS_All,beccs_mod,CA,CA,2047,921456.845247
RPS_All,beccs_mod,CA,CA,2050,4986638.541568
RPS_All,beccs_mod,TX,TX,2050,1697056.933622
RPS_All,beccs_mod,MI,MI,2050,1881452.256854
RPS_All,beccs_mod,DE,DE,2029,12552.318788
RPS_All,beccs_mod,DE,DE,2035,12516.328945
RPS_All,beccs_mod,DE,DE,2038,71976.369484
RPS_All,beccs_mod,DE,DE,2041,206354.742821
RPS_All,beccs_mod,DE,DE,2044,222053.820953
RPS_All,beccs_mod,DE,DE,2047,380081.125831
RPS_All,beccs_mod,DE,DE,2050,468100.713176
RPS_All,beccs_mod,DE,NJ,2032,895.401936
RPS_All,can-imports,MN,MN,2026,4390025.60997
RPS_All,can-imports,MN,MN,2029,7622777.377215
RPS_All,can-imports,MN,MN,2032,7084909.214069
RPS_All,can-imports,MN,MN,2035,6725460.612077
RPS_All,can-imports,MN,MN,2038,6116295.025798
RPS_All,can-imports,MN,MN,2041,6073299.571432
RPS_All,can-imports,MN,MN,2044,6005134.221112
RPS_All,can-imports,MN,MN,2047,6230839.598694
RPS_All,can-imports,MN,MN,2050,6190057.972712
RPS_All,can-imports,MI,MI,2026,4126710.873285
RPS_All,can-imports,MI,MI,2029,4122220.877775
RPS_All,can-imports,MI,MI,2032,4967690.032305
RPS_All,can-imports,MI,MI,2035,5221536.577455
