r,t,Value
p1,2010,4.260975
p1,2015,2.443737
p1,2020,1.749331
p1,2023,3.42208
p1,2026,2.516541
p1,2029,2.445922
p1,2032,2.598217
p1,2035,2.807676
p1,2038,3.091245
p1,2041,2.880959
p1,2044,2.583653
p1,2047,2.369299
p1,2050,2.291969
p2,2010,4.265095
p2,2015,2.442051
p2,2020,1.744134
p2,2023,3.423695
p2,2026,2.517688
p2,2029,2.446133
p2,2032,2.600347
p2,2035,2.810555
p2,2038,3.093866
p2,2041,2.88447
p2,2044,2.587679
p2,2047,2.374542
p2,2050,2.297633
p3,2010,4.295904
p3,2015,2.429448
p3,2020,1.705273
p3,2023,3.435774
p3,2026,2.526266
p3,2029,2.447708
p3,2032,2.616277
p3,2035,2.832086
p3,2038,3.113472
p3,2041,2.910727
p3,2044,2.617788
p3,2047,2.413754
p3,2050,2.339995
p4,2010,4.268856
p4,2015,2.440512
p4,2020,1.73939
p4,2023,3.42517
p4,2026,2.518736
p4,2029,2.446325
p4,2032,2.602292
p4,2035,2.813184
p4,2038,3.09626
p4,2041,2.887676
p4,2044,2.591355
p4,2047,2.37933
p4,2050,2.302805
p5,2010,4.271006
p5,2015,2.439633
p5,2020,1.736678
p5,2023,3.426012
p5,2026,2.519334
p5,2029,2.446435
p5,2032,2.603403
p5,2035,2.814686
p5,2038,3.097628
p5,2041,2.889508
p5,2044,2.593456
p5,2047,2.382066
p5,2050,2.305761
p6,2010,4.277992
p6,2015,2.436775
p6,2020,1.727867
p6,2023,3.428751
p6,2026,2.521279
p6,2029,2.446792
p6,2032,2.607015
p6,2035,2.819568
p6,2038,3.102073
p6,2041,2.895461
p6,2044,2.600283
p6,2047,2.390956
p6,2050,2.315366
p7,2010,4.291426
p7,2015,2.43128
p7,2020,1.710921
p7,2023,3.434018
p7,2026,2.525019
p7,2029,2.447479
p7,2032,2.613961
p7,2035,2.828957
p7,2038,3.110622
p7,2041,2.906911
p7,2044,2.613411
p7,2047,2.408054
p7,2050,2.333838
p8,2010,4.295904
p8,2015,2.429448
p8,2020,1.705273
p8,2023,3.435774
p8,2026,2.526266
p8,2029,2.447708
p8,2032,2.616277
p8,2035,2.832086
p8,2038,3.113472
p8,2041,2.910727
p8,2044,2.617788
p8,2047,2.413754
p8,2050,2.339995
p9,2010,4.27835
p9,2015,2.436629
p9,2020,1.727415
p9,2023,3.428892
p9,2026,2.521379
p9,2029,2.44681
p9,2032,2.607201
p9,2035,2.819818
p9,2038,3.102301
p9,2041,2.895767
p9,2044,2.600633
p9,2047,2.391412
p9,2050,2.315859
p10,2010,4.28247
p10,2015,2.434943
p10,2020,1.722218
p10,2023,3.430507
p10,2026,2.522526
p10,2029,2.447021
p10,2032,2.609331
p10,2035,2.822698
p10,2038,3.104923
p10,2041,2.899278
p10,2044,2.604659
p10,2047,2.396656
p10,2050,2.321524
p11,2010,4.298232
p11,2015,2.428495
p11,2020,1.702336
p11,2023,3.436686
p11,2026,2.526914
p11,2029,2.447827
p11,2032,2.617481
p11,2035,2.833714
p11,2038,3.114954
p11,2041,2.912712
p11,2044,2.620063
p11,2047,2.416717
p11,2050,2.343197
p12,2010,4.375075
p12,2015,2.319899
p12,2020,1.704049
p12,2023,3.308892
p12,2026,2.576898
p12,2029,2.515327
p12,2032,2.718372
p12,2035,2.949336
p12,2038,3.231044
p12,2041,3.056963
p12,2044,2.64451
p12,2047,2.346427
p12,2050,2.251936
p13,2010,4.3251
p13,2015,2.340343
p13,2020,1.767085
p13,2023,3.2893
p13,2026,2.562985
p13,2029,2.512771
p13,2032,2.692533
p13,2035,2.914411
p13,2038,3.199242
p13,2041,3.014371
p13,2044,2.595671
p13,2047,2.282823
p13,2050,2.183221
p14,2010,4.35161
p14,2015,2.329498
p14,2020,1.733647
p14,2023,3.299693
p14,2026,2.570365
p14,2029,2.514127
p14,2032,2.70624
p14,2035,2.932938
p14,2038,3.216112
p14,2041,3.036965
p14,2044,2.621578
p14,2047,2.316563
p14,2050,2.219672
p15,2010,4.353043
p15,2015,2.328912
p15,2020,1.731839
p15,2023,3.300255
p15,2026,2.570764
p15,2029,2.5142
p15,2032,2.706981
p15,2035,2.933939
p15,2038,3.217024
p15,2041,3.038186
p15,2044,2.622979
p15,2047,2.318387
p15,2050,2.221642
p16,2010,4.396032
p16,2015,2.311326
p16,2020,1.677614
p16,2023,3.317109
p16,2026,2.582733
p16,2029,2.516398
p16,2032,2.729208
p16,2035,2.963983
p16,2038,3.24438
p16,2041,3.074824
p16,2044,2.664991
p16,2047,2.3731
p16,2050,2.280752
p17,2010,4.398719
p17,2015,2.310227
p17,2020,1.674225
p17,2023,3.318162
p17,2026,2.583481
p17,2029,2.516536
p17,2032,2.730597
p17,2035,2.96586
p17,2038,3.24609
p17,2041,3.077114
p17,2044,2.667617
p17,2047,2.37652
p17,2050,2.284447
p18,2010,4.426125
p18,2015,2.299015
p18,2020,1.639657
p18,2023,3.328906
p18,2026,2.591111
p18,2029,2.517937
p18,2032,2.744767
