eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,128528.129814,2.5,1457.0,1.025,140145299.55118436
CH4,p1,2023,128528.129814,2.0,1874.0,1.02,179376223.90551782
CH4,p1,2023,128528.129814,1.5,2564.0,1.015,244218850.13976282
CH4,p1,2024,128528.129814,2.5,1524.0,1.0,143014504.58911896
CH4,p1,2024,128528.129814,2.0,1950.0,1.0,182990999.9663924
CH4,p1,2024,128528.129814,1.5,2650.0,1.0,248680076.87740502
CH4,p1,2025,391297.125242,2.5,1590.0,0.9756097560975612,443176626.16902745
CH4,p1,2025,391297.125242,2.0,2025.0,0.9803921568627452,567189841.3442395
CH4,p1,2025,391297.125242,1.5,2737.0,0.9852216748768474,770393026.9047581
CH4,p1,2026,391297.125242,2.5,1657.0,0.9518143961927424,450586697.07751393
CH4,p1,2026,391297.125242,2.0,2101.0,0.9611687812379854,576938202.2097541
CH4,p1,2026,391297.125242,1.5,2823.0,0.9706617486471404,782856896.2645205
CH4,p1,2027,391297.125242,2.5,1724.0,0.928599410919749,457371662.4293886
CH4,p1,2027,391297.125242,2.0,2176.0,0.9423223345470444,585816990.9792838
CH4,p1,2027,391297.125242,1.5,2910.0,0.9563169937410252,795057337.9923726
CH4,p1,2028,299718.250476,2.5,1791.0,0.9059506447997552,355066945.33661664
CH4,p1,2028,299718.250476,2.0,2252.0,0.9238454260265142,455279209.72134304
CH4,p1,2028,299718.250476,1.5,2996.0,0.9421842302867244,617714448.4010037
CH4,p1,2029,299718.250476,2.5,1857.0,0.8838542876095173,359172184.76670456
CH4,p1,2029,299718.250476,2.0,2327.0,0.905730809829916,461217358.4358852
CH4,p1,2029,299718.250476,1.5,3083.0,0.9282603254056396,626258211.0861425
CH4,p1,2030,299718.250476,2.5,1924.0,0.8622968659605048,363054642.81027085
CH4,p1,2030,299718.250476,2.0,2403.0,0.887971382186192,466941914.74398226
CH4,p1,2030,299718.250476,1.5,3169.0,0.914542192517872,634214409.8439038
CH4,p1,2031,237290.55909,2.5,2002.0,0.8412652350834192,291792688.6712589
CH4,p1,2031,237290.55909,2.0,2490.0,0.8705601786139138,375556718.0212971
CH4,p1,2031,237290.55909,1.5,3270.0,0.9010267906580018,510461329.5091461
CH4,p1,2032,237290.55909,2.5,2080.0,0.8207465708130922,295767058.52012324
CH4,p1,2032,237290.55909,2.0,2578.0,0.8534903711901114,381205299.2593526
CH4,p1,2032,237290.55909,1.5,3371.0,0.887711123800987,518451105.5197516
CH4,p1,2033,237290.55909,2.5,2157.0,0.8007283617688704,299235246.3545524
CH4,p1,2033,237290.55909,2.0,2666.0,0.8367552658726582,386487978.150502
CH4,p1,2033,237290.55909,1.5,3471.0,0.874592240198017,525941721.7732407
CH4,p1,2034,241587.175674,2.5,2235.0,0.7811984017257273,307970899.11054164
CH4,p1,2034,241587.175674,2.0,2754.0,0.8203482998751551,398504312.61224586
CH4,p1,2034,241587.175674,1.5,3572.0,0.8616672317221843,542902491.9742272
CH4,p1,2035,241587.175674,2.5,2313.0,0.7621447821714413,310945245.65621555
CH4,p1,2035,241587.175674,2.0,2842.0,0.8042630390932893,403174440.1882476
CH4,p1,2035,241587.175674,1.5,3673.0,0.848933233223827,550003269.2759053
CH4,p1,2036,241587.175674,2.5,2391.0,0.7435558850453087,313591295.1668771
CH4,p1,2036,241587.175674,2.0,2929.0,0.7884931755816562,407369132.2430273
CH4,p1,2036,241587.175674,1.5,3774.0,0.836387421895396,556775602.0829047
CH4,p1,2037,1183007.296459,2.5,2468.0,0.7254203756539598,1546390807.1447046
CH4,p1,2037,1183007.296459,2.0,3017.0,0.773032525080055,2014454355.013069
CH4,p1,2037,1183007.296459,1.5,3875.0,0.8240270166457105,2758020637.8052554
CH4,p1,2038,1183007.296459,2.5,2546.0,0.7077271957599608,1556354901.76322
CH4,p1,2038,1183007.296459,2.0,3105.0,0.7578750245882894,2032560839.0088775
CH4,p1,2038,1183007.296459,1.5,3975.0,0.8118492774834588,2787384595.016912
CH4,p1,2039,1183007.296459,2.5,2624.0,0.6904655568389862,1564913019.840473
CH4,p1,2039,1183007.296459,2.0,3193.0,0.7430147299885189,2049182772.553865
