i,r,t,Value
battery_4,p6,2026,-72.671975
battery_4,p6,2029,-104.004747
battery_4,p6,2032,-189.279749
battery_4,p6,2035,-373.675259
battery_4,p6,2038,-409.477824
battery_4,p7,2026,-6.406782
battery_4,p7,2029,-9.89095
battery_4,p7,2032,-22.946312
battery_4,p7,2035,-38.77841
battery_4,p7,2038,-43.669135
battery_4,p7,2041,-572.725563
battery_4,p7,2044,-616.211414
battery_4,p7,2047,-664.933637
battery_4,p7,2050,-595.404427
battery_4,p8,2038,-34606.768798
battery_4,p8,2041,-48448.67467
battery_4,p8,2044,-71207.997784
battery_4,p8,2047,-323220.328955
battery_4,p8,2050,-309606.997868
battery_4,p9,2020,-250.047972
battery_4,p9,2023,-210523.056785
battery_4,p9,2026,-359888.238393
battery_4,p9,2029,-411309.665355
battery_4,p9,2032,-485951.062147
battery_4,p9,2035,-456338.496095
battery_4,p9,2038,-42179.929473
battery_4,p9,2041,-313455.88733
battery_4,p9,2044,-385838.723568
battery_4,p9,2047,-362218.716452
battery_4,p9,2050,-373578.848586
battery_4,p10,2020,-5555.397059
battery_4,p10,2023,-795913.416397
battery_4,p10,2026,-1286648.260524
battery_4,p10,2029,-1503352.926464
battery_4,p10,2032,-1591785.029517
battery_4,p10,2035,-1470941.6358
battery_4,p10,2038,-454514.084794
battery_4,p10,2041,-149032.84857
battery_4,p10,2044,-382546.274164
battery_4,p10,2047,-385380.300372
battery_4,p10,2050,-363448.55192
battery_4,p11,2020,-11789.269416
battery_4,p11,2023,-67036.297791
battery_4,p11,2026,-121016.02562
battery_4,p11,2029,-152967.154368
battery_4,p11,2032,-175586.867578
battery_4,p11,2035,-113914.420768
battery_4,p11,2038,-65255.195195
battery_4,p11,2041,-155375.566169
battery_4,p11,2044,-229126.239605
battery_4,p11,2047,-218689.434568
battery_4,p11,2050,-220982.774955
battery_4,p12,2026,-80736.961685
battery_4,p12,2029,-128290.838548
battery_4,p12,2032,-119376.21107
battery_4,p12,2035,-137414.414176
battery_4,p12,2038,-162115.7029
battery_4,p12,2041,-101461.486588
battery_4,p12,2044,-65385.292569
battery_4,p12,2047,-67631.197357
battery_4,p12,2050,-65120.281518
battery_4,p13,2023,-9628.11049
battery_4,p13,2026,-55526.923185
battery_4,p13,2029,-63490.534158
battery_4,p13,2032,-103396.78397
battery_4,p13,2035,-112251.316031
battery_4,p13,2038,-84354.55032
battery_4,p13,2041,-128454.646572
battery_4,p13,2044,-148350.465915
battery_4,p13,2047,-107356.544613
battery_4,p13,2050,-102587.799225
battery_4,p15,2023,-3291.337652
battery_4,p15,2026,-4260.339459
battery_4,p15,2029,-10620.530231
battery_4,p15,2032,-16668.151883
battery_4,p15,2035,-20114.308238
battery_4,p16,2023,-64.553832
battery_4,p16,2026,-66.926575
battery_4,p16,2029,-221.336078
battery_4,p16,2032,-266.419916
battery_4,p16,2035,-315.709592
battery_4,p18,2026,-2219.433066
battery_4,p18,2029,-6064.623588
battery_4,p18,2032,-8243.196298
battery_4,p18,2035,-17664.751914
battery_4,p18,2038,-19424.530327
battery_4,p21,2038,-19026.607473
battery_4,p21,2041,-19239.769069
battery_4,p21,2044,-18040.06201
battery_4,p21,2047,-21328.182067
battery_4,p21,2050,-21822.596032
battery_4,p22,2041,-7501.555987
battery_4,p22,2044,-36591.490385
battery_4,p22,2047,-55599.297054
battery_4,p22,2050,-56839.366996
battery_4,p23,2038,-75645.396435
battery_4,p23,2041,-67049.324473
battery_4,p23,2044,-82774.268392
battery_4,p23,2047,-92367.310514
battery_4,p23,2050,-81984.859757
battery_4,p25,2041,-63270.630511
battery_4,p25,2044,-153005.011656
battery_4,p25,2047,-352238.593386
battery_4,p25,2050,-368963.157099
battery_4,p26,2038,0.0
battery_4,p26,2041,-2378.629904
battery_4,p26,2044,-62964.046427
battery_4,p26,2047,-219511.357989
battery_4,p26,2050,-225245.775826
battery_4,p27,2038,-0.0
battery_4,p28,2023,-170677.898073
battery_4,p28,2026,-247741.983035
battery_4,p28,2029,-253827.164264
battery_4,p28,2032,-274074.194297
battery_4,p28,2035,-387475.096972
battery_4,p28,2038,-180334.086476
battery_4,p28,2041,-110662.387128
battery_4,p28,2044,-287625.893364
battery_4,p28,2047,-287505.435631
battery_4,p28,2050,-196297.364041
battery_4,p30,2029,-55177.132517
battery_4,p30,2032,-62907.650902
battery_4,p30,2035,-90864.19884
battery_4,p30,2038,-359021.81303
battery_4,p30,2041,-361272.480533
battery_4,p30,2044,-626767.328725
battery_4,p30,2047,-599982.38131
battery_4,p30,2050,-597074.904222
battery_4,p31,2023,-16222.498936
battery_4,p31,2026,-50095.834729
battery_4,p31,2029,-51988.596676
battery_4,p31,2032,-58856.014332
battery_4,p31,2035,-65204.065388
battery_4,p31,2038,-81978.521654
battery_4,p31,2041,-34768.388253
battery_4,p31,2044,-34260.327279
battery_4,p31,2047,-37464.293157
battery_4,p31,2050,-37543.2691
battery_4,p33,2023,-949.181315
battery_4,p33,2026,-984.910568
battery_4,p33,2029,-1115.682988
battery_4,p33,2032,-1252.349749
battery_4,p33,2035,-1245.159107
battery_4,p34,2023,-44706.025858
battery_4,p34,2026,-44828.179514
battery_4,p34,2029,-50785.732972
battery_4,p34,2032,-56560.286254
battery_4,p34,2035,-57416.571963
battery_4,p34,2041,-139122.447346
battery_4,p34,2044,-231410.124285
battery_4,p34,2047,-269568.181014
battery_4,p34,2050,-335730.098154
battery_4,p39,2035,-27961.869697
battery_4,p39,2038,-35814.88943
battery_4,p39,2041,-63191.355415
battery_4,p39,2044,-65787.113733
battery_4,p39,2047,-75053.086332
battery_4,p39,2050,-51457.79249
battery_4,p40,2023,-260.771038
battery_4,p40,2026,-263.424044
battery_4,p40,2029,-282.552499
battery_4,p40,2032,-286.154809
battery_4,p40,2035,-329.956926
battery_4,p40,2047,-37837.921076
battery_4,p40,2050,-45289.170699
battery_4,p41,2032,-54521.254729
battery_4,p41,2035,-59906.961233
battery_4,p41,2038,-60415.752557
battery_4,p41,2041,-57564.783631
battery_4,p41,2044,-62914.183846
battery_4,p41,2047,-117732.474505
battery_4,p41,2050,-145791.887985
battery_4,p42,2038,-50918.991473
battery_4,p42,2041,-48048.056703
battery_4,p42,2044,-53511.502352
battery_4,p42,2047,-57528.490452
battery_4,p42,2050,-57488.792645
battery_4,p43,2023,-175.02337
battery_4,p43,2026,-179.619074
battery_4,p43,2029,-8817.994174
battery_4,p43,2032,-8226.384737
battery_4,p43,2035,-11335.76334
battery_4,p43,2038,-10916.651608
battery_4,p43,2041,-10441.397603
battery_4,p44,2029,-808.01869
battery_4,p44,2032,-2409.673035
battery_4,p44,2035,-3086.565915
battery_4,p44,2038,-243436.551321
battery_4,p44,2041,-239587.798032
battery_4,p44,2044,-274349.793798
battery_4,p44,2047,-269251.077215
battery_4,p44,2050,-284139.116898
battery_4,p45,2029,-26422.381703
battery_4,p45,2032,-24968.904088
battery_4,p45,2035,-28442.18015
battery_4,p45,2038,-28178.200687
battery_4,p45,2041,-26959.042668
battery_4,p46,2032,-7850.112782
battery_4,p46,2035,-10788.865427
battery_4,p46,2038,-10870.156892
battery_4,p46,2041,-10194.741728
battery_4,p46,2044,-12089.489318
battery_4,p47,2035,-25059.905338
battery_4,p47,2038,-51593.90971
battery_4,p47,2041,-157190.235873
battery_4,p47,2044,-241946.385918
battery_4,p47,2047,-300337.651963
battery_4,p47,2050,-318332.746827
battery_4,p48,2026,-71907.637177
battery_4,p48,2029,-59954.401191
battery_4,p48,2032,-91100.695912
battery_4,p48,2035,-174483.604145
battery_4,p48,2038,-324119.974773
battery_4,p48,2041,-279260.714725
battery_4,p48,2044,-260726.420975
battery_4,p48,2047,-362952.706184
battery_4,p48,2050,-465285.108253
battery_4,p49,2035,-40820.918376
battery_4,p49,2038,-59073.651899
battery_4,p49,2041,-62070.828354
battery_4,p49,2044,-63112.751973
battery_4,p49,2047,-77891.414059
battery_4,p49,2050,-36742.899205
battery_4,p50,2044,-278912.406333
battery_4,p50,2047,-337317.217326
battery_4,p50,2050,-406072.151808
battery_4,p52,2032,-36127.492881
battery_4,p52,2035,-153610.075597
battery_4,p52,2038,-141607.994039
battery_4,p52,2041,-134978.191338
battery_4,p52,2044,-136609.66015
battery_4,p52,2047,-128560.503568
battery_4,p53,2038,-0.0
battery_4,p53,2044,-129820.684246
battery_4,p53,2047,-149896.952704
battery_4,p53,2050,-179424.267433
battery_4,p57,2032,-92302.649281
battery_4,p57,2035,-109996.781468
battery_4,p57,2038,-107536.783158
battery_4,p57,2041,-95882.461111
battery_4,p57,2044,-102341.999183
battery_4,p57,2047,-129826.701466
battery_4,p57,2050,-125255.074945
