,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2365762215.113333,1235179111.1880145,1126046422.36,2265222269.95,4206909357.0,6.0,341.2446166666667,178.1659608842881,162.4242,326.74244999999996,606.8172000000001
AL,2015,6.0,539740736.8583332,289228962.65901554,251465126.0,515890765.93,991014025.28,6.0,77.85378333333334,41.7192619284386,36.272,74.4136,142.9468
AL,2020,6.0,419682047.455,226550313.6388144,194286169.57999998,400781649.46000004,776959705.87,6.0,60.53621666666666,32.678253925044196,28.0245,57.80995,112.07099999999998
AL,2023,6.0,1064572747.8033333,565445157.1039473,498681449.53,1016988942.6550001,1934059150.2199998,6.0,153.55715,81.56150630660886,71.93130000000001,146.69350000000003,278.9745
AL,2026,6.0,775035132.7683333,412184730.24163383,362624735.86,740259230.55,1410179310.1299999,6.0,111.79343333333333,59.4547758237357,52.3061,106.77720000000001,203.4086
AL,2029,6.0,700945839.0466667,372409369.4044832,328252991.59,669576376.61,1273858848.54,6.0,101.10655000000001,53.717492835341815,47.3482,96.5817,183.7453
AL,2032,6.0,629193929.9816666,333678869.27372813,294975176.63,600951475.155,1140892703.99,6.0,90.75681666666667,48.13089401473514,42.5481,86.68305,164.5659
AL,2035,6.0,511852917.76000005,271371318.329004,239964563.12,488809564.885,927770300.1600001,6.0,73.83121666666666,39.1434365036805,34.6132,70.50735,133.8244
AL,2038,6.0,26124976.691666666,14892890.545525406,11532209.33,24756867.330000002,51091954.9,6.0,3.7683999999999997,2.1481986686524133,1.6635,3.57105,7.3697
AL,2041,6.0,14467280.613333335,8983848.035257967,5926372.91,13535100.524999999,30432812.79,6.0,2.0868333333333333,1.2958650603618675,0.8549,1.9523499999999998,4.3898
AL,2044,6.0,11420849.385,7066821.118750324,4688315.24,10684096.595,23954808.45,6.0,1.6473833333333332,1.0193273339151987,0.6763,1.54115,3.4553000000000003
AL,2047,6.0,6730558.41,4138296.7196641024,2772586.4,6294475.79,14043635.22,6.0,0.9708166666666666,0.5969087548919573,0.3998,0.9079499999999999,2.0257
