r,t,Value
p1,2010,41763990.72323
p1,2015,36535494.894979
p1,2020,31866266.207009
p1,2023,37990383.434719
p1,2026,36243823.752035
p1,2029,36047008.495433
p1,2032,37400308.346096
p1,2035,39413159.092306
p1,2038,36843228.541855
p1,2041,38640579.768416
p1,2044,40001000.483778
p1,2047,42017891.503959
p1,2050,44889187.279488
p2,2010,-8249797.26304
p2,2015,1272829.519314
p2,2020,-7121713.046957
p2,2023,-4426293.246783
p2,2026,-1438413.694168
p2,2029,-3921144.1561
p2,2032,-4251274.224689
p2,2035,-2819390.508704
p2,2038,-1027171.748012
p2,2041,-3496998.101312
p2,2044,-4068083.509566
p2,2047,-9321349.145966
p2,2050,-11321196.16123
p3,2010,7843887.2073
p3,2015,4515203.545908
p3,2020,3944947.97383
p3,2023,3966302.70829
p3,2026,3585275.094012
p3,2029,4593819.252576
p3,2032,5212485.034686
p3,2035,5558382.756365
p3,2038,6379737.340765
p3,2041,6956877.407752
p3,2044,7778808.326195
p3,2047,7365502.82903
p3,2050,7852471.593237
p4,2010,-49231738.091392
p4,2015,-57767082.306607
p4,2020,-64427004.360366
p4,2023,-64208301.026303
p4,2026,-61863855.023577
p4,2029,-62154976.142822
p4,2032,-60360983.171696
p4,2035,-59724795.940577
p4,2038,-58499371.768258
p4,2041,-58165398.403534
p4,2044,-56679838.119909
p4,2047,-53675748.347184
p4,2050,-53597701.766587
p5,2010,-7657752.699708
p5,2015,-4663545.288838
p5,2020,-13750001.969084
p5,2023,-6686822.416855
p5,2026,-10971120.185889
p5,2029,-12941585.429688
p5,2032,-10092902.43603
p5,2035,-6791871.547097
p5,2038,-4368061.867263
p5,2041,-3731736.141775
p5,2044,-481865.583802
p5,2047,-1804730.05991
p5,2050,-4688337.131078
p6,2010,5716426.05996
p6,2015,7484904.131508
p6,2020,6532462.923899
p6,2023,7566315.355871
p6,2026,6633823.812612
p6,2029,7117843.66922
p6,2032,7416789.368203
p6,2035,7644138.563704
p6,2038,8821937.738303
p6,2041,9644308.391739
p6,2044,9531990.72284
p6,2047,11201679.231844
p6,2050,12114745.465579
p7,2010,78744.6903
p7,2015,214154.107956
p7,2020,-636805.708981
p7,2023,-1501341.863882
p7,2026,-1616788.550985
p7,2029,-1569942.859598
p7,2032,-9077608.577552
p7,2035,-19706074.842903
p7,2038,-22616797.657065
p7,2041,-23514317.888989
p7,2044,-26584281.930766
p7,2047,-29182149.14506
p7,2050,-30917709.501547
p8,2010,871011.542205
p8,2015,920799.901665
p8,2020,772913.041065
p8,2023,960768.205269
p8,2026,-69616.352365
p8,2029,-917212.183966
p8,2032,-887858.194806
p8,2035,-843638.745795
p8,2038,-1163871.043751
p8,2041,-2273915.210594
p8,2044,-3140795.532201
p8,2047,-9730107.318098
p8,2050,-9438329.624972
p9,2010,5170773.399662
p9,2015,2812349.616684
p9,2020,21518702.120533
p9,2023,12432774.012651
p9,2026,9324084.828577
p9,2029,19298076.496751
p9,2032,25205326.257048
p9,2035,30561277.391466
p9,2038,28289625.154363
p9,2041,30907037.049894
p9,2044,46593048.134739
p9,2047,54867324.492831
p9,2050,50463393.187285
p10,2010,39981404.96384
p10,2015,10251910.865566
p10,2020,45361572.538867
p10,2023,29024905.756077
p10,2026,31265580.538353
p10,2029,42256623.563677
p10,2032,42083116.854658
p10,2035,56493260.007793
p10,2038,55319681.003521
p10,2041,61176008.236555
p10,2044,56935450.761689
p10,2047,57628261.367871
p10,2050,74149377.923969
p11,2010,8359310.196319
p11,2015,607143.515036
p11,2020,12076231.919815
p11,2023,9980142.873454
p11,2026,10219257.253304
p11,2029,8665832.854771
p11,2032,10427726.714751
p11,2035,10758407.034011
p11,2038,9810810.441287
p11,2041,9280911.585473
p11,2044,2905076.344868
p11,2047,4358068.250495
p11,2050,4920813.363761
p12,2010,1259352.370792
p12,2015,-746133.906012
p12,2020,-5106862.176964
p12,2023,-1224479.268044
p12,2026,-1405152.786615
p12,2029,-2756531.31858
p12,2032,-910854.987713
p12,2035,667761.361692
p12,2038,-1297765.75276
p12,2041,-1477686.269217
p12,2044,-2099640.786206
p12,2047,-2372853.85205
p12,2050,-4121149.988507
p13,2010,-9420756.278969
p13,2015,-10301441.023617
p13,2020,-14675332.241495
p13,2023,-5290070.767426
p13,2026,-6741745.470551
p13,2029,-8250302.769328
p13,2032,-14212600.27304
p13,2035,-36136481.315878
p13,2038,-30831176.01808
p13,2041,-31129019.619521
p13,2044,-32275010.761773
p13,2047,-25603043.612537
p13,2050,-18516978.917654
p14,2010,2152320.298122
p14,2015,1686853.114542
p14,2020,1180807.626374
p14,2023,2720716.603934
p14,2026,2244045.106302
p14,2029,2612936.406235
p14,2032,3122189.295602
p14,2035,3619430.765237
p14,2038,3567042.065962
p14,2041,3701139.327289
p14,2044,4421216.433088
p14,2047,5288468.330309
p14,2050,5737971.321846
p15,2010,7736646.9912
p15,2015,6193595.122073
p15,2020,5217259.494583
p15,2023,6416674.935899
p15,2026,6678091.989606
p15,2029,7801163.693964
p15,2032,9264360.288788
p15,2035,10050946.903494
p15,2038,10350880.051346
p15,2041,8677511.847308
p15,2044,4324883.910564
p15,2047,-2999250.806257
p15,2050,-4265910.528355
p16,2010,2748329.032049
p16,2015,1833622.705166
p16,2020,1748143.988071
p16,2023,965891.12055
p16,2026,991508.670864
p16,2029,-942202.587854
p16,2032,-3295483.081596
p16,2035,-3643752.263276
p16,2038,-5060897.692795
p16,2041,-4421118.65524
p16,2044,-3307586.5768
p16,2047,-5773941.000022
p16,2050,-4345695.922493
p17,2010,1626234.328838
p17,2015,1334047.758
p17,2020,844673.744071
p17,2023,1186494.797026
p17,2026,904971.025862
p17,2029,188324.239187
p17,2032,1010006.618078
p17,2035,1913790.203262
p17,2038,2403443.609002
p17,2041,864634.702203
p17,2044,-2878366.303434
p17,2047,-3799329.621985
p17,2050,-2795635.730647
p18,2010,-73338.771238
p18,2015,-475022.85096
p18,2020,-1098797.749596
p18,2023,-2523057.101773
p18,2026,-4170395.408411
p18,2029,-6308854.464328
p18,2032,-6778117.232355
p18,2035,-6990472.693317
p18,2038,-6775642.531647
p18,2041,-6649210.605047
p18,2044,-6266108.044144
p18,2047,-6653737.70211
p18,2050,-7269346.524909
p20,2010,-13264164.005033
p20,2015,-555402.26335
p20,2020,47914.591819
p20,2023,-5057663.659858
p20,2026,-1959389.462903
p20,2029,-3976756.595516
p20,2032,-4179634.434685
p20,2035,-6623152.484197
p20,2038,-7096829.212904
p20,2041,-8313135.040392
p20,2044,-8229353.424589
p20,2047,-7760457.972641
p20,2050,-7915304.866816
p21,2010,-9788124.635092
p21,2015,-181361.318694
p21,2020,274962.320815
p21,2023,-6964438.883148
p21,2026,-1094111.420897
p21,2029,-4984786.72268
p21,2032,-8415700.016322
p21,2035,-8533753.000686
p21,2038,-8425670.346182
p21,2041,-7384457.918098
p21,2044,-6798717.445688
p21,2047,-6114969.611014
p21,2050,-5361798.989476
p22,2010,1524569.271
p22,2015,1508250.543
p22,2020,1366957.719
