sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p19,2032,105121611.864038
inv_h2_production,electrolyzer,p19,2035,36315.902749
inv_h2_production,electrolyzer,p65,2047,-0.0
inv_h2_production,electrolyzer,p127,2041,653049508.787154
inv_h2_production,electrolyzer,p127,2044,172777937.723896
inv_h2_production,electrolyzer,p127,2047,1344816922.410058
inv_h2_production,electrolyzer,p127,2050,526244146.786139
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p7,2041,2624570.205
inv_investment_capacity_costs,battery_4,p8,2038,172341466.318227
inv_investment_capacity_costs,battery_4,p8,2041,33438575.852384
inv_investment_capacity_costs,battery_4,p8,2044,77363127.912099
inv_investment_capacity_costs,battery_4,p8,2047,881446855.969855
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2041,1436304577.242422
inv_investment_capacity_costs,battery_4,p9,2044,385780166.194993
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2041,666302602.373998
inv_investment_capacity_costs,battery_4,p10,2044,966566105.222398
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,694747127.846621
inv_investment_capacity_costs,battery_4,p11,2044,315720702.285165
inv_investment_capacity_costs,battery_4,p12,2026,519793443.222682
inv_investment_capacity_costs,battery_4,p12,2029,265758777.6
inv_investment_capacity_costs,battery_4,p12,2032,14570488.733872
inv_investment_capacity_costs,battery_4,p12,2038,199718596.627668
inv_investment_capacity_costs,battery_4,p12,2041,56767762.221207
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,292945189.858086
inv_investment_capacity_costs,battery_4,p13,2032,232344496.483147
inv_investment_capacity_costs,battery_4,p13,2041,389679356.469552
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p21,2038,76589990.120703
inv_investment_capacity_costs,battery_4,p22,2041,34914742.150294
inv_investment_capacity_costs,battery_4,p22,2044,107417375.664532
inv_investment_capacity_costs,battery_4,p22,2047,28431612.567713
inv_investment_capacity_costs,battery_4,p23,2038,263217924.283411
inv_investment_capacity_costs,battery_4,p25,2041,316240875.694768
inv_investment_capacity_costs,battery_4,p25,2044,343768984.249089
inv_investment_capacity_costs,battery_4,p25,2047,840790661.516816
inv_investment_capacity_costs,battery_4,p26,2041,10580797.25106
inv_investment_capacity_costs,battery_4,p26,2044,229401044.96561
inv_investment_capacity_costs,battery_4,p26,2047,516577644.208014
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2035,364059529.100503
inv_investment_capacity_costs,battery_4,p28,2038,96251873.650975
inv_investment_capacity_costs,battery_4,p28,2044,549468554.269348
inv_investment_capacity_costs,battery_4,p30,2029,336104261.482237
inv_investment_capacity_costs,battery_4,p30,2035,87720918.531202
inv_investment_capacity_costs,battery_4,p30,2038,1002464813.508163
inv_investment_capacity_costs,battery_4,p30,2044,968846192.974112
