RPSCat,st,t,Value
RPS_All,LA,2026,872294.774712
RPS_All,PA,2026,1678977.853025
RPS_All,MD,2026,698733.315515
RPS_All,DE,2026,629581.968132
RPS_All,NJ,2026,1356031.021524
RPS_All,NY,2026,7537305.150468
RPS_All,NY,2029,10177006.543268
RPS_All,NY,2032,4469114.326169
RPS_All,NY,2038,2496920.243226
RPS_All,VT,2026,1056373.193003
RPS_All,VT,2029,1016216.034419
RPS_All,NH,2026,339065.394746
RPS_All,NH,2029,336394.958057
RPS_All,MA,2026,1344089.781388
RPS_All,MA,2029,1579013.639514
RPS_All,CT,2026,466820.865755
RPS_All,CT,2029,485560.883717
RPS_All,RI,2026,174892.041648
RPS_All,RI,2029,390966.98934
RPS_All,ME,2026,781900.044119
CES,VT,2041,1753085.49168
CES,VT,2044,1782114.855149
CES,VT,2047,1914410.581272
CES,VT,2050,2029541.154598
CES,CT,2044,1991199.961376
CES,CT,2047,3983622.477574
CES,CT,2050,4109679.913431
RPS_Solar,MD,2026,239730.092332
