i,v,r,t,Value
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,2.5
battery_4,new1,p7,2026,0.2
battery_4,new1,p8,2029,150.0
battery_4,new1,p8,2044,55.684861
battery_4,new1,p8,2050,335.697019
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2047,151.661626
battery_4,new1,p9,2050,195.167796
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p10,2041,2064.824847
battery_4,new1,p10,2044,632.159461
battery_4,new1,p10,2047,515.30043
battery_4,new1,p10,2050,218.265532
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2041,237.602758
battery_4,new1,p11,2044,252.055945
battery_4,new1,p12,2044,131.459856
battery_4,new1,p12,2050,431.217626
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,551.2
battery_4,new1,p13,2029,1212.0
battery_4,new1,p13,2044,868.540144
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p18,2026,100.0
battery_4,new1,p23,2044,75.450066
battery_4,new1,p27,2047,161.430233
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2047,162.601096
battery_4,new1,p30,2029,703.901455
battery_4,new1,p30,2047,719.593251
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p31,2044,97.315764
battery_4,new1,p31,2050,34.251974
battery_4,new1,p33,2023,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p37,2029,135.0
battery_4,new1,p39,2047,33.667296
battery_4,new1,p39,2050,119.497651
battery_4,new1,p40,2023,1.0
battery_4,new1,p43,2023,0.768718
battery_4,new1,p47,2044,279.462095
battery_4,new1,p47,2047,155.211227
battery_4,new1,p47,2050,528.48438
battery_4,new1,p48,2026,200.0
battery_4,new1,p48,2044,681.984965
battery_4,new1,p48,2047,592.282379
battery_4,new1,p48,2050,23.884033
battery_4,new1,p50,2050,510.790048
battery_4,new1,p53,2050,110.10667
