i,r,t,Value
battery_4,p1,2026,0.0
battery_4,p6,2026,-173.882242
battery_4,p6,2029,-194.522423
battery_4,p6,2032,-360.911066
battery_4,p6,2035,-450.845576
battery_4,p6,2038,-478.462556
battery_4,p6,2041,-574.400379
battery_4,p6,2044,-585.665858
battery_4,p6,2047,-587.871757
battery_4,p6,2050,-527.740089
battery_4,p7,2026,-19.311432
battery_4,p7,2029,-18.829529
battery_4,p7,2032,-37.266648
battery_4,p7,2035,-45.234082
battery_4,p7,2038,-45.774933
battery_4,p8,2029,-47400.445349
battery_4,p8,2032,-32098.400856
battery_4,p8,2035,-35634.542887
battery_4,p8,2038,-31036.44525
battery_4,p8,2041,-41409.127891
battery_4,p8,2044,-16668.851911
battery_4,p8,2047,-16086.853977
battery_4,p8,2050,-107754.546304
battery_4,p9,2020,-166.642771
battery_4,p9,2023,-169210.489001
battery_4,p9,2026,-371267.930189
battery_4,p9,2029,-427721.535351
battery_4,p9,2032,-419273.688598
battery_4,p9,2035,-434803.005265
battery_4,p9,2038,-45312.171491
battery_4,p9,2047,-40663.677466
battery_4,p9,2050,-88523.750739
battery_4,p10,2020,-4278.73608
battery_4,p10,2023,-741619.852658
battery_4,p10,2026,-1248272.972171
battery_4,p10,2029,-1275514.631485
battery_4,p10,2032,-1310261.551917
battery_4,p10,2035,-1405913.500701
battery_4,p10,2038,-509062.24874
battery_4,p10,2041,-577072.842888
battery_4,p10,2044,-751546.217679
battery_4,p10,2047,-871401.345493
battery_4,p10,2050,-882040.847071
battery_4,p11,2020,-11481.008975
battery_4,p11,2023,-50321.765735
battery_4,p11,2026,-133518.230214
battery_4,p11,2029,-148050.226635
battery_4,p11,2032,-148923.480955
battery_4,p11,2035,-98497.251817
battery_4,p11,2038,-73935.101253
battery_4,p11,2041,-65380.107334
battery_4,p11,2044,-134931.121431
battery_4,p11,2047,-131362.236497
battery_4,p11,2050,-122621.350023
battery_4,p12,2035,0.0
battery_4,p12,2044,-37117.570244
battery_4,p12,2047,-38116.689492
battery_4,p12,2050,-157298.111886
battery_4,p13,2023,-12287.302866
battery_4,p13,2026,-136618.476162
battery_4,p13,2029,-452917.37066
battery_4,p13,2032,-435978.273286
battery_4,p13,2035,-453961.393558
battery_4,p13,2038,-459905.812084
battery_4,p13,2041,-335983.831646
battery_4,p13,2044,-257790.602758
battery_4,p13,2047,-267641.452323
battery_4,p13,2050,-262948.950523
battery_4,p15,2023,-1792.933567
battery_4,p15,2026,-12481.136465
battery_4,p15,2029,-13988.896828
battery_4,p15,2032,-13075.311143
battery_4,p15,2035,-24680.446417
battery_4,p16,2023,-71.119967
battery_4,p16,2026,-217.042231
battery_4,p16,2029,-252.505538
battery_4,p16,2032,-215.330827
battery_4,p16,2035,-430.037442
battery_4,p18,2026,-1625.196595
battery_4,p18,2029,-11986.372613
battery_4,p18,2032,-13172.137029
battery_4,p18,2035,-13345.462395
battery_4,p18,2038,-13260.444579
battery_4,p23,2044,-16396.868702
battery_4,p23,2047,-15875.833882
battery_4,p23,2050,-16100.702908
battery_4,p27,2047,-30194.580924
battery_4,p27,2050,-30126.333575
battery_4,p28,2023,-110008.13637
battery_4,p28,2026,-187876.73102
battery_4,p28,2029,-266021.057349
battery_4,p28,2032,-224282.095723
battery_4,p28,2035,-251903.209461
battery_4,p28,2038,-55624.558953
battery_4,p28,2047,-33138.055689
battery_4,p28,2050,-30142.206131
