i,v,r,t,Value
battery_4,new1,p1,2026,0.0
battery_4,new1,p6,2026,973.320095
battery_4,new1,p6,2029,1091.130866
battery_4,new1,p6,2032,2034.574738
battery_4,new1,p6,2035,2547.603022
battery_4,new1,p6,2038,2702.674595
battery_4,new1,p6,2041,3244.699706
battery_4,new1,p6,2044,3308.211785
battery_4,new1,p6,2047,3320.566368
battery_4,new1,p6,2050,2979.602976
battery_4,new1,p7,2026,108.41387
battery_4,new1,p7,2029,105.729978
battery_4,new1,p7,2032,210.207246
battery_4,new1,p7,2035,255.480606
battery_4,new1,p7,2038,258.517354
battery_4,new1,p8,2029,268082.224964
battery_4,new1,p8,2032,181318.015869
battery_4,new1,p8,2035,201407.43703
battery_4,new1,p8,2038,175326.664004
battery_4,new1,p8,2041,234223.625239
battery_4,new1,p8,2044,94316.810331
battery_4,new1,p8,2047,91004.824973
battery_4,new1,p8,2050,609426.812152
battery_4,new1,p9,2020,909.693429
battery_4,new1,p9,2023,952597.589275
battery_4,new1,p9,2026,2098384.383756
battery_4,new1,p9,2029,2418081.415515
battery_4,new1,p9,2032,2371146.206472
battery_4,new1,p9,2035,2459209.221997
battery_4,new1,p9,2038,256093.667937
battery_4,new1,p9,2047,230010.956617
battery_4,new1,p9,2050,500690.930897
battery_4,new1,p10,2020,23527.010504
battery_4,new1,p10,2023,4194356.592759
battery_4,new1,p10,2026,7064405.260691
battery_4,new1,p10,2029,7216756.98884
battery_4,new1,p10,2032,7410853.464845
battery_4,new1,p10,2035,7952971.04829
battery_4,new1,p10,2038,2878569.298915
battery_4,new1,p10,2041,3263295.175741
battery_4,new1,p10,2044,4250758.313494
battery_4,new1,p10,2047,4929100.744783
battery_4,new1,p10,2050,4988950.51797
battery_4,new1,p11,2020,63397.353982
battery_4,new1,p11,2023,285001.792719
battery_4,new1,p11,2026,756431.589142
battery_4,new1,p11,2029,838738.656595
battery_4,new1,p11,2032,843489.756298
battery_4,new1,p11,2035,557786.081525
battery_4,new1,p11,2038,418160.318818
battery_4,new1,p11,2041,369815.603424
battery_4,new1,p11,2044,763280.956431
battery_4,new1,p11,2047,743115.542425
battery_4,new1,p11,2050,693666.233938
battery_4,new1,p12,2035,0.0
battery_4,new1,p12,2044,209858.342461
battery_4,new1,p12,2047,215519.743206
battery_4,new1,p12,2050,889210.392841
battery_4,new1,p13,2023,69391.202668
battery_4,new1,p13,2026,771671.051537
battery_4,new1,p13,2029,2561356.156729
battery_4,new1,p13,2032,2464303.106132
battery_4,new1,p13,2035,2565931.589984
battery_4,new1,p13,2038,2600662.167188
battery_4,new1,p13,2041,1900302.152837
battery_4,new1,p13,2044,1457608.017285
battery_4,new1,p13,2047,1513975.519731
battery_4,new1,p13,2050,1487165.439079
battery_4,new1,p15,2023,9486.206166
battery_4,new1,p15,2026,70052.68926
battery_4,new1,p15,2029,78645.019345
battery_4,new1,p15,2032,73467.503832
battery_4,new1,p15,2035,139292.174696
battery_4,new1,p16,2023,392.5674
battery_4,new1,p16,2026,1219.730203
battery_4,new1,p16,2029,1421.168651
battery_4,new1,p16,2032,1210.503744
battery_4,new1,p16,2035,2428.139484
battery_4,new1,p18,2026,8687.16
battery_4,new1,p18,2029,67457.622113
battery_4,new1,p18,2032,74119.822458
battery_4,new1,p18,2035,75117.654022
battery_4,new1,p18,2038,74636.128498
battery_4,new1,p23,2044,92576.034724
battery_4,new1,p23,2047,89623.504078
battery_4,new1,p23,2050,90900.159202
battery_4,new1,p27,2047,170367.59206
battery_4,new1,p27,2050,170029.238765
battery_4,new1,p28,2023,618612.827978
battery_4,new1,p28,2026,1059283.640666
battery_4,new1,p28,2029,1501854.921785
battery_4,new1,p28,2032,1265000.926003
battery_4,new1,p28,2035,1422167.076603
battery_4,new1,p28,2038,314054.968047
battery_4,new1,p28,2047,187058.153472
battery_4,new1,p28,2050,170135.128372
battery_4,new1,p30,2029,913357.842942
battery_4,new1,p30,2032,852713.205912
battery_4,new1,p30,2035,905492.428518
battery_4,new1,p30,2038,874622.591452
battery_4,new1,p30,2041,916837.5205
battery_4,new1,p30,2047,822390.209977
battery_4,new1,p30,2050,762755.871586
battery_4,new1,p31,2023,84571.603577
battery_4,new1,p31,2026,274769.882321
battery_4,new1,p31,2029,323046.946849
battery_4,new1,p31,2032,288182.75221
battery_4,new1,p31,2035,294824.934426
battery_4,new1,p31,2038,183099.305718
battery_4,new1,p31,2044,104207.097044
battery_4,new1,p31,2047,119076.631445
battery_4,new1,p31,2050,158680.650514
battery_4,new1,p33,2023,5027.86
battery_4,new1,p33,2026,4868.721269
battery_4,new1,p33,2029,7230.942905
battery_4,new1,p33,2032,7464.492733
battery_4,new1,p33,2035,7317.177436
battery_4,new1,p34,2023,242623.783846
battery_4,new1,p34,2026,219847.779821
battery_4,new1,p34,2029,317111.975283
battery_4,new1,p34,2032,332680.893935
battery_4,new1,p34,2035,320417.371682
battery_4,new1,p37,2029,128462.305267
battery_4,new1,p37,2032,106543.067746
battery_4,new1,p37,2035,86560.265491
battery_4,new1,p37,2038,89488.875672
battery_4,new1,p37,2041,85268.014407
battery_4,new1,p39,2047,37558.457847
battery_4,new1,p39,2050,184473.08209
battery_4,new1,p40,2023,1475.876843
battery_4,new1,p40,2026,1511.888265
battery_4,new1,p40,2029,1710.524226
battery_4,new1,p40,2032,1475.119159
battery_4,new1,p40,2035,1468.326353
battery_4,new1,p43,2023,903.185882
battery_4,new1,p43,2026,1009.163578
battery_4,new1,p43,2029,739.274409
battery_4,new1,p43,2032,678.230513
battery_4,new1,p43,2035,591.652196
battery_4,new1,p47,2044,351261.095028
battery_4,new1,p47,2047,530477.88956
battery_4,new1,p47,2050,1275163.311476
battery_4,new1,p48,2026,368333.012349
battery_4,new1,p48,2029,356829.472571
battery_4,new1,p48,2032,314766.766295
battery_4,new1,p48,2035,318068.355027
battery_4,new1,p48,2038,288728.042381
battery_4,new1,p48,2044,780988.407409
battery_4,new1,p48,2047,1354456.844892
battery_4,new1,p48,2050,1278138.504382
battery_4,new1,p50,2050,506794.222447
battery_4,new1,p53,2050,123328.306742
battery_4,new1,p57,2050,99329.911895
battery_4,new1,p58,2050,776776.763015
battery_4,new1,p59,2047,200411.33255
battery_4,new1,p59,2050,176592.131273
battery_4,new1,p60,2023,52492.105202
battery_4,new1,p60,2026,304414.254212
battery_4,new1,p60,2029,355015.367185
battery_4,new1,p60,2032,290909.457334
battery_4,new1,p60,2035,246116.144724
battery_4,new1,p60,2038,237594.528927
battery_4,new1,p60,2044,2064353.729082
battery_4,new1,p60,2047,2213588.019864
battery_4,new1,p60,2050,2976765.033784
battery_4,new1,p61,2023,333253.476779
battery_4,new1,p61,2026,1028468.737587
battery_4,new1,p61,2029,1290871.422112
battery_4,new1,p61,2032,1156910.126009
battery_4,new1,p61,2035,1060615.503352
battery_4,new1,p61,2038,705102.019637
battery_4,new1,p61,2044,31309.526888
battery_4,new1,p61,2047,85652.832475
battery_4,new1,p61,2050,87142.853964
battery_4,new1,p62,2023,653881.787213
battery_4,new1,p62,2026,743255.359944
battery_4,new1,p62,2029,997843.205718
