,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528602617.5049996,1320298040.5702965,1203879490.57,2421687876.42,4497136771.44,6.0,364.7332666666666,190.44378632189253,173.6512,349.3115,648.6806
AL,2015,6.0,521428702.18,279522952.3422057,242826034.82,498328884.53999996,957798194.15,6.0,75.21246666666667,40.319245700417895,35.0259,71.88050000000001,138.1557
AL,2020,6.0,402110547.39166665,217214499.86650452,186008100.91000003,383924724.115,744983264.8199999,6.0,58.00163333333333,31.331690601923583,26.8303,55.37845,107.45859999999999
AL,2023,6.0,1017855442.6883334,540570531.2994387,476798311.62000006,972308140.825,1848915103.56,6.0,146.8185,77.97354257651759,68.7748,140.2486,266.6931
AL,2026,6.0,911489784.5166665,485597043.05193686,426140302.51000005,870859603.0899999,1662010040.8,6.0,131.47606666666667,70.04397201714553,61.4679,125.61545000000001,239.7333
AL,2029,6.0,927495435.995,494362525.15300417,433649892.79,886390910.695,1692247070.86,6.0,133.78476666666666,71.30835938796143,62.551,127.85569999999998,244.0949
AL,2032,6.0,1037838280.3333334,553346730.8351101,485317778.13,992093833.5899999,1894346945.8400002,6.0,149.70091666666667,79.81638275668514,70.00370000000001,143.10254999999998,273.2463
AL,2035,6.0,1002663051.6866668,535134645.7315257,468369715.79999995,958242367.87,1832274588.4,6.0,144.62716666666665,77.18940726782832,67.5592,138.21980000000002,264.2928
AL,2038,6.0,991228509.6633334,529246918.239083,462839735.15000004,947236790.9950001,1812225581.82,6.0,142.97783333333334,76.340154013302,66.7615,136.63235,261.40090000000004
AL,2041,6.0,977825063.525,522191163.5517437,456488277.65,934385505.615,1788114630.83,6.0,141.0444,75.32244975721382,65.8452,134.77855,257.923
AL,2044,6.0,965851301.695,515783999.3768031,450882579.41,922911210.12,1766156657.79,6.0,139.31728333333334,74.39823007350154,65.0367,133.12345,254.75580000000002
AL,2047,6.0,827309703.5883332,446256565.1909372,384217080.39,791450105.04,1530694076.8600001,6.0,119.33368333333333,64.3694052521667,55.4207,114.16120000000001,220.79199999999997
