r,t,Value
p1,2010,41793490.988284
p1,2015,36591221.325237
p1,2020,31276431.968419
p1,2023,36920814.341897
p1,2026,40026567.76902
p1,2029,41815565.617487
p1,2032,40049106.872725
p1,2035,37115775.38247
p1,2038,23675478.855607
p1,2041,20994795.174859
p1,2044,22496824.201669
p1,2047,24706734.915343
p1,2050,22756605.305699
p2,2010,-8870079.102926
p2,2015,518088.501084
p2,2020,-11654718.416634
p2,2023,-5667151.68652
p2,2026,-7096043.273956
p2,2029,-11228915.322628
p2,2032,-14742944.938578
p2,2035,-13925422.058744
p2,2038,-10379390.149687
p2,2041,-9899415.692716
p2,2044,-7848849.372214
p2,2047,-9142192.409274
p2,2050,-9628122.27553
p3,2010,7945884.952675
p3,2015,4569480.672375
p3,2020,3944894.779885
p3,2023,3894683.864686
p3,2026,5315156.956414
p3,2029,6575148.950509
p3,2032,7179467.162774
p3,2035,6496519.260659
p3,2038,5568638.803628
p3,2041,4373967.513995
p3,2044,2760183.189942
p3,2047,522060.975885
p3,2050,-1831265.700229
p4,2010,-49236018.243194
p4,2015,-57038137.407624
p4,2020,-64854934.344728
p4,2023,-64997076.788514
p4,2026,-64966116.9173
p4,2029,-63189334.111008
p4,2032,-63232383.839578
p4,2035,-62646294.85336
p4,2038,-62137907.076177
p4,2041,-61350305.816986
p4,2044,-61109417.754521
p4,2047,-60862725.519151
p4,2050,-63354160.174174
p5,2010,-8331070.883394
p5,2015,-4687717.862808
p5,2020,-15542575.980805
p5,2023,-11267925.841144
p5,2026,-5755552.307533
p5,2029,-110747.313473
p5,2032,9693710.800298
p5,2035,18724314.739765
p5,2038,27699996.475074
p5,2041,28226565.793315
p5,2044,33364633.614862
p5,2047,39292886.753303
p5,2050,46508486.803826
p6,2010,5520200.96634
p6,2015,7391362.644663
p6,2020,6176663.016278
p6,2023,7750919.740894
p6,2026,10451270.48646
p6,2029,11689483.293855
p6,2032,14778637.786133
p6,2035,13640605.075025
p6,2038,15923195.634114
p6,2041,17743060.252017
p6,2044,19583268.324277
p6,2047,21510263.730014
p6,2050,24371437.339688
p7,2010,100468.0053
p7,2015,236395.405308
p7,2020,-610056.183083
p7,2023,-1476547.93435
p7,2026,-1000672.903302
p7,2029,-4081418.997043
p7,2032,-11220968.593991
p7,2035,-16136087.691467
p7,2038,-20825249.43943
p7,2041,-23949006.360259
p7,2044,-24798203.30938
p7,2047,-26473482.611715
p7,2050,-30354401.215471
p8,2010,918360.262247
p8,2015,958965.674317
p8,2020,810415.450717
p8,2023,929432.883843
p8,2026,-66001.141121
p8,2029,-1410677.490492
p8,2032,-1271917.832093
p8,2035,-1121259.294658
p8,2038,-3361261.187642
p8,2041,-4400953.06505
p8,2044,-4472128.880815
p8,2047,-5393515.294517
p8,2050,-5872919.586381
p9,2010,6552330.829234
p9,2015,3047730.795399
p9,2020,31109169.606266
p9,2023,19293642.327389
p9,2026,18305118.852563
p9,2029,11795392.42142
p9,2032,19421417.670155
p9,2035,23027816.201588
p9,2038,23395278.182749
p9,2041,40099217.959102
