eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,225591.467982,2.5,1457.0,1.025,245981824.3856923
CH4,p1,2023,225591.467982,2.0,1874.0,1.02,314839605.3881267
CH4,p1,2023,225591.467982,1.5,2564.0,1.015,428650825.2445143
CH4,p1,2024,225591.467982,2.5,1524.0,1.0,251017828.39030758
CH4,p1,2024,225591.467982,2.0,1950.0,1.0,321184229.23956674
CH4,p1,2024,225591.467982,1.5,2650.0,1.0,436481132.0435138
CH4,p1,2025,445097.136689,2.5,1590.0,0.9756097560975612,504109625.73090965
CH4,p1,2025,445097.136689,2.0,2025.0,0.9803921568627452,645173598.4139346
CH4,p1,2025,445097.136689,1.5,2737.0,0.9852216748768474,876315485.8048376
CH4,p1,2026,445097.136689,2.5,1657.0,0.9518143961927424,512538518.0770775
CH4,p1,2026,445097.136689,2.0,2101.0,0.9611687812379854,656262275.6076865
CH4,p1,2026,445097.136689,1.5,2823.0,0.9706617486471404,890493030.7092756
CH4,p1,2027,445097.136689,2.5,1724.0,0.928599410919749,520256358.19355106
CH4,p1,2027,445097.136689,2.0,2176.0,0.9423223345470444,666361821.9719487
CH4,p1,2027,445097.136689,1.5,2910.0,0.9563169937410252,904370928.9331626
CH4,p1,2028,361712.06975900003,2.5,1791.0,0.9059506447997552,428509106.458292
CH4,p1,2028,361712.06975900003,2.0,2252.0,0.9238454260265142,549449307.8249689
CH4,p1,2028,361712.06975900003,1.5,2996.0,0.9421842302867244,745482703.4934186
CH4,p1,2029,361712.06975900003,2.5,1857.0,0.8838542876095173,433463474.9318671
CH4,p1,2029,361712.06975900003,2.0,2327.0,0.905730809829916,556615705.1286451
CH4,p1,2029,361712.06975900003,1.5,3083.0,0.9282603254056396,755793660.7990321
CH4,p1,2030,361712.06975900003,2.5,1924.0,0.8622968659605048,438148981.8453117
CH4,p1,2030,361712.06975900003,2.0,2403.0,0.887971382186192,563524330.5038608
CH4,p1,2030,361712.06975900003,1.5,3169.0,0.914542192517872,765395522.2656373
CH4,p1,2031,707216.240751,2.5,2002.0,0.8412652350834192,869653344.6256741
CH4,p1,2031,707216.240751,2.0,2490.0,0.8705601786139138,1119302054.5207107
CH4,p1,2031,707216.240751,1.5,3270.0,0.9010267906580018,1521369176.62743
CH4,p1,2032,707216.240751,2.5,2080.0,0.8207465708130922,881498480.456813
CH4,p1,2032,707216.240751,2.0,2578.0,0.8534903711901114,1136136977.9330623
CH4,p1,2032,707216.240751,1.5,3371.0,0.887711123800987,1545181752.131202
CH4,p1,2033,707216.240751,2.5,2157.0,0.8007283617688704,891835001.1000681
CH4,p1,2033,707216.240751,2.0,2666.0,0.8367552658726582,1151881372.9937875
CH4,p1,2033,707216.240751,1.5,3471.0,0.874592240198017,1567506641.4484024
CH4,p1,2034,1202225.308674,2.5,2235.0,0.7811984017257273,1532574766.0769856
CH4,p1,2034,1202225.308674,2.0,2754.0,0.8203482998751551,1983101830.2257428
CH4,p1,2034,1202225.308674,1.5,3572.0,0.8616672317221843,2701679483.493555
CH4,p1,2035,1202225.308674,2.5,2313.0,0.7621447821714413,1547376192.0384433
CH4,p1,2035,1202225.308674,2.0,2842.0,0.8042630390932893,2006342076.9438968
CH4,p1,2035,1202225.308674,1.5,3673.0,0.848933233223827,2737015523.825658
CH4,p1,2036,1202225.308674,2.5,2391.0,0.7435558850453087,1560543893.017797
CH4,p1,2036,1202225.308674,2.0,2929.0,0.7884931755816562,2027216384.2670426
CH4,p1,2036,1202225.308674,1.5,3774.0,0.836387421895396,2770717105.3629355
CH4,p1,2037,2360597.4737150003,2.5,2468.0,0.7254203756539598,3085700522.4298744
CH4,p1,2037,2360597.4737150003,2.0,3017.0,0.773032525080055,4019684304.2234244
CH4,p1,2037,2360597.4737150003,1.5,3875.0,0.8240270166457105,5503411998.847768
CH4,p1,2038,2360597.4737150003,2.5,2546.0,0.7077271957599608,3105583084.992869
CH4,p1,2038,2360597.4737150003,2.0,3105.0,0.7578750245882894,4055814360.653595
CH4,p1,2038,2360597.4737150003,1.5,3975.0,0.8118492774834588,5562005452.514193
CH4,p1,2039,2360597.4737150003,2.5,2624.0,0.6904655568389862,3122660132.592987
CH4,p1,2039,2360597.4737150003,2.0,3193.0,0.7430147299885189,4088982114.1002584
CH4,p1,2039,2360597.4737150003,1.5,4076.0,0.7998515049098116,5619043709.005879
CH4,p1,2040,2683429.985976,2.5,2702.0,0.67362493350145,3566076846.314583
CH4,p1,2040,2683429.985976,2.0,3280.0,0.7284458137142342,4681211839.607979
CH4,p1,2040,2683429.985976,1.5,4177.0,0.7880310393200115,6449038929.03615
CH4,p1,2041,2683429.985976,2.5,2786.0,0.6571950570745855,3587257891.6547556
CH4,p1,2041,2683429.985976,2.0,3375.0,0.7141625624649355,4722348744.224332
CH4,p1,2041,2683429.985976,1.5,4285.0,0.7763852604138046,6518014274.96339
CH4,p1,2042,2683429.985976,2.5,2871.0,0.641165909341059,3606540509.845676
CH4,p1,2042,2683429.985976,2.0,3471.0,0.700159374965623,4761444441.888934
CH4,p1,2042,2683429.985976,1.5,4394.0,0.7649115866145859,6585041121.609725
CH4,p1,2043,2724484.0559,2.5,2955.0,0.6255277164303016,3676929002.722044
CH4,p1,2043,2724484.0559,2.0,3566.0,0.6864307597702186,4869218650.399869
CH4,p1,2043,2724484.0559,1.5,4502.0,0.7536074744971291,6748882847.518643
CH4,p1,2044,2724484.0559,2.5,3040.0,0.6102709428588309,3690434292.691186
CH4,p1,2044,2724484.0559,2.0,3661.0,0.6729713331080575,4900918665.147394
CH4,p1,2044,2724484.0559,1.5,4610.0,0.7424704182237725,6808654265.769334
CH4,p1,2045,2724484.0559,2.5,3124.0,0.5953862857159326,3699909091.902203
CH4,p1,2045,2724484.0559,2.0,3756.0,0.6597758167726053,4929503485.679369
CH4,p1,2045,2724484.0559,1.5,4718.0,0.7314979489889384,6865185092.570171
CH4,p1,2046,2918860.3458120003,2.5,3209.0,0.5808646689911537,3972417859.0245056
CH4,p1,2046,2918860.3458120003,2.0,3851.0,0.6468390360515739,5308599808.805745
CH4,p1,2046,2918860.3458120003,1.5,4827.0,0.7206876344718607,7413693317.052467
CH4,p1,2047,2918860.3458120003,2.5,3293.0,0.56669723804015,3976976950.4268327
CH4,p1,2047,2918860.3458120003,2.0,3946.0,0.6341559176976214,5332899233.086253
CH4,p1,2047,2918860.3458120003,1.5,4935.0,0.7100370782973997,7467555043.858168
CH4,p1,2048,2918860.3458120003,2.5,3378.0,0.5528753541855124,3980128769.390161
CH4,p1,2048,2918860.3458120003,2.0,4041.0,0.6217214879388445,5354204754.604203
CH4,p1,2048,2918860.3458120003,1.5,5043.0,0.6995439195048273,7518205656.026221
CH4,p1,2049,3417482.8991030003,2.5,3462.0,0.5393905894492803,4659439848.772386
CH4,p1,2049,3417482.8991030003,2.0,4136.0,0.6095308705282789,6290418166.0604105
CH4,p1,2049,3417482.8991030003,1.5,5151.0,0.6892058320244606,8858165181.363575
CH4,p1,2050,3417482.8991030003,2.5,3547.0,0.5262347214139321,4657404614.165125
CH4,p1,2050,3417482.8991030003,2.0,4231.0,0.597579284831646,6308728538.656653
CH4,p1,2050,3417482.8991030003,1.5,5260.0,0.6790205241620302,8911933280.729343
CH4,p10,2023,3809469.846028,2.5,1457.0,1.025,4153793363.953897
CH4,p10,2023,3809469.846028,2.0,1874.0,1.02,5316566241.57932
CH4,p10,2023,3809469.846028,1.5,2564.0,1.015,7238449254.536023
CH4,p10,2024,3809469.846028,2.5,1524.0,1.0,4238834281.377197
CH4,p10,2024,3809469.846028,2.0,1950.0,1.0,5423705281.289721
CH4,p10,2024,3809469.846028,1.5,2650.0,1.0,7370676407.906544
CH4,p10,2025,2936360.745756,2.5,1590.0,0.9756097560975612,3325673419.436702
CH4,p10,2025,2936360.745756,2.0,2025.0,0.9803921568627452,4256289857.7002735
CH4,p10,2025,2936360.745756,1.5,2737.0,0.9852216748768474,5781161416.936648
CH4,p10,2026,2936360.745756,2.5,1657.0,0.9518143961927424,3381279862.5596647
CH4,p10,2026,2936360.745756,2.0,2101.0,0.9611687812379854,4329443229.740148
CH4,p10,2026,2936360.745756,1.5,2823.0,0.9706617486471404,5874692430.499813
CH4,p10,2027,2936360.745756,2.5,1724.0,0.928599410919749,3432195406.363463
CH4,p10,2027,2936360.745756,2.0,2176.0,0.9423223345470444,4396071183.616839
CH4,p10,2027,2936360.745756,1.5,2910.0,0.9563169937410252,5966246637.928228
CH4,p10,2028,3329276.399116,2.5,1791.0,0.9059506447997552,3944090823.0914245
CH4,p10,2028,3329276.399116,2.0,2252.0,0.9238454260265142,5057250686.356937
CH4,p10,2028,3329276.399116,1.5,2996.0,0.9421842302867244,6861584608.839487
CH4,p10,2029,3329276.399116,2.5,1857.0,0.8838542876095173,3989691905.860346
CH4,p10,2029,3329276.399116,2.0,2327.0,0.905730809829916,5123211762.595599
CH4,p10,2029,3329276.399116,1.5,3083.0,0.9282603254056396,6956488897.857944
CH4,p10,2030,3329276.399116,2.5,1924.0,0.8622968659605048,4032818328.473833
CH4,p10,2030,3329276.399116,2.0,2403.0,0.887971382186192,5186800250.055706
CH4,p10,2030,3329276.399116,1.5,3169.0,0.914542192517872,7044866514.865993
CH4,p10,2031,5739900.8396310005,2.5,2002.0,0.8412652350834192,7058271113.378354
CH4,p10,2031,5739900.8396310005,2.0,2490.0,0.8705601786139138,9084467285.029676
CH4,p10,2031,5739900.8396310005,1.5,3270.0,0.9010267906580018,12347720133.009632
CH4,p10,2032,5739900.8396310005,2.5,2080.0,0.8207465708130922,7154408477.291968
CH4,p10,2032,5739900.8396310005,2.0,2578.0,0.8534903711901114,9221102709.192259
CH4,p10,2032,5739900.8396310005,1.5,3371.0,0.887711123800987,12540987501.958532
CH4,p10,2033,5739900.8396310005,2.5,2157.0,0.8007283617688704,7238301634.858712
CH4,p10,2033,5739900.8396310005,2.0,2666.0,0.8367552658726582,9348887198.88748
CH4,p10,2033,5739900.8396310005,1.5,3471.0,0.874592240198017,12722180528.295698
CH4,p10,2034,5231387.687024,2.5,2235.0,0.7811984017257273,6668877042.308951
CH4,p10,2034,5231387.687024,2.0,2754.0,0.8203482998751551,8629309682.558735
CH4,p10,2034,5231387.687024,1.5,3572.0,0.8616672317221843,11756143114.157354
CH4,p10,2035,5231387.687024,2.5,2313.0,0.7621447821714413,6733284268.613784
CH4,p10,2035,5231387.687024,2.0,2842.0,0.8042630390932893,8730437765.329548
CH4,p10,2035,5231387.687024,1.5,3673.0,0.848933233223827,11909905079.545885
CH4,p10,2036,5231387.687024,2.5,2391.0,0.7435558850453087,6790582470.766743
CH4,p10,2036,5231387.687024,2.0,2929.0,0.7884931755816562,8821270651.24334
CH4,p10,2036,5231387.687024,1.5,3774.0,0.836387421895396,12056554827.654919
CH4,p10,2037,7529493.8653690005,2.5,2468.0,0.7254203756539598,9842323146.028545
CH4,p10,2037,7529493.8653690005,2.0,3017.0,0.773032525080055,12821410107.560097
CH4,p10,2037,7529493.8653690005,1.5,3875.0,0.8240270166457105,17553991032.070934
CH4,p10,2038,7529493.8653690005,2.5,2546.0,0.7077271957599608,9905741680.748184
CH4,p10,2038,7529493.8653690005,2.0,3105.0,0.7578750245882894,12936652558.369925
CH4,p10,2038,7529493.8653690005,1.5,3975.0,0.8118492774834588,17740883992.367897
CH4,p10,2039,7529493.8653690005,2.5,2624.0,0.6904655568389862,9960211587.869343
CH4,p10,2039,7529493.8653690005,2.0,3193.0,0.7430147299885189,13042446281.732553
CH4,p10,2039,7529493.8653690005,1.5,4076.0,0.7998515049098116,17922816408.6852
CH4,p10,2040,7040688.604787,2.5,2702.0,0.67362493350145,9356546191.574982
CH4,p10,2040,7040688.604787,2.0,3280.0,0.7284458137142342,12282397911.616938
CH4,p10,2040,7040688.604787,1.5,4177.0,0.7880310393200115,16920760048.44148
CH4,p10,2041,7040688.604787,2.5,2786.0,0.6571950570745855,9412120268.537453
CH4,p10,2041,7040688.604787,2.0,3375.0,0.7141625624649355,12390331465.718306
CH4,p10,2041,7040688.604787,1.5,4285.0,0.7763852604138046,17101735119.383951
CH4,p10,2042,7040688.604787,2.5,2871.0,0.641165909341059,9462713319.549324
CH4,p10,2042,7040688.604787,2.0,3471.0,0.700159374965623,12492909373.277628
CH4,p10,2042,7040688.604787,1.5,4394.0,0.7649115866145859,17277597786.889328
CH4,p10,2043,6701962.77336,2.5,2955.0,0.6255277164303016,9044883651.701334
CH4,p10,2043,6701962.77336,2.0,3566.0,0.6864307597702186,11977798900.91892
CH4,p10,2043,6701962.77336,1.5,4502.0,0.7536074744971291,16601587925.570131
CH4,p10,2044,6701962.77336,2.5,3040.0,0.6102709428588309,9078105336.526617
CH4,p10,2044,6701962.77336,2.0,3661.0,0.6729713331080575,12055777818.906275
CH4,p10,2044,6701962.77336,1.5,4610.0,0.7424704182237725,16748619734.825747
CH4,p10,2045,6701962.77336,2.5,3124.0,0.5953862857159326,9101412410.561344
CH4,p10,2045,6701962.77336,2.0,3756.0,0.6597758167726053,12126093665.561205
CH4,p10,2045,6701962.77336,1.5,4718.0,0.7314979489889384,16887680007.887732
CH4,p10,2046,6475137.589465,2.5,3209.0,0.5808646689911537,8812327125.186953
CH4,p10,2046,6475137.589465,2.0,3851.0,0.6468390360515739,11776484688.191643
CH4,p10,2046,6475137.589465,1.5,4827.0,0.7206876344718607,16446379266.787916
CH4,p10,2047,6475137.589465,2.5,3293.0,0.56669723804015,8822440916.398434
CH4,p10,2047,6475137.589465,2.0,3946.0,0.6341559176976214,11830390013.18838
CH4,p10,2047,6475137.589465,1.5,4935.0,0.7100370782973997,16565864973.72607
CH4,p10,2048,6475137.589465,2.5,3378.0,0.5528753541855124,8829432844.420586
CH4,p10,2048,6475137.589465,2.0,4041.0,0.6217214879388445,11877653728.097515
CH4,p10,2048,6475137.589465,1.5,5043.0,0.6995439195048273,16678227212.381765
CH4,p10,2049,5966686.4492689995,2.5,3462.0,0.5393905894492803,8135056539.463983
CH4,p10,2049,5966686.4492689995,2.0,4136.0,0.6095308705282789,10982630766.497652
CH4,p10,2049,5966686.4492689995,1.5,5151.0,0.6892058320244606,15465737712.074951
CH4,p10,2050,5966686.4492689995,2.5,3547.0,0.5262347214139321,8131503161.989755
CH4,p10,2050,5966686.4492689995,2.0,4231.0,0.597579284831646,11014599398.170906
CH4,p10,2050,5966686.4492689995,1.5,5260.0,0.6790205241620302,15559613058.158728
CH4,p100,2023,680481.843244,2.5,1457.0,1.025,741988013.8190935
CH4,p100,2023,680481.843244,2.0,1874.0,1.02,949692986.69496
CH4,p100,2023,680481.843244,1.5,2564.0,1.015,1292997054.718943
CH4,p100,2024,680481.843244,2.5,1524.0,1.0,757178789.0656031
CH4,p100,2024,680481.843244,2.0,1950.0,1.0,968831127.7414213
CH4,p100,2024,680481.843244,1.5,2650.0,1.0,1316616660.7768035
CH4,p100,2025,709809.868563,2.5,1590.0,0.9756097560975612,803918870.0317765
CH4,p100,2025,709809.868563,2.0,2025.0,0.9803921568627452,1028877854.611978
CH4,p100,2025,709809.868563,1.5,2737.0,0.9852216748768474,1397486814.734267
CH4,p100,2026,709809.868563,2.5,1657.0,0.9518143961927424,817360679.6396095
CH4,p100,2026,709809.868563,2.0,2101.0,0.9611687812379854,1046561303.5777128
CH4,p100,2026,709809.868563,1.5,2823.0,0.9706617486471404,1420096174.4799278
CH4,p100,2027,709809.868563,2.5,1724.0,0.928599410919749,829668552.7466252
