i,v,r,t,Value
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,2.5
battery_4,new1,p7,2026,0.2
battery_4,new1,p8,2029,150.0
battery_4,new1,p8,2047,3.51097
battery_4,new1,p8,2050,316.290552
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2041,993.800976
battery_4,new1,p9,2044,1355.721808
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p10,2041,1838.926396
battery_4,new1,p10,2050,375.369145
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2041,93.679661
battery_4,new1,p11,2044,235.612253
battery_4,new1,p12,2029,27.92244
battery_4,new1,p12,2038,27.89
battery_4,new1,p12,2041,10.814082
battery_4,new1,p12,2044,420.91
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,551.2
battery_4,new1,p13,2029,392.98756
battery_4,new1,p13,2041,540.385918
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p18,2026,100.0
battery_4,new1,p23,2044,194.653789
battery_4,new1,p24,2038,38.387242
battery_4,new1,p24,2041,161.799749
battery_4,new1,p24,2044,35.793361
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2047,513.776247
battery_4,new1,p29,2044,42.056872
battery_4,new1,p29,2047,39.916917
battery_4,new1,p30,2029,484.54017
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p31,2044,301.512168
battery_4,new1,p31,2047,389.577048
battery_4,new1,p33,2023,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p37,2029,300.0
battery_4,new1,p39,2050,86.930402
battery_4,new1,p40,2023,1.0
battery_4,new1,p43,2023,0.768718
battery_4,new1,p43,2029,320.0
battery_4,new1,p47,2044,402.663244
battery_4,new1,p47,2050,377.627101
battery_4,new1,p48,2026,200.0
battery_4,new1,p48,2041,34.632686
battery_4,new1,p48,2044,107.092542
battery_4,new1,p48,2047,909.309196
