i,r,t,Value
battery_4,p6,2026,-93.124549
battery_4,p6,2029,-206.660532
battery_4,p6,2032,-328.294354
battery_4,p6,2035,-411.859158
battery_4,p6,2038,-437.295257
battery_4,p6,2041,-519.238021
battery_4,p6,2044,-555.044672
battery_4,p6,2047,-568.021949
battery_4,p6,2050,-498.533891
battery_4,p7,2026,-10.911547
battery_4,p7,2029,-18.686122
battery_4,p7,2032,-32.219171
battery_4,p7,2035,-42.149769
battery_4,p7,2038,-40.729423
battery_4,p8,2029,-39313.651244
battery_4,p8,2032,-34118.819923
battery_4,p8,2035,-33373.497369
battery_4,p8,2038,-32300.638523
battery_4,p8,2041,-44127.618842
battery_4,p8,2047,-1030.570129
battery_4,p8,2050,-83615.760369
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-194959.615886
battery_4,p9,2026,-415045.207234
battery_4,p9,2029,-475603.642605
battery_4,p9,2032,-452559.767535
battery_4,p9,2035,-495584.062884
battery_4,p9,2038,-44686.083604
battery_4,p9,2041,-256893.385701
battery_4,p9,2044,-624966.651874
battery_4,p9,2047,-631866.001693
battery_4,p9,2050,-594042.004036
battery_4,p10,2020,-3515.004264
battery_4,p10,2023,-870788.353876
battery_4,p10,2026,-1484142.361999
battery_4,p10,2029,-1572374.221476
battery_4,p10,2032,-1521841.755632
battery_4,p10,2035,-1527600.372991
battery_4,p10,2038,-508533.272625
battery_4,p10,2041,-507928.301625
battery_4,p10,2044,-499699.407898
battery_4,p10,2047,-501234.87814
battery_4,p10,2050,-579856.057544
battery_4,p11,2020,-7565.885956
battery_4,p11,2023,-69408.782381
battery_4,p11,2026,-144510.614983
battery_4,p11,2029,-175666.675898
battery_4,p11,2032,-164283.408054
battery_4,p11,2035,-104456.561876
battery_4,p11,2038,-74197.096886
battery_4,p11,2041,-25425.10094
battery_4,p11,2044,-89159.71932
battery_4,p11,2047,-87966.974267
battery_4,p11,2050,-85436.855918
battery_4,p12,2029,-6865.744301
battery_4,p12,2032,-5961.977624
battery_4,p12,2035,-6369.730777
battery_4,p12,2038,-12268.280798
battery_4,p12,2041,-16676.883493
battery_4,p12,2044,-113158.813084
battery_4,p12,2047,-129226.068359
battery_4,p12,2050,-121692.679704
battery_4,p13,2023,-10097.267375
battery_4,p13,2026,-141869.417313
battery_4,p13,2029,-233907.457582
battery_4,p13,2032,-231077.407465
battery_4,p13,2035,-236806.913423
battery_4,p13,2038,-227390.314342
battery_4,p13,2041,-241599.800899
battery_4,p13,2044,-148611.481916
battery_4,p13,2047,-159719.425014
battery_4,p13,2050,-153683.719114
battery_4,p15,2023,-2047.737278
battery_4,p15,2026,-8006.137943
battery_4,p15,2029,-14693.53646
battery_4,p15,2032,-13286.806069
battery_4,p15,2035,-20742.517595
battery_4,p16,2023,-72.007367
battery_4,p16,2026,-159.327969
battery_4,p16,2029,-240.167131
battery_4,p16,2032,-232.901736
battery_4,p16,2035,-367.259236
battery_4,p18,2026,-452.750713
battery_4,p18,2029,-4543.705349
battery_4,p18,2032,-5792.911744
battery_4,p18,2035,-11498.984598
battery_4,p18,2038,-8735.397097
battery_4,p23,2044,-42324.700278
battery_4,p23,2047,-48740.41271
battery_4,p23,2050,-44494.337768
battery_4,p24,2038,-9660.246396
battery_4,p24,2041,-49177.869232
battery_4,p24,2044,-53194.572541
battery_4,p24,2047,-55378.912358
battery_4,p24,2050,-54287.018004
battery_4,p28,2023,-167247.111418
battery_4,p28,2026,-205014.744024
battery_4,p28,2029,-273681.599399
battery_4,p28,2032,-225687.434603
battery_4,p28,2035,-255702.941068
battery_4,p28,2038,-56253.284609
battery_4,p28,2047,-101220.73898
battery_4,p28,2050,-100388.614407
battery_4,p29,2044,-8298.959634
battery_4,p29,2047,-16845.448603
battery_4,p29,2050,-17233.939623
battery_4,p30,2029,-100703.224211
battery_4,p30,2032,-94384.800519
battery_4,p30,2035,-111434.090943
battery_4,p30,2038,-99927.592692
battery_4,p30,2041,-102782.528645
battery_4,p31,2023,-15930.534508
battery_4,p31,2026,-54337.37247
battery_4,p31,2029,-56613.65103
battery_4,p31,2032,-51552.978589
battery_4,p31,2035,-53882.167853
battery_4,p31,2038,-33456.860176
battery_4,p31,2044,-60938.495362
battery_4,p31,2047,-151363.264796
battery_4,p31,2050,-153141.669129
battery_4,p33,2023,-1066.613635
battery_4,p33,2026,-988.781009
battery_4,p33,2029,-1257.800805
battery_4,p33,2032,-1206.827247
battery_4,p33,2035,-1196.146822
battery_4,p34,2023,-50454.146002
battery_4,p34,2026,-45284.015485
battery_4,p34,2029,-58761.712152
battery_4,p34,2032,-55733.45283
battery_4,p34,2035,-54075.021889
battery_4,p37,2029,-50080.279079
battery_4,p37,2032,-41572.882897
battery_4,p37,2035,-43076.50052
battery_4,p37,2038,-38785.51247
battery_4,p37,2041,-32841.946497
battery_4,p39,2050,-20422.399183
battery_4,p40,2023,-267.997564
battery_4,p40,2026,-281.506173
battery_4,p40,2029,-313.703163
battery_4,p40,2032,-251.846239
battery_4,p40,2035,-272.80934
battery_4,p43,2023,-182.782991
battery_4,p43,2026,-180.254431
battery_4,p43,2029,-52832.038161
battery_4,p43,2032,-44340.17114
battery_4,p43,2035,-49653.793708
battery_4,p43,2038,-41810.33909
battery_4,p43,2041,-37373.471091
battery_4,p47,2044,-90654.77357
battery_4,p47,2047,-95223.045972
battery_4,p47,2050,-199231.210829
battery_4,p48,2026,-68849.16991
battery_4,p48,2029,-62051.880083
battery_4,p48,2032,-50387.189853
battery_4,p48,2035,-49332.315432
battery_4,p48,2038,-45777.057758
battery_4,p48,2041,-7710.086085
battery_4,p48,2044,-26100.953634
battery_4,p48,2047,-188081.41314
battery_4,p48,2050,-181218.808664
battery_4,p49,2047,-34847.313543
battery_4,p49,2050,-31825.749414
battery_4,p52,2047,-613.506311
battery_4,p52,2050,-584.69192
battery_4,p59,2044,-2740.056099
battery_4,p59,2047,-21913.105847
battery_4,p59,2050,-21172.053548
battery_4,p60,2023,-10725.537673
battery_4,p60,2026,-55542.776824
battery_4,p60,2029,-56861.381356
battery_4,p60,2032,-55928.739581
battery_4,p60,2035,-54893.41765
battery_4,p60,2038,-45165.129423
battery_4,p60,2044,-179490.259853
battery_4,p60,2047,-183730.735043
battery_4,p60,2050,-573740.40946
battery_4,p61,2023,-63641.38781
battery_4,p61,2026,-180404.849825
battery_4,p61,2029,-192605.917247
battery_4,p61,2032,-186906.745349
battery_4,p61,2035,-191771.725728
battery_4,p61,2038,-117678.170847
battery_4,p62,2023,-131424.415708
battery_4,p62,2026,-138640.352142
battery_4,p62,2029,-152408.094814
battery_4,p62,2032,-133018.513108
battery_4,p62,2035,-132699.703654
battery_4,p62,2044,-217738.363731
battery_4,p62,2047,-218156.218813
battery_4,p62,2050,-251572.448263
battery_4,p63,2023,-155496.368017
battery_4,p63,2026,-210693.779268
battery_4,p63,2029,-426976.823116
battery_4,p63,2032,-410096.848275
battery_4,p63,2035,-418870.312443
battery_4,p63,2038,-225528.029296
battery_4,p63,2041,-197539.273454
battery_4,p63,2047,-31580.483214
battery_4,p63,2050,-42098.188661
battery_4,p64,2023,-76383.46168
battery_4,p64,2026,-114716.165664
battery_4,p64,2029,-166082.71795
battery_4,p64,2032,-161525.998769
battery_4,p64,2035,-153521.502792
battery_4,p64,2038,-79028.589623
battery_4,p64,2041,-58137.98876
battery_4,p65,2023,-75182.736889
battery_4,p65,2026,-98700.053166
battery_4,p65,2029,-413320.234913
battery_4,p65,2032,-418271.832124
battery_4,p65,2035,-400030.389822
battery_4,p65,2038,-358861.50249
battery_4,p65,2041,-393577.617777
battery_4,p67,2023,-54499.374667
battery_4,p67,2026,-74573.859633
battery_4,p67,2029,-245512.900829
battery_4,p67,2032,-254251.291894
battery_4,p67,2035,-221859.37652
battery_4,p67,2038,-145769.419989
battery_4,p67,2041,-141141.697579
battery_4,p70,2023,-1329.306192
battery_4,p70,2026,-1291.412149
battery_4,p70,2029,-38104.950349
battery_4,p70,2032,-34462.21351
battery_4,p70,2035,-24021.669653
battery_4,p70,2038,-20649.156078
battery_4,p70,2041,-19211.419591
battery_4,p72,2029,-101322.53966
battery_4,p72,2032,-87789.846312
battery_4,p72,2035,-74216.634076
battery_4,p72,2038,-71685.026794
battery_4,p72,2041,-70390.401149
battery_4,p74,2026,-123696.324858
battery_4,p74,2029,-106907.106637
battery_4,p74,2032,-89748.787247
battery_4,p74,2035,-96652.609038
battery_4,p74,2038,-82031.53189
battery_4,p74,2041,-74616.019432
battery_4,p74,2044,-63892.054018
battery_4,p74,2047,-61881.05525
battery_4,p74,2050,-53518.208931
battery_4,p76,2023,-1145.517156
battery_4,p76,2026,-1147.420757
battery_4,p76,2029,-815.770826
battery_4,p76,2032,-666.454826
battery_4,p76,2035,-783.981319
battery_4,p77,2023,-71.444381
battery_4,p77,2026,-69.444504
battery_4,p77,2029,-50.9796
battery_4,p77,2032,-41.783891
battery_4,p77,2035,-47.766325
battery_4,p78,2023,-68.731029
battery_4,p78,2026,-69.452551
battery_4,p78,2029,-50.38967
battery_4,p78,2032,-40.203544
battery_4,p78,2035,-46.691193
battery_4,p79,2029,-60452.227051
battery_4,p79,2032,-55267.023935
battery_4,p79,2035,-66456.838915
battery_4,p79,2038,-53380.232918
battery_4,p79,2041,-48573.680734
battery_4,p81,2029,-95235.722548
battery_4,p81,2032,-76765.055498
battery_4,p81,2035,-72805.542025
battery_4,p81,2038,-66873.482753
battery_4,p81,2041,-66461.404694
battery_4,p81,2050,-96208.415196
battery_4,p86,2050,-578429.605474
battery_4,p87,2023,-149.480318
battery_4,p87,2026,-38.180375
battery_4,p87,2029,-258.56224
battery_4,p87,2032,-296.260213
battery_4,p87,2035,-281.007772
battery_4,p88,2023,-6490.136315
battery_4,p88,2026,-14309.480255
battery_4,p88,2029,-24185.036391
battery_4,p88,2032,-17186.14782
battery_4,p88,2035,-22179.621341
battery_4,p88,2038,-7265.626755
battery_4,p94,2026,-3692.44088
battery_4,p94,2029,-8174.272109
battery_4,p94,2032,-5240.084434
battery_4,p94,2035,-3165.264948
battery_4,p94,2038,-2549.346537
battery_4,p95,2029,-121813.451838
battery_4,p95,2032,-92854.279215
battery_4,p95,2035,-80627.221085
battery_4,p95,2038,-60182.802814
battery_4,p95,2041,-77829.807479
battery_4,p96,2023,-10974.067245
battery_4,p96,2026,-10517.435476
battery_4,p96,2029,-39596.945298
battery_4,p96,2032,-38883.917138
battery_4,p96,2035,-36974.628426
battery_4,p96,2038,-24558.786224
battery_4,p96,2041,-24514.885374
battery_4,p97,2026,-3930.582371
battery_4,p97,2029,-3533.784821
battery_4,p97,2032,-2518.789421
battery_4,p97,2035,-2398.700621
battery_4,p97,2038,-1837.756421
battery_4,p98,2023,-4796.996994
battery_4,p98,2026,-31365.57852
battery_4,p98,2029,-185646.587647
battery_4,p98,2032,-172479.390646
battery_4,p98,2035,-180799.356641
battery_4,p98,2038,-169701.448804
battery_4,p98,2041,-137213.824195
battery_4,p99,2023,-3062.635107
battery_4,p99,2026,-36197.397422
battery_4,p99,2029,-142382.10848
battery_4,p99,2032,-102155.594744
battery_4,p99,2035,-109160.029088
battery_4,p99,2038,-61873.134409
battery_4,p99,2041,-49002.162537
battery_4,p99,2044,-49626.740266
battery_4,p99,2047,-952916.656067
battery_4,p99,2050,-992246.659046
battery_4,p100,2050,-113901.221662
battery_4,p101,2023,-15.945126
battery_4,p101,2026,-1671.849462
battery_4,p101,2029,-8085.460761
battery_4,p101,2032,-6844.68872
battery_4,p101,2035,-6128.215946
battery_4,p101,2038,-3401.40989
battery_4,p103,2026,-159935.308162
battery_4,p103,2029,-202085.470619
battery_4,p103,2032,-242234.838984
battery_4,p103,2035,-237984.538765
battery_4,p103,2038,-202859.743002
battery_4,p103,2041,-131647.099092
battery_4,p103,2044,-116791.796346
battery_4,p103,2047,-107380.921259
battery_4,p103,2050,-94015.978068
battery_4,p104,2029,-95550.018706
battery_4,p104,2032,-101460.506761
battery_4,p104,2035,-75444.23042
battery_4,p104,2038,-50921.648413
battery_4,p104,2041,-65339.958304
battery_4,p104,2044,-56992.537054
battery_4,p104,2047,-52994.598305
battery_4,p104,2050,-47344.051972
battery_4,p106,2029,-7552.586402
battery_4,p106,2032,-5920.047392
battery_4,p106,2035,-6054.808788
battery_4,p106,2038,-4445.150799
battery_4,p106,2041,-4230.862681
battery_4,p108,2029,-46416.878917
battery_4,p108,2032,-38626.84514
battery_4,p108,2035,-42368.642981
battery_4,p108,2038,-28287.808826
battery_4,p108,2041,-30616.596553
battery_4,p110,2029,-5288.087733
battery_4,p110,2032,-3633.885049
battery_4,p110,2035,-3775.05031
battery_4,p110,2038,-1911.788983
battery_4,p110,2041,-1993.527951
battery_4,p111,2023,-2267.448159
battery_4,p111,2026,-2183.46828
battery_4,p111,2029,-2345.227038
battery_4,p111,2032,-1234.445741
battery_4,p111,2035,-1585.073762
battery_4,p114,2029,-56418.066352
battery_4,p114,2032,-33929.479325
battery_4,p114,2035,-39108.668373
battery_4,p114,2038,-16197.372871
battery_4,p114,2041,-22326.187217
battery_4,p115,2029,-58928.764244
battery_4,p115,2032,-37883.605742
battery_4,p115,2035,-40785.012137
battery_4,p115,2038,-16457.308609
battery_4,p115,2041,-28583.323604
battery_4,p117,2029,-16960.225353
battery_4,p117,2032,-11545.55084
battery_4,p117,2035,-11212.881876
battery_4,p117,2038,-6120.396595
battery_4,p117,2041,-10512.511818
battery_4,p118,2032,-51684.721328
battery_4,p118,2035,-288486.168855
battery_4,p118,2038,-177748.123284
battery_4,p118,2041,-281078.509289
battery_4,p118,2044,-323934.782464
battery_4,p118,2047,-320530.12343
battery_4,p118,2050,-363333.191148
battery_4,p121,2023,-834.186787
battery_4,p121,2026,-951.317492
battery_4,p121,2029,-20669.711611
battery_4,p121,2032,-118703.28492
battery_4,p121,2035,-137811.69967
battery_4,p121,2038,-99577.030144
battery_4,p121,2041,-120150.855172
battery_4,p121,2044,-106986.807187
battery_4,p121,2047,-69233.217993
battery_4,p121,2050,-63287.007262
battery_4,p123,2026,-148277.884579
battery_4,p123,2029,-309895.707052
battery_4,p123,2032,-206799.737503
battery_4,p123,2035,-279604.086955
battery_4,p123,2038,-198710.731314
battery_4,p123,2041,-241560.198587
battery_4,p123,2044,-238192.759833
battery_4,p123,2047,-241415.373373
battery_4,p123,2050,-267152.056261
battery_4,p124,2032,-18647.206208
battery_4,p124,2035,-26584.323321
battery_4,p124,2038,-26515.949231
battery_4,p124,2041,-48947.754514
battery_4,p124,2044,-62900.44724
battery_4,p124,2047,-70438.673884
battery_4,p124,2050,-91578.038073
battery_4,p125,2041,-140658.573314
battery_4,p125,2044,-280492.504263
battery_4,p125,2047,-301197.470034
battery_4,p125,2050,-327897.521323
battery_4,p126,2023,-5342.944598
battery_4,p126,2026,-214520.712421
battery_4,p126,2029,-330991.027925
battery_4,p126,2032,-202368.609063
battery_4,p126,2035,-240148.300309
battery_4,p126,2038,-155991.38369
battery_4,p126,2041,-214709.790401
battery_4,p126,2044,-223495.389984
