ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,NOX,426.24,AP2,ACS,559.4,238436.14,0.0344
p1,WA,2010,NOX,426.24,AP2,H6C,1436.07,612105.73,0.0883
p1,WA,2010,NOX,426.24,EASIUR,ACS,7504.37,3198634.91,0.4614
p1,WA,2010,NOX,426.24,EASIUR,H6C,19279.96,8217821.99,1.1854
p1,WA,2010,NOX,426.24,InMAP,ACS,1978.42,843276.05,0.1216
p1,WA,2010,NOX,426.24,InMAP,H6C,5082.01,2166136.78,0.3125
p1,WA,2015,NOX,296.48,AP2,ACS,559.4,165847.75,0.0239
p1,WA,2015,NOX,296.48,AP2,H6C,1436.07,425759.12,0.0614
p1,WA,2015,NOX,296.48,EASIUR,ACS,7504.37,2224857.45,0.3209
p1,WA,2015,NOX,296.48,EASIUR,H6C,19279.96,5716026.67,0.8245
p1,WA,2015,NOX,296.48,InMAP,ACS,1978.42,586553.03,0.0846
p1,WA,2015,NOX,296.48,InMAP,H6C,5082.01,1506688.22,0.2173
p1,WA,2020,NOX,417.91,AP2,ACS,559.4,233775.67,0.0337
p1,WA,2020,NOX,417.91,AP2,H6C,1436.07,600141.52,0.0866
p1,WA,2020,NOX,417.91,EASIUR,ACS,7504.37,3136114.42,0.4524
p1,WA,2020,NOX,417.91,EASIUR,H6C,19279.96,8057196.5,1.1622
p1,WA,2020,NOX,417.91,InMAP,ACS,1978.42,826793.39,0.1193
p1,WA,2020,NOX,417.91,InMAP,H6C,5082.01,2123797.49,0.3063
p1,WA,2023,NOX,277.86,AP2,ACS,559.4,155434.91,0.0224
p1,WA,2023,NOX,277.86,AP2,H6C,1436.07,399027.59,0.0576
p1,WA,2023,NOX,277.86,EASIUR,ACS,7504.37,2085168.47,0.3008
p1,WA,2023,NOX,277.86,EASIUR,H6C,19279.96,5357142.6,0.7727
p1,WA,2023,NOX,277.86,InMAP,ACS,1978.42,549725.96,0.0793
p1,WA,2023,NOX,277.86,InMAP,H6C,5082.01,1412089.92,0.2037
p1,WA,2026,NOX,478.45,AP2,ACS,559.4,267643.01,0.0386
p1,WA,2026,NOX,478.45,AP2,H6C,1436.07,687084.7,0.0991
p1,WA,2026,NOX,478.45,EASIUR,ACS,7504.37,3590446.86,0.5179
p1,WA,2026,NOX,478.45,EASIUR,H6C,19279.96,9224451.68,1.3306
p1,WA,2026,NOX,478.45,InMAP,ACS,1978.42,946571.88,0.1365
p1,WA,2026,NOX,478.45,InMAP,H6C,5082.01,2431474.43,0.3507
p1,WA,2029,NOX,434.01,AP2,ACS,559.4,242782.41,0.035
p1,WA,2029,NOX,434.01,AP2,H6C,1436.07,623263.34,0.0899
p1,WA,2029,NOX,434.01,EASIUR,ACS,7504.37,3256940.36,0.4698
p1,WA,2029,NOX,434.01,EASIUR,H6C,19279.96,8367618.34,1.207
p1,WA,2029,NOX,434.01,InMAP,ACS,1978.42,858647.48,0.1239
p1,WA,2029,NOX,434.01,InMAP,H6C,5082.01,2205621.62,0.3181
p1,WA,2032,NOX,857.65,AP2,ACS,559.4,479766.43,0.0692
p1,WA,2032,NOX,857.65,AP2,H6C,1436.07,1231641.26,0.1777
p1,WA,2032,NOX,857.65,EASIUR,ACS,7504.37,6436095.15,0.9284
p1,WA,2032,NOX,857.65,EASIUR,H6C,19279.96,16535392.69,2.3851
