eall,r,t,dr,Value
CH4,p1,2023,2.5,140145299.55118436
CH4,p1,2023,2.0,179376223.90551782
CH4,p1,2023,1.5,244218850.13976282
CH4,p1,2024,2.5,143014504.58911896
CH4,p1,2024,2.0,182990999.9663924
CH4,p1,2024,1.5,248680076.87740502
CH4,p1,2025,2.5,444469960.2602613
CH4,p1,2025,2.0,568845086.4873627
CH4,p1,2025,1.5,772641285.2886846
CH4,p1,2026,2.5,451901656.1750286
CH4,p1,2026,2.0,578621896.2526987
CH4,p1,2026,1.5,785141528.2886612
CH4,p1,2027,2.5,458706422.2710744
CH4,p1,2027,2.0,587526596.2267604
CH4,p1,2027,1.5,797377574.8888894
CH4,p1,2028,2.5,357442800.7382628
CH4,p1,2028,2.0,458325614.3047046
CH4,p1,2028,1.5,621847754.0443016
CH4,p1,2029,2.5,361575509.5101274
CH4,p1,2029,2.0,464303496.88601327
CH4,p1,2029,1.5,630448685.5112503
CH4,p1,2030,2.5,365483946.20091945
CH4,p1,2030,2.0,470066357.8524439
CH4,p1,2030,1.5,638458121.4910157
CH4,p1,2031,2.5,968130236.7056773
CH4,p1,2031,2.0,1246048405.0167308
CH4,p1,2031,1.5,1693644381.6231282
CH4,p1,2032,2.5,981316679.5876366
CH4,p1,2032,2.0,1264789663.8054693
CH4,p1,2032,1.5,1720153420.5424943
CH4,p1,2033,2.5,992823676.2994992
CH4,p1,2033,2.0,1282316906.1384344
CH4,p1,2033,1.5,1745006312.229345
CH4,p1,2034,2.5,1032176604.5001305
CH4,p1,2034,2.0,1335602907.4783678
CH4,p1,2034,1.5,1819559095.8724973
CH4,p1,2035,2.5,1042145244.1572771
CH4,p1,2035,2.0,1351255024.0838714
CH4,p1,2035,1.5,1843357630.8176022
CH4,p1,2036,2.5,1051013583.3644615
CH4,p1,2036,2.0,1365313699.804632
CH4,p1,2036,1.5,1866055371.095863
CH4,p1,2037,2.5,2271501850.1153646
CH4,p1,2037,2.0,2959042936.1346765
CH4,p1,2037,1.5,4051271484.857423
CH4,p1,2038,2.5,2286138162.783618
CH4,p1,2038,2.0,2985639648.7545
CH4,p1,2038,1.5,4094404360.9873214
CH4,p1,2039,2.5,2298709228.8790507
CH4,p1,2039,2.0,3010055697.159268
CH4,p1,2039,1.5,4136392397.1581798
CH4,p1,2040,2.5,2743118790.262606
CH4,p1,2040,2.0,3600909546.2144294
CH4,p1,2040,1.5,4960767988.961482
CH4,p1,2041,2.5,2759411799.6322947
CH4,p1,2041,2.0,3632553120.060288
CH4,p1,2041,1.5,5013825613.805829
CH4,p1,2042,2.5,2774244489.606331
CH4,p1,2042,2.0,3662626544.583662
CH4,p1,2042,1.5,5065384402.472324
CH4,p1,2043,2.5,2616185059.5162597
CH4,p1,2043,2.0,3464515380.977848
CH4,p1,2043,1.5,4801922055.343679
CH4,p1,2044,2.5,2625794257.250441
CH4,p1,2044,2.0,3487070373.1758275
CH4,p1,2044,1.5,4844450233.42321
CH4,p1,2045,2.5,2632535705.921174
CH4,p1,2045,2.0,3507408862.265321
CH4,p1,2045,1.5,4884672686.554332
CH4,p1,2046,2.5,2860021649.4880996
CH4,p1,2046,2.0,3822032555.6035995
CH4,p1,2046,1.5,5337636709.4075365
CH4,p1,2047,2.5,2863304058.483172
CH4,p1,2047,2.0,3839527411.879726
CH4,p1,2047,1.5,5376415536.361291
CH4,p1,2048,2.5,2865573273.55326
CH4,p1,2048,2.0,3854866748.0113835
CH4,p1,2048,1.5,5412882457.138862
CH4,p1,2049,2.5,3487574477.403704
CH4,p1,2049,2.0,4708356059.99484
CH4,p1,2049,1.5,6630305746.148696
CH4,p1,2050,2.5,3486051111.397879
CH4,p1,2050,2.0,4722061310.027252
CH4,p1,2050,1.5,6670550981.012276
CH4,p10,2023,2.5,5202597088.067382
CH4,p10,2023,2.0,6658961971.239963
CH4,p10,2023,1.5,9066106980.807096
CH4,p10,2024,2.5,5309110241.367789
CH4,p10,2024,2.0,6793152867.891856
CH4,p10,2024,1.5,9231720564.058165
CH4,p10,2025,2.5,4130885820.198841
CH4,p10,2025,2.0,5286823209.119632
CH4,p10,2025,1.5,7180896831.881113
CH4,p10,2026,2.5,4199955701.2237945
CH4,p10,2026,2.0,5377688483.350446
CH4,p10,2026,1.5,7297073584.360418
CH4,p10,2027,2.5,4263198921.889294
CH4,p10,2027,2.0,5460448404.480858
CH4,p10,2027,1.5,7410794906.194131
CH4,p10,2028,2.5,4336729543.865867
CH4,p10,2028,2.0,5560705735.744078
CH4,p10,2028,1.5,7544663149.406322
CH4,p10,2029,2.5,4386870266.213951
CH4,p10,2029,2.0,5633233312.034823
CH4,p10,2029,1.5,7649015268.18013
CH4,p10,2030,2.5,4434289973.177636
CH4,p10,2030,2.0,5703152105.639542
