i,v,r,t,Value
battery_4,new1,p5,2041,1.412038
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,1.087962
battery_4,new1,p7,2026,0.2
battery_4,new1,p8,2044,252.065833
battery_4,new1,p8,2047,49.324167
battery_4,new1,p8,2050,134.573798
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2041,1567.317802
battery_4,new1,p9,2044,408.348587
battery_4,new1,p9,2047,143.118444
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p10,2041,703.851748
battery_4,new1,p10,2044,600.54407
battery_4,new1,p10,2047,558.656816
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2041,53.83045
battery_4,new1,p11,2044,329.544213
battery_4,new1,p12,2026,351.938985
battery_4,new1,p12,2029,200.0
battery_4,new1,p12,2032,13.394351
battery_4,new1,p12,2044,24.228722
battery_4,new1,p12,2047,75.608203
battery_4,new1,p12,2050,416.956202
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,199.261015
battery_4,new1,p13,2032,186.605649
battery_4,new1,p13,2038,48.8
battery_4,new1,p13,2041,551.2
battery_4,new1,p13,2044,175.771278
battery_4,new1,p13,2047,124.391797
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p18,2026,100.0
battery_4,new1,p23,2044,29.184117
battery_4,new1,p23,2047,1.782545
battery_4,new1,p24,2044,260.76947
battery_4,new1,p24,2050,171.741591
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2044,164.136783
battery_4,new1,p28,2047,1003.359711
battery_4,new1,p28,2050,587.429961
battery_4,new1,p29,2044,37.032274
battery_4,new1,p29,2047,23.697522
battery_4,new1,p30,2029,261.165019
battery_4,new1,p30,2050,140.588519
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p31,2044,172.321724
battery_4,new1,p33,2023,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p34,2050,368.904203
battery_4,new1,p40,2023,1.0
battery_4,new1,p43,2023,0.768718
battery_4,new1,p47,2047,119.526826
battery_4,new1,p47,2050,194.204305
battery_4,new1,p48,2026,200.0
battery_4,new1,p48,2038,23.721289
battery_4,new1,p48,2041,344.971682
battery_4,new1,p48,2044,758.268562
battery_4,new1,p48,2047,458.872006
battery_4,new1,p50,2050,1041.754506
battery_4,new1,p59,2050,79.86158
battery_4,new1,p60,2023,50.0
battery_4,new1,p60,2026,200.0
battery_4,new1,p60,2041,875.64065
battery_4,new1,p60,2044,1220.911228
battery_4,new1,p60,2050,560.652326
battery_4,new1,p61,2023,306.3
battery_4,new1,p61,2026,515.4
battery_4,new1,p62,2023,608.5
battery_4,new1,p63,2023,791.17181
battery_4,new1,p63,2026,191.8
battery_4,new1,p63,2047,728.22282
battery_4,new1,p63,2050,1736.940981
battery_4,new1,p64,2023,419.9
battery_4,new1,p64,2026,180.0
battery_4,new1,p65,2023,413.6
battery_4,new1,p65,2026,159.9
battery_4,new1,p65,2050,461.387878
battery_4,new1,p67,2023,250.0
battery_4,new1,p67,2026,150.0
battery_4,new1,p69,2029,200.0
battery_4,new1,p70,2023,5.0
battery_4,new1,p72,2029,300.0
battery_4,new1,p74,2026,675.680099
battery_4,new1,p74,2032,59.17
battery_4,new1,p74,2041,670.216575
battery_4,new1,p76,2023,5.0
battery_4,new1,p77,2023,0.3
battery_4,new1,p78,2023,0.3
battery_4,new1,p86,2050,2667.26774
battery_4,new1,p87,2023,1.3
battery_4,new1,p87,2050,132.254104
battery_4,new1,p88,2023,87.726953
battery_4,new1,p88,2026,50.0
battery_4,new1,p94,2026,65.0
battery_4,new1,p95,2029,319.7
battery_4,new1,p96,2023,38.653186
battery_4,new1,p96,2029,115.3
battery_4,new1,p97,2026,5.0
battery_4,new1,p98,2023,22.3
battery_4,new1,p98,2026,37.5
battery_4,new1,p98,2029,497.010734
battery_4,new1,p99,2023,20.0
battery_4,new1,p99,2026,255.0
battery_4,new1,p99,2041,196.522965
battery_4,new1,p99,2047,943.789489
battery_4,new1,p99,2050,1736.309032
battery_4,new1,p100,2035,7.545039
battery_4,new1,p101,2023,17.3
battery_4,new1,p101,2026,23.0
battery_4,new1,p103,2026,827.98545
battery_4,new1,p103,2029,177.5
battery_4,new1,p103,2041,1593.113425
battery_4,new1,p104,2026,759.664451
battery_4,new1,p104,2044,177.5
battery_4,new1,p104,2047,59.17
battery_4,new1,p111,2023,12.0
battery_4,new1,p118,2032,1057.139364
battery_4,new1,p118,2035,1737.633429
battery_4,new1,p118,2038,20.0
battery_4,new1,p118,2041,58.477035
battery_4,new1,p121,2023,5.439139
battery_4,new1,p121,2032,897.9
battery_4,new1,p121,2035,156.498031
battery_4,new1,p123,2026,899.460861
battery_4,new1,p123,2029,897.9
battery_4,new1,p123,2035,142.801969
battery_4,new1,p123,2038,5.439139
battery_4,new1,p123,2041,899.460861
battery_4,new1,p123,2044,897.9
battery_4,new1,p123,2047,897.9
battery_4,new1,p123,2050,299.3
battery_4,new1,p124,2032,17.860636
battery_4,new1,p124,2035,4.821533
battery_4,new1,p124,2047,131.210511
battery_4,new1,p124,2050,13.690968
battery_4,new1,p125,2041,234.659445
battery_4,new1,p125,2044,654.845884
battery_4,new1,p125,2047,442.732548
battery_4,new1,p125,2050,113.408881
battery_4,new1,p126,2023,47.0
battery_4,new1,p126,2026,1486.3
battery_4,new1,p126,2029,466.7
battery_4,new1,p126,2038,47.0
battery_4,new1,p126,2041,1486.3
battery_4,new1,p126,2044,466.7
battery_4,new1,p127,2023,73.189967
battery_4,new1,p127,2026,1387.668088
battery_4,new1,p127,2029,724.265641
battery_4,new1,p127,2032,242.215393
battery_4,new1,p127,2044,276.850522
battery_4,new1,p127,2047,332.475064
battery_4,new1,p128,2026,539.141945
battery_4,new1,p128,2029,25.734359
battery_4,new1,p128,2032,7.784607
battery_4,new1,p128,2038,73.189967
battery_4,new1,p128,2041,1926.810033
battery_4,new1,p128,2044,473.149478
battery_4,new1,p128,2047,161.734936
battery_4,new1,p129,2023,10.0
battery_4,new1,p129,2047,613.002513
battery_4,new1,p129,2050,122.75
battery_4,new1,p131,2023,38.797904
battery_4,new1,p131,2026,11.202096
battery_4,new1,p131,2038,38.797904
battery_4,new1,p131,2041,11.202096
battery_4,new1,p133,2026,72.6
battery_4,new1,p133,2029,122.4
battery_4,new1,p133,2041,72.6
battery_4,new1,p133,2044,122.4
battery_4,new1,p134,2047,174.457487
battery_8,new1,p10,2047,16.128392
battery_8,new1,p10,2050,2037.892405
battery_8,new1,p11,2050,144.653977
battery_8,new1,p125,2026,645.0
battery_8,new1,p127,2050,386.616098
biopower,new1,p5,2015,1.0
biopower,new1,p9,2015,28.7
biopower,new1,p10,2015,6.1
biopower,new1,p15,2015,16.3
biopower,new1,p16,2015,5.0
biopower,new1,p25,2015,3.0
biopower,new1,p33,2015,12.6
biopower,new1,p43,2015,7.6
biopower,new1,p46,2015,3.2
biopower,new1,p63,2015,50.0
biopower,new1,p66,2015,146.5
biopower,new1,p70,2015,1.0
biopower,new1,p75,2015,47.1
biopower,new1,p76,2015,1.4
biopower,new1,p77,2015,1.6
biopower,new1,p78,2015,4.0
biopower,new1,p79,2015,2.0
biopower,new1,p94,2015,55.0
biopower,new1,p96,2015,58.2
biopower,new1,p97,2015,0.8
biopower,new1,p99,2015,44.3
biopower,new1,p101,2015,102.5
biopower,new1,p103,2015,5.8
biopower,new1,p112,2015,2.4
biopower,new1,z122,2015,2.5
biopower,new1,p130,2015,67.5
biopower,new1,p132,2015,37.5
biopower,new2,p9,2020,4.0
biopower,new2,p9,2023,9.2
biopower,new2,p10,2020,25.0
biopower,new2,p10,2023,2.6
biopower,new2,p94,2020,165.5
biopower,new2,p97,2020,5.2
biopower,new2,p98,2020,1.7
biopower,new2,p103,2020,38.0
biopower,new2,p133,2020,3.2
biopower,new2,p134,2020,15.6
biopower,new3,p10,2026,2.6
biopower,new3,p58,2026,321.0
