r,t,Value
p1,2010,41768095.61628
p1,2015,36534439.429708
p1,2020,31866460.669125
p1,2023,37991133.249618
p1,2026,36243977.015422
p1,2029,36093659.122392
p1,2032,37831927.839334
p1,2035,40442356.814315
p1,2038,41575307.42307
p1,2041,37179044.979286
p1,2044,32156933.104582
p1,2047,33472965.213253
p1,2050,28545088.425935
p2,2010,-8250858.142649
p2,2015,1272829.519314
p2,2020,-7117663.145365
p2,2023,-4426293.246783
p2,2026,-1438413.694168
p2,2029,-3925042.321509
p2,2032,-2492961.503969
p2,2035,-3412833.256813
p2,2038,-2429507.064019
p2,2041,-2872035.33378
p2,2044,-686071.796214
p2,2047,-366294.793437
p2,2050,1208264.072877
p3,2010,7843887.2073
p3,2015,4515203.545908
p3,2020,3944947.97383
p3,2023,3966302.70829
p3,2026,3585275.094012
p3,2029,4592538.998745
p3,2032,5197527.90426
p3,2035,5455468.647202
p3,2038,5612032.210465
p3,2041,6113684.578534
p3,2044,6988283.137412
p3,2047,7637448.757076
p3,2050,7953917.76106
p4,2010,-49231738.091392
p4,2015,-57791335.19314
p4,2020,-64427006.486267
p4,2023,-64208301.534694
p4,2026,-61861581.314304
p4,2029,-62177116.073538
p4,2032,-63633373.857493
p4,2035,-63607389.366375
p4,2038,-63312289.45296
p4,2041,-62171029.959423
p4,2044,-62446902.302875
p4,2047,-64719032.828876
p4,2050,-65222811.10873
p5,2010,-7658108.906847
p5,2015,-4662599.118643
p5,2020,-13743660.864307
p5,2023,-6687646.316578
p5,2026,-10974620.711679
p5,2029,-12974351.421853
p5,2032,-10394400.656836
p5,2035,-8450189.532473
p5,2038,-5205351.30513
p5,2041,-4035889.224884
p5,2044,443928.687329
p5,2047,717959.243924
p5,2050,5975595.419919
p6,2010,5716426.05996
p6,2015,7484581.463938
p6,2020,6532462.923899
p6,2023,7566315.355871
p6,2026,6633823.812612
p6,2029,7117843.66922
p6,2032,8059560.041665
p6,2035,8953857.618384
p6,2038,10241708.283368
p6,2041,11009445.102119
p6,2044,11820397.652043
p6,2047,12921424.157291
p6,2050,14039570.236102
p7,2010,78744.6903
p7,2015,214154.107956
p7,2020,-636805.708981
p7,2023,-1501341.863882
p7,2026,-1616788.550985
p7,2029,-1570829.890143
p7,2032,-5961298.531287
p7,2035,-12334239.318533
p7,2038,-12361962.036469
p7,2041,-15742882.49469
p7,2044,-18906990.036008
p7,2047,-21334806.956237
p7,2050,-24431697.255069
p8,2010,871011.542205
p8,2015,920799.901665
p8,2020,772913.041065
p8,2023,960768.205269
p8,2026,-69616.352365
p8,2029,-914728.071911
p8,2032,-2026275.104453
p8,2035,-1681905.742039
p8,2038,-4534215.658722
p8,2041,-4952174.176866
p8,2044,-5978128.422975
p8,2047,-6735740.286432
p8,2050,-8756183.626156
p9,2010,5189768.360355
p9,2015,2937189.884133
p9,2020,21515651.752278
p9,2023,12434754.336858
p9,2026,9330160.24679
p9,2029,19402766.679905
p9,2032,22025038.892828
p9,2035,19903378.832317
p9,2038,28703212.453669
p9,2041,31519032.688659
p9,2044,46090851.404614
p9,2047,47639911.255911
p9,2050,48938566.519781
p10,2010,39980717.131953
p10,2015,10252825.040783
p10,2020,45360257.010543
p10,2023,28999743.3829
p10,2026,31259419.224425
p10,2029,42010188.899065
p10,2032,30804320.231295
p10,2035,46766212.812888
p10,2038,31361024.316469
p10,2041,38523700.7058
p10,2044,27482112.15828
p10,2047,32247687.937937
p10,2050,45844688.228417
p11,2010,8359132.953993
p11,2015,607143.515036
p11,2020,12070585.1522
p11,2023,9980142.873454
p11,2026,10218662.116597
p11,2029,8665768.456184
p11,2032,9801633.289013
p11,2035,8932522.556602
p11,2038,11779687.020342
p11,2041,12429437.055482
p11,2044,12012631.334726
p11,2047,12462554.211064
p11,2050,7479724.432213
p12,2010,1259188.406295
p12,2015,-775466.41639
p12,2020,-5107006.58406
p12,2023,-1224353.562552
p12,2026,-1404473.700538
p12,2029,-2829305.379933
p12,2032,-608064.584855
p12,2035,-1045023.940657
p12,2038,-1747636.659508
p12,2041,-2612834.309483
p12,2044,-2519464.558961
p12,2047,-3456088.124249
p12,2050,-4431487.175024
p13,2010,-9421545.483747
p13,2015,-10407886.403587
p13,2020,-14673691.27324
p13,2023,-5289080.555116
p13,2026,-6731194.222161
p13,2029,-8278373.375723
p13,2032,-10749848.460031
p13,2035,-24668890.082393
p13,2038,-31253188.112117
p13,2041,-35362995.418526
p13,2044,-36606967.4446
p13,2047,-39228880.843511
p13,2050,-41991767.736832
p14,2010,2152427.994538
p14,2015,1686670.684819
p14,2020,1180807.626374
p14,2023,2720716.603934
p14,2026,2247456.668765
p14,2029,2612936.406235
p14,2032,3208207.636013
p14,2035,3423334.546861
p14,2038,2014346.05576
p14,2041,409252.930577
p14,2044,-273689.076662
p14,2047,-47186.905684
p14,2050,643611.488897
p15,2010,7736646.9912
p15,2015,6193595.122073
p15,2020,5217259.494583
p15,2023,6423474.695793
p15,2026,6680009.417004
p15,2029,7790146.254731
p15,2032,9219917.48693
p15,2035,10408453.395163
p15,2038,10796143.304111
p15,2041,11958343.186831
p15,2044,12114088.655182
p15,2047,12676332.537491
p15,2050,12682888.83278
p16,2010,2748329.032049
p16,2015,1833622.705166
p16,2020,1748225.888071
p16,2023,965981.10555
p16,2026,991508.670864
p16,2029,-942196.607619
p16,2032,-3966382.93809
p16,2035,-5981015.163786
p16,2038,-7165212.643501
p16,2041,-6863605.694689
p16,2044,-8768213.486855
p16,2047,-9478487.858106
p16,2050,-12658461.848754
p17,2010,1626234.328838
p17,2015,1334047.758
p17,2020,844442.335538
p17,2023,1186494.786733
p17,2026,904985.804055
p17,2029,154412.76905
p17,2032,1338155.604023
p17,2035,2076449.280811
p17,2038,2746759.613494
p17,2041,3431415.263036
p17,2044,4141934.062185
p17,2047,3368899.084273
p17,2050,3040501.123702
p18,2010,-73338.771238
p18,2015,-475022.85096
