r,t,Value
p1,2010,4.261157
p1,2015,2.44384
p1,2020,1.829609
p1,2023,3.42224
p1,2026,2.373518
p1,2029,2.263326
p1,2032,2.598316
p1,2035,2.932796
p1,2038,3.134489
p1,2041,3.242857
p1,2044,3.200499
p1,2047,3.145113
p1,2050,3.118721
p2,2010,4.265277
p2,2015,2.442154
p2,2020,1.824412
p2,2023,3.423855
p2,2026,2.374665
p2,2029,2.263537
p2,2032,2.600446
p2,2035,2.935675
p2,2038,3.137111
p2,2041,3.246368
p2,2044,3.204525
p2,2047,3.150356
p2,2050,3.124386
p3,2010,4.296087
p3,2015,2.42955
p3,2020,1.785549
p3,2023,3.435934
p3,2026,2.383243
p3,2029,2.265112
p3,2032,2.616376
p3,2035,2.957207
p3,2038,3.156717
p3,2041,3.272627
p3,2044,3.234635
p3,2047,3.189569
p3,2050,3.16675
p4,2010,4.269039
p4,2015,2.440616
p4,2020,1.819667
p4,2023,3.42533
p4,2026,2.375712
p4,2029,2.263729
p4,2032,2.602391
p4,2035,2.938304
p4,2038,3.139505
p4,2041,3.249574
p4,2044,3.208202
p4,2047,3.155144
p4,2050,3.129558
p5,2010,4.271188
p5,2015,2.439736
p5,2020,1.816956
p5,2023,3.426172
p5,2026,2.376311
p5,2029,2.263839
p5,2032,2.603502
p5,2035,2.939806
p5,2038,3.140873
p5,2041,3.251406
p5,2044,3.210302
p5,2047,3.15788
p5,2050,3.132514
p6,2010,4.278174
p6,2015,2.436878
p6,2020,1.808144
p6,2023,3.428911
p6,2026,2.378256
p6,2029,2.264196
p6,2032,2.607114
p6,2035,2.944689
p6,2038,3.145318
p6,2041,3.25736
p6,2044,3.21713
p6,2047,3.166771
p6,2050,3.142119
p7,2010,4.291609
p7,2015,2.431382
p7,2020,1.791198
p7,2023,3.434178
p7,2026,2.381996
p7,2029,2.264883
p7,2032,2.614061
p7,2035,2.954078
p7,2038,3.153868
p7,2041,3.26881
p7,2044,3.230259
p7,2047,3.18387
p7,2050,3.160592
p8,2010,4.296087
p8,2015,2.42955
p8,2020,1.785549
p8,2023,3.435934
p8,2026,2.383243
p8,2029,2.265112
p8,2032,2.616376
p8,2035,2.957207
p8,2038,3.156717
p8,2041,3.272627
p8,2044,3.234635
p8,2047,3.189569
p8,2050,3.16675
p9,2010,4.278533
p9,2015,2.436732
p9,2020,1.807692
p9,2023,3.429052
p9,2026,2.378355
p9,2029,2.264214
p9,2032,2.607299
p9,2035,2.944939
p9,2038,3.145546
p9,2041,3.257666
p9,2044,3.21748
p9,2047,3.167227
p9,2050,3.142612
p10,2010,4.282653
p10,2015,2.435046
p10,2020,1.802495
p10,2023,3.430667
p10,2026,2.379502
p10,2029,2.264425
p10,2032,2.60943
p10,2035,2.947818
p10,2038,3.148168
p10,2041,3.261177
p10,2044,3.221506
p10,2047,3.172471
p10,2050,3.148277
p11,2010,4.298416
p11,2015,2.428598
p11,2020,1.782612
p11,2023,3.436847
p11,2026,2.383891
p11,2029,2.265231
p11,2032,2.61758
p11,2035,2.958835
p11,2038,3.158199
p11,2041,3.274612
p11,2044,3.236911
p11,2047,3.192533
p11,2050,3.169951
p12,2010,4.375262
p12,2015,2.301801
p12,2020,1.753761
p12,2023,3.309054
p12,2026,2.344676
p12,2029,2.298891
p12,2032,2.695153
p12,2035,3.07446
p12,2038,3.274292
p12,2041,3.418866
p12,2044,3.411471
p12,2047,3.404547
p12,2050,3.399275
p13,2010,4.325285
p13,2015,2.322246
p13,2020,1.8168
p13,2023,3.289461
p13,2026,2.330762
p13,2029,2.296335
p13,2032,2.669313
p13,2035,3.039533
p13,2038,3.242488
p13,2041,3.376272
p13,2044,3.36263
p13,2047,3.34094
p13,2050,3.330557
p14,2010,4.351796
p14,2015,2.3114
p14,2020,1.78336
p14,2023,3.299854
p14,2026,2.338143
p14,2029,2.297691
p14,2032,2.68302
p14,2035,3.05806
p14,2038,3.259359
p14,2041,3.398866
p14,2044,3.388538
p14,2047,3.374682
p14,2050,3.367009
p15,2010,4.353229
p15,2015,2.310814
p15,2020,1.781552
p15,2023,3.300416
p15,2026,2.338542
p15,2029,2.297764
p15,2032,2.683761
p15,2035,3.059062
p15,2038,3.260271
p15,2041,3.400088
p15,2044,3.389939
p15,2047,3.376506
p15,2050,3.36898
p16,2010,4.39622
p16,2015,2.293227
p16,2020,1.727325
p16,2023,3.317271
p16,2026,2.350511
p16,2029,2.299963
p16,2032,2.705989
p16,2035,3.089107
p16,2038,3.287628
p16,2041,3.436728
p16,2044,3.431953
p16,2047,3.431221
p16,2050,3.428092
p17,2010,4.398907
p17,2015,2.292128
p17,2020,1.723936
p17,2023,3.318324
p17,2026,2.351259
p17,2029,2.3001
p17,2032,2.707379
p17,2035,3.090984
p17,2038,3.289338
p17,2041,3.439018
p17,2044,3.434578
p17,2047,3.434641
p17,2050,3.431787
p18,2010,4.426314
p18,2015,2.280916
p18,2020,1.689366
p18,2023,3.329069
p18,2026,2.358889
p18,2029,2.301501
p18,2032,2.721549
p18,2035,3.110138
p18,2038,3.306779
p18,2041,3.462376
p18,2044,3.461362
p18,2047,3.469522
p18,2050,3.469471
p19,2010,4.426314
p19,2015,2.280916
p19,2020,1.689366
p19,2023,3.329069
p19,2026,2.358889
p19,2029,2.301501
p19,2032,2.721549
p19,2035,3.110138
p19,2038,3.306779
p19,2041,3.462376
p19,2044,3.461362
p19,2047,3.469522
p19,2050,3.469471
p20,2010,4.426314
p20,2015,2.280916
p20,2020,1.689366
p20,2023,3.329069
p20,2026,2.358889
p20,2029,2.301501
p20,2032,2.721549
p20,2035,3.110138
p20,2038,3.306779
p20,2041,3.462376
p20,2044,3.461362
p20,2047,3.469522
p20,2050,3.469471
p21,2010,4.426314
p21,2015,2.280916
p21,2020,1.689366
p21,2023,3.329069
p21,2026,2.358889
p21,2029,2.301501
p21,2032,2.721549
p21,2035,3.110138
p21,2038,3.306779
p21,2041,3.462376
p21,2044,3.461362
p21,2047,3.469522
p21,2050,3.469471
p22,2010,4.426314
p22,2015,2.280916
p22,2020,1.689366
p22,2023,3.329069
p22,2026,2.358889
p22,2029,2.301501
p22,2032,2.721549
p22,2035,3.110138
p22,2038,3.306779
p22,2041,3.462376
p22,2044,3.461362
p22,2047,3.469522
p22,2050,3.469471
p23,2010,4.426314
p23,2015,2.280916
p23,2020,1.689366
p23,2023,3.329069
p23,2026,2.358889
p23,2029,2.301501
p23,2032,2.721549
p23,2035,3.110138
p23,2038,3.306779
p23,2041,3.462376
p23,2044,3.461362
p23,2047,3.469522
p23,2050,3.469471
p24,2010,4.426314
p24,2015,2.280916
p24,2020,1.689366
p24,2023,3.329069
p24,2026,2.358889
p24,2029,2.301501
p24,2032,2.721549
p24,2035,3.110138
p24,2038,3.306779
p24,2041,3.462376
p24,2044,3.461362
p24,2047,3.469522
p24,2050,3.469471
p25,2010,4.426314
p25,2015,2.280916
p25,2020,1.689366
p25,2023,3.329069
p25,2026,2.358889
p25,2029,2.301501
p25,2032,2.721549
p25,2035,3.110138
p25,2038,3.306779
p25,2041,3.462376
p25,2044,3.461362
p25,2047,3.469522
p25,2050,3.469471
p26,2010,4.426314
p26,2015,2.280916
p26,2020,1.689366
p26,2023,3.329069
p26,2026,2.358889
p26,2029,2.301501
p26,2032,2.721549
p26,2035,3.110138
p26,2038,3.306779
p26,2041,3.462376
p26,2044,3.461362
p26,2047,3.469522
p26,2050,3.469471
p27,2010,4.344452
p27,2015,2.314405
p27,2020,1.792624
p27,2023,3.296975
p27,2026,2.336098
p27,2029,2.297315
p27,2032,2.679223
p27,2035,3.052928
p27,2038,3.254685
p27,2041,3.392607
p27,2044,3.381361
p27,2047,3.365334
p27,2050,3.356911
p28,2010,4.387264
p28,2015,2.296891
p28,2020,1.738622
p28,2023,3.313759
p28,2026,2.348017
p28,2029,2.299505
p28,2032,2.701358
p28,2035,3.082847
p28,2038,3.281929
p28,2041,3.429094
p28,2044,3.4232
p28,2047,3.419822
p28,2050,3.415777
p29,2010,4.426314
p29,2015,2.280916
p29,2020,1.689366
p29,2023,3.329069
p29,2026,2.358889
p29,2029,2.301501
p29,2032,2.721549
p29,2035,3.110138
p29,2038,3.306779
p29,2041,3.462376
p29,2044,3.461362
p29,2047,3.469522
p29,2050,3.469471
p30,2010,4.370426
p30,2015,2.303779
p30,2020,1.759861
p30,2023,3.307158
p30,2026,2.343329
p30,2029,2.298643
p30,2032,2.692652
p30,2035,3.07108
p30,2038,3.271214
p30,2041,3.414744
p30,2044,3.406744
p30,2047,3.398392
p30,2050,3.392625
p31,2010,4.426314
p31,2015,2.280916
p31,2020,1.689366
p31,2023,3.329069
p31,2026,2.358889
p31,2029,2.301501
p31,2032,2.721549
p31,2035,3.110138
p31,2038,3.306779
p31,2041,3.462376
p31,2044,3.461362
p31,2047,3.469522
p31,2050,3.469471
p32,2010,4.426314
p32,2015,2.280916
p32,2020,1.689366
p32,2023,3.329069
p32,2026,2.358889
p32,2029,2.301501
p32,2032,2.721549
p32,2035,3.110138
p32,2038,3.306779
p32,2041,3.462376
p32,2044,3.461362
p32,2047,3.469522
p32,2050,3.469471
p33,2010,4.426314
p33,2015,2.280916
p33,2020,1.689366
p33,2023,3.329069
p33,2026,2.358889
p33,2029,2.301501
p33,2032,2.721549
p33,2035,3.110138
p33,2038,3.306779
p33,2041,3.462376
p33,2044,3.461362
p33,2047,3.469522
p33,2050,3.469471
p34,2010,4.426314
p34,2015,2.280916
p34,2020,1.689366
p34,2023,3.329069
p34,2026,2.358889
p34,2029,2.301501
p34,2032,2.721549
p34,2035,3.110138
p34,2038,3.306779
p34,2041,3.462376
p34,2044,3.461362
p34,2047,3.469522
p34,2050,3.469471
p35,2010,4.744878
p35,2015,2.556401
p35,2020,1.609485
p35,2023,3.22208
p35,2026,2.266399
p35,2029,2.114553
p35,2032,2.421873
p35,2035,2.673042
p35,2038,2.819672
p35,2041,3.007995
p35,2044,2.99109
p35,2047,2.947666
p35,2050,2.892521
p36,2010,4.744878
p36,2015,2.556401
p36,2020,1.609485
p36,2023,3.22208
p36,2026,2.266399
p36,2029,2.114553
p36,2032,2.421873
p36,2035,2.673042
p36,2038,2.819672
p36,2041,3.007995
p36,2044,2.99109
p36,2047,2.947666
p36,2050,2.892521
p37,2010,4.744878
p37,2015,2.556401
p37,2020,1.609485
p37,2023,3.22208
p37,2026,2.266399
p37,2029,2.114553
p37,2032,2.421873
p37,2035,2.673042
p37,2038,2.819672
p37,2041,3.007995
p37,2044,2.99109
p37,2047,2.947666
p37,2050,2.892521
p38,2010,4.744878
p38,2015,2.556401
p38,2020,1.609485
p38,2023,3.22208
p38,2026,2.266399
p38,2029,2.114553
p38,2032,2.421873
p38,2035,2.673042
p38,2038,2.819672
p38,2041,3.007995
p38,2044,2.99109
p38,2047,2.947666
p38,2050,2.892521
p39,2010,4.744878
p39,2015,2.556401
p39,2020,1.609485
p39,2023,3.22208
p39,2026,2.266399
p39,2029,2.114553
p39,2032,2.421873
p39,2035,2.673042
p39,2038,2.819672
p39,2041,3.007995
p39,2044,2.99109
p39,2047,2.947666
p39,2050,2.892521
p40,2010,4.744878
p40,2015,2.556401
p40,2020,1.609485
p40,2023,3.22208
p40,2026,2.266399
p40,2029,2.114553
p40,2032,2.421873
p40,2035,2.673042
p40,2038,2.819672
p40,2041,3.007995
p40,2044,2.99109
p40,2047,2.947666
p40,2050,2.892521
p41,2010,4.744878
p41,2015,2.556401
p41,2020,1.609485
p41,2023,3.22208
p41,2026,2.266399
p41,2029,2.114553
p41,2032,2.421873
p41,2035,2.673042
p41,2038,2.819672
p41,2041,3.007995
p41,2044,2.99109
p41,2047,2.947666
p41,2050,2.892521
p42,2010,4.637466
p42,2015,2.42352
p42,2020,1.529203
p42,2023,3.17391
p42,2026,2.23567
p42,2029,2.078564
p42,2032,2.36346
p42,2035,2.581964
p42,2038,2.734407
p42,2041,2.904181
p42,2044,2.889215
p42,2047,2.849666
p42,2050,2.786217
p43,2010,4.647339
p43,2015,2.435734
p43,2020,1.536582
p43,2023,3.178338
p43,2026,2.238495
p43,2029,2.081872
p43,2032,2.368829
p43,2035,2.590335
p43,2038,2.742244
p43,2041,2.913723
p43,2044,2.898578
p43,2047,2.858673
p43,2050,2.795987
p44,2010,4.653657
p44,2015,2.44355
p44,2020,1.541304
p44,2023,3.181171
p44,2026,2.240302
p44,2029,2.083989
p44,2032,2.372265
p44,2035,2.595692
p44,2038,2.74726
p44,2041,2.91983
p44,2044,2.904571
p44,2047,2.864438
p44,2050,2.80224
p45,2010,4.684064
p45,2015,2.481167
p45,2020,1.564031
p45,2023,3.194807
p45,2026,2.249001
p45,2029,2.094177
p45,2032,2.388801
p45,2035,2.621476
p45,2038,2.771397
p45,2041,2.949218
p45,2044,2.933411
p45,2047,2.892181
p45,2050,2.832334
p46,2010,4.454628
p46,2015,2.240579
p46,2020,1.417616
p46,2023,3.081246
p46,2026,2.188064
p46,2029,2.046344
p46,2032,2.343811
p46,2035,2.519739
p46,2038,2.682238
p46,2041,2.82381
p46,2044,2.812952
p46,2047,2.78189
p46,2050,2.710854
p47,2010,4.057878
p47,2015,2.057881
p47,2020,1.264492
p47,2023,3.040269
p47,2026,2.008278
p47,2029,1.966431
p47,2032,2.405839
p47,2035,2.712711
p47,2038,2.88119
p47,2041,3.028127
p47,2044,2.990871
p47,2047,2.978955
p47,2050,2.912639
p48,2010,4.195278
p48,2015,2.151313
p48,2020,1.321894
p48,2023,3.063067
p48,2026,2.047564
p48,2029,1.981902
p48,2032,2.39729
p48,2035,2.693374
p48,2038,2.859003
p48,2041,3.011842
p48,2044,2.977233
p48,2047,2.957785
p48,2050,2.895948
p49,2010,4.331304
p49,2015,2.243811
p49,2020,1.378723
p49,2023,3.085637
p49,2026,2.086458
p49,2029,1.997217
p49,2032,2.388826
p49,2035,2.674229
p49,2038,2.837037
p49,2041,2.995721
p49,2044,2.963731
p49,2047,2.936827
p49,2050,2.879423
p50,2010,4.279779
p50,2015,2.208774
p50,2020,1.357197
p50,2023,3.077088
p50,2026,2.071725
p50,2029,1.991416
p50,2032,2.392032
p50,2035,2.681481
p50,2038,2.845357
p50,2041,3.001827
p50,2044,2.968846
p50,2047,2.944765
p50,2050,2.885682
p51,2010,4.380081
p51,2015,2.276979
p51,2020,1.399101
p51,2023,3.093731
p51,2026,2.100404
p51,2029,2.002709
p51,2032,2.385791
p51,2035,2.667364
p51,2038,2.82916
p51,2041,2.98994
p51,2044,2.95889
p51,2047,2.929311
p51,2050,2.873497
p52,2010,4.61847
p52,2015,2.470444
p52,2020,1.556675
p52,2023,3.201105
p52,2026,2.230256
p52,2029,2.10032
p52,2032,2.429738
p52,2035,2.690833
p52,2038,2.840085
p52,2041,3.022976
p52,2044,3.003637
p52,2047,2.967142
p52,2050,2.907878
p53,2010,4.559388
p53,2015,2.430268
p53,2020,1.531991
p53,2023,3.191302
p53,2026,2.213363
p53,2029,2.093668
p53,2032,2.433414
p53,2035,2.699148
p53,2038,2.849626
p53,2041,3.029979
p53,2044,3.009502
p53,2047,2.976245
p53,2050,2.915055
p54,2010,4.656731
p54,2015,2.476441
p54,2020,1.560813
p54,2023,3.197301
p54,2026,2.24119
p54,2029,2.096634
p54,2032,2.405579
p54,2035,2.64992
p54,2038,2.799577
p54,2041,2.979451
p54,2044,2.962189
p54,2047,2.922924
p54,2050,2.863299
p55,2010,4.502735
p55,2015,2.357567
p55,2020,1.488086
p55,2023,3.167696
p55,2026,2.198134
p55,2029,2.075411
p55,2032,2.403004
p55,2035,2.650775
p55,2038,2.804575
p55,2041,2.974667
p55,2044,2.955213
p55,2047,2.924144
p55,2050,2.858206
p56,2010,4.238472
p56,2015,2.158571
p56,2020,1.366504
p56,2023,3.112502
p56,2026,2.099788
p56,2029,2.009418
p56,2032,2.408973
p56,2035,2.695708
p56,2038,2.862315
p56,2041,3.015747
p56,2044,2.975501
p56,2047,2.960897
p56,2050,2.901465
p57,2010,4.067407
p57,2015,2.054979
p57,2020,1.279195
p57,2023,3.060335
p57,2026,2.027777
p57,2029,1.977411
p57,2032,2.412149
p57,2035,2.716056
p57,2038,2.885166
p57,2041,3.031976
p57,2044,2.992196
p57,2047,2.982804
p57,2050,2.917119
p58,2010,4.098912
p58,2015,2.045381
p58,2020,1.327809
p58,2023,3.126684
p58,2026,2.092248
p58,2029,2.013715
p58,2032,2.433014
p58,2035,2.727114
p58,2038,2.89831
p58,2041,3.044703
p58,2044,2.996578
p58,2047,2.995531
p58,2050,2.931933
p59,2010,4.426314
p59,2015,2.280916
p59,2020,1.689366
p59,2023,3.329069
p59,2026,2.358889
p59,2029,2.301501
p59,2032,2.721549
p59,2035,3.110138
p59,2038,3.306779
p59,2041,3.462376
p59,2044,3.461362
p59,2047,3.469522
p59,2050,3.469471
p60,2010,4.057878
p60,2015,2.057881
p60,2020,1.264492
p60,2023,3.040269
p60,2026,2.008278
p60,2029,1.966431
p60,2032,2.405839
p60,2035,2.712711
p60,2038,2.88119
p60,2041,3.028127
p60,2044,2.990871
p60,2047,2.978955
p60,2050,2.912639
p61,2010,4.057878
p61,2015,2.057881
p61,2020,1.264492
p61,2023,3.040269
p61,2026,2.008278
p61,2029,1.966431
p61,2032,2.405839
p61,2035,2.712711
p61,2038,2.88119
p61,2041,3.028127
p61,2044,2.990871
p61,2047,2.978955
p61,2050,2.912639
p62,2010,4.057878
p62,2015,2.057881
p62,2020,1.264492
p62,2023,3.040269
p62,2026,2.008278
p62,2029,1.966431
p62,2032,2.405839
p62,2035,2.712711
