eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,121541.730998,2.5,1457.0,1.025,132527426.66787636
CH4,p1,2023,121541.730998,2.0,1874.0,1.02,169625877.11275247
CH4,p1,2023,121541.730998,1.5,2564.0,1.015,230943855.10225257
CH4,p1,2024,121541.730998,2.5,1524.0,1.0,135240670.433295
CH4,p1,2024,121541.730998,2.0,1950.0,1.0,173044164.92449167
CH4,p1,2024,121541.730998,1.5,2650.0,1.0,235162583.1025143
CH4,p1,2025,127873.124032,2.5,1590.0,0.9756097560975612,144826976.81754556
CH4,p1,2025,127873.124032,2.0,2025.0,0.9803921568627452,185353615.5857183
CH4,p1,2025,127873.124032,1.5,2737.0,0.9852216748768474,251758974.7735928
CH4,p1,2026,127873.124032,2.5,1657.0,0.9518143961927424,147248535.41136554
CH4,p1,2026,127873.124032,2.0,2101.0,0.9611687812379854,188539310.74586982
CH4,p1,2026,127873.124032,1.5,2823.0,0.9706617486471404,255832078.8414385
CH4,p1,2027,127873.124032,2.5,1724.0,0.928599410919749,149465813.9447984
CH4,p1,2027,127873.124032,2.0,2176.0,0.9423223345470444,191440835.9152097
CH4,p1,2027,127873.124032,1.5,2910.0,0.9563169937410252,259819096.62835932
CH4,p1,2028,201385.627379,2.5,1791.0,0.9059506447997552,238575326.77639008
CH4,p1,2028,201385.627379,2.0,2252.0,0.9238454260265142,305909597.21917176
CH4,p1,2028,201385.627379,1.5,2996.0,0.9421842302867244,415052508.596804
CH4,p1,2029,201385.627379,2.5,1857.0,0.8838542876095173,241333704.74255097
CH4,p1,2029,201385.627379,2.0,2327.0,0.905730809829916,309899537.11255044
CH4,p1,2029,201385.627379,1.5,3083.0,0.9282603254056396,420793203.4186622
CH4,p1,2030,201385.627379,2.5,1924.0,0.8622968659605048,243942392.22699502
CH4,p1,2030,201385.627379,2.0,2403.0,0.887971382186192,313745960.75122327
CH4,p1,2030,201385.627379,1.5,3169.0,0.914542192517872,426139104.36342996
CH4,p1,2031,176231.06124900002,2.5,2002.0,0.8412652350834192,216708727.84168062
CH4,p1,2031,176231.06124900002,2.0,2490.0,0.8705601786139138,278918635.5744645
CH4,p1,2031,176231.06124900002,1.5,3270.0,0.9010267906580018,379109654.3029866
CH4,p1,2032,176231.06124900002,2.5,2080.0,0.8207465708130922,219660414.66372442
CH4,p1,2032,176231.06124900002,2.0,2578.0,0.8534903711901114,283113726.4788445
CH4,p1,2032,176231.06124900002,1.5,3371.0,0.887711123800987,385043504.8147415
CH4,p1,2033,176231.06124900002,2.5,2157.0,0.8007283617688704,222236169.99514714
CH4,p1,2033,176231.06124900002,2.0,2666.0,0.8367552658726582,287037068.86041754
CH4,p1,2033,176231.06124900002,1.5,3471.0,0.874592240198017,390606639.12916106
CH4,p1,2034,200020.281856,2.5,2235.0,0.7811984017257273,254982185.5058253
CH4,p1,2034,200020.281856,2.0,2754.0,0.8203482998751551,329938643.0887911
CH4,p1,2034,200020.281856,1.5,3572.0,0.8616672317221843,449492027.72064406
CH4,p1,2035,200020.281856,2.5,2313.0,0.7621447821714413,257444773.31804398
CH4,p1,2035,200020.281856,2.0,2842.0,0.8042630390932893,333805240.02817446
CH4,p1,2035,200020.281856,1.5,3673.0,0.848933233223827,455371062.78662324
CH4,p1,2036,200020.281856,2.5,2391.0,0.7435558850453087,259635550.07368454
CH4,p1,2036,200020.281856,2.0,2929.0,0.7884931755816562,337278203.7099402
CH4,p1,2036,200020.281856,1.5,3774.0,0.836387421895396,460978164.70790476
CH4,p1,2037,165916.91548199998,2.5,2468.0,0.7254203756539598,216881496.52089807
CH4,p1,2037,165916.91548199998,2.0,3017.0,0.773032525080055,282527465.3533244
CH4,p1,2037,165916.91548199998,1.5,3875.0,0.8240270166457105,386812725.8640332
CH4,p1,2038,165916.91548199998,2.5,2546.0,0.7077271957599608,218278961.98845968
CH4,p1,2038,165916.91548199998,2.0,3105.0,0.7578750245882894,285066901.9094648
CH4,p1,2038,165916.91548199998,1.5,3975.0,0.8118492774834588,390931024.3914272
CH4,p1,2039,165916.91548199998,2.5,2624.0,0.6904655568389862,219479239.07716295
CH4,p1,2039,165916.91548199998,2.0,3193.0,0.7430147299885189,287398130.08648956
CH4,p1,2039,165916.91548199998,1.5,4076.0,0.7998515049098116,394940014.3555987
CH4,p1,2040,422555.155765,2.5,2702.0,0.67362493350145,561544055.6077528
CH4,p1,2040,422555.155765,2.0,3280.0,0.7284458137142342,737142466.3181814
CH4,p1,2040,422555.155765,1.5,4177.0,0.7880310393200115,1015519191.2720139
CH4,p1,2041,422555.155765,2.5,2786.0,0.6571950570745855,564879398.7915725
CH4,p1,2041,422555.155765,2.0,3375.0,0.7141625624649355,743620224.7201883
CH4,p1,2041,422555.155765,1.5,4285.0,0.7763852604138046,1026380621.6780801
CH4,p1,2042,422555.155765,2.5,2871.0,0.641165909341059,567915799.8811496
CH4,p1,2042,422555.155765,2.0,3471.0,0.700159374965623,749776557.7353009
CH4,p1,2042,422555.155765,1.5,4394.0,0.7649115866145859,1036935225.2164979
CH4,p1,2043,871036.204132,2.5,2955.0,0.6255277164303016,1175539373.9442842
CH4,p1,2043,871036.204132,2.0,3566.0,0.6864307597702186,1556722536.5655487
CH4,p1,2043,871036.204132,1.5,4502.0,0.7536074744971291,2157664048.3191614
CH4,p1,2044,871036.204132,2.5,3040.0,0.6102709428588309,1179857107.6028636
CH4,p1,2044,871036.204132,2.0,3661.0,0.6729713331080575,1566857248.2944787
CH4,p1,2044,871036.204132,1.5,4610.0,0.7424704182237725,2176773379.921203
CH4,p1,2045,871036.204132,2.5,3124.0,0.5953862857159326,1182886265.7738595
CH4,p1,2045,871036.204132,2.0,3756.0,0.6597758167726053,1575996011.106486
CH4,p1,2045,871036.204132,1.5,4718.0,0.7314979489889384,2194846672.252062
CH4,p1,2046,961776.50205,2.5,3209.0,0.5808646689911537,1308928040.5673845
CH4,p1,2046,961776.50205,2.0,3851.0,0.6468390360515739,1749205494.6109908
CH4,p1,2046,961776.50205,1.5,4827.0,0.7206876344718607,2442842473.082622
CH4,p1,2047,961776.50205,2.5,3293.0,0.56669723804015,1310430279.9560375
CH4,p1,2047,961776.50205,2.0,3946.0,0.6341559176976214,1757212254.9617796
CH4,p1,2047,961776.50205,1.5,4935.0,0.7100370782973997,2460590133.8351774
CH4,p1,2048,961776.50205,2.5,3378.0,0.5528753541855124,1311468817.2817419
CH4,p1,2048,961776.50205,2.0,4041.0,0.6217214879388445,1764232512.0252209
CH4,p1,2048,961776.50205,1.5,5043.0,0.6995439195048273,2477279719.0931973
CH4,p1,2049,1460442.7041169999,2.5,3462.0,0.5393905894492803,1991186242.4235513
CH4,p1,2049,1460442.7041169999,2.0,4136.0,0.6095308705282789,2688175943.434642
CH4,p1,2049,1460442.7041169999,1.5,5151.0,0.6892058320244606,3785488645.570474
CH4,p1,2050,1460442.7041169999,2.5,3547.0,0.5262347214139321,1990316495.9987423
CH4,p1,2050,1460442.7041169999,2.0,4231.0,0.597579284831646,2696000781.438913
CH4,p1,2050,1460442.7041169999,1.5,5260.0,0.6790205241620302,3808466149.994442
CH4,p10,2023,4876790.937514,2.5,1457.0,1.025,5317585557.149797
CH4,p10,2023,4876790.937514,2.0,1874.0,1.02,6806139204.031468
