sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p127,2041,640903519.223584
inv_h2_production,electrolyzer,p127,2047,3422600.443841
inv_h2_production,electrolyzer,p127,2050,61143713.755314
inv_investment_capacity_costs,battery_4,p5,2041,1485349.745096
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,1161133.824
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2044,255697194.159057
inv_investment_capacity_costs,battery_4,p8,2047,47084174.593953
inv_investment_capacity_costs,battery_4,p8,2050,120413335.891764
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2041,1709876021.633992
inv_investment_capacity_costs,battery_4,p9,2044,420682784.268826
inv_investment_capacity_costs,battery_4,p9,2047,138746652.642365
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2041,761002712.800622
inv_investment_capacity_costs,battery_4,p10,2044,613148996.191408
inv_investment_capacity_costs,battery_4,p10,2047,536746803.036119
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,58764221.049935
inv_investment_capacity_costs,battery_4,p11,2044,339715050.907167
inv_investment_capacity_costs,battery_4,p12,2026,519793443.222682
inv_investment_capacity_costs,battery_4,p12,2029,265758777.6
inv_investment_capacity_costs,battery_4,p12,2032,16608132.325267
inv_investment_capacity_costs,battery_4,p12,2044,24306633.383839
inv_investment_capacity_costs,battery_4,p12,2047,71378341.44988
inv_investment_capacity_costs,battery_4,p12,2050,368966420.741316
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,292945189.858086
inv_investment_capacity_costs,battery_4,p13,2032,230316212.147093
inv_investment_capacity_costs,battery_4,p13,2038,54480529.4984
inv_investment_capacity_costs,battery_4,p13,2041,582891877.3288
inv_investment_capacity_costs,battery_4,p13,2044,175526556.457688
inv_investment_capacity_costs,battery_4,p13,2047,116893372.424496
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p23,2044,28010020.37218
inv_investment_capacity_costs,battery_4,p23,2047,1609943.756452
inv_investment_capacity_costs,battery_4,p24,2044,250965173.337413
inv_investment_capacity_costs,battery_4,p24,2050,145792201.126585
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2044,160018544.689885
inv_investment_capacity_costs,battery_4,p28,2047,920501040.616173
inv_investment_capacity_costs,battery_4,p28,2050,505152597.032895
inv_investment_capacity_costs,battery_4,p29,2044,35956858.670245
inv_investment_capacity_costs,battery_4,p29,2047,21652474.105924
inv_investment_capacity_costs,battery_4,p30,2029,336104261.482237
inv_investment_capacity_costs,battery_4,p30,2050,120489070.175938
