i,v,r,t,Value
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,2.5
battery_4,new1,p7,2026,0.2
battery_4,new1,p8,2029,150.0
battery_4,new1,p8,2038,131.416123
battery_4,new1,p8,2044,124.420206
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2041,1554.15
battery_4,new1,p9,2044,213.007524
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p10,2041,1234.407075
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2041,1228.603362
battery_4,new1,p12,2044,724.955582
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,551.2
battery_4,new1,p13,2029,1212.0
battery_4,new1,p13,2044,1701.370333
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p18,2026,100.0
battery_4,new1,p21,2038,116.392243
battery_4,new1,p21,2044,209.991007
battery_4,new1,p21,2047,185.940102
battery_4,new1,p21,2050,262.853464
battery_4,new1,p22,2047,17.563234
battery_4,new1,p22,2050,1.895136
battery_4,new1,p23,2041,125.205287
battery_4,new1,p24,2041,151.704163
battery_4,new1,p25,2047,256.762194
battery_4,new1,p26,2044,485.357625
battery_4,new1,p26,2047,146.827842
battery_4,new1,p26,2050,129.955524
battery_4,new1,p27,2044,317.255763
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2044,1473.196462
battery_4,new1,p30,2029,698.654862
battery_4,new1,p30,2038,1738.675045
battery_4,new1,p30,2044,920.792749
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p33,2023,5.0
battery_4,new1,p33,2041,31.721009
battery_4,new1,p34,2023,225.0
battery_4,new1,p34,2041,200.522234
battery_4,new1,p34,2047,240.197133
battery_4,new1,p34,2050,253.360175
battery_4,new1,p37,2029,135.0
battery_4,new1,p39,2032,42.578498
battery_4,new1,p39,2035,193.718918
battery_4,new1,p39,2044,26.039541
