i,r,t,Value
battery_4,p3,2044,-0.0
battery_4,p4,2044,-0.0
battery_4,p5,2044,0.0
battery_4,p6,2026,-173.882242
battery_4,p6,2029,-204.2636
battery_4,p6,2032,-319.732411
battery_4,p6,2035,-439.404568
battery_4,p6,2038,-444.387548
battery_4,p6,2041,-550.076472
battery_4,p6,2044,-575.040909
battery_4,p6,2047,-582.137444
battery_4,p6,2050,-561.272137
battery_4,p7,2026,-19.311432
battery_4,p7,2029,-20.03255
battery_4,p7,2032,-27.154053
battery_4,p7,2035,-40.134011
battery_4,p7,2038,-40.917152
battery_4,p8,2029,-47400.445349
battery_4,p8,2032,-45788.477446
battery_4,p8,2035,-48142.53239
battery_4,p8,2038,-75399.427933
battery_4,p8,2041,-71358.014778
battery_4,p8,2044,-61600.31472
battery_4,p8,2047,-70887.779245
battery_4,p8,2050,-67938.647539
battery_4,p9,2020,-166.642771
battery_4,p9,2023,-169210.489001
battery_4,p9,2026,-380053.047721
battery_4,p9,2029,-427487.64983
battery_4,p9,2032,-424064.828335
battery_4,p9,2035,-435111.641681
battery_4,p9,2038,-46990.177724
battery_4,p9,2041,-382926.315604
battery_4,p9,2044,-383465.195949
battery_4,p9,2047,-402491.378815
battery_4,p9,2050,-397965.777339
battery_4,p10,2020,-4278.73608
battery_4,p10,2023,-741619.852658
battery_4,p10,2026,-1249175.128007
battery_4,p10,2029,-1278965.249382
battery_4,p10,2032,-1402117.28929
battery_4,p10,2035,-1496050.92135
battery_4,p10,2038,-511126.646353
battery_4,p10,2041,-317246.562615
battery_4,p10,2044,-314676.74568
battery_4,p10,2047,-313593.263315
battery_4,p10,2050,-313048.985114
battery_4,p11,2020,-11481.008975
battery_4,p11,2023,-50321.765735
battery_4,p11,2026,-138561.914809
battery_4,p11,2029,-148042.601454
battery_4,p11,2032,-152284.504898
battery_4,p11,2035,-110091.941378
battery_4,p11,2038,-74636.946268
battery_4,p11,2041,-313224.770227
battery_4,p11,2044,-310143.670064
battery_4,p11,2047,-305614.471362
battery_4,p11,2050,-312888.40991
battery_4,p12,2044,-205087.984884
battery_4,p12,2047,-240534.679203
battery_4,p12,2050,-225055.536454
battery_4,p13,2023,-12287.302866
battery_4,p13,2026,-137253.428108
battery_4,p13,2029,-453637.253789
battery_4,p13,2032,-480812.031278
battery_4,p13,2035,-519623.665599
battery_4,p13,2038,-512230.988579
battery_4,p13,2041,-375077.841666
battery_4,p13,2044,-506826.71264
battery_4,p13,2047,-578003.560406
battery_4,p13,2050,-573334.496337
battery_4,p14,2035,0.0
battery_4,p14,2044,-0.0
battery_4,p14,2050,-0.0
battery_4,p15,2023,-1792.933567
battery_4,p15,2026,-12440.436559
battery_4,p15,2029,-13623.015114
battery_4,p15,2032,-15144.517582
battery_4,p15,2035,-24549.588463
battery_4,p16,2023,-71.119967
battery_4,p16,2026,-233.230442
battery_4,p16,2029,-253.917302
battery_4,p16,2032,-234.807772
battery_4,p16,2035,-380.974187
battery_4,p18,2026,-1362.756595
battery_4,p18,2029,-11991.782692
battery_4,p18,2032,-14962.021124
battery_4,p18,2035,-18812.286449
battery_4,p18,2038,-24827.48009
battery_4,p21,2035,0.0
battery_4,p21,2038,-33184.325465
battery_4,p21,2041,-29908.234335
battery_4,p21,2044,-90410.013167
battery_4,p21,2047,-137268.977875
battery_4,p21,2050,-202611.988071
battery_4,p22,2047,-5075.68895
battery_4,p22,2050,-5645.3788
battery_4,p23,2041,-37687.159737
battery_4,p23,2044,-37892.465691
battery_4,p23,2047,-37495.188692
battery_4,p23,2050,-37815.767982
battery_4,p24,2041,-43330.638294
battery_4,p24,2044,-43716.81586
battery_4,p24,2047,-43351.036944
battery_4,p24,2050,-44546.288264
battery_4,p25,2047,-57371.679681
battery_4,p25,2050,-53986.000719
battery_4,p26,2044,-119640.554053
battery_4,p26,2047,-153251.898043
battery_4,p26,2050,-182802.763445
battery_4,p27,2044,-93757.993018
battery_4,p27,2047,-92618.943871
battery_4,p27,2050,-87053.649557
battery_4,p28,2023,-110008.13637
battery_4,p28,2026,-185431.185751
battery_4,p28,2029,-264603.66224
battery_4,p28,2032,-287717.156307
battery_4,p28,2035,-331283.415445
battery_4,p28,2038,-69769.724081
battery_4,p28,2044,-415352.204523
battery_4,p28,2047,-395412.511977
battery_4,p28,2050,-383323.989708
battery_4,p29,2044,-0.0
battery_4,p29,2047,-0.0
battery_4,p30,2029,-161779.21058
battery_4,p30,2032,-182639.9865
battery_4,p30,2035,-198202.792342
battery_4,p30,2038,-720408.860735
battery_4,p30,2041,-723104.311242
battery_4,p30,2044,-737146.676211
battery_4,p30,2047,-716376.835552
battery_4,p30,2050,-686072.045786
battery_4,p31,2023,-14985.507451
battery_4,p31,2026,-49045.797706
battery_4,p31,2029,-57237.304995
battery_4,p31,2032,-59362.411941
battery_4,p31,2035,-62647.3315
battery_4,p31,2038,-46892.573803
