ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.67,AP2,ACS,3649.64,228705.2,0.033
p1,WA,2010,SO2,62.67,AP2,H6C,9375.9,587542.63,0.0847
p1,WA,2010,SO2,62.67,EASIUR,ACS,18204.36,1140779.43,0.1645
p1,WA,2010,SO2,62.67,EASIUR,H6C,46771.73,2930958.84,0.4228
p1,WA,2010,SO2,62.67,InMAP,ACS,4154.93,260369.43,0.0376
p1,WA,2010,SO2,62.67,InMAP,H6C,10674.16,668898.36,0.0965
p1,WA,2015,SO2,27.96,AP2,ACS,3649.64,102044.83,0.0147
p1,WA,2015,SO2,27.96,AP2,H6C,9375.9,262152.7,0.0378
p1,WA,2015,SO2,27.96,EASIUR,ACS,18204.36,508998.66,0.0734
p1,WA,2015,SO2,27.96,EASIUR,H6C,46771.73,1307749.85,0.1886
p1,WA,2015,SO2,27.96,InMAP,ACS,4154.93,116172.93,0.0168
p1,WA,2015,SO2,27.96,InMAP,H6C,10674.16,298452.41,0.043
p1,WA,2020,SO2,59.32,AP2,ACS,3649.64,216507.57,0.0312
p1,WA,2020,SO2,59.32,AP2,H6C,9375.9,556206.98,0.0802
p1,WA,2020,SO2,59.32,EASIUR,ACS,18204.36,1079937.77,0.1558
p1,WA,2020,SO2,59.32,EASIUR,H6C,46771.73,2774640.8,0.4002
p1,WA,2020,SO2,59.32,InMAP,ACS,4154.93,246483.04,0.0356
p1,WA,2020,SO2,59.32,InMAP,H6C,10674.16,633223.73,0.0913
p1,WA,2023,SO2,36.66,AP2,ACS,3649.64,133784.47,0.0193
p1,WA,2023,SO2,36.66,AP2,H6C,9375.9,343691.69,0.0496
p1,WA,2023,SO2,36.66,EASIUR,ACS,18204.36,667315.68,0.0963
p1,WA,2023,SO2,36.66,EASIUR,H6C,46771.73,1714507.42,0.2473
p1,WA,2023,SO2,36.66,InMAP,ACS,4154.93,152306.92,0.022
p1,WA,2023,SO2,36.66,InMAP,H6C,10674.16,391281.92,0.0564
p1,WA,2026,SO2,65.66,AP2,ACS,3649.64,239641.56,0.0346
p1,WA,2026,SO2,65.66,AP2,H6C,9375.9,615638.08,0.0888
p1,WA,2026,SO2,65.66,EASIUR,ACS,18204.36,1195329.87,0.1724
p1,WA,2026,SO2,65.66,EASIUR,H6C,46771.73,3071113.1,0.443
p1,WA,2026,SO2,65.66,InMAP,ACS,4154.93,272819.92,0.0394
p1,WA,2026,SO2,65.66,InMAP,H6C,10674.16,700884.12,0.1011
p1,WA,2029,SO2,60.93,AP2,ACS,3649.64,222386.12,0.0321
p1,WA,2029,SO2,60.93,AP2,H6C,9375.9,571308.93,0.0824
p1,WA,2029,SO2,60.93,EASIUR,ACS,18204.36,1109259.9,0.16
p1,WA,2029,SO2,60.93,EASIUR,H6C,46771.73,2849976.97,0.4111
p1,WA,2029,SO2,60.93,InMAP,ACS,4154.93,253175.47,0.0365
p1,WA,2029,SO2,60.93,InMAP,H6C,10674.16,650416.82,0.0938
p1,WA,2032,SO2,47.33,AP2,ACS,3649.64,172753.99,0.0249
p1,WA,2032,SO2,47.33,AP2,H6C,9375.9,443804.21,0.064
p1,WA,2032,SO2,47.33,EASIUR,ACS,18204.36,861695.29,0.1243
p1,WA,2032,SO2,47.33,EASIUR,H6C,46771.73,2213919.14,0.3193
p1,WA,2032,SO2,47.33,InMAP,ACS,4154.93,196671.77,0.0284
p1,WA,2032,SO2,47.33,InMAP,H6C,10674.16,505256.8,0.0729
p1,WA,2035,SO2,146.1,AP2,ACS,3649.64,533223.16,0.0769
p1,WA,2035,SO2,146.1,AP2,H6C,9375.9,1369847.87,0.1976
p1,WA,2035,SO2,146.1,EASIUR,ACS,18204.36,2659712.16,0.3836
p1,WA,2035,SO2,146.1,EASIUR,H6C,46771.73,6833491.77,0.9857
p1,WA,2035,SO2,146.1,InMAP,ACS,4154.93,607047.88,0.0876
p1,WA,2035,SO2,146.1,InMAP,H6C,10674.16,1559527.68,0.225
p1,WA,2038,SO2,295.11,AP2,ACS,3649.64,1077054.53,0.1554
p1,WA,2038,SO2,295.11,AP2,H6C,9375.9,2766948.22,0.3991
p1,WA,2038,SO2,295.11,EASIUR,ACS,18204.36,5372338.03,0.7749
p1,WA,2038,SO2,295.11,EASIUR,H6C,46771.73,13802932.62,1.991
p1,WA,2038,SO2,295.11,InMAP,ACS,4154.93,1226172.7,0.1769
p1,WA,2038,SO2,295.11,InMAP,H6C,10674.16,3150081.43,0.4544
p1,WA,2041,SO2,290.41,AP2,ACS,3649.64,1059877.41,0.1529
p1,WA,2041,SO2,290.41,AP2,H6C,9375.9,2722820.27,0.3927
p1,WA,2041,SO2,290.41,EASIUR,ACS,18204.36,5286658.7,0.7626
p1,WA,2041,SO2,290.41,EASIUR,H6C,46771.73,13582800.17,1.9592
p1,WA,2041,SO2,290.41,InMAP,ACS,4154.93,1206617.4,0.174
p1,WA,2041,SO2,290.41,InMAP,H6C,10674.16,3099843.18,0.4471
p1,WA,2044,SO2,312.52,AP2,ACS,3649.64,1140587.18,0.1645
p1,WA,2044,SO2,312.52,AP2,H6C,9375.9,2930163.31,0.4227
p1,WA,2044,SO2,312.52,EASIUR,ACS,18204.36,5689238.29,0.8206
p1,WA,2044,SO2,312.52,EASIUR,H6C,46771.73,14617131.77,2.1084
p1,WA,2044,SO2,312.52,InMAP,ACS,4154.93,1298501.44,0.1873
p1,WA,2044,SO2,312.52,InMAP,H6C,10674.16,3335896.55,0.4812
p1,WA,2047,SO2,373.27,AP2,ACS,3649.64,1362311.39,0.1965
p1,WA,2047,SO2,373.27,AP2,H6C,9375.9,3499771.78,0.5048
p1,WA,2047,SO2,373.27,EASIUR,ACS,18204.36,6795196.55,0.9802
p1,WA,2047,SO2,373.27,EASIUR,H6C,46771.73,17458625.97,2.5183
p1,WA,2047,SO2,373.27,InMAP,ACS,4154.93,1550923.35,0.2237
p1,WA,2047,SO2,373.27,InMAP,H6C,10674.16,3984377.44,0.5747
p1,WA,2050,SO2,424.41,AP2,ACS,3649.64,1548941.07,0.2234
p1,WA,2050,SO2,424.41,AP2,H6C,9375.9,3979222.59,0.574
p1,WA,2050,SO2,424.41,EASIUR,ACS,18204.36,7726103.69,1.1144
p1,WA,2050,SO2,424.41,EASIUR,H6C,46771.73,19850368.33,2.8633
p1,WA,2050,SO2,424.41,InMAP,ACS,4154.93,1763391.91,0.2544
p1,WA,2050,SO2,424.41,InMAP,H6C,10674.16,4530216.75,0.6535
p10,CA,2010,SO2,10372.93,AP2,ACS,22816.59,236674814.39,34.1387
p10,CA,2010,SO2,10372.93,AP2,H6C,58622.06,608082280.63,87.7116
p10,CA,2010,SO2,10372.93,EASIUR,ACS,11194.08,116115334.29,16.7488
p10,CA,2010,SO2,10372.93,EASIUR,H6C,28760.03,298325649.96,43.0314
p10,CA,2010,SO2,10372.93,InMAP,ACS,18448.86,191368697.42,27.6036
p10,CA,2010,SO2,10372.93,InMAP,H6C,47399.94,491676087.36,70.9208
p10,CA,2015,SO2,7312.51,AP2,ACS,22816.59,166846543.23,24.0664
p10,CA,2015,SO2,7312.51,AP2,H6C,58622.06,428674368.17,61.8333
p10,CA,2015,SO2,7312.51,EASIUR,ACS,11194.08,81856796.6,11.8073
p10,CA,2015,SO2,7312.51,EASIUR,H6C,28760.03,210307985.57,30.3355
p10,CA,2015,SO2,7312.51,InMAP,ACS,18448.86,134907492.07,19.4595
p10,CA,2015,SO2,7312.51,InMAP,H6C,47399.94,346612527.29,49.9964
p10,CA,2020,SO2,4915.59,AP2,ACS,22816.59,112156934.14,16.1779
p10,CA,2020,SO2,4915.59,AP2,H6C,58622.06,288161815.94,41.5653
p10,CA,2020,SO2,4915.59,EASIUR,ACS,11194.08,55025457.33,7.937
p10,CA,2020,SO2,4915.59,EASIUR,H6C,28760.03,141372415.82,20.392
p10,CA,2020,SO2,4915.59,InMAP,ACS,18448.86,90686989.44,13.081
p10,CA,2020,SO2,4915.59,InMAP,H6C,47399.94,232998524.54,33.6084
p10,CA,2023,SO2,2960.18,AP2,ACS,22816.59,67541303.96,9.7424
p10,CA,2023,SO2,2960.18,AP2,H6C,58622.06,173532068.7,25.0308
p10,CA,2023,SO2,2960.18,EASIUR,ACS,11194.08,33136525.78,4.7797
p10,CA,2023,SO2,2960.18,EASIUR,H6C,28760.03,85134970.76,12.2801
p10,CA,2023,SO2,2960.18,InMAP,ACS,18448.86,54612027.03,7.8774
p10,CA,2023,SO2,2960.18,InMAP,H6C,47399.94,140312538.76,20.2391
p10,CA,2026,SO2,1507.19,AP2,ACS,22816.59,34388920.82,4.9604
p10,CA,2026,SO2,1507.19,AP2,H6C,58622.06,88354535.96,12.7445
p10,CA,2026,SO2,1507.19,EASIUR,ACS,11194.08,16871592.55,2.4336
p10,CA,2026,SO2,1507.19,EASIUR,H6C,28760.03,43346805.53,6.2525
p10,CA,2026,SO2,1507.19,InMAP,ACS,18448.86,27805928.57,4.0108
p10,CA,2026,SO2,1507.19,InMAP,H6C,47399.94,71440681.51,10.3048
p10,CA,2029,SO2,1403.88,AP2,ACS,22816.59,32031758.03,4.6204
p10,CA,2029,SO2,1403.88,AP2,H6C,58622.06,82298340.54,11.871
p10,CA,2029,SO2,1403.88,EASIUR,ACS,11194.08,15715141.89,2.2668
p10,CA,2029,SO2,1403.88,EASIUR,H6C,28760.03,40375631.25,5.8239
p10,CA,2029,SO2,1403.88,InMAP,ACS,18448.86,25899992.04,3.7359
p10,CA,2029,SO2,1403.88,InMAP,H6C,47399.94,66543833.56,9.5985
p10,CA,2032,SO2,1294.32,AP2,ACS,22816.59,29531879.15,4.2598
p10,CA,2032,SO2,1294.32,AP2,H6C,58622.06,75875468.51,10.9445
p10,CA,2032,SO2,1294.32,EASIUR,ACS,11194.08,14488673.11,2.0899
p10,CA,2032,SO2,1294.32,EASIUR,H6C,28760.03,37224565.13,5.3694
p10,CA,2032,SO2,1294.32,InMAP,ACS,18448.86,23878659.25,3.4443
p10,CA,2032,SO2,1294.32,InMAP,H6C,47399.94,61350502.51,8.8494
p10,CA,2035,SO2,1245.86,AP2,ACS,22816.59,28426291.46,4.1003
p10,CA,2035,SO2,1245.86,AP2,H6C,58622.06,73034911.59,10.5348
p10,CA,2035,SO2,1245.86,EASIUR,ACS,11194.08,13946259.32,2.0117
p10,CA,2035,SO2,1245.86,EASIUR,H6C,28760.03,35830985.64,5.1684
p10,CA,2035,SO2,1245.86,InMAP,ACS,18448.86,22984711.68,3.3154
p10,CA,2035,SO2,1245.86,InMAP,H6C,47399.94,59053718.08,8.5181
p10,CA,2038,SO2,969.72,AP2,ACS,22816.59,22125599.64,3.1915
p10,CA,2038,SO2,969.72,AP2,H6C,58622.06,56846712.33,8.1997
p10,CA,2038,SO2,969.72,EASIUR,ACS,11194.08,10855068.82,1.5658
p10,CA,2038,SO2,969.72,EASIUR,H6C,28760.03,27889042.23,4.0228
p10,CA,2038,SO2,969.72,InMAP,ACS,18448.86,17890146.84,2.5805
p10,CA,2038,SO2,969.72,InMAP,H6C,47399.94,45964452.49,6.6301
p10,CA,2041,SO2,868.44,AP2,ACS,22816.59,19814911.91,2.8582
p10,CA,2041,SO2,868.44,AP2,H6C,58622.06,50909924.04,7.3434
p10,CA,2041,SO2,868.44,EASIUR,ACS,11194.08,9721419.35,1.4022
p10,CA,2041,SO2,868.44,EASIUR,H6C,28760.03,24976449.18,3.6027
p10,CA,2041,SO2,868.44,InMAP,ACS,18448.86,16021788.76,2.311
p10,CA,2041,SO2,868.44,InMAP,H6C,47399.94,41164153.36,5.9376
p10,CA,2044,SO2,685.36,AP2,ACS,22816.59,15637469.97,2.2556
p10,CA,2044,SO2,685.36,AP2,H6C,58622.06,40176934.01,5.7952
p10,CA,2044,SO2,685.36,EASIUR,ACS,11194.08,7671919.2,1.1066
p10,CA,2044,SO2,685.36,EASIUR,H6C,28760.03,19710835.75,2.8432
p10,CA,2044,SO2,685.36,InMAP,ACS,18448.86,12644024.95,1.8238
p10,CA,2044,SO2,685.36,InMAP,H6C,47399.94,32485797.31,4.6858
p10,CA,2047,SO2,643.85,AP2,ACS,22816.59,14690366.62,2.119
p10,CA,2047,SO2,643.85,AP2,H6C,58622.06,37743566.67,5.4442
p10,CA,2047,SO2,643.85,EASIUR,ACS,11194.08,7207259.61,1.0396
p10,CA,2047,SO2,643.85,EASIUR,H6C,28760.03,18517023.79,2.671
p10,CA,2047,SO2,643.85,InMAP,ACS,18448.86,11878223.42,1.7134
p10,CA,2047,SO2,643.85,InMAP,H6C,47399.94,30518253.49,4.402
p10,CA,2050,SO2,552.07,AP2,ACS,22816.59,12596367.02,1.8169
p10,CA,2050,SO2,552.07,AP2,H6C,58622.06,32363509.43,4.6682
p10,CA,2050,SO2,552.07,EASIUR,ACS,11194.08,6179919.78,0.8914
p10,CA,2050,SO2,552.07,EASIUR,H6C,28760.03,15877563.44,2.2902
p10,CA,2050,SO2,552.07,InMAP,ACS,18448.86,10185073.37,1.4691
p10,CA,2050,SO2,552.07,InMAP,H6C,47399.94,26168109.47,3.7746
p100,VA,2015,SO2,44.14,AP2,ACS,21006.2,927162.49,0.1337
p100,VA,2015,SO2,44.14,AP2,H6C,53970.57,2382129.6,0.3436
p100,VA,2015,SO2,44.14,EASIUR,ACS,18837.5,831441.3,0.1199
p100,VA,2015,SO2,44.14,EASIUR,H6C,48398.47,2136190.65,0.3081
p100,VA,2015,SO2,44.14,InMAP,ACS,19486.65,860093.25,0.1241
p100,VA,2015,SO2,44.14,InMAP,H6C,50066.35,2209806.86,0.3187
p100,VA,2020,SO2,60.26,AP2,ACS,21006.2,1265846.7,0.1826
p100,VA,2020,SO2,60.26,AP2,H6C,53970.57,3252300.36,0.4691
p100,VA,2020,SO2,60.26,EASIUR,ACS,18837.5,1135159.42,0.1637
p100,VA,2020,SO2,60.26,EASIUR,H6C,48398.47,2916522.09,0.4207
p100,VA,2020,SO2,60.26,InMAP,ACS,19486.65,1174277.67,0.1694
p100,VA,2020,SO2,60.26,InMAP,H6C,50066.35,3017029.65,0.4352
p100,VA,2023,SO2,69.05,AP2,ACS,21006.2,1450473.17,0.2092
p100,VA,2023,SO2,69.05,AP2,H6C,53970.57,3726655.37,0.5375
p100,VA,2023,SO2,69.05,EASIUR,ACS,18837.5,1300724.86,0.1876
p100,VA,2023,SO2,69.05,EASIUR,H6C,48398.47,3341903.12,0.482
p100,VA,2023,SO2,69.05,InMAP,ACS,19486.65,1345548.59,0.1941
p100,VA,2023,SO2,69.05,InMAP,H6C,50066.35,3457069.91,0.4987
p100,VA,2026,SO2,81.16,AP2,ACS,21006.2,1704796.84,0.2459
p100,VA,2026,SO2,81.16,AP2,H6C,53970.57,4380081.23,0.6318
p100,VA,2026,SO2,81.16,EASIUR,ACS,18837.5,1528791.9,0.2205
p100,VA,2026,SO2,81.16,EASIUR,H6C,48398.47,3927867.13,0.5666
p100,VA,2026,SO2,81.16,InMAP,ACS,19486.65,1581474.96,0.2281
p100,VA,2026,SO2,81.16,InMAP,H6C,50066.35,4063227.09,0.5861
p100,VA,2029,SO2,66.32,AP2,ACS,21006.2,1393057.46,0.2009
p100,VA,2029,SO2,66.32,AP2,H6C,53970.57,3579138.98,0.5163
p100,VA,2029,SO2,66.32,EASIUR,ACS,18837.5,1249236.81,0.1802
p100,VA,2029,SO2,66.32,EASIUR,H6C,48398.47,3209616.81,0.463
p100,VA,2029,SO2,66.32,InMAP,ACS,19486.65,1292286.23,0.1864
p100,VA,2029,SO2,66.32,InMAP,H6C,50066.35,3320224.83,0.4789
p100,VA,2032,SO2,52.2,AP2,ACS,21006.2,1096577.25,0.1582
p100,VA,2032,SO2,52.2,AP2,H6C,53970.57,2817401.65,0.4064
p100,VA,2032,SO2,52.2,EASIUR,ACS,18837.5,983365.51,0.1418
p100,VA,2032,SO2,52.2,EASIUR,H6C,48398.47,2526523.77,0.3644
p100,VA,2032,SO2,52.2,InMAP,ACS,19486.65,1017252.86,0.1467
p100,VA,2032,SO2,52.2,InMAP,H6C,50066.35,2613591.41,0.377
p100,VA,2035,SO2,40.57,AP2,ACS,21006.2,852181.98,0.1229
p100,VA,2035,SO2,40.57,AP2,H6C,53970.57,2189484.52,0.3158
p100,VA,2035,SO2,40.57,EASIUR,ACS,18837.5,764201.86,0.1102
p100,VA,2035,SO2,40.57,EASIUR,H6C,48398.47,1963434.88,0.2832
p100,VA,2035,SO2,40.57,InMAP,ACS,19486.65,790536.7,0.114
p100,VA,2035,SO2,40.57,InMAP,H6C,50066.35,2031097.68,0.293
p100,VA,2038,SO2,31.53,AP2,ACS,21006.2,662295.28,0.0955
p100,VA,2038,SO2,31.53,AP2,H6C,53970.57,1701614.57,0.2454
p100,VA,2038,SO2,31.53,EASIUR,ACS,18837.5,593919.25,0.0857
p100,VA,2038,SO2,31.53,EASIUR,H6C,48398.47,1525934.24,0.2201
p100,VA,2038,SO2,31.53,InMAP,ACS,19486.65,614386.06,0.0886
