eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,225591.467982,2.5,1457.0,1.025,245981824.3856923
CH4,p1,2023,225591.467982,2.0,1874.0,1.02,314839605.3881267
CH4,p1,2023,225591.467982,1.5,2564.0,1.015,428650825.2445143
CH4,p1,2024,225591.467982,2.5,1524.0,1.0,251017828.39030758
CH4,p1,2024,225591.467982,2.0,1950.0,1.0,321184229.23956674
CH4,p1,2024,225591.467982,1.5,2650.0,1.0,436481132.0435138
CH4,p1,2025,444158.020283,2.5,1590.0,0.9756097560975612,503045998.0844411
CH4,p1,2025,444158.020283,2.0,2025.0,0.9803921568627452,643812338.003464
CH4,p1,2025,444158.020283,1.5,2737.0,0.9852216748768474,874466536.0324955
CH4,p1,2026,444158.020283,2.5,1657.0,0.9518143961927424,511457106.19783324
CH4,p1,2026,444158.020283,2.0,2101.0,0.9611687812379854,654877619.0487909
CH4,p1,2026,444158.020283,1.5,2823.0,0.9706617486471404,888614167.5451837
CH4,p1,2027,444158.020283,2.5,1724.0,0.928599410919749,519158662.3401474
CH4,p1,2027,444158.020283,2.0,2176.0,0.9423223345470444,664955856.2450042
CH4,p1,2027,444158.020283,1.5,2910.0,0.9563169937410252,902462784.6058624
CH4,p1,2028,361346.392649,2.5,1791.0,0.9059506447997552,428075900.0912422
CH4,p1,2028,361346.392649,2.0,2252.0,0.9238454260265142,548893835.525936
CH4,p1,2028,361346.392649,1.5,2996.0,0.9421842302867244,744729048.9063596
CH4,p1,2029,361346.392649,2.5,1857.0,0.8838542876095173,433025259.8872066
CH4,p1,2029,361346.392649,2.0,2327.0,0.905730809829916,556052987.8752017
CH4,p1,2029,361346.392649,1.5,3083.0,0.9282603254056396,755029582.2273066
CH4,p1,2030,361346.392649,2.5,1924.0,0.8622968659605048,437706029.93182594
CH4,p1,2030,361346.392649,2.0,2403.0,0.887971382186192,562954628.8935975
CH4,p1,2030,361346.392649,1.5,3169.0,0.914542192517872,764621736.5781
CH4,p1,2031,261669.26796,2.5,2002.0,0.8412652350834192,321770826.16982305
CH4,p1,2031,261669.26796,2.0,2490.0,0.8705601786139138,414140587.21493554
CH4,p1,2031,261669.26796,1.5,3270.0,0.9010267906580018,562905001.0535191
CH4,p1,2032,261669.26796,2.5,2080.0,0.8207465708130922,326153514.01439154
CH4,p1,2032,261669.26796,2.0,2578.0,0.8534903711901114,420369491.2355711
CH4,p1,2032,261669.26796,1.5,3371.0,0.887711123800987,571715629.0358425
CH4,p1,2033,261669.26796,2.5,2157.0,0.8007283617688704,329978015.8203764
CH4,p1,2033,261669.26796,2.0,2666.0,0.8367552658726582,426194900.9089097
CH4,p1,2033,261669.26796,1.5,3471.0,0.874592240198017,579975814.6881354
CH4,p1,2034,954506.661143,2.5,2235.0,0.7811984017257273,1216787579.1382384
CH4,p1,2034,954506.661143,2.0,2754.0,0.8203482998751551,1574483495.7459943
CH4,p1,2034,954506.661143,1.5,3572.0,0.8616672317221843,2144998150.2321272
CH4,p1,2035,954506.661143,2.5,2313.0,0.7621447821714413,1228539169.7699552
CH4,p1,2035,954506.661143,2.0,2842.0,0.8042630390932893,1592935087.2563672
CH4,p1,2035,954506.661143,1.5,3673.0,0.848933233223827,2173053195.8480034
CH4,p1,2036,954506.661143,2.5,2391.0,0.7435558850453087,1238993664.6188407
CH4,p1,2036,954506.661143,2.0,2929.0,0.7884931755816562,1609508241.4255009
CH4,p1,2036,954506.661143,1.5,3774.0,0.836387421895396,2199810563.0705132
CH4,p1,2037,2026696.468358,2.5,2468.0,0.7254203756539598,2649235382.505579
CH4,p1,2037,2026696.468358,2.0,3017.0,0.773032525080055,3451109337.358913
CH4,p1,2037,2026696.468358,1.5,3875.0,0.8240270166457105,4724967211.131747
CH4,p1,2038,2026696.468358,2.5,2546.0,0.7077271957599608,2666305602.980276
CH4,p1,2038,2026696.468358,2.0,3105.0,0.7578750245882894,3482128881.598857
CH4,p1,2038,2026696.468358,1.5,3975.0,0.8118492774834588,4775272757.476231
CH4,p1,2039,2026696.468358,2.5,2624.0,0.6904655568389862,2680967142.038298
CH4,p1,2039,2026696.468358,2.0,3193.0,0.7430147299885189,3510605133.7012253
CH4,p1,2039,2026696.468358,1.5,4076.0,0.7998515049098116,4824243085.6580515
CH4,p1,2040,2013744.4427500002,2.5,2702.0,0.67362493350145,2676115072.580718
CH4,p1,2040,2013744.4427500002,2.0,3280.0,0.7284458137142342,3512953338.30647
CH4,p1,2040,2013744.4427500002,1.5,4177.0,0.7880310393200115,4839595730.947127
CH4,p1,2041,2013744.4427500002,2.5,2786.0,0.6571950570745855,2692010107.132885
CH4,p1,2041,2013744.4427500002,2.0,3375.0,0.7141625624649355,3543823982.778675
CH4,p1,2041,2013744.4427500002,1.5,4285.0,0.7763852604138046,4891357364.480942
CH4,p1,2042,2013744.4427500002,2.5,2871.0,0.641165909341059,2706480492.2096586
CH4,p1,2042,2013744.4427500002,2.0,3471.0,0.700159374965623,3573162830.566385
CH4,p1,2042,2013744.4427500002,1.5,4394.0,0.7649115866145859,4941656772.572269
CH4,p1,2043,2168792.6529019997,2.5,2955.0,0.6255277164303016,2926974958.4611053
CH4,p1,2043,2168792.6529019997,2.0,3566.0,0.6864307597702186,3876082743.6269035
CH4,p1,2043,2168792.6529019997,1.5,4502.0,0.7536074744971291,5372366743.456545
CH4,p1,2044,2168792.6529019997,2.5,3040.0,0.6102709428588309,2937725681.5556145
CH4,p1,2044,2168792.6529019997,2.0,3661.0,0.6729713331080575,3901317157.802474
CH4,p1,2044,2168792.6529019997,1.5,4610.0,0.7424704182237725,5419947059.617656
CH4,p1,2045,2168792.6529019997,2.5,3124.0,0.5953862857159326,2945267981.1231513
CH4,p1,2045,2168792.6529019997,2.0,3756.0,0.6597758167726053,3924071759.217746
CH4,p1,2045,2168792.6529019997,1.5,4718.0,0.7314979489889384,5464947742.06343
CH4,p1,2046,2594815.388279,2.5,3209.0,0.5808646689911537,3531409443.435911
CH4,p1,2046,2594815.388279,2.0,3851.0,0.6468390360515739,4719251640.068469
CH4,p1,2046,2594815.388279,1.5,4827.0,0.7206876344718607,6590642656.360909
CH4,p1,2047,2594815.388279,2.5,3293.0,0.56669723804015,3535462395.3163605
CH4,p1,2047,2594815.388279,2.0,3946.0,0.6341559176976214,4740853399.857989
CH4,p1,2047,2594815.388279,1.5,4935.0,0.7100370782973997,6638524781.915577
CH4,p1,2048,2594815.388279,2.5,3378.0,0.5528753541855124,3538264306.808579
CH4,p1,2048,2594815.388279,2.0,4041.0,0.6217214879388445,4759793632.873731
CH4,p1,2048,2594815.388279,1.5,5043.0,0.6995439195048273,6683552283.16893
CH4,p1,2049,2952293.4796639998,2.5,3462.0,0.5393905894492803,4025194650.726102
CH4,p1,2049,2952293.4796639998,2.0,4136.0,0.6095308705282789,5434163413.339849
CH4,p1,2049,2952293.4796639998,1.5,5151.0,0.6892058320244606,7652387467.276145
CH4,p1,2050,2952293.4796639998,2.5,3547.0,0.5262347214139321,4023436453.234557
CH4,p1,2050,2952293.4796639998,2.0,4231.0,0.597579284831646,5449981369.192766
CH4,p1,2050,2952293.4796639998,1.5,5260.0,0.6790205241620302,7698836627.040238
CH4,p10,2023,3809922.025227,2.5,1457.0,1.025,4154286413.914139
CH4,p10,2023,3809922.025227,2.0,1874.0,1.02,5317197311.19313
CH4,p10,2023,3809922.025227,1.5,2564.0,1.015,7239308449.205677
CH4,p10,2024,3809922.025227,2.5,1524.0,1.0,4239337425.585582
CH4,p10,2024,3809922.025227,2.0,1950.0,1.0,5424349068.170527
CH4,p10,2024,3809922.025227,1.5,2650.0,1.0,7371551297.770205
CH4,p10,2025,2962366.1812650003,2.5,1590.0,0.9756097560975612,3355126743.847934
CH4,p10,2025,2962366.1812650003,2.0,2025.0,0.9803921568627452,4293985046.0595427
CH4,p10,2025,2962366.1812650003,1.5,2737.0,0.9852216748768474,5832361399.981156
CH4,p10,2026,2962366.1812650003,2.5,1657.0,0.9518143961927424,3411225657.036985
CH4,p10,2026,2962366.1812650003,2.0,2101.0,0.9611687812379854,4367786289.8916
CH4,p10,2026,2962366.1812650003,1.5,2823.0,0.9706617486471404,5926720756.841317
CH4,p10,2027,2962366.1812650003,2.5,1724.0,0.928599410919749,3462592126.6654477
CH4,p10,2027,2962366.1812650003,2.0,2176.0,0.9423223345470444,4435004324.179951
CH4,p10,2027,2962366.1812650003,1.5,2910.0,0.9563169937410252,6019085800.281724
CH4,p10,2028,3328427.161027,2.5,1791.0,0.9059506447997552,3943084756.982184
CH4,p10,2028,3328427.161027,2.0,2252.0,0.9238454260265142,5055960673.335003
CH4,p10,2028,3328427.161027,1.5,2996.0,0.9421842302867244,6859834342.925166
CH4,p10,2029,3328427.161027,2.5,1857.0,0.8838542876095173,3988674207.741099
CH4,p10,2029,3328427.161027,2.0,2327.0,0.905730809829916,5121904924.09821
CH4,p10,2029,3328427.161027,1.5,3083.0,0.9282603254056396,6954714423.578987
CH4,p10,2030,3328427.161027,2.5,1924.0,0.8622968659605048,4031789629.5855494
CH4,p10,2030,3328427.161027,2.0,2403.0,0.887971382186192,5185477191.287274
CH4,p10,2030,3328427.161027,1.5,3169.0,0.914542192517872,7043069497.058179
CH4,p10,2031,5116087.075875999,2.5,2002.0,0.8412652350834192,6291176560.378584
CH4,p10,2031,5116087.075875999,2.0,2490.0,0.8705601786139138,8097165258.894351
CH4,p10,2031,5116087.075875999,1.5,3270.0,0.9010267906580018,11005767025.251532
CH4,p10,2032,5116087.075875999,2.5,2080.0,0.8207465708130922,6376865693.130019
CH4,p10,2032,5116087.075875999,2.0,2578.0,0.8534903711901114,8218951113.248931
CH4,p10,2032,5116087.075875999,1.5,3371.0,0.887711123800987,11178030051.407152
CH4,p10,2033,5116087.075875999,2.5,2157.0,0.8007283617688704,6451641322.739893
CH4,p10,2033,5116087.075875999,2.0,2666.0,0.8367552658726582,8332847954.761119
CH4,p10,2033,5116087.075875999,1.5,3471.0,0.874592240198017,11339530977.325943
CH4,p10,2034,4662443.678599,2.5,2235.0,0.7811984017257273,5943597658.875768
CH4,p10,2034,4662443.678599,2.0,2754.0,0.8203482998751551,7690821783.274678
CH4,p10,2034,4662443.678599,1.5,3572.0,0.8616672317221843,10477593790.89135
CH4,p10,2035,4662443.678599,2.5,2313.0,0.7621447821714413,6001000222.613479
CH4,p10,2035,4662443.678599,2.0,2842.0,0.8042630390932893,7780951595.563899
CH4,p10,2035,4662443.678599,1.5,3673.0,0.848933233223827,10614633243.217342
CH4,p10,2036,4662443.678599,2.5,2391.0,0.7435558850453087,6052066910.155253
CH4,p10,2036,4662443.678599,2.0,2929.0,0.7884931755816562,7861905873.869084
CH4,p10,2036,4662443.678599,1.5,3774.0,0.836387421895396,10745333973.491085
CH4,p10,2037,5460299.767135,2.5,2468.0,0.7254203756539598,7137536166.87399
CH4,p10,2037,5460299.767135,2.0,3017.0,0.773032525080055,9297934745.209038
CH4,p10,2037,5460299.767135,1.5,3875.0,0.8240270166457105,12729946376.018387
CH4,p10,2038,5460299.767135,2.5,2546.0,0.7077271957599608,7183526537.083915
CH4,p10,2038,5460299.767135,2.0,3105.0,0.7578750245882894,9381507205.53272
CH4,p10,2038,5460299.767135,1.5,3975.0,0.8118492774834588,12865478937.148731
CH4,p10,2039,5460299.767135,2.5,2624.0,0.6904655568389862,7223027468.552565
CH4,p10,2039,5460299.767135,2.0,3193.0,0.7430147299885189,9458227560.628328
CH4,p10,2039,5460299.767135,1.5,4076.0,0.7998515049098116,12997414170.540812
CH4,p10,2040,4634737.384323,2.5,2702.0,0.67362493350145,6159217777.754491
CH4,p10,2040,4634737.384323,2.0,3280.0,0.7284458137142342,8085244493.187454
CH4,p10,2040,4634737.384323,1.5,4177.0,0.7880310393200115,11138580836.304901
CH4,p10,2041,4634737.384323,2.5,2786.0,0.6571950570745855,6195801025.012733
CH4,p10,2041,4634737.384323,2.0,3375.0,0.7141625624649355,8156294884.178521
CH4,p10,2041,4634737.384323,1.5,4285.0,0.7763852604138046,11257712923.237038
CH4,p10,2042,4634737.384323,2.5,2871.0,0.641165909341059,6229105367.538584
CH4,p10,2042,4634737.384323,2.0,3471.0,0.700159374965623,8223819765.572591
CH4,p10,2042,4634737.384323,1.5,4394.0,0.7649115866145859,11373479622.397652
CH4,p10,2043,3541825.4599369997,2.5,2955.0,0.6255277164303016,4780002557.922731
CH4,p10,2043,3541825.4599369997,2.0,3566.0,0.6864307597702186,6329977431.37438
CH4,p10,2043,3541825.4599369997,1.5,4502.0,0.7536074744971291,8773538257.164608
CH4,p10,2044,3541825.4599369997,2.5,3040.0,0.6102709428588309,4797559415.982866
CH4,p10,2044,3541825.4599369997,2.0,3661.0,0.6729713331080575,6371187406.184114
CH4,p10,2044,3541825.4599369997,1.5,4610.0,0.7424704182237725,8851241017.244408
CH4,p10,2045,3541825.4599369997,2.5,3124.0,0.5953862857159326,4809876641.697843
CH4,p10,2045,3541825.4599369997,2.0,3756.0,0.6597758167726053,6408347632.873138
CH4,p10,2045,3541825.4599369997,1.5,4718.0,0.7314979489889384,8924731012.97439
CH4,p10,2046,3485677.3445019997,2.5,3209.0,0.5808646689911537,4743826457.461044
CH4,p10,2046,3485677.3445019997,2.0,3851.0,0.6468390360515739,6339483186.008397
CH4,p10,2046,3485677.3445019997,1.5,4827.0,0.7206876344718607,8853367332.70352
CH4,p10,2047,3485677.3445019997,2.5,3293.0,0.56669723804015,4749270884.302296
CH4,p10,2047,3485677.3445019997,2.0,3946.0,0.6341559176976214,6368501344.695069
CH4,p10,2047,3485677.3445019997,1.5,4935.0,0.7100370782973997,8917688532.973263
CH4,p10,2048,3485677.3445019997,2.5,3378.0,0.5528753541855124,4753034758.778239
CH4,p10,2048,3485677.3445019997,2.0,4041.0,0.6217214879388445,6393944211.043395
CH4,p10,2048,3485677.3445019997,1.5,5043.0,0.6995439195048273,8978175048.394484
CH4,p10,2049,2874930.3063319996,2.5,3462.0,0.5393905894492803,3919716711.7596126
CH4,p10,2049,2874930.3063319996,2.0,4136.0,0.6095308705282789,5291764248.434174
CH4,p10,2049,2874930.3063319996,1.5,5151.0,0.6892058320244606,7451861001.288799
CH4,p10,2050,2874930.3063319996,2.5,3547.0,0.5262347214139321,3918004586.834439
CH4,p10,2050,2874930.3063319996,2.0,4231.0,0.597579284831646,5307167703.7407055
CH4,p10,2050,2874930.3063319996,1.5,5260.0,0.6790205241620302,7497092987.210688
CH4,p100,2023,680475.835707,2.5,1457.0,1.025,741981463.2836297
CH4,p100,2023,680475.835707,2.0,1874.0,1.02,949684602.4657365
CH4,p100,2023,680475.835707,1.5,2564.0,1.015,1292985639.6786683
CH4,p100,2024,680475.835707,2.5,1524.0,1.0,757172104.4205446
CH4,p100,2024,680475.835707,2.0,1950.0,1.0,968822574.5538464
CH4,p100,2024,680475.835707,1.5,2650.0,1.0,1316605037.2142015
CH4,p100,2025,712482.4775,2.5,1590.0,0.9756097560975612,806945822.5324788
CH4,p100,2025,712482.4775,2.0,2025.0,0.9803921568627452,1032751833.0829794
CH4,p100,2025,712482.4775,1.5,2737.0,0.9852216748768474,1402748696.705505
CH4,p100,2026,712482.4775,2.5,1657.0,0.9518143961927424,820438243.8633637
CH4,p100,2026,712482.4775,2.0,2101.0,0.9611687812379854,1050501864.5883996
CH4,p100,2026,712482.4775,1.5,2823.0,0.9706617486471404,1425443186.257882
CH4,p100,2027,712482.4775,2.5,1724.0,0.928599410919749,832792459.1432884
