sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p8,2035,-0.0
inv_h2_production,electrolyzer,p10,2035,0.0
inv_h2_production,electrolyzer,p19,2032,100055277.022785
inv_h2_production,electrolyzer,p19,2035,2745.481659
inv_h2_production,electrolyzer,p31,2029,56379367.671897
inv_h2_production,electrolyzer,p31,2032,1404827.291428
inv_h2_production,electrolyzer,p31,2035,217724.715772
inv_h2_production,electrolyzer,p32,2035,0.0
inv_h2_production,electrolyzer,p127,2041,627518070.412939
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2038,149034634.157276
inv_investment_capacity_costs,battery_4,p8,2044,126212652.589288
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2041,1695510518.49075
inv_investment_capacity_costs,battery_4,p9,2044,219441431.250746
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2041,1334637778.495351
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,1341209653.625522
inv_investment_capacity_costs,battery_4,p12,2044,727286801.246461
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,1603100890.848
inv_investment_capacity_costs,battery_4,p13,2044,1699001559.228594
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p21,2038,126000604.101323
inv_investment_capacity_costs,battery_4,p21,2044,203339948.893892
inv_investment_capacity_costs,battery_4,p21,2047,169433119.077923
inv_investment_capacity_costs,battery_4,p21,2050,224511099.128433
inv_investment_capacity_costs,battery_4,p22,2047,15938765.270489
inv_investment_capacity_costs,battery_4,p22,2050,1612090.991003
inv_investment_capacity_costs,battery_4,p23,2041,127254574.775689
inv_investment_capacity_costs,battery_4,p24,2041,154610180.016591
inv_investment_capacity_costs,battery_4,p25,2047,236512780.471221
inv_investment_capacity_costs,battery_4,p26,2044,470304363.259414
inv_investment_capacity_costs,battery_4,p26,2047,133884034.968061
inv_investment_capacity_costs,battery_4,p26,2050,111074404.066402
inv_investment_capacity_costs,battery_4,p27,2044,315561001.305296
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2044,1436233547.163254
inv_investment_capacity_costs,battery_4,p30,2029,899128363.661349
inv_investment_capacity_costs,battery_4,p30,2038,1888603087.660541
inv_investment_capacity_costs,battery_4,p30,2044,894659110.936108
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p33,2041,32240199.974872
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2041,204083834.064957
inv_investment_capacity_costs,battery_4,p34,2047,217236722.325757
inv_investment_capacity_costs,battery_4,p34,2050,214784354.992358
inv_investment_capacity_costs,battery_4,p37,2029,173737185.12
inv_investment_capacity_costs,battery_4,p39,2032,50612138.973986
inv_investment_capacity_costs,battery_4,p39,2035,219277426.378325
inv_investment_capacity_costs,battery_4,p39,2044,25043376.443737
inv_investment_capacity_costs,battery_4,p39,2047,31336065.728316
inv_investment_capacity_costs,battery_4,p39,2050,268303475.015031
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2032,154094109.894326
inv_investment_capacity_costs,battery_4,p43,2035,1002325310.819827
inv_investment_capacity_costs,battery_4,p44,2032,424721883.988781
inv_investment_capacity_costs,battery_4,p44,2038,994118457.027307
inv_investment_capacity_costs,battery_4,p45,2038,1745082506.203878
inv_investment_capacity_costs,battery_4,p46,2032,80071704.333865
inv_investment_capacity_costs,battery_4,p47,2032,315349777.834022
inv_investment_capacity_costs,battery_4,p47,2035,317480831.180633
inv_investment_capacity_costs,battery_4,p47,2038,55845149.149641
inv_investment_capacity_costs,battery_4,p47,2041,137313163.596706
