i,v,r,t,Value
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,2.5
battery_4,new1,p7,2026,0.2
battery_4,new1,p8,2029,150.0
battery_4,new1,p8,2050,392.509075
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2047,211.112217
battery_4,new1,p9,2050,95.851626
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p10,2041,1976.505769
battery_4,new1,p10,2044,659.074669
battery_4,new1,p10,2047,490.159804
battery_4,new1,p10,2050,495.321327
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2041,239.219107
battery_4,new1,p11,2044,249.009782
battery_4,new1,p12,2044,16.196605
battery_4,new1,p12,2050,535.154454
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,551.2
battery_4,new1,p13,2029,1212.0
battery_4,new1,p13,2044,983.803395
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p18,2026,100.0
battery_4,new1,p23,2044,40.575626
battery_4,new1,p27,2047,204.662746
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2047,282.396727
battery_4,new1,p30,2029,703.452903
battery_4,new1,p30,2047,763.175591
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p31,2044,1.122126
battery_4,new1,p33,2023,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p37,2029,135.0
battery_4,new1,p39,2044,84.025123
battery_4,new1,p39,2047,55.381569
battery_4,new1,p40,2023,1.0
battery_4,new1,p40,2047,71.235252
battery_4,new1,p41,2047,155.726619
battery_4,new1,p41,2050,319.19705
battery_4,new1,p43,2023,0.768718
battery_4,new1,p47,2044,371.137668
battery_4,new1,p47,2050,195.495484
battery_4,new1,p48,2026,200.0
battery_4,new1,p48,2044,701.957989
battery_4,new1,p48,2047,182.84334
battery_4,new1,p48,2050,210.729021
battery_4,new1,p53,2047,66.16579
battery_4,new1,p58,2029,120.299513
