i,r,t,Value
battery_4,p4,2029,0.0
battery_4,p6,2026,-173.882242
battery_4,p6,2029,-194.522423
battery_4,p6,2032,-373.339752
battery_4,p6,2035,-450.845576
battery_4,p6,2038,-475.425338
battery_4,p6,2041,-581.025703
battery_4,p6,2044,-588.499285
battery_4,p6,2047,-587.871757
battery_4,p6,2050,-533.000677
battery_4,p7,2026,-19.311432
battery_4,p7,2029,-18.829529
battery_4,p7,2032,-37.791528
battery_4,p7,2035,-45.234082
battery_4,p7,2038,-45.774933
battery_4,p8,2029,-47400.445349
battery_4,p8,2032,-32353.170845
battery_4,p8,2035,-35635.484658
battery_4,p8,2038,-31222.652293
battery_4,p8,2041,-41215.065818
battery_4,p8,2047,0.0
battery_4,p8,2050,-107361.737737
battery_4,p9,2020,-166.642771
battery_4,p9,2023,-169210.489001
battery_4,p9,2026,-371199.949816
battery_4,p9,2029,-427737.191147
battery_4,p9,2032,-419283.168284
battery_4,p9,2035,-434982.381612
battery_4,p9,2038,-45115.127747
battery_4,p9,2047,-56603.633764
battery_4,p9,2050,-78348.042641
battery_4,p10,2020,-4278.73608
battery_4,p10,2023,-741619.852658
battery_4,p10,2026,-1248283.603397
battery_4,p10,2029,-1275538.706731
battery_4,p10,2032,-1310538.026227
battery_4,p10,2035,-1405239.081691
battery_4,p10,2038,-509260.462026
battery_4,p10,2041,-552870.853442
battery_4,p10,2044,-734506.897971
battery_4,p10,2047,-844994.65927
battery_4,p10,2050,-923525.376193
battery_4,p11,2020,-11481.008975
battery_4,p11,2023,-50321.765735
battery_4,p11,2026,-133889.857092
battery_4,p11,2029,-148042.284916
battery_4,p11,2032,-148931.387929
battery_4,p11,2035,-99522.51905
battery_4,p11,2038,-73904.469453
battery_4,p11,2041,-65821.494198
battery_4,p11,2044,-134547.415626
battery_4,p11,2047,-131006.018469
battery_4,p11,2050,-122219.330557
battery_4,p12,2044,-4554.302569
battery_4,p12,2047,-4686.113675
battery_4,p12,2050,-155013.597317
battery_4,p13,2023,-12287.302866
battery_4,p13,2026,-136621.563553
battery_4,p13,2029,-452894.316139
battery_4,p13,2032,-439242.723459
battery_4,p13,2035,-454007.954617
battery_4,p13,2038,-460107.219813
battery_4,p13,2041,-334903.796622
battery_4,p13,2044,-292373.208828
battery_4,p13,2047,-303423.666982
battery_4,p13,2050,-297605.677145
battery_4,p15,2023,-1792.933567
battery_4,p15,2026,-12481.136465
battery_4,p15,2029,-13999.88518
battery_4,p15,2032,-13106.4661
battery_4,p15,2035,-24941.148502
battery_4,p16,2023,-71.119967
battery_4,p16,2026,-217.042231
battery_4,p16,2029,-252.505538
battery_4,p16,2032,-215.330827
battery_4,p16,2035,-430.037442
battery_4,p18,2026,-1625.196595
battery_4,p18,2029,-11988.220771
battery_4,p18,2032,-13141.276982
battery_4,p18,2035,-13662.066473
battery_4,p18,2038,-12813.353177
battery_4,p23,2044,-8960.216803
battery_4,p23,2047,-9089.913482
battery_4,p23,2050,-9128.245743
battery_4,p27,2047,-38048.86471
battery_4,p27,2050,-38356.820964
battery_4,p28,2023,-110008.13637
battery_4,p28,2026,-187873.330057
battery_4,p28,2029,-266023.185882
battery_4,p28,2032,-224016.064298
battery_4,p28,2035,-251134.24603
battery_4,p28,2038,-55804.242524
battery_4,p28,2047,-55357.960513
battery_4,p28,2050,-52536.750678
battery_4,p30,2029,-161547.656992
battery_4,p30,2032,-150428.326125
battery_4,p30,2035,-158639.816213
battery_4,p30,2038,-155201.335238
battery_4,p30,2041,-170377.073908
battery_4,p30,2047,-154611.371117
battery_4,p30,2050,-139761.572876
battery_4,p31,2023,-14985.507451
battery_4,p31,2026,-48681.993306
battery_4,p31,2029,-57195.900023
battery_4,p31,2032,-51067.636558
battery_4,p31,2035,-53292.012679
battery_4,p31,2038,-33009.071324
battery_4,p31,2044,-216.880958
battery_4,p31,2047,-248.868942
battery_4,p31,2050,-241.978633
battery_4,p33,2023,-891.87783
battery_4,p33,2026,-863.372224
battery_4,p33,2029,-1279.899262
battery_4,p33,2032,-1315.275962
battery_4,p33,2035,-1294.994163
battery_4,p34,2023,-43023.340665
battery_4,p34,2026,-39053.838585
battery_4,p34,2029,-56187.527224
battery_4,p34,2032,-59209.007506
battery_4,p34,2035,-57076.034169
battery_4,p37,2029,-22124.278931
battery_4,p37,2032,-20793.155631
battery_4,p37,2035,-19093.844132
battery_4,p37,2038,-20097.711081
battery_4,p37,2041,-25960.016557
battery_4,p39,2044,-20428.04447
battery_4,p39,2047,-30774.841134
battery_4,p39,2050,-36131.860097
battery_4,p40,2023,-261.319188
battery_4,p40,2026,-267.429998
battery_4,p40,2029,-302.583274
battery_4,p40,2032,-275.158108
battery_4,p40,2035,-258.39195
battery_4,p40,2047,-15648.821254
