ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,NOX,425.52,AP2,ACS,559.4,238035.6,0.0343
p1,WA,2010,NOX,425.52,AP2,H6C,1436.07,611077.49,0.0881
p1,WA,2010,NOX,425.52,EASIUR,ACS,7504.37,3193261.72,0.4606
p1,WA,2010,NOX,425.52,EASIUR,H6C,19279.96,8204017.38,1.1834
p1,WA,2010,NOX,425.52,InMAP,ACS,1978.42,841859.49,0.1214
p1,WA,2010,NOX,425.52,InMAP,H6C,5082.01,2162498.02,0.3119
p1,WA,2015,NOX,287.48,AP2,ACS,559.4,160813.4,0.0232
p1,WA,2015,NOX,287.48,AP2,H6C,1436.07,412835.1,0.0595
p1,WA,2015,NOX,287.48,EASIUR,ACS,7504.37,2157321.33,0.3112
p1,WA,2015,NOX,287.48,EASIUR,H6C,19279.96,5542515.23,0.7995
p1,WA,2015,NOX,287.48,InMAP,ACS,1978.42,568748.07,0.082
p1,WA,2015,NOX,287.48,InMAP,H6C,5082.01,1460952.32,0.2107
p1,WA,2020,NOX,478.63,AP2,ACS,559.4,267743.04,0.0386
p1,WA,2020,NOX,478.63,AP2,H6C,1436.07,687341.49,0.0991
p1,WA,2020,NOX,478.63,EASIUR,ACS,7504.37,3591788.77,0.5181
p1,WA,2020,NOX,478.63,EASIUR,H6C,19279.96,9227899.27,1.3311
p1,WA,2020,NOX,478.63,InMAP,ACS,1978.42,946925.66,0.1366
p1,WA,2020,NOX,478.63,InMAP,H6C,5082.01,2432383.18,0.3509
p1,WA,2023,NOX,340.23,AP2,ACS,559.4,190323.68,0.0275
p1,WA,2023,NOX,340.23,AP2,H6C,1436.07,488592.94,0.0705
p1,WA,2023,NOX,340.23,EASIUR,ACS,7504.37,2553203.41,0.3683
p1,WA,2023,NOX,340.23,EASIUR,H6C,19279.96,6559601.75,0.9462
p1,WA,2023,NOX,340.23,InMAP,ACS,1978.42,673116.93,0.0971
p1,WA,2023,NOX,340.23,InMAP,H6C,5082.01,1729046.29,0.2494
p1,WA,2026,NOX,516.47,AP2,ACS,559.4,288910.34,0.0417
p1,WA,2026,NOX,516.47,AP2,H6C,1436.07,741681.53,0.107
p1,WA,2026,NOX,516.47,EASIUR,ACS,7504.37,3875749.39,0.559
p1,WA,2026,NOX,516.47,EASIUR,H6C,19279.96,9957441.06,1.4363
p1,WA,2026,NOX,516.47,InMAP,ACS,1978.42,1021787.97,0.1474
p1,WA,2026,NOX,516.47,InMAP,H6C,5082.01,2624683.2,0.3786
p1,WA,2029,NOX,477.52,AP2,ACS,559.4,267122.9,0.0385
p1,WA,2029,NOX,477.52,AP2,H6C,1436.07,685749.5,0.0989
p1,WA,2029,NOX,477.52,EASIUR,ACS,7504.37,3583469.59,0.5169
p1,WA,2029,NOX,477.52,EASIUR,H6C,19279.96,9206525.92,1.328
