,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528602617.5049996,1320298040.5702965,1203879490.57,2421687876.42,4497136771.44,6.0,364.7332666666666,190.44378632189253,173.6512,349.3115,648.6806
AL,2015,6.0,521428702.18,279522952.3422057,242826034.82,498328884.54,957798194.15,6.0,75.21246666666666,40.319245700417895,35.0259,71.8805,138.1557
AL,2020,6.0,678850678.7333335,354809803.90613145,323950209.96,651510885.71,1209418353.71,6.0,97.91946666666668,51.17883884382945,46.727599999999995,93.9759,174.4502
AL,2023,6.0,1018907599.2199999,541135179.352797,477289382.62,973315826.3700001,1850851585.74,6.0,146.97029999999998,78.0549426238467,68.84559999999999,140.394,266.9724
AL,2026,6.0,2106848649.6966667,1082900119.7373273,1021944894.4099998,2026670752.7350001,3668237229.1,6.0,303.89821666666666,156.20084910139786,147.4083,292.3331,529.1178
AL,2029,6.0,927987409.7916666,494620209.1968618,433884154.88000005,886863045.675,1693126792.53,6.0,133.85573333333335,71.34553219625367,62.5847,127.9238,244.22180000000003
AL,2032,6.0,1045118495.1549999,557197717.5845277,488753194.37,999069764.0550001,1907515927.34,6.0,150.75105,80.37191506442409,70.4992,144.10885000000002,275.1459
AL,2035,6.0,1003471497.8449999,535614677.8178104,468704777.06,958997500.34,1833943257.34,6.0,144.74373333333332,77.25871222511196,67.60730000000001,138.3286,264.5336
AL,2038,6.0,990316480.1333333,528664130.5264722,462488773.34000003,946387324.49,1810177115.87,6.0,142.84621666666666,76.25612533349481,66.7107,136.50975,261.10540000000003
AL,2041,6.0,977201762.9066666,521783815.00106233,456253620.33,933804527.295,1786678129.32,6.0,140.95451666666668,75.2636422644936,65.8114,134.69475,257.7158
AL,2044,6.0,2266445726.988333,1165364506.5194016,1099255905.09,2180509736.545,3948411686.42,6.0,326.9189833333333,168.09562775178202,158.5601,314.52325,569.5307
AL,2047,6.0,823256974.5766667,443979643.107462,382399311.02000004,787588285.6000001,1522848922.13,6.0,118.74908333333333,64.04092583523185,55.1584,113.60415,219.6602
