eall,r,t,dr,Value
CH4,p1,2020,2.5,610422195.5208
CH4,p1,2020,2.0,751288856.0256
CH4,p1,2020,1.5,1079977730.5368
CH4,p1,2023,2.5,333875372.61336
CH4,p1,2023,2.0,415088301.08688
CH4,p1,2023,1.5,579770072.71374
CH4,p1,2026,2.5,738863119.4103
CH4,p1,2026,2.0,925804390.5863999
CH4,p1,2026,1.5,1264079071.7621999
CH4,p1,2029,2.5,665646366.35544
CH4,p1,2029,2.0,839293244.53512
CH4,p1,2029,1.5,1125087064.87251
CH4,p1,2032,2.5,1388760480.1389802
CH4,p1,2032,2.0,1739321378.03814
CH4,p1,2032,1.5,2292128947.8022
CH4,p1,2035,2.5,2686781005.7341003
CH4,p1,2035,2.0,3329272115.80095
CH4,p1,2035,1.5,4322212922.2679
CH4,p1,2038,2.5,5949796765.9554405
CH4,p1,2038,2.0,7308411775.504321
CH4,p1,2038,1.5,9369758686.544
CH4,p1,2041,2.5,7392149443.105041
CH4,p1,2041,2.0,9014167846.08852
CH4,p1,2041,1.5,11460490683.37508
CH4,p1,2044,2.5,8273897993.0621195
CH4,p1,2044,2.0,10027306839.27396
CH4,p1,2044,1.5,12712214135.03584
CH4,p1,2047,2.5,9617449327.66472
CH4,p1,2047,2.0,11594041674.14796
CH4,p1,2047,1.5,14662185017.94284
CH4,p1,2050,2.5,12027274351.735998
CH4,p1,2050,2.0,14432729222.083199
CH4,p1,2050,1.5,18212729732.6288
CH4,p10,2020,2.5,2669341842.0474
CH4,p10,2020,2.0,3285343805.5968003
CH4,p10,2020,1.5,4722681720.545401
CH4,p10,2023,2.5,5638684574.52324
CH4,p10,2023,2.0,7010256498.05592
CH4,p10,2023,1.5,9791499565.21941
CH4,p10,2026,2.5,4874317315.86866
CH4,p10,2026,2.0,6107578323.49808
CH4,p10,2026,1.5,8339193480.160841
CH4,p10,2029,2.5,6125664361.02216
CH4,p10,2029,2.0,7723663759.54968
CH4,p10,2029,1.5,10353704436.292889
CH4,p10,2032,2.5,11823216694.01308
CH4,p10,2032,2.0,14807717995.41444
CH4,p10,2032,1.5,19514046970.701202
CH4,p10,2035,2.5,12039808888.205301
CH4,p10,2035,2.0,14918893622.34135
CH4,p10,2035,1.5,19368388211.4607
CH4,p10,2038,2.5,19122342615.17732
CH4,p10,2038,2.0,23488861795.020958
