i,v,r,t,Value
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2029,2.3
battery_4,new1,p6,2032,2.3
battery_4,new1,p6,2035,2.3
battery_4,new1,p6,2038,2.3
battery_4,new1,p6,2041,2.5
battery_4,new1,p6,2044,2.5
battery_4,new1,p6,2047,61.518844
battery_4,new1,p6,2050,61.518844
battery_4,new1,p7,2026,0.2
battery_4,new1,p7,2029,0.2
battery_4,new1,p7,2032,0.2
battery_4,new1,p7,2035,0.2
battery_4,new1,p7,2038,0.2
battery_4,new1,p7,2044,570.581822
battery_4,new1,p7,2047,942.787659
battery_4,new1,p7,2050,942.787659
battery_4,new1,p8,2029,150.0
battery_4,new1,p8,2032,150.0
battery_4,new1,p8,2035,150.0
battery_4,new1,p8,2038,188.970011
battery_4,new1,p8,2041,188.970011
battery_4,new1,p8,2044,38.970011
battery_4,new1,p8,2047,38.970011
battery_4,new1,p8,2050,84.879751
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,7.0
battery_4,new1,p9,2023,2121.187467
battery_4,new1,p9,2026,2323.187467
battery_4,new1,p9,2029,2323.187467
battery_4,new1,p9,2032,2317.187467
battery_4,new1,p9,2035,2316.187467
battery_4,new1,p9,2038,1453.95
battery_4,new1,p9,2041,2730.263298
battery_4,new1,p9,2044,3596.185742
battery_4,new1,p9,2047,3596.185742
battery_4,new1,p9,2050,3596.185742
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,145.2
battery_4,new1,p10,2023,4998.554083
battery_4,new1,p10,2026,7076.054083
battery_4,new1,p10,2029,7076.054083
battery_4,new1,p10,2032,7073.054083
battery_4,new1,p10,2035,6930.854083
battery_4,new1,p10,2038,2077.5
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,335.5
battery_4,new1,p11,2023,542.5
battery_4,new1,p11,2026,849.6
battery_4,new1,p11,2029,849.6
battery_4,new1,p11,2032,845.6
battery_4,new1,p11,2035,514.1
battery_4,new1,p11,2038,307.1
battery_4,new1,p11,2041,885.469326
battery_4,new1,p11,2044,885.469326
battery_4,new1,p11,2047,885.469326
battery_4,new1,p11,2050,885.469326
battery_4,new1,p12,2029,27.92244
battery_4,new1,p12,2032,27.92244
battery_4,new1,p12,2035,27.92244
battery_4,new1,p12,2038,55.81244
battery_4,new1,p12,2041,55.81244
battery_4,new1,p12,2044,27.89
battery_4,new1,p12,2047,27.89
battery_4,new1,p12,2050,27.89
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,600.0
battery_4,new1,p13,2029,992.98756
battery_4,new1,p13,2032,992.98756
battery_4,new1,p13,2035,992.98756
battery_4,new1,p13,2038,944.18756
battery_4,new1,p13,2041,944.18756
battery_4,new1,p13,2044,551.2
battery_4,new1,p13,2047,551.2
battery_4,new1,p13,2050,551.2
battery_4,new1,p15,2023,129.0
battery_4,new1,p15,2026,129.0
battery_4,new1,p15,2029,129.0
battery_4,new1,p15,2032,129.0
battery_4,new1,p15,2035,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p16,2026,2.0
battery_4,new1,p16,2029,2.0
battery_4,new1,p16,2032,2.0
battery_4,new1,p16,2035,2.0
battery_4,new1,p16,2044,51.926398
battery_4,new1,p16,2047,51.926398
battery_4,new1,p16,2050,51.926398
battery_4,new1,p18,2026,100.0
battery_4,new1,p18,2029,100.0
battery_4,new1,p18,2032,100.0
battery_4,new1,p18,2035,100.0
battery_4,new1,p18,2038,100.0
battery_4,new1,p21,2038,202.874368
battery_4,new1,p21,2041,202.874368
battery_4,new1,p21,2044,246.510993
battery_4,new1,p21,2047,764.198391
battery_4,new1,p21,2050,764.198391
battery_4,new1,p22,2047,17.374078
battery_4,new1,p22,2050,64.556561
battery_4,new1,p25,2044,665.950579
battery_4,new1,p25,2047,665.950579
battery_4,new1,p25,2050,665.950579
battery_4,new1,p26,2038,10.923282
battery_4,new1,p26,2041,10.923282
battery_4,new1,p26,2044,156.536269
battery_4,new1,p26,2047,402.24405
battery_4,new1,p26,2050,402.24405
battery_4,new1,p27,2050,113.415666
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,1186.855138
battery_4,new1,p28,2029,1186.855138
battery_4,new1,p28,2032,1186.855138
battery_4,new1,p28,2035,1186.855138
battery_4,new1,p28,2038,253.680902
battery_4,new1,p28,2041,3.680902
battery_4,new1,p28,2044,382.161032
battery_4,new1,p28,2047,382.161032
battery_4,new1,p28,2050,382.161032
battery_4,new1,p29,2035,21.02559
battery_4,new1,p29,2038,21.02559
battery_4,new1,p29,2041,21.02559
battery_4,new1,p29,2044,21.02559
battery_4,new1,p29,2047,21.02559
battery_4,new1,p30,2029,484.54017
battery_4,new1,p30,2032,484.54017
battery_4,new1,p30,2035,557.796277
battery_4,new1,p30,2038,2054.294806
battery_4,new1,p30,2041,2054.294806
battery_4,new1,p30,2044,1856.453152
battery_4,new1,p30,2047,1856.453152
battery_4,new1,p30,2050,1783.197045
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,224.0
battery_4,new1,p31,2029,224.0
battery_4,new1,p31,2032,224.0
battery_4,new1,p31,2035,224.0
battery_4,new1,p31,2038,316.653614
battery_4,new1,p31,2041,166.653614
battery_4,new1,p31,2044,166.653614
battery_4,new1,p31,2047,166.653614
battery_4,new1,p31,2050,166.653614
battery_4,new1,p32,2038,67.288288
battery_4,new1,p32,2041,67.288288
battery_4,new1,p32,2044,67.288288
battery_4,new1,p32,2047,67.288288
battery_4,new1,p32,2050,67.288288
battery_4,new1,p33,2023,5.0
battery_4,new1,p33,2026,5.0
battery_4,new1,p33,2029,5.0
battery_4,new1,p33,2032,5.0
battery_4,new1,p33,2035,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p34,2026,225.0
battery_4,new1,p34,2029,225.0
battery_4,new1,p34,2032,225.0
battery_4,new1,p34,2035,225.0
battery_4,new1,p34,2038,438.683711
battery_4,new1,p34,2041,1085.721712
battery_4,new1,p34,2044,1268.271712
battery_4,new1,p34,2047,1268.271712
battery_4,new1,p34,2050,1268.271712
battery_4,new1,p37,2029,300.0
battery_4,new1,p37,2032,300.0
battery_4,new1,p37,2035,300.0
battery_4,new1,p37,2038,300.0
battery_4,new1,p37,2041,300.0
battery_4,new1,p39,2032,96.952455
battery_4,new1,p39,2035,303.778939
battery_4,new1,p39,2038,303.778939
battery_4,new1,p39,2041,303.778939
battery_4,new1,p39,2044,303.778939
battery_4,new1,p39,2047,376.457239
battery_4,new1,p39,2050,410.263981
battery_4,new1,p40,2023,1.0
battery_4,new1,p40,2026,1.0
battery_4,new1,p40,2029,1.0
battery_4,new1,p40,2032,1.0
battery_4,new1,p40,2035,1.0
battery_4,new1,p41,2050,61.43858
battery_4,new1,p43,2023,0.768718
battery_4,new1,p43,2026,0.768718
battery_4,new1,p43,2029,320.768718
battery_4,new1,p43,2032,549.46055
battery_4,new1,p43,2035,549.46055
battery_4,new1,p43,2038,548.691832
battery_4,new1,p43,2041,548.691832
battery_4,new1,p43,2044,228.691832
battery_4,new1,p44,2044,650.80466
battery_4,new1,p44,2047,650.80466
battery_4,new1,p44,2050,650.80466
battery_4,new1,p45,2029,75.969937
battery_4,new1,p45,2032,75.969937
battery_4,new1,p45,2035,75.969937
