i,v,r,t,Value
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,2.5
battery_4,new1,p6,2047,59.018844
battery_4,new1,p7,2026,0.2
battery_4,new1,p7,2044,570.581822
battery_4,new1,p7,2047,372.205837
battery_4,new1,p8,2029,150.0
battery_4,new1,p8,2038,38.970011
battery_4,new1,p8,2050,45.90974
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2038,1251.95
battery_4,new1,p9,2041,1478.313298
battery_4,new1,p9,2044,865.922444
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2041,885.469326
battery_4,new1,p12,2029,27.92244
battery_4,new1,p12,2038,27.89
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,551.2
battery_4,new1,p13,2029,392.98756
battery_4,new1,p13,2041,551.2
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p16,2044,51.926398
battery_4,new1,p18,2026,100.0
battery_4,new1,p21,2038,202.874368
battery_4,new1,p21,2044,43.636625
battery_4,new1,p21,2047,517.687398
battery_4,new1,p22,2047,17.374078
battery_4,new1,p22,2050,47.182482
battery_4,new1,p25,2044,665.950579
battery_4,new1,p26,2038,10.923282
battery_4,new1,p26,2044,145.612987
battery_4,new1,p26,2047,245.707782
battery_4,new1,p27,2050,113.415666
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2038,3.680902
battery_4,new1,p28,2044,378.48013
battery_4,new1,p29,2035,21.02559
battery_4,new1,p30,2029,484.54017
battery_4,new1,p30,2035,73.256107
battery_4,new1,p30,2038,1496.498529
battery_4,new1,p30,2044,286.698516
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p31,2038,166.653614
battery_4,new1,p32,2038,67.288288
battery_4,new1,p33,2023,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p34,2038,438.683711
battery_4,new1,p34,2041,647.038
