i,r,t,Value
battery_4,p1,2038,0.0
battery_4,p3,2038,0.0
battery_4,p6,2026,-93.124549
battery_4,p6,2029,-193.488087
battery_4,p6,2032,-347.595878
battery_4,p6,2035,-414.684627
battery_4,p6,2038,-483.44095
battery_4,p6,2041,-586.470714
battery_4,p6,2044,-610.445697
battery_4,p6,2047,-15307.558519
battery_4,p6,2050,-13649.173148
battery_4,p7,2026,-10.999747
battery_4,p7,2029,-18.686122
battery_4,p7,2032,-30.973635
battery_4,p7,2035,-41.596505
battery_4,p7,2038,-45.132843
battery_4,p7,2044,-149096.586278
battery_4,p7,2047,-248780.066885
battery_4,p7,2050,-237131.603956
battery_4,p8,2029,-39333.541559
battery_4,p8,2032,-37797.701658
battery_4,p8,2035,-40843.932126
battery_4,p8,2038,-51276.392443
battery_4,p8,2041,-52159.519438
battery_4,p8,2044,-10066.177689
battery_4,p8,2047,-10402.02
battery_4,p8,2050,-21581.168015
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-194959.615886
battery_4,p9,2026,-415113.838258
battery_4,p9,2029,-477331.64787
battery_4,p9,2032,-505312.331403
battery_4,p9,2035,-511992.406732
battery_4,p9,2038,-368023.637832
battery_4,p9,2041,-685043.941786
battery_4,p9,2044,-851103.451025
battery_4,p9,2047,-874109.395446
battery_4,p9,2050,-871843.872963
battery_4,p10,2020,-3515.004264
battery_4,p10,2023,-870788.353876
battery_4,p10,2026,-1484337.452163
battery_4,p10,2029,-1574903.602627
battery_4,p10,2032,-1574671.598455
battery_4,p10,2035,-1611230.937935
battery_4,p10,2038,-522191.649613
battery_4,p11,2020,-7565.885956
battery_4,p11,2023,-69408.782381
battery_4,p11,2026,-144590.207338
battery_4,p11,2029,-175654.062372
battery_4,p11,2032,-184486.354633
battery_4,p11,2035,-113460.662199
battery_4,p11,2038,-75701.37384
battery_4,p11,2041,-228122.896496
battery_4,p11,2044,-228528.026866
battery_4,p11,2047,-228336.583276
battery_4,p11,2050,-221737.057863
battery_4,p12,2029,-6878.087037
battery_4,p12,2032,-6984.999282
battery_4,p12,2035,-6792.488196
battery_4,p12,2038,-13348.83712
battery_4,p12,2041,-16213.600929
battery_4,p12,2044,-8053.587978
battery_4,p12,2047,-8468.985359
battery_4,p12,2050,-8601.490771
battery_4,p13,2023,-10097.267375
battery_4,p13,2026,-141869.417313
battery_4,p13,2029,-237033.894235
battery_4,p13,2032,-256494.661137
battery_4,p13,2035,-278265.675027
battery_4,p13,2038,-250404.835156
battery_4,p13,2041,-279431.762762
battery_4,p13,2044,-164618.831213
battery_4,p13,2047,-173548.398654
battery_4,p13,2050,-176184.392934
battery_4,p15,2023,-2047.737278
battery_4,p15,2026,-7718.923941
battery_4,p15,2029,-15047.555221
battery_4,p15,2032,-13347.418885
battery_4,p15,2035,-23727.236113
battery_4,p16,2023,-72.007367
battery_4,p16,2026,-159.327969
battery_4,p16,2029,-241.952696
battery_4,p16,2032,-215.279194
battery_4,p16,2035,-377.087274
battery_4,p16,2044,-11366.021712
battery_4,p16,2047,-12337.141456
battery_4,p16,2050,-11650.751751
battery_4,p17,2038,-0.0
battery_4,p18,2026,-452.750713
battery_4,p18,2029,-4740.680521
battery_4,p18,2032,-11606.528663
battery_4,p18,2035,-16444.216182
battery_4,p18,2038,-16674.396783
battery_4,p21,2038,-51733.152603
battery_4,p21,2041,-55285.958393
battery_4,p21,2044,-64817.346784
battery_4,p21,2047,-197446.595395
battery_4,p21,2050,-198395.477311
battery_4,p22,2047,-4645.038319
battery_4,p22,2050,-18464.279796
battery_4,p23,2038,-0.0
battery_4,p24,2038,-0.0
battery_4,p25,2044,-141795.503224
battery_4,p25,2047,-134984.841975
battery_4,p25,2050,-127048.087515
battery_4,p26,2038,-2598.967843
battery_4,p26,2041,-2919.8893
battery_4,p26,2044,-39902.532198
battery_4,p26,2047,-104168.154748
battery_4,p26,2050,-97970.279109
battery_4,p27,2050,-31598.000026
battery_4,p28,2023,-167247.051927
battery_4,p28,2026,-205303.727883
battery_4,p28,2029,-273240.047133
