i,v,r,t,Value
battery_4,new1,p1,2038,0.0
battery_4,new1,p3,2038,0.0
battery_4,new1,p6,2026,516.542911
battery_4,new1,p6,2029,1085.856922
battery_4,new1,p6,2032,1959.1468
battery_4,new1,p6,2035,2341.063886
battery_4,new1,p6,2038,2732.310141
battery_4,new1,p6,2041,3314.322794
battery_4,new1,p6,2044,3449.636983
battery_4,new1,p6,2047,86521.898895
battery_4,new1,p6,2050,77157.850363
battery_4,new1,p7,2026,61.361215
battery_4,new1,p7,2029,104.968411
battery_4,new1,p7,2032,174.598728
battery_4,new1,p7,2035,234.964329
battery_4,new1,p7,2038,255.029724
battery_4,new1,p7,2044,842963.741643
battery_4,new1,p7,2047,1406263.595644
battery_4,new1,p7,2050,1340589.577815
battery_4,new1,p8,2029,222387.603577
battery_4,new1,p8,2032,213683.408421
battery_4,new1,p8,2035,230933.551137
battery_4,new1,p8,2038,289963.549363
battery_4,new1,p8,2041,295017.184993
battery_4,new1,p8,2044,56911.603395
battery_4,new1,p8,2047,58825.171985
battery_4,new1,p8,2050,122058.435949
battery_4,new1,p9,2020,967.60441
battery_4,new1,p9,2023,1099344.715547
battery_4,new1,p9,2026,2346174.437296
battery_4,new1,p9,2029,2700407.762829
battery_4,new1,p9,2032,2859980.128742
battery_4,new1,p9,2035,2896951.947049
battery_4,new1,p9,2038,2080918.330769
battery_4,new1,p9,2041,3873190.65739
battery_4,new1,p9,2044,4812612.178133
battery_4,new1,p9,2047,4943409.103205
battery_4,new1,p9,2050,4931496.048138
battery_4,new1,p10,2020,19165.631588
battery_4,new1,p10,2023,4925719.729964
battery_4,new1,p10,2026,8401511.20644
battery_4,new1,p10,2029,8913614.227925
battery_4,new1,p10,2032,8910078.929043
battery_4,new1,p10,2035,9117261.245347
battery_4,new1,p10,2038,2952604.049339
battery_4,new1,p11,2020,41211.656874
battery_4,new1,p11,2023,393008.440181
battery_4,new1,p11,2026,819212.551961
battery_4,new1,p11,2029,995132.560463
battery_4,new1,p11,2032,1045158.10801
battery_4,new1,p11,2035,642523.485131
battery_4,new1,p11,2038,428020.117517
battery_4,new1,p11,2041,1290024.608229
battery_4,new1,p11,2044,1292538.711627
battery_4,new1,p11,2047,1291173.899057
battery_4,new1,p11,2050,1253860.53828
battery_4,new1,p12,2029,38881.106083
battery_4,new1,p12,2032,39477.096456
battery_4,new1,p12,2035,38384.014897
battery_4,new1,p12,2038,75429.486919
battery_4,new1,p12,2041,91695.035812
battery_4,new1,p12,2044,45552.253105
battery_4,new1,p12,2047,47906.321896
battery_4,new1,p12,2050,48657.336203
battery_4,new1,p13,2023,56981.001548
battery_4,new1,p13,2026,801336.306219
battery_4,new1,p13,2029,1339669.43725
battery_4,new1,p13,2032,1449751.287836
battery_4,new1,p13,2035,1573207.606954
battery_4,new1,p13,2038,1415390.305159
battery_4,new1,p13,2041,1580617.185228
battery_4,new1,p13,2044,931141.01913
battery_4,new1,p13,2047,981788.536947
battery_4,new1,p13,2050,996784.331771
battery_4,new1,p15,2023,10930.093865
battery_4,new1,p15,2026,43114.477789
battery_4,new1,p15,2029,84625.289128
battery_4,new1,p15,2032,75099.758293
battery_4,new1,p15,2035,133967.772475
battery_4,new1,p16,2023,397.596
battery_4,new1,p16,2026,893.151649
battery_4,new1,p16,2029,1361.5983
battery_4,new1,p16,2032,1211.611316
battery_4,new1,p16,2035,2129.284238
battery_4,new1,p16,2044,64208.427749
battery_4,new1,p16,2047,69758.144208
battery_4,new1,p16,2050,65838.956086
battery_4,new1,p18,2026,2043.3
battery_4,new1,p18,2029,26356.684494
battery_4,new1,p18,2032,65275.710757
battery_4,new1,p18,2035,92677.98242
battery_4,new1,p18,2038,94050.741824
battery_4,new1,p21,2038,292356.050646
battery_4,new1,p21,2041,312564.03803
battery_4,new1,p21,2044,366380.914463
battery_4,new1,p21,2047,1116561.152516
battery_4,new1,p21,2050,1121878.291719
battery_4,new1,p22,2047,26251.029824
battery_4,new1,p22,2050,104404.396627
battery_4,new1,p23,2038,-0.0
battery_4,new1,p24,2038,-0.0
battery_4,new1,p25,2044,801044.328446
battery_4,new1,p25,2047,762522.79933
battery_4,new1,p25,2050,717864.971844
battery_4,new1,p26,2038,14688.163198
battery_4,new1,p26,2041,16506.692837
battery_4,new1,p26,2044,225552.090331
battery_4,new1,p26,2047,588952.615851
battery_4,new1,p26,2050,554059.767607
battery_4,new1,p27,2050,178726.760281
battery_4,new1,p28,2023,943018.905168
battery_4,new1,p28,2026,1158018.13887
battery_4,new1,p28,2029,1543701.599462
battery_4,new1,p28,2032,1554973.774608
battery_4,new1,p28,2035,1747948.303274
battery_4,new1,p28,2038,363904.030642
battery_4,new1,p28,2041,5457.640008
battery_4,new1,p28,2044,552871.301204
battery_4,new1,p28,2047,563421.591886
battery_4,new1,p28,2050,555699.932174
battery_4,new1,p29,2035,33151.876734
battery_4,new1,p29,2038,34429.80382
battery_4,new1,p29,2041,32946.853835
battery_4,new1,p29,2044,32220.645522
battery_4,new1,p29,2047,33424.872045
battery_4,new1,p30,2029,579124.013745
battery_4,new1,p30,2032,637711.529462
battery_4,new1,p30,2035,872683.994299
battery_4,new1,p30,2038,3321337.10546
battery_4,new1,p30,2041,3190217.425477
battery_4,new1,p30,2044,2771754.49281
battery_4,new1,p30,2047,2745980.637217
battery_4,new1,p30,2050,2593051.190534
battery_4,new1,p31,2023,89914.337743
battery_4,new1,p31,2026,305251.482386
battery_4,new1,p31,2029,318771.004128
battery_4,new1,p31,2032,324669.433624
battery_4,new1,p31,2035,357513.508649
battery_4,new1,p31,2038,525646.935033
battery_4,new1,p31,2041,249820.01566
battery_4,new1,p31,2044,246413.735652
battery_4,new1,p31,2047,240447.225233
battery_4,new1,p31,2050,239606.289955
battery_4,new1,p32,2038,117443.045389
battery_4,new1,p32,2041,110851.081094
battery_4,new1,p32,2044,109433.157499
