eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,128528.129814,2.5,1457.0,1.025,140145299.55118436
CH4,p1,2023,128528.129814,2.0,1874.0,1.02,179376223.90551782
CH4,p1,2023,128528.129814,1.5,2564.0,1.015,244218850.13976282
CH4,p1,2024,128528.129814,2.5,1524.0,1.0,143014504.58911896
CH4,p1,2024,128528.129814,2.0,1950.0,1.0,182990999.9663924
CH4,p1,2024,128528.129814,1.5,2650.0,1.0,248680076.87740502
CH4,p1,2025,392083.627678,2.5,1590.0,0.9756097560975612,444067405.76738167
CH4,p1,2025,392083.627678,2.0,2025.0,0.9803921568627452,568329885.9883595
CH4,p1,2025,392083.627678,1.5,2737.0,0.9852216748768474,771941507.4665902
CH4,p1,2026,392083.627678,2.5,1657.0,0.9518143961927424,451492370.8277658
CH4,p1,2026,392083.627678,2.0,2101.0,0.9611687812379854,578097840.9399871
CH4,p1,2026,392083.627678,1.5,2823.0,0.9706617486471404,784430429.051327
CH4,p1,2027,392083.627678,2.5,1724.0,0.928599410919749,458290973.87701464
CH4,p1,2027,392083.627678,2.0,2176.0,0.9423223345470444,586994475.966352
CH4,p1,2027,392083.627678,1.5,2910.0,0.9563169937410252,796655393.5178353
CH4,p1,2028,300060.506666,2.5,1791.0,0.9059506447997552,355472405.66381675
CH4,p1,2028,300060.506666,2.0,2252.0,0.9238454260265142,455799105.0812618
CH4,p1,2028,300060.506666,1.5,2996.0,0.9421842302867244,618419832.8521738
CH4,p1,2029,300060.506666,2.5,1857.0,0.8838542876095173,359582332.97528714
CH4,p1,2029,300060.506666,2.0,2327.0,0.905730809829916,461744034.7247312
CH4,p1,2029,300060.506666,1.5,3083.0,0.9282603254056396,626973351.8856838
CH4,p1,2030,300060.506666,2.5,1924.0,0.8622968659605048,363469224.5002837
CH4,p1,2030,300060.506666,2.0,2403.0,0.887971382186192,467475128.0549427
CH4,p1,2030,300060.506666,1.5,3169.0,0.914542192517872,634938636.0370419
CH4,p1,2031,236702.911346,2.5,2002.0,0.8412652350834192,291070066.93750376
CH4,p1,2031,236702.911346,2.0,2490.0,0.8705601786139138,374626655.48979306
CH4,p1,2031,236702.911346,1.5,3270.0,0.9010267906580018,509197177.0294366
CH4,p1,2032,236702.911346,2.5,2080.0,0.8207465708130922,295034594.2983885
CH4,p1,2032,236702.911346,2.0,2578.0,0.8534903711901114,380261248.0717719
CH4,p1,2032,236702.911346,1.5,3371.0,0.887711123800987,517167166.4380563
CH4,p1,2033,236702.911346,2.5,2157.0,0.8007283617688704,298494193.199636
CH4,p1,2033,236702.911346,2.0,2666.0,0.8367552658726582,385530844.4604208
CH4,p1,2033,236702.911346,1.5,3471.0,0.874592240198017,524639232.2538059
CH4,p1,2034,531884.371744,2.5,2235.0,0.7811984017257273,678036438.5313447
CH4,p1,2034,531884.371744,2.0,2754.0,0.8203482998751551,877357067.3182478
CH4,p1,2034,531884.371744,1.5,3572.0,0.8616672317221843,1195267712.6025145
CH4,p1,2035,531884.371744,2.5,2313.0,0.7621447821714413,684584834.3200743
CH4,p1,2035,531884.371744,2.0,2842.0,0.8042630390932893,887638937.0606962
CH4,p1,2035,531884.371744,1.5,3673.0,0.848933233223827,1210900961.6086357
CH4,p1,2036,531884.371744,2.5,2391.0,0.7435558850453087,690410443.1408045
CH4,p1,2036,531884.371744,2.0,2929.0,0.7884931755816562,896874076.0617278
CH4,p1,2036,531884.371744,1.5,3774.0,0.836387421895396,1225811098.9958653
CH4,p1,2037,1257406.506162,2.5,2468.0,0.7254203756539598,1643643169.2289624
CH4,p1,2037,1257406.506162,2.0,3017.0,0.773032525080055,2141143186.4719646
CH4,p1,2037,1257406.506162,1.5,3875.0,0.8240270166457105,2931472277.885132
CH4,p1,2038,1257406.506162,2.5,2546.0,0.7077271957599608,1654233904.7542946
CH4,p1,2038,1257406.506162,2.0,3105.0,0.7578750245882894,2160388385.422297
CH4,p1,2038,1257406.506162,1.5,3975.0,0.8118492774834588,2962682931.4078255
CH4,p1,2039,1257406.506162,2.5,2624.0,0.6904655568389862,1663330242.015316
CH4,p1,2039,1257406.506162,2.0,3193.0,0.7430147299885189,2178055670.6935034
