i,r,t,Value
battery_4,p6,2026,-93.124549
battery_4,p6,2029,-206.660532
battery_4,p6,2032,-328.294354
battery_4,p6,2035,-410.971494
battery_4,p6,2038,-437.295257
battery_4,p6,2041,-524.000724
battery_4,p6,2044,-555.044672
battery_4,p6,2047,-566.725513
battery_4,p6,2050,-494.252059
battery_4,p7,2026,-10.999747
battery_4,p7,2029,-18.686122
battery_4,p7,2032,-32.219171
battery_4,p7,2035,-43.155416
battery_4,p7,2038,-40.870599
battery_4,p8,2029,-39316.687941
battery_4,p8,2032,-34104.774958
battery_4,p8,2035,-33458.208814
battery_4,p8,2038,-32356.123021
battery_4,p8,2041,-44412.314462
battery_4,p8,2047,-11786.766786
battery_4,p8,2050,-73504.540473
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-194959.615886
battery_4,p9,2026,-415113.838258
battery_4,p9,2029,-475630.123712
battery_4,p9,2032,-452563.050594
battery_4,p9,2035,-495632.293487
battery_4,p9,2038,-44686.083604
battery_4,p9,2041,-234984.270276
battery_4,p9,2044,-619457.230242
battery_4,p9,2047,-618580.091933
battery_4,p9,2050,-586055.571148
battery_4,p10,2020,-3515.004264
battery_4,p10,2023,-870788.353876
battery_4,p10,2026,-1484337.452163
battery_4,p10,2029,-1572492.384515
battery_4,p10,2032,-1522593.641011
battery_4,p10,2035,-1532645.526575
battery_4,p10,2038,-508530.3647
battery_4,p10,2041,-507287.625242
battery_4,p10,2044,-502318.862769
battery_4,p10,2047,-495630.038806
battery_4,p10,2050,-572018.158512
battery_4,p11,2020,-7565.885956
battery_4,p11,2023,-69408.782381
battery_4,p11,2026,-144590.207338
battery_4,p11,2029,-175647.363616
battery_4,p11,2032,-165373.103255
battery_4,p11,2035,-104456.561963
battery_4,p11,2038,-73684.165808
battery_4,p11,2041,-40018.654896
battery_4,p11,2044,-98761.670609
battery_4,p11,2047,-97935.327104
battery_4,p11,2050,-95061.885828
battery_4,p12,2029,-6865.744301
battery_4,p12,2032,-5961.977624
battery_4,p12,2035,-6382.66248
battery_4,p12,2038,-12280.042561
battery_4,p12,2041,-20417.842075
battery_4,p12,2044,-116797.108661
battery_4,p12,2047,-134056.485176
battery_4,p12,2050,-126401.587093
battery_4,p13,2023,-10097.267375
battery_4,p13,2026,-141869.417313
battery_4,p13,2029,-233983.795515
battery_4,p13,2032,-231080.741696
battery_4,p13,2035,-237075.241138
battery_4,p13,2038,-227504.003038
battery_4,p13,2041,-242366.131553
battery_4,p13,2044,-144763.14218
battery_4,p13,2047,-155440.882885
battery_4,p13,2050,-149563.308072
battery_4,p15,2023,-2047.737278
battery_4,p15,2026,-7718.923941
battery_4,p15,2029,-14673.368063
battery_4,p15,2032,-13288.452975
battery_4,p15,2035,-22989.848508
battery_4,p16,2023,-72.007367
battery_4,p16,2026,-159.327969
battery_4,p16,2029,-240.167131
battery_4,p16,2032,-228.505236
battery_4,p16,2035,-366.722271
battery_4,p18,2026,-452.750713
battery_4,p18,2029,-4512.126874
battery_4,p18,2032,-5684.965725
battery_4,p18,2035,-11484.235031
battery_4,p18,2038,-8762.245333
battery_4,p23,2044,-39172.214743
battery_4,p23,2047,-57978.154652
battery_4,p23,2050,-51282.563429
battery_4,p24,2044,-18934.043644
battery_4,p24,2047,-22558.26327
battery_4,p24,2050,-21975.324938
battery_4,p28,2023,-167247.051927
battery_4,p28,2026,-205303.727883
battery_4,p28,2029,-273727.733307
battery_4,p28,2032,-225473.713195
battery_4,p28,2035,-255572.691812
battery_4,p28,2038,-56407.273868
battery_4,p28,2047,-78843.768546
battery_4,p28,2050,-79075.514682
battery_4,p29,2044,-8525.115412
battery_4,p29,2047,-17285.442363
battery_4,p29,2050,-17766.15594
battery_4,p30,2029,-100702.899214
battery_4,p30,2032,-93808.001669
battery_4,p30,2035,-111429.389727
battery_4,p30,2038,-99983.467974
battery_4,p30,2041,-103652.301919
battery_4,p31,2023,-15930.534508
battery_4,p31,2026,-54054.832681
battery_4,p31,2029,-56553.582757
battery_4,p31,2032,-51818.731766
battery_4,p31,2035,-53711.271653
battery_4,p31,2038,-33685.333154
battery_4,p31,2044,-73381.195677
battery_4,p31,2047,-150506.114944
battery_4,p31,2050,-153296.682884
battery_4,p32,2044,-0.0
battery_4,p33,2023,-1066.613635
battery_4,p33,2026,-975.686891
battery_4,p33,2029,-1279.079192
battery_4,p33,2032,-1206.827247
battery_4,p33,2035,-1193.573881
battery_4,p33,2047,-5678.015793
battery_4,p33,2050,-5694.246864
battery_4,p34,2023,-50415.568771
battery_4,p34,2026,-44750.515134
battery_4,p34,2029,-58681.052289
battery_4,p34,2032,-57292.036926
battery_4,p34,2035,-53784.976514
battery_4,p34,2047,-39765.062747
battery_4,p34,2050,-41234.177307
battery_4,p35,2050,-215.985228
battery_4,p37,2029,-48631.688189
battery_4,p37,2032,-41326.790573
battery_4,p37,2035,-44158.610818
battery_4,p37,2038,-40730.996845
battery_4,p37,2041,-43221.313544
battery_4,p39,2050,-51134.366835
battery_4,p40,2023,-267.997564
battery_4,p40,2026,-278.90189
battery_4,p40,2029,-312.468151
battery_4,p40,2032,-250.295401
battery_4,p40,2035,-283.658014
battery_4,p43,2023,-182.782991
battery_4,p43,2026,-179.922
battery_4,p43,2029,-63805.149495
battery_4,p43,2032,-52409.370486
battery_4,p43,2035,-57029.268562
battery_4,p43,2038,-54555.573374
battery_4,p43,2041,-56141.995459
battery_4,p46,2047,-64276.796998
battery_4,p46,2050,-76605.848356
battery_4,p47,2044,-52879.847445
battery_4,p47,2047,-53117.394627
battery_4,p47,2050,-160962.666233
battery_4,p48,2026,-68876.165653
battery_4,p48,2029,-62397.211003
battery_4,p48,2032,-50853.687034
battery_4,p48,2035,-48783.491529
battery_4,p48,2038,-47068.177922
battery_4,p48,2044,-19346.67957
battery_4,p48,2047,-196123.267131
battery_4,p48,2050,-197635.195316
battery_4,p49,2047,-3761.767161
battery_4,p49,2050,-3116.17202
battery_4,p50,2050,-34375.270452
battery_4,p52,2050,-3912.425113
battery_4,p58,2047,-227949.171167
battery_4,p58,2050,-585079.926135
battery_4,p59,2047,-22650.287296
battery_4,p59,2050,-21901.429506
battery_4,p60,2023,-10725.537673
battery_4,p60,2026,-55572.899496
battery_4,p60,2029,-56849.530769
battery_4,p60,2032,-55702.204344
battery_4,p60,2035,-54455.087896
battery_4,p60,2038,-45700.752952
battery_4,p60,2044,-119721.303222
battery_4,p60,2047,-135674.620846
battery_4,p60,2050,-510640.641457
battery_4,p61,2023,-63641.38781
battery_4,p61,2026,-180385.781376
battery_4,p61,2029,-192730.564903
battery_4,p61,2032,-187659.510318
battery_4,p61,2035,-192657.341824
battery_4,p61,2038,-117390.992682
battery_4,p62,2023,-131424.415708
battery_4,p62,2026,-136341.60101
battery_4,p62,2029,-152310.49352
battery_4,p62,2032,-136694.143566
battery_4,p62,2035,-135452.363452
battery_4,p62,2044,-261153.370319
battery_4,p62,2047,-255619.619092
battery_4,p62,2050,-293658.890995
battery_4,p63,2023,-155496.368017
battery_4,p63,2026,-206258.966306
battery_4,p63,2029,-426153.936165
battery_4,p63,2032,-419554.451837
battery_4,p63,2035,-424431.982483
battery_4,p63,2038,-226085.027649
battery_4,p63,2041,-198918.986852
battery_4,p63,2047,-26695.859437
battery_4,p63,2050,-43518.051049
battery_4,p64,2023,-76383.46168
battery_4,p64,2026,-116510.773576
battery_4,p64,2029,-171898.071798
battery_4,p64,2032,-146441.121987
battery_4,p64,2035,-156320.815159
battery_4,p64,2038,-80590.150976
battery_4,p64,2041,-58084.886308
battery_4,p65,2023,-75182.736889
battery_4,p65,2026,-97903.350029
battery_4,p65,2029,-413135.425707
battery_4,p65,2032,-447934.295548
battery_4,p65,2035,-400131.419012
battery_4,p65,2038,-349664.051467
battery_4,p65,2041,-396748.304342
battery_4,p67,2023,-54499.374667
battery_4,p67,2026,-75310.773942
battery_4,p67,2029,-241940.345378
battery_4,p67,2032,-275405.650759
battery_4,p67,2035,-237239.498933
battery_4,p67,2038,-135513.011408
battery_4,p67,2041,-145042.916767
battery_4,p69,2029,-43911.132203
battery_4,p69,2032,-41035.525971
battery_4,p69,2035,-29345.896269
battery_4,p69,2038,-27116.507611
battery_4,p69,2041,-28037.62673
battery_4,p70,2023,-1329.306192
battery_4,p70,2026,-1280.672855
battery_4,p70,2029,-44646.48044
battery_4,p70,2032,-41329.325748
battery_4,p70,2035,-30271.475878
battery_4,p70,2038,-26397.290197
battery_4,p70,2041,-28664.268912
battery_4,p72,2029,-101301.247864
battery_4,p72,2032,-84639.39316
battery_4,p72,2035,-83561.430016
battery_4,p72,2038,-87283.468229
battery_4,p72,2041,-87342.447075
battery_4,p74,2026,-123283.959272
battery_4,p74,2029,-110391.643675
battery_4,p74,2032,-87333.422397
battery_4,p74,2035,-83042.688419
battery_4,p74,2038,-93857.334305
battery_4,p74,2041,-67990.593425
battery_4,p74,2044,-84878.805483
battery_4,p74,2047,-75241.884135
battery_4,p74,2050,-74122.360651
battery_4,p76,2023,-1145.517156
battery_4,p76,2026,-1157.555816
battery_4,p76,2029,-833.417885
battery_4,p76,2032,-623.946414
battery_4,p76,2035,-679.592437
battery_4,p77,2023,-71.444381
battery_4,p77,2026,-69.421348
battery_4,p77,2029,-51.382324
battery_4,p77,2032,-38.826173
battery_4,p77,2035,-40.738333
battery_4,p77,2047,-69303.865905
battery_4,p77,2050,-148234.847413
battery_4,p78,2023,-68.731029
battery_4,p78,2026,-69.429395
battery_4,p78,2029,-50.792393
battery_4,p78,2032,-38.694953
battery_4,p78,2035,-40.775546
battery_4,p79,2029,-51768.809872
battery_4,p79,2032,-44154.001453
battery_4,p79,2035,-46182.409288
battery_4,p79,2038,-44338.820548
battery_4,p79,2041,-47653.479914
battery_4,p79,2047,-105192.722223
battery_4,p79,2050,-527681.134783
battery_4,p80,2029,-19949.100844
battery_4,p80,2032,-18156.810332
battery_4,p80,2035,-15074.872058
battery_4,p80,2038,-11922.564918
battery_4,p80,2041,-15004.195304
battery_4,p80,2044,-26116.279059
battery_4,p80,2047,-165408.320662
battery_4,p80,2050,-1102931.62762
battery_4,p81,2029,-79099.20215
battery_4,p81,2032,-66419.239652
battery_4,p81,2035,-58027.531807
battery_4,p81,2038,-65541.860545
battery_4,p81,2041,-80074.52606
battery_4,p81,2044,-142020.589495
battery_4,p81,2047,-456544.901543
battery_4,p81,2050,-1005042.783291
battery_4,p82,2047,-302324.23949
battery_4,p82,2050,-523130.515961
battery_4,p83,2050,-571378.660002
battery_4,p86,2044,-236878.424713
battery_4,p86,2047,-384165.266841
battery_4,p86,2050,-583384.142722
battery_4,p87,2023,-149.480318
battery_4,p87,2026,-37.51141
battery_4,p87,2029,-253.508666
battery_4,p87,2032,-284.153833
battery_4,p87,2035,-234.720519
battery_4,p88,2023,-6490.136315
battery_4,p88,2026,-14188.925509
battery_4,p88,2029,-24042.070821
battery_4,p88,2032,-18522.126204
battery_4,p88,2035,-21973.768618
battery_4,p88,2038,-8827.862933
battery_4,p94,2026,-3692.44088
battery_4,p94,2029,-8189.524749
battery_4,p94,2032,-5173.659405
battery_4,p94,2035,-6451.359625
battery_4,p94,2038,-3116.520752
battery_4,p95,2029,-121749.701669
battery_4,p95,2032,-101379.523841
battery_4,p95,2035,-79150.109766
battery_4,p95,2038,-67869.127552
battery_4,p95,2041,-85950.364839
battery_4,p96,2023,-10974.067245
battery_4,p96,2026,-10517.435476
battery_4,p96,2029,-39596.945298
battery_4,p96,2032,-35877.201014
battery_4,p96,2035,-38184.648068
battery_4,p96,2038,-23873.497697
battery_4,p96,2041,-23493.18566
battery_4,p97,2026,-3930.582371
battery_4,p97,2029,-3488.333021
battery_4,p97,2032,-2876.618171
battery_4,p97,2035,-2398.700621
battery_4,p97,2038,-1980.645971
battery_4,p98,2023,-4796.996994
battery_4,p98,2026,-31374.89989
battery_4,p98,2029,-185723.088968
battery_4,p98,2032,-174058.94551
battery_4,p98,2035,-180653.759288
battery_4,p98,2038,-171195.955704
battery_4,p98,2041,-139608.251737
battery_4,p99,2023,-3062.635107
battery_4,p99,2026,-36197.397422
battery_4,p99,2029,-144187.642949
battery_4,p99,2032,-107912.281566
battery_4,p99,2035,-113120.25142
battery_4,p99,2038,-83791.903535
battery_4,p99,2041,-51806.778296
battery_4,p99,2044,-44131.278046
battery_4,p99,2047,-972615.174743
battery_4,p99,2050,-930796.338353
battery_4,p101,2023,-15.945126
battery_4,p101,2026,-1671.849462
battery_4,p101,2029,-8085.460761
battery_4,p101,2032,-7025.8384
battery_4,p101,2035,-6986.257162
battery_4,p101,2038,-3401.40989
battery_4,p103,2026,-160206.128156
battery_4,p103,2029,-199676.825856
battery_4,p103,2032,-242859.932117
battery_4,p103,2035,-225359.048445
battery_4,p103,2038,-213558.316015
battery_4,p103,2041,-299539.141413
battery_4,p103,2044,-426801.838606
battery_4,p103,2047,-419936.56361
battery_4,p103,2050,-424949.097438
battery_4,p104,2029,-73027.893096
battery_4,p104,2032,-76703.487874
battery_4,p104,2035,-70085.027972
battery_4,p104,2038,-69746.049249
battery_4,p104,2041,-83720.67015
battery_4,p104,2044,-103821.161859
battery_4,p104,2047,-103053.60169
battery_4,p104,2050,-95439.855423
battery_4,p106,2029,-4962.737086
battery_4,p106,2032,-3847.775754
battery_4,p106,2035,-4076.134963
battery_4,p106,2038,-3296.752001
battery_4,p106,2041,-3846.114906
battery_4,p108,2029,-36693.16592
battery_4,p108,2032,-31832.916117
battery_4,p108,2035,-31646.069758
battery_4,p108,2038,-23151.906709
battery_4,p108,2041,-28746.826799
battery_4,p110,2029,-10301.847477
battery_4,p110,2032,-8385.890752
battery_4,p110,2035,-9015.133737
battery_4,p110,2038,-4657.356977
battery_4,p110,2041,-3639.503174
battery_4,p111,2023,-2267.448159
battery_4,p111,2026,-2194.945927
battery_4,p111,2029,-2346.71556
battery_4,p111,2032,-1395.612235
battery_4,p111,2035,-1666.167152
battery_4,p114,2029,-56456.765036
battery_4,p114,2032,-35952.663856
battery_4,p114,2035,-41554.898775
battery_4,p114,2038,-19065.984433
battery_4,p114,2041,-23316.44401
battery_4,p115,2029,-58992.156621
battery_4,p115,2032,-37986.330883
battery_4,p115,2035,-42783.827998
battery_4,p115,2038,-21452.550336
battery_4,p115,2041,-30743.485095
battery_4,p117,2029,-16960.225353
battery_4,p117,2032,-11659.482193
battery_4,p117,2035,-12475.584573
battery_4,p117,2038,-7385.488423
battery_4,p117,2041,-10353.523875
battery_4,p118,2032,-49195.792769
battery_4,p118,2035,-306293.133295
battery_4,p118,2038,-205316.433893
battery_4,p118,2041,-261650.739654
battery_4,p118,2044,-323566.518668
battery_4,p118,2047,-333797.608469
battery_4,p118,2050,-303864.339022
battery_4,p121,2023,-834.186787
battery_4,p121,2026,-951.317492
battery_4,p121,2029,-21124.032933
battery_4,p121,2032,-122524.865413
battery_4,p121,2035,-145126.175423
battery_4,p121,2038,-117317.174682
battery_4,p121,2041,-119784.551132
battery_4,p121,2044,-111387.45477
battery_4,p121,2047,-63474.905449
