,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2556913984.425,1344540620.9601688,1208937405.3799999,2445994697.75,4588672910.84,6.0,368.81703333333326,193.9406331618794,174.3807,352.8177,661.8841
AL,2015,6.0,869036228.1233335,452280668.9275166,416406966.92,834537055.855,1539594924.76,6.0,125.35243333333334,65.23831844150082,60.0639,120.3761,222.0758
AL,2020,6.0,388056917.3233333,209754776.18679792,179384523.31,370444110.65,719434827.04,6.0,55.97448333333333,30.25565580888418,25.875,53.434,103.77340000000001
AL,2023,6.0,1170584519.45,651578538.8720855,526911631.58,1112271728.355,2237361273.41,6.0,168.84868333333335,93.9856605793334,76.0034,160.4375,322.7238
AL,2026,6.0,1006334349.3216667,562280250.2224241,451848289.34,956177915.14,1930753996.25,6.0,145.15669999999997,81.10498358394507,65.176,137.92194999999998,278.4978
AL,2029,6.0,866822611.8933334,461345079.0409578,405707968.79999995,828413527.77,1578771295.08,6.0,125.0331,66.54581072386149,58.5206,119.4928,227.7268
AL,2032,6.0,996039847.2883333,530669274.36061007,466024945.22,952152823.185,1816459507.77,6.0,143.67181666666667,76.54532113819673,67.2209,137.34145,262.0116
AL,2035,6.0,1840732331.0733335,985049444.8191836,859339932.8299999,1760671072.7150002,3374801056.75,6.0,265.51278333333335,142.08644685634752,123.9537,253.96455,486.79130000000004
AL,2038,6.0,984650980.8000001,525185759.1756634,460203242.47999996,941084452.115,1798014100.51,6.0,142.029,75.75441044765644,66.3811,135.7448,259.351
AL,2041,6.0,974240850.7966666,519866633.095369,455127934.25,931044134.9399999,1779923945.11,6.0,140.52741666666668,74.98713898813361,65.649,134.2966,256.7416
AL,2044,6.0,961651160.8233334,513087351.16650426,449267609.67999995,918989916.54,1756666742.5,6.0,138.71148333333335,74.00929899409714,64.80380000000001,132.55785,253.387
AL,2047,6.0,815645697.0066667,439520267.7791229,379133648.53999996,780390696.12,1507419849.77,6.0,117.6512,63.39765646167057,54.6875,112.5659,217.4347
